Run Name,Run 1
Run Date,06:52:39 PM   03-21-19
Method Name,Group 10 Spring 19 LG 3%-46%.1
Export Format Version, 1.00
Method ID, 3838
Points/Second, 5.00
Number of Records,  11010
Offset from Run Start Time,00:00:00
Run End Time,00:36:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.002584,0.003339,  3,0.041866,0.001436,  49.903,  236,     0.0
     0.2,0.002213,0.003347,  3,0.041877,0.001436,  49.916,  235,     0.0
     0.4,0.000996,0.003342,  3,0.041933,0.001436,  49.925,  235,     0.0
     0.6,0.000803,0.003343,  3,0.042086,0.001436,  49.939,  234,     0.0
     0.8,0.000000,0.003349,  3,0.042152,0.001436,  49.950,  233,     0.0
     1.0,0.000000,0.003346,  3,0.042186,0.001449,  49.959,  237,     0.0
     1.2,0.000000,0.000000,  3,0.042229,0.001436,  49.975,  240,     0.0
     1.4,0.000000,0.000000,  3,0.042252,0.000000,  49.987,  239,     0.0
     1.6,0.000000,0.000000,  3,0.042284,0.000000,  50.018,  238,     0.0
     1.8,0.000000,0.000000,  3,0.042285,0.000000,  50.028,  233,     0.0
     2.0,0.000000,0.000000,  3,0.042308,0.000000,  50.042,  229,     0.0
     2.2,0.000000,0.000000,  3,0.042342,0.000000,  50.062,  226,     0.0
     2.4,0.000000,0.000000,  3,0.000000,0.000000,  50.078,  224,     0.0
     2.6,0.000000,0.000000,  3,0.000000,0.000000,  50.089,  225,     0.0
     2.8,0.000000,0.000000,  3,0.000000,0.000000,  50.106,  227,     0.0
     3.0,0.000000,0.000000,  3,0.000000,0.000000,  50.121,  226,     0.1
     3.2,0.000000,0.000000,  3,0.000000,0.000000,  50.133,  225,     0.1
     3.4,0.000000,0.000000,  3,0.000000,0.000000,  50.162,  230,     0.1
     3.6,0.000000,0.000000,  3,0.000000,0.000000,  50.173,  235,     0.1
     3.8,0.000000,0.000000,  3,0.000000,0.000000,  50.189,  236,     0.1
     4.0,0.000000,0.000000,  3,0.000000,0.000000,  50.197,  237,     0.1
     4.2,0.000052,0.000000,  3,0.000000,0.000000,  50.217,  237,     0.1
