Run Name,35%B-David
Run Date,09:54:10 AM   03-12-08
Method Name,35%B-Isocratic
Export Format Version, 1.00
Method ID,  340
Points/Second, 5.00
Number of Records,   3600
Offset from Run Start Time,00:00:00
Run End Time,00:12:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.019166,0.000000,0.042534,-0.400166,  35.823
     0.2,0.019171,0.000000,0.042509,-0.400187,  35.822
     0.4,0.019168,0.000000,0.042501,-0.400166,  35.819
     0.6,0.019181,0.000000,0.042514,-0.400166,  35.822
     0.8,0.000000,0.000000,0.042514,-0.400194,  35.822
     1.0,0.000000,0.000000,0.042510,-0.400180,  35.825
     1.2,0.000000,0.000000,0.042822,0.000000,  35.822
     1.4,0.000000,0.000000,0.042822,0.000000,  35.822
     1.6,0.000000,0.000000,0.042822,0.000000,  35.823
     1.8,0.000000,0.000000,0.042822,0.000000,  35.820
     2.0,0.000000,0.000000,0.000000,0.000000,  35.821
     2.2,0.000000,0.000000,0.000000,0.000000,  35.819
     2.4,0.000000,0.000000,0.000000,0.000000,  35.823
     2.6,0.000000,0.000000,0.000000,0.000000,  35.819
     2.8,0.000000,0.000000,0.000000,0.000000,  35.815
     3.0,0.000000,0.000000,0.000000,0.000000,  35.814
     3.2,0.000000,0.000000,0.000000,0.000000,  35.810
     3.4,0.000000,0.000000,0.000000,0.000000,  35.813
     3.6,0.000000,0.000000,0.000000,0.000000,  35.814
     3.8,0.000000,0.000000,0.000000,0.000000,  35.807
     4.0,0.000000,0.000000,0.000000,0.000000,  35.804
     4.2,0.000000,0.000000,0.000000,0.000000,  35.802
     4.4,0.000000,0.000000,0.000000,0.000000,  35.799
     4.6,0.000000,0.000016,0.000000,0.000000,  35.795
     4.8,0.000005,0.000014,0.000000,0.000000,  35.793
     5.0,0.000002,0.000013,0.000000,0.000000,  35.791
     5.2,0.000002,0.000014,0.000000,0.000000,  35.783
     5.4,0.000002,0.000015,0.000000,0.000000,  35.781
     5.6,0.000004,0.000017,0.000000,0.000000,  35.780
     5.8,0.000004,0.000019,0.000000,0.000000,  35.781
