Run Name,ARL23%
Run Date,02:30:22 PM   04-01-08
Method Name,23%B-Isocratic
Export Format Version, 1.00
Method ID,  394
Points/Second, 5.00
Number of Records,   5479
Offset from Run Start Time,00:00:00
Run End Time,00:18:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,0.000941,0.000000, 23,0.007856,0.000563,  24.446,     0.0
     0.2,0.000772,0.000000, 23,0.007881,0.000563,  24.444,     0.0
     0.4,0.000327,0.000000, 23,0.007892,0.000578,  24.443,     0.0
     0.6,-0.000860,0.000000, 23,0.007900,0.000563,  24.444,     0.0
     0.8,0.000000,0.000000, 23,0.007899,0.000563,  24.444,     0.0
     1.0,0.000000,0.000000, 23,0.007884,0.000578,  24.441,     0.0
     1.2,0.000000,0.000000, 23,0.007853,0.000563,  24.442,     0.0
     1.4,0.000000,0.000000, 23,0.007867,0.000563,  24.444,     0.0
     1.6,0.000000,0.000000, 23,0.007897,0.000578,  24.450,     0.0
     1.8,0.000000,0.000000, 23,0.007932,0.000563,  24.447,     0.0
     2.0,0.000000,0.000000, 23,0.008016,0.000549,  24.449,     0.0
     2.2,0.000000,0.000000, 23,0.008133,0.000570,  24.456,     0.0
     2.4,0.000000,0.000000, 23,0.007654,0.000000,  24.467,     0.0
     2.6,0.000000,0.000000, 23,0.007654,0.000000,  24.473,     0.0
     2.8,0.000000,0.000000, 23,0.007654,0.000000,  24.464,     0.0
     3.0,0.000000,0.000000, 23,0.007654,0.000000,  24.458,     0.1
     3.2,0.000000,0.000000, 23,0.000000,0.000000,  24.461,     0.1
     3.4,0.000000,0.000000, 23,0.000000,0.000000,  24.454,     0.1
     3.6,0.000000,0.000000, 23,0.000000,0.000000,  24.453,     0.1
     3.8,0.000000,0.000000, 23,0.000000,0.000000,  24.448,     0.1
     4.0,0.000000,0.000000, 23,0.000000,0.000000,  24.452,     0.1
     4.2,0.000000,0.000000, 23,0.000000,0.000000,  24.450,     0.1
     4.4,-0.000001,0.000000, 23,0.000000,0.000000,  24.450,     0.1
     4.6,-0.000001,-0.000029, 23,0.000000,0.000000,  24.452,     0.1
     4.8,-0.000008,-0.000030, 23,0.000000,0.000000,  24.447,     0.1
     5.0,-0.000020,-0.000030, 23,0.000000,0.000000,  24.452,     0.1
     5.2,-0.000040,-0.000034, 23,0.000000,0.000000,  24.452,     0.1
     5.4,-0.000051,-0.000043, 23,0.000000,0.000000,  24.454,     0.1
     5.6,-0.000075,-0.000050, 23,0.000000,0.000000,  24.455,     0.1
     5.8,-0.000106,-0.000058, 23,0.000000,0.000000,  24.452,     0.1
     6.0,-0.000139,-0.000073, 23,0.000000,0.000000,  24.459,     0.1
     6.2,-0.000156,-0.000085, 23,0.000000,0.000000,  24.456,     0.1
     6.4,-0.000168,-0.000105, 23,0.000000,0.000000,  24.454,     0.1
     6.6,-0.000175,-0.000121, 23,0.000000,0.000000,  24.457,     0.1
     6.8,-0.000172,-0.000130, 23,0.000000,0.000084,  24.457,     0.1
     7.0,-0.000161,-0.000135, 23,-0.000390,0.000084,  24.456,     0.1
     7.2,-0.000144,-0.000138, 23,-0.000397,0.000084,  24.455,     0.1
     7.4,-0.000134,-0.000137, 23,-0.000392,0.000035,  24.459,     0.1
     7.6,-0.000129,-0.000130, 23,-0.000391,0.000000,  24.458,     0.1
     7.8,-0.000129,-0.000118, 23,-0.000371,-0.000049,  24.466,     0.1
     8.0,-0.000125,-0.000113, 23,-0.000347,-0.000056,  24.470,     0.1
     8.2,-0.000120,-0.000108, 23,-0.000302,-0.000070,  24.461,     0.1
     8.4,-0.000117,-0.000104, 23,-0.000245,-0.000133,  24.461,     0.1
     8.6,-0.000113,-0.000098, 23,-0.000181,-0.000141,  24.460,     0.1
     8.8,-0.000108,-0.000092, 23,-0.000107,-0.000141,  24.461,     0.1
     9.0,-0.000108,-0.000076, 23,-0.000127,-0.000176,  24.458,     0.2
     9.2,-0.000101,-0.000073, 23,-0.000203,-0.000113,  24.461,     0.2
     9.4,-0.000093,-0.000078, 23,-0.000328,-0.000098,  24.461,     0.2
     9.6,-0.000094,-0.000080, 23,-0.000409,-0.000119,  24.460,     0.2
     9.8,-0.000079,-0.000075, 23,-0.000491,-0.000084,  24.462,     0.2
    10.0,-0.000074,-0.000064, 23,-0.000565,-0.000070,  24.456,     0.2
    10.2,-0.000074,-0.000054, 23,-0.000633,-0.000091,  24.462,     0.2
    10.4,-0.000077,-0.000051, 23,-0.000697,-0.000084,  24.455,     0.2
    10.6,-0.000072,-0.000049, 23,-0.000756,-0.000084,  24.463,     0.2
    10.8,-0.000069,-0.000050, 23,-0.000758,-0.000105,  24.461,     0.2
    11.0,-0.000065,-0.000048, 23,-0.000721,-0.000070,  24.456,     0.2
    11.2,-0.000072,-0.000047, 23,-0.000653,-0.000056,  24.463,     0.2
    11.4,-0.000084,-0.000048, 23,-0.000660,-0.000091,  24.457,     0.2
    11.6,-0.000105,-0.000055, 23,-0.000694,-0.000042,  24.464,     0.2
    11.8,-0.000110,-0.000068, 23,-0.000739,-0.000028,  24.463,     0.2
    12.0,-0.000108,-0.000072, 23,-0.000753,-0.000077,  24.460,     0.2
    12.2,-0.000105,-0.000070, 23,-0.000767,-0.000042,  24.467,     0.2
    12.4,-0.000096,-0.000064, 23,-0.000777,-0.000028,  24.464,     0.2
    12.6,-0.000081,-0.000051, 23,-0.000801,-0.000077,  24.461,     0.2
    12.8,-0.000065,-0.000039, 23,-0.000844,-0.000042,  24.462,     0.2
    13.0,-0.000053,-0.000021, 23,-0.000893,-0.000028,  24.460,     0.2
    13.2,-0.000038,-0.000004, 23,-0.000858,-0.000077,  24.464,     0.2
    13.4,-0.000026,0.000010, 23,-0.000793,-0.000042,  24.468,     0.2
    13.6,-0.000014,0.000026, 23,-0.000694,-0.000042,  24.470,     0.2
    13.8,-0.000002,0.000040, 23,-0.000719,-0.000028,  24.464,     0.2
    14.0,0.000007,0.000051, 23,-0.000772,-0.000028,  24.464,     0.2
    14.2,0.000029,0.000068, 23,-0.000880,-0.000042,  24.459,     0.2
    14.4,0.000049,0.000080, 23,-0.001018,-0.000063,  24.460,     0.2
    14.6,0.000065,0.000090, 23,-0.001186,-0.000042,  24.462,     0.2
    14.8,0.000085,0.000097, 23,-0.001384,-0.000042,  24.459,     0.2
    15.0,0.000095,0.000103, 23,-0.001625,-0.000028,  24.461,     0.3
    15.2,0.000097,0.000103, 23,-0.001564,-0.000063,  24.464,     0.3
    15.4,0.000099,0.000106, 23,-0.001410,-0.000014,  24.459,     0.3
    15.6,0.000094,0.000119, 23,-0.001162,0.000000,  24.462,     0.3
    15.8,0.000085,0.000126, 23,-0.001072,-0.000035,  24.463,     0.3
    16.0,0.000081,0.000144, 23,-0.001023,0.000000,  24.464,     0.3
    16.2,0.000084,0.000159, 23,-0.001006,0.000028,  24.459,     0.3
    16.4,0.000091,0.000182, 23,-0.000975,-0.000007,  24.462,     0.3
    16.6,0.000083,0.000189, 23,-0.000944,0.000028,  24.461,     0.3
    16.8,0.000076,0.000188, 23,-0.000927,0.000042,  24.462,     0.3
    17.0,0.000069,0.000182, 23,-0.000868,0.000007,  24.463,     0.3
    17.2,0.000069,0.000178, 23,-0.000794,0.000028,  24.465,     0.3
    17.4,0.000072,0.000175, 23,-0.000701,0.000028,  24.461,     0.3
    17.6,0.000079,0.000170, 23,-0.000667,0.000007,  24.461,     0.3
    17.8,0.000084,0.000162, 23,-0.000658,0.000042,  24.465,     0.3
    18.0,0.000078,0.000157, 23,-0.000670,0.000042,  24.462,     0.3
    18.2,0.000086,0.000148, 23,-0.000655,0.000021,  24.466,     0.3
    18.4,0.000086,0.000143, 23,-0.000635,0.000056,  24.461,     0.3
    18.6,0.000088,0.000140, 23,-0.000607,0.000056,  24.461,     0.3
    18.8,0.000090,0.000138, 23,-0.000606,0.000021,  24.467,     0.3
    19.0,0.000101,0.000136, 23,-0.000607,0.000042,  24.473,     0.3
    19.2,0.000103,0.000134, 23,-0.000622,0.000042,  24.476,     0.3
    19.4,0.000103,0.000131, 23,-0.000647,0.000035,  24.466,     0.3
    19.6,0.000103,0.000133, 23,-0.000675,0.000070,  24.464,     0.3
    19.8,0.000108,0.000135, 23,-0.000712,0.000070,  24.464,     0.3
    20.0,0.000113,0.000138, 23,-0.000690,0.000050,  24.468,     0.3
    20.2,0.000115,0.000134, 23,-0.000638,0.000070,  24.469,     0.3
    20.4,0.000117,0.000128, 23,-0.000560,0.000070,  24.464,     0.3
    20.6,0.000117,0.000124, 23,-0.000534,0.000050,  24.470,     0.3
    20.8,0.000110,0.000122, 23,-0.000533,0.000070,  24.470,     0.3
    21.0,0.000113,0.000117, 23,-0.000545,0.000070,  24.470,     0.3
    21.2,0.000114,0.000125, 23,-0.000579,0.000050,  24.473,     0.4
    21.4,0.000119,0.000132, 23,-0.000642,0.000070,  24.471,     0.4
    21.6,0.000117,0.000136, 23,-0.000724,0.000070,  24.477,     0.4
    21.8,0.000104,0.000146, 23,-0.000723,0.000035,  24.477,     0.4
    22.0,0.000100,0.000147, 23,-0.000693,0.000056,  24.475,     0.4
    22.2,0.000088,0.000150, 23,-0.000629,0.000056,  24.476,     0.4
    22.4,0.000071,0.000153, 23,-0.000628,0.000035,  24.469,     0.4
    22.6,0.000058,0.000153, 23,-0.000646,0.000070,  24.477,     0.4
    22.8,0.000058,0.000145, 23,-0.000675,0.000070,  24.475,     0.4
    23.0,0.000062,0.000148, 23,-0.000659,0.000070,  24.476,     0.4
    23.2,0.000072,0.000151, 23,-0.000623,0.000084,  24.476,     0.4
    23.4,0.000089,0.000155, 23,-0.000573,0.000070,  24.480,     0.4
    23.6,0.000104,0.000164, 23,-0.000579,0.000050,  24.477,     0.4
    23.8,0.000116,0.000169, 23,-0.000609,0.000084,  24.477,     0.4
    24.0,0.000128,0.000169, 23,-0.000664,0.000084,  24.483,     0.4
    24.2,0.000133,0.000174, 23,-0.000739,0.000099,  24.481,     0.4
    24.4,0.000125,0.000178, 23,-0.000854,0.000064,  24.486,     0.4
    24.6,0.000123,0.000176, 23,-0.000999,0.000099,  24.485,     0.4
    24.8,0.000116,0.000176, 23,-0.001174,0.000113,  24.489,     0.4
    25.0,0.000106,0.000176, 23,-0.001186,0.000078,  24.484,     0.4
    25.2,0.000104,0.000172, 23,-0.001138,0.000099,  24.486,     0.4
    25.4,0.000099,0.000165, 23,-0.001023,0.000099,  24.488,     0.4
    25.6,0.000094,0.000157, 23,-0.000954,0.000064,  24.488,     0.4
    25.8,0.000097,0.000153, 23,-0.000883,0.000070,  24.491,     0.4
    26.0,0.000101,0.000153, 23,-0.000815,0.000070,  24.493,     0.4
    26.2,0.000106,0.000157, 23,-0.000765,0.000050,  24.500,     0.4
    26.4,0.000105,0.000150, 23,-0.000731,0.000070,  24.496,     0.4
    26.6,0.000108,0.000141, 23,-0.000716,0.000070,  24.502,     0.4
    26.8,0.000113,0.000135, 23,-0.000681,0.000021,  24.501,     0.4
    27.0,0.000115,0.000130, 23,-0.000647,0.000028,  24.501,     0.4
    27.2,0.000115,0.000124, 23,-0.000619,0.000028,  24.502,     0.5
    27.4,0.000107,0.000126, 23,-0.000579,-0.000007,  24.505,     0.5
    27.6,0.000108,0.000130, 23,-0.000524,0.000028,  24.508,     0.5
    27.8,0.000096,0.000135, 23,-0.000478,0.000028,  24.508,     0.5
    28.0,0.000078,0.000148, 23,-0.000511,0.000007,  24.508,     0.5
    28.2,0.000065,0.000148, 23,-0.000590,0.000042,  24.509,     0.5
    28.4,0.000065,0.000142, 23,-0.000708,0.000042,  24.513,     0.5
    28.6,0.000072,0.000139, 23,-0.000724,0.000021,  24.509,     0.5
    28.8,0.000086,0.000143, 23,-0.000693,0.000056,  24.513,     0.5
    29.0,0.000097,0.000148, 23,-0.000627,0.000056,  24.516,     0.5
    29.2,0.000109,0.000161, 23,-0.000624,0.000021,  24.519,     0.5
    29.4,0.000125,0.000172, 23,-0.000634,0.000056,  24.520,     0.5
    29.6,0.000139,0.000184, 23,-0.000645,0.000056,  24.519,     0.5
    29.8,0.000156,0.000193, 23,-0.000667,0.000021,  24.523,     0.5
    30.0,0.000170,0.000193, 23,-0.000709,0.000056,  24.522,     0.5
    30.2,0.000174,0.000195, 23,-0.000761,0.000056,  24.523,     0.5
    30.4,0.000179,0.000186, 23,-0.000736,0.000035,  24.522,     0.5
    30.6,0.000176,0.000183, 23,-0.000679,0.000070,  24.525,     0.5
    30.8,0.000168,0.000181, 23,-0.000599,0.000070,  24.525,     0.5
    31.0,0.000161,0.000184, 23,-0.000604,0.000070,  24.527,     0.5
    31.2,0.000160,0.000184, 23,-0.000629,0.000091,  24.525,     0.5
    31.4,0.000149,0.000187, 23,-0.000698,0.000105,  24.530,     0.5
    31.6,0.000147,0.000190, 23,-0.000733,0.000119,  24.532,     0.5
    31.8,0.000142,0.000188, 23,-0.000768,0.000133,  24.533,     0.5
    32.0,0.000142,0.000193, 23,-0.000812,0.000148,  24.535,     0.5
    32.2,0.000144,0.000190, 23,-0.000790,0.000162,  24.541,     0.5
    32.4,0.000142,0.000184, 23,-0.000725,0.000155,  24.542,     0.5
    32.6,0.000132,0.000188, 23,-0.000635,0.000155,  24.536,     0.5
    32.8,0.000125,0.000186, 23,-0.000714,0.000106,  24.539,     0.5
    33.0,0.000113,0.000185, 23,-0.000844,0.000141,  24.543,     0.6
    33.2,0.000095,0.000179, 23,-0.001055,0.000113,  24.544,     0.6
    33.4,0.000081,0.000176, 23,-0.001324,0.000113,  24.545,     0.6
    33.6,0.000069,0.000169, 23,-0.001472,0.000064,  24.544,     0.6
    33.8,0.000050,0.000151, 23,-0.001607,0.000099,  24.542,     0.6
    34.0,0.000029,0.000130, 23,-0.001740,0.000113,  24.548,     0.6
    34.2,0.000005,0.000107, 23,-0.001701,0.000078,  24.550,     0.6
    34.4,0.000005,0.000100, 23,-0.001580,0.000099,  24.551,     0.6
    34.6,0.000017,0.000103, 23,-0.001373,0.000113,  24.550,     0.6
    34.8,0.000038,0.000110, 23,-0.001244,0.000064,  24.552,     0.6
    35.0,0.000046,0.000105, 23,-0.001123,0.000084,  24.553,     0.6
    35.2,0.000046,0.000097, 23,-0.000998,0.000084,  24.556,     0.6
    35.4,0.000043,0.000086, 23,-0.000899,0.000035,  24.557,     0.6
    35.6,0.000058,0.000090, 23,-0.000820,0.000056,  24.558,     0.6
    35.8,0.000070,0.000096, 23,-0.000756,0.000028,  24.553,     0.6
    36.0,0.000085,0.000116, 23,-0.000715,-0.000049,  24.555,     0.6
    36.2,0.000094,0.000124, 23,-0.000691,-0.000070,  24.559,     0.6
    36.4,0.000104,0.000128, 23,-0.000689,-0.000084,  24.560,     0.6
    36.6,0.000113,0.000136, 23,-0.000675,-0.000105,  24.563,     0.6
    36.8,0.000120,0.000144, 23,-0.000672,-0.000056,  24.564,     0.6
    37.0,0.000132,0.000149, 23,-0.000677,-0.000042,  24.562,     0.6
    37.2,0.000140,0.000156, 23,-0.000985,-0.000063,  24.567,     0.6
    37.4,0.000152,0.000164, 23,-0.001450,-0.000014,  24.567,     0.6
    37.6,0.000166,0.000178, 23,-0.002067,0.000000,  24.566,     0.6
