Run Name,grp2-10_29%
Run Date,05:11:02 PM   03-26-08
Method Name,29%B-Isocratic
Export Format Version, 1.00
Method ID,  344
Points/Second, 5.00
Number of Records,   6300
Offset from Run Start Time,00:00:00
Run End Time,00:21:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,-0.000147,-0.000263, 29,-0.002057,-0.000182,  28.621,     0.0
     0.2,-0.000135,-0.000263, 29,-0.002063,-0.000217,  28.623,     0.0
     0.4,0.000090,-0.000265, 29,-0.002054,-0.000217,  28.620,     0.0
     0.6,0.000102,-0.000274, 29,-0.002024,-0.000196,  28.622,     0.0
     0.8,0.000000,-0.000286, 29,-0.002015,-0.000231,  28.626,     0.0
     1.0,0.000000,-0.000290, 29,-0.002014,-0.000217,  28.621,     0.0
     1.2,0.000000,-0.000289, 29,-0.002012,-0.000182,  28.618,     0.0
     1.4,0.000000,0.000000, 29,-0.001996,-0.000231,  28.615,     0.0
     1.6,0.000000,0.000000, 29,-0.001980,-0.000175,  28.616,     0.0
     1.8,0.000000,0.000000, 29,-0.001964,-0.000147,  28.618,     0.0
     2.0,0.000000,0.000000, 29,-0.001706,-0.008330,  28.615,     0.0
     2.2,0.000000,0.000000, 29,-0.001318,0.000000,  28.618,     0.0
     2.4,0.000000,0.000000, 29,0.000000,0.000000,  28.610,     0.0
     2.6,0.000000,0.000000, 29,0.000000,0.000000,  28.612,     0.0
     2.8,0.000000,0.000000, 29,0.000000,0.000000,  28.611,     0.0
     3.0,0.000000,0.000000, 29,0.000000,0.000000,  28.611,     0.1
     3.2,0.000000,0.000000, 29,0.000000,0.000000,  28.616,     0.1
     3.4,0.000000,0.000000, 29,0.000000,0.000000,  28.607,     0.1
     3.6,-0.000037,0.000000, 29,0.000000,0.000000,  28.611,     0.1
     3.8,-0.000037,0.000000, 29,0.000000,0.000000,  28.611,     0.1
     4.0,-0.000037,0.000000, 29,0.000000,0.000000,  28.612,     0.1
     4.2,-0.000037,0.000000, 29,0.000000,0.000000,  28.610,     0.1
     4.4,-0.000037,0.000000, 29,0.000000,0.000000,  28.615,     0.1
     4.6,-0.000037,0.000000, 29,0.000000,0.000000,  28.612,     0.1
     4.8,-0.000037,0.000000, 29,0.000000,0.000000,  28.608,     0.1
     5.0,-0.000037,-0.000006, 29,0.000000,0.000000,  28.609,     0.1
     5.2,-0.000040,-0.000005, 29,0.000000,0.000000,  28.608,     0.1
     5.4,-0.000039,-0.000006, 29,0.000000,0.000000,  28.604,     0.1
     5.6,-0.000036,-0.000010, 29,0.000000,0.000000,  28.609,     0.1
     5.8,-0.000044,-0.000007, 29,0.000000,0.000000,  28.604,     0.1
     6.0,-0.000041,-0.000007, 29,0.000011,0.000036,  28.610,     0.1
     6.2,-0.000041,-0.000010, 29,0.000002,0.000001,  28.607,     0.1
     6.4,-0.000049,-0.000010, 29,-0.000009,-0.000020,  28.610,     0.1
     6.6,-0.000048,-0.000016, 29,-0.000038,0.000001,  28.610,     0.1
     6.8,-0.000051,-0.000014, 29,-0.000078,-0.000020,  28.613,     0.1
     7.0,-0.000059,-0.000017, 29,-0.000130,-0.000034,  28.611,     0.1
     7.2,-0.000058,-0.000019, 29,-0.000262,0.000001,  28.611,     0.1
     7.4,-0.000058,-0.000023, 29,-0.000432,-0.000020,  28.619,     0.1
     7.6,-0.000066,-0.000029, 29,-0.000641,-0.000034,  28.610,     0.1
     7.8,-0.000058,-0.000034, 29,-0.000763,0.000001,  28.612,     0.1
     8.0,-0.000060,-0.000034, 29,-0.000863,-0.000020,  28.611,     0.1
     8.2,-0.000060,-0.000040, 29,-0.000935,-0.000034,  28.609,     0.1
     8.4,-0.000065,-0.000041, 29,-0.000883,0.000001,  28.599,     0.1
     8.6,-0.000068,-0.000039, 29,-0.000747,-0.000020,  28.593,     0.1
     8.8,-0.000075,-0.000043, 29,-0.000540,-0.000034,  28.595,     0.1
     9.0,-0.000084,-0.000043, 29,-0.000490,0.000001,  28.592,     0.2
     9.2,-0.000096,-0.000038, 29,-0.000481,-0.000020,  28.591,     0.2
     9.4,-0.000106,-0.000040, 29,-0.000510,-0.000020,  28.594,     0.2
     9.6,-0.000121,-0.000044, 29,-0.000475,-0.000020,  28.591,     0.2
     9.8,-0.000125,-0.000045, 29,-0.000431,-0.000020,  28.588,     0.2
    10.0,-0.000127,-0.000048, 29,-0.000373,-0.000020,  28.589,     0.2
    10.2,-0.000135,-0.000048, 29,-0.000333,-0.000013,  28.589,     0.2
    10.4,-0.000132,-0.000045, 29,-0.000298,-0.000048,  28.589,     0.2
    10.6,-0.000130,-0.000051, 29,-0.000265,-0.000062,  28.588,     0.2
    10.8,-0.000125,-0.000055, 29,-0.000334,-0.000056,  28.584,     0.2
    11.0,-0.000115,-0.000059, 29,-0.000458,-0.000105,  28.589,     0.2
    11.2,-0.000107,-0.000062, 29,-0.000642,-0.000119,  28.585,     0.2
    11.4,-0.000100,-0.000066, 29,-0.000624,-0.000098,  28.581,     0.2
    11.6,-0.000091,-0.000068, 29,-0.000544,-0.000133,  28.585,     0.2
    11.8,-0.000081,-0.000069, 29,-0.000399,-0.000147,  28.587,     0.2
    12.0,-0.000078,-0.000073, 29,-0.000311,-0.000112,  28.583,     0.2
    12.2,-0.000081,-0.000078, 29,-0.000218,-0.000133,  28.586,     0.2
    12.4,-0.000070,-0.000077, 29,-0.000120,-0.000119,  28.585,     0.2
    12.6,-0.000066,-0.000074, 29,-0.000099,-0.000084,  28.583,     0.2
    12.8,-0.000071,-0.000069, 29,-0.000112,-0.000084,  28.586,     0.2
    13.0,-0.000072,-0.000068, 29,-0.000153,-0.000105,  28.582,     0.2
    13.2,-0.000067,-0.000059, 29,-0.000151,-0.000105,  28.578,     0.2
    13.4,-0.000064,-0.000055, 29,-0.000150,-0.000091,  28.582,     0.2
    13.6,-0.000068,-0.000051, 29,-0.000145,-0.000062,  28.578,     0.2
    13.8,-0.000063,-0.000055, 29,-0.000139,-0.000062,  28.578,     0.2
    14.0,-0.000060,-0.000051, 29,-0.000137,-0.000062,  28.582,     0.2
    14.2,-0.000060,-0.000047, 29,-0.000132,-0.000062,  28.577,     0.2
    14.4,-0.000060,-0.000047, 29,-0.000123,-0.000062,  28.579,     0.2
    14.6,-0.000062,-0.000043, 29,-0.000132,-0.000062,  28.579,     0.2
    14.8,-0.000062,-0.000042, 29,-0.000152,-0.000062,  28.581,     0.2
    15.0,-0.000062,-0.000042, 29,-0.000176,-0.000062,  28.578,     0.3
    15.2,-0.000064,-0.000042, 29,-0.000221,-0.000062,  28.578,     0.3
    15.4,-0.000067,-0.000045, 29,-0.000282,-0.000062,  28.577,     0.3
    15.6,-0.000067,-0.000044, 29,-0.000366,-0.000048,  28.578,     0.3
    15.8,-0.000069,-0.000046, 29,-0.000370,-0.000048,  28.579,     0.3
