Run Name,group2-10_32%
Run Date,04:34:36 PM   03-26-08
Method Name,32%B-Isocratic
Export Format Version, 1.00
Method ID,  343
Points/Second, 5.00
Number of Records,   4290
Offset from Run Start Time,00:00:00
Run End Time,00:14:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,0.000106,0.000086, 32,-0.000521,0.000162,  30.222,     0.0
     0.2,0.000108,0.000086, 32,-0.000511,0.000162,  30.221,     0.0
     0.4,0.000108,0.000088, 32,-0.000509,0.000141,  30.214,     0.0
     0.6,0.000106,0.000091, 32,-0.000509,0.000162,  30.213,     0.0
     0.8,0.000108,0.000091, 32,-0.000503,0.000162,  30.214,     0.0
     1.0,0.000108,0.000088, 32,-0.000497,0.000141,  30.210,     0.0
     1.2,0.000171,0.000000, 32,-0.000492,0.000162,  30.211,     0.0
     1.4,0.000281,0.000000, 32,-0.000500,0.000162,  30.212,     0.0
     1.6,0.000417,0.000000, 32,-0.000506,0.000162,  30.211,     0.0
     1.8,0.000389,0.000000, 32,-0.000530,0.000183,  30.207,     0.0
     2.0,0.000000,0.000000, 32,-0.000554,0.000190,  30.207,     0.0
     2.2,0.000000,0.000000, 32,-0.000579,0.000000,  30.211,     0.0
     2.4,0.000000,0.000000, 32,-0.000619,0.000000,  30.207,     0.0
     2.6,0.000000,0.000000, 32,-0.000619,0.000000,  30.208,     0.0
     2.8,0.000000,0.000000, 32,-0.000619,0.000000,  30.207,     0.0
     3.0,0.000000,0.000000, 32,-0.000619,0.000000,  30.203,     0.1
     3.2,0.000000,0.000000, 32,0.000000,0.000000,  30.203,     0.1
     3.4,0.000000,0.000000, 32,0.000000,0.000000,  30.193,     0.1
     3.6,0.000000,0.000000, 32,0.000000,0.000000,  30.196,     0.1
     3.8,0.000000,0.000000, 32,0.000000,0.000000,  30.196,     0.1
     4.0,0.000000,0.000000, 32,0.000000,0.000000,  30.194,     0.1
     4.2,0.000000,0.000000, 32,0.000000,0.000000,  30.195,     0.1
     4.4,0.000000,0.000000, 32,0.000000,0.000000,  30.193,     0.1
     4.6,0.000000,0.000000, 32,0.000000,0.000000,  30.189,     0.1
     4.8,-0.000030,0.000005, 32,0.000000,0.000000,  30.190,     0.1
     5.0,-0.000031,0.000010, 32,0.000000,0.000000,  30.184,     0.1
     5.2,-0.000026,0.000018, 32,0.000000,0.000000,  30.182,     0.1
     5.4,-0.000018,0.000015, 32,0.000000,0.000000,  30.179,     0.1
     5.6,-0.000016,0.000016, 32,0.000000,0.000000,  30.182,     0.1
     5.8,-0.000009,0.000018, 32,0.000000,0.000000,  30.179,     0.1
     6.0,0.000003,0.000016, 32,0.000056,-0.000014,  30.177,     0.1
     6.2,0.000008,0.000019, 32,0.000079,-0.000007,  30.175,     0.1
     6.4,0.000015,0.000023, 32,0.000056,0.000042,  30.176,     0.1
     6.6,0.000025,0.000025, 32,0.000013,0.000056,  30.179,     0.1
     6.8,0.000027,0.000024, 32,-0.000060,0.000070,  30.175,     0.1
     7.0,0.000031,0.000025, 32,-0.000162,0.000064,  30.177,     0.1
     7.2,0.000037,0.000026, 32,-0.000239,0.000084,  30.172,     0.1
     7.4,0.000036,0.000029, 32,-0.000321,0.000064,  30.170,     0.1
     7.6,0.000044,0.000028, 32,-0.000401,0.000078,  30.172,     0.1
     7.8,0.000050,0.000029, 32,-0.000449,0.000078,  30.170,     0.1
     8.0,0.000046,0.000026, 32,-0.000492,0.000057,  30.168,     0.1
     8.2,0.000050,0.000026, 32,-0.000521,0.000092,  30.174,     0.1
     8.4,0.000050,0.000031, 32,-0.000504,0.000092,  30.171,     0.1
     8.6,0.000046,0.000031, 32,-0.000450,0.000071,  30.168,     0.1
     8.8,0.000054,0.000034, 32,-0.000367,0.000106,  30.166,     0.1
     9.0,0.000057,0.000040, 32,-0.000381,0.000106,  30.167,     0.2
     9.2,0.000054,0.000038, 32,-0.000422,0.000085,  30.166,     0.2
     9.4,0.000057,0.000041, 32,-0.000501,0.000120,  30.165,     0.2
     9.6,0.000052,0.000043, 32,-0.000781,0.000120,  30.165,     0.2
     9.8,0.000050,0.000043, 32,-0.001178,0.000085,  30.165,     0.2
    10.0,0.000047,0.000044, 32,-0.001698,0.000120,  30.159,     0.2
    10.2,0.000047,0.000040, 32,-0.001701,0.000120,  30.164,     0.2
    10.4,0.000047,0.000037, 32,-0.001504,0.000085,  30.165,     0.2
    10.6,0.000047,0.000037, 32,-0.001112,0.000120,  30.158,     0.2
    10.8,0.000045,0.000034, 32,-0.001009,0.000120,  30.160,     0.2
    11.0,0.000053,0.000032, 32,-0.000965,0.000085,  30.159,     0.2
    11.2,0.000047,0.000032, 32,-0.000962,0.000120,  30.156,     0.2
    11.4,0.000047,0.000031, 32,-0.000882,0.000120,  30.159,     0.2
    11.6,0.000050,0.000032, 32,-0.000778,0.000085,  30.157,     0.2
    11.8,0.000045,0.000029, 32,-0.000663,0.000120,  30.159,     0.2
    12.0,0.000045,0.000029, 32,-0.000721,0.000106,  30.161,     0.2
    12.2,0.000042,0.000034, 32,-0.000850,0.000085,  30.157,     0.2
    12.4,0.000035,0.000032, 32,-0.001062,0.000120,  30.160,     0.2
    12.6,0.000040,0.000026, 32,-0.001165,0.000106,  30.156,     0.2
    12.8,0.000038,0.000020, 32,-0.001253,0.000085,  30.158,     0.2
    13.0,0.000030,0.000022, 32,-0.001335,0.000120,  30.156,     0.2
    13.2,0.000035,0.000019, 32,-0.001266,0.000106,  30.158,     0.2
    13.4,0.000038,0.000015, 32,-0.001115,0.000106,  30.155,     0.2
    13.6,0.000035,0.000015, 32,-0.000891,0.000120,  30.156,     0.2
    13.8,0.000040,0.000020, 32,-0.000802,0.000106,  30.153,     0.2
    14.0,0.000040,0.000018, 32,-0.000748,0.000106,  30.154,     0.2
    14.2,0.000035,0.000017, 32,-0.000718,0.000085,  30.154,     0.2
    14.4,0.000038,0.000017, 32,-0.000688,0.000106,  30.154,     0.2
    14.6,0.000033,0.000016, 32,-0.000674,0.000106,  30.157,     0.2
    14.8,0.000027,0.000014, 32,-0.000674,0.000085,  30.163,     0.2
    15.0,0.000030,0.000012, 32,-0.000685,0.000120,  30.162,     0.3
    15.2,0.000033,0.000010, 32,-0.000665,0.000106,  30.165,     0.3
    15.4,0.000027,0.000008, 32,-0.000646,0.000085,  30.163,     0.3
    15.6,0.000030,0.000010, 32,-0.000629,0.000120,  30.164,     0.3
    15.8,0.000026,0.000006, 32,-0.000623,0.000106,  30.165,     0.3
    16.0,0.000020,0.000005, 32,-0.000622,0.000085,  30.164,     0.3
    16.2,0.000028,0.000009, 32,-0.000632,0.000120,  30.158,     0.3
    16.4,0.000031,0.000014, 32,-0.000813,0.000106,  30.157,     0.3
    16.6,0.000023,0.000016, 32,-0.001083,0.000085,  30.154,     0.3
    16.8,0.000016,0.000012, 32,-0.001446,0.000120,  30.155,     0.3
    17.0,0.000006,0.000014, 32,-0.001435,0.000106,  30.147,     0.3
    17.2,-0.000003,0.000013, 32,-0.001274,0.000085,  30.149,     0.3
    17.4,-0.000010,0.000006, 32,-0.000974,0.000120,  30.154,     0.3
    17.6,-0.000013,0.000005, 32,-0.000960,0.000106,  30.146,     0.3
    17.8,-0.000023,0.000000, 32,-0.001015,0.000071,  30.141,     0.3
    18.0,-0.000030,-0.000009, 32,-0.001130,0.000092,  30.141,     0.3
    18.2,-0.000035,-0.000018, 32,-0.001073,0.000050,  30.142,     0.3
    18.4,-0.000041,-0.000025, 32,-0.000961,0.000015,  30.141,     0.3
    18.6,-0.000033,-0.000026, 32,-0.000788,0.000036,  30.140,     0.3
    18.8,-0.000030,-0.000027, 32,-0.000671,0.000007,  30.140,     0.3
    19.0,-0.000031,-0.000031, 32,-0.000558,-0.000042,  30.140,     0.3
    19.2,-0.000018,-0.000027, 32,-0.000447,-0.000007,  30.139,     0.3
    19.4,-0.000011,-0.000022, 32,-0.000417,-0.000007,  30.137,     0.3
    19.6,-0.000004,-0.000021, 32,-0.000432,-0.000042,  30.140,     0.3
    19.8,-0.000005,-0.000016, 32,-0.000482,0.000007,  30.140,     0.3
    20.0,0.000002,-0.000016, 32,-0.000460,0.000036,  30.137,     0.3
    20.2,0.000010,-0.000014, 32,-0.000428,0.000029,  30.139,     0.3
    20.4,0.000012,-0.000013, 32,-0.000385,0.000064,  30.134,     0.3
    20.6,0.000014,-0.000010, 32,-0.000379,0.000064,  30.130,     0.3
    20.8,0.000017,-0.000011, 32,-0.000391,0.000043,  30.136,     0.3
    21.0,0.000016,-0.000007, 32,-0.000424,0.000078,  30.135,     0.3
    21.2,0.000016,-0.000003, 32,-0.000437,0.000078,  30.135,     0.4
    21.4,0.000024,0.000001, 32,-0.000443,0.000057,  30.136,     0.4
    21.6,0.000021,-0.000002, 32,-0.000448,0.000092,  30.133,     0.4
    21.8,0.000023,0.000005, 32,-0.000408,0.000092,  30.129,     0.4
    22.0,0.000026,0.000010, 32,-0.000340,0.000071,  30.132,     0.4
    22.2,0.000023,0.000010, 32,-0.000256,0.000092,  30.130,     0.4
    22.4,0.000033,0.000008, 32,-0.000261,0.000092,  30.130,     0.4
    22.6,0.000041,0.000014, 32,-0.000306,0.000092,  30.131,     0.4
    22.8,0.000038,0.000019, 32,-0.000400,0.000092,  30.126,     0.4
    23.0,0.000044,0.000021, 32,-0.000419,0.000106,  30.131,     0.4
    23.2,0.000041,0.000015, 32,-0.000424,0.000092,  30.126,     0.4
    23.4,0.000038,0.000011, 32,-0.000423,0.000057,  30.128,     0.4
    23.6,0.000044,0.000007, 32,-0.000424,0.000092,  30.128,     0.4
    23.8,0.000044,0.000004, 32,-0.000432,0.000078,  30.130,     0.4
    24.0,0.000041,0.000004, 32,-0.000433,0.000057,  30.133,     0.4
    24.2,0.000046,0.000008, 32,-0.000438,0.000092,  30.129,     0.4
    24.4,0.000046,0.000012, 32,-0.000458,0.000092,  30.133,     0.4
    24.6,0.000043,0.000018, 32,-0.000487,0.000071,  30.133,     0.4
    24.8,0.000043,0.000022, 32,-0.000523,0.000092,  30.134,     0.4
    25.0,0.000041,0.000024, 32,-0.000568,0.000092,  30.131,     0.4
    25.2,0.000038,0.000025, 32,-0.000627,0.000071,  30.132,     0.4
    25.4,0.000035,0.000021, 32,-0.000692,0.000092,  30.131,     0.4
    25.6,0.000038,0.000020, 32,-0.000776,0.000092,  30.132,     0.4
    25.8,0.000038,0.000022, 32,-0.000880,0.000071,  30.134,     0.4
    26.0,0.000043,0.000026, 32,-0.001006,0.000106,  30.128,     0.4
    26.2,0.000051,0.000022, 32,-0.001139,0.000106,  30.136,     0.4
    26.4,0.000048,0.000024, 32,-0.001290,0.000085,  30.134,     0.4
    26.6,0.000050,0.000024, 32,-0.001458,0.000120,  30.138,     0.4
    26.8,0.000045,0.000021, 32,-0.001410,0.000120,  30.136,     0.4
    27.0,0.000039,0.000017, 32,-0.001277,0.000085,  30.136,     0.4
    27.2,0.000045,0.000018, 32,-0.001049,0.000120,  30.133,     0.5
    27.4,0.000048,0.000023, 32,-0.000932,0.000120,  30.139,     0.5
    27.6,0.000042,0.000022, 32,-0.000833,0.000085,  30.140,     0.5
    27.8,0.000047,0.000026, 32,-0.000744,0.000120,  30.140,     0.5
    28.0,0.000053,0.000026, 32,-0.000820,0.000120,  30.142,     0.5
    28.2,0.000053,0.000023, 32,-0.000973,0.000085,  30.142,     0.5
    28.4,0.000053,0.000029, 32,-0.001210,0.000120,  30.146,     0.5
    28.6,0.000050,0.000033, 32,-0.001190,0.000120,  30.142,     0.5
    28.8,0.000045,0.000034, 32,-0.001081,0.000085,  30.148,     0.5
    29.0,0.000048,0.000032, 32,-0.000871,0.000120,  30.146,     0.5
    29.2,0.000048,0.000029, 32,-0.000824,0.000120,  30.150,     0.5
    29.4,0.000048,0.000034, 32,-0.000825,0.000085,  30.151,     0.5
    29.6,0.000040,0.000038, 32,-0.000853,0.000120,  30.144,     0.5
    29.8,0.000040,0.000040, 32,-0.000803,0.000120,  30.139,     0.5
    30.0,0.000041,0.000040, 32,-0.000739,0.000085,  30.135,     0.5
    30.2,0.000028,0.000038, 32,-0.000649,0.000120,  30.137,     0.5
    30.4,0.000021,0.000031, 32,-0.000576,0.000120,  30.137,     0.5
    30.6,0.000013,0.000024, 32,-0.000519,0.000085,  30.138,     0.5
    30.8,-0.000002,0.000013, 32,-0.000451,0.000106,  30.135,     0.5
    31.0,-0.000007,0.000006, 32,-0.000398,0.000078,  30.132,     0.5
    31.2,-0.000018,-0.000003, 32,-0.000355,0.000043,  30.137,     0.5
    31.4,-0.000029,-0.000016, 32,-0.000323,0.000064,  30.137,     0.5
    31.6,-0.000028,-0.000017, 32,-0.000482,0.000036,  30.139,     0.5
    31.8,-0.000033,-0.000024, 32,-0.000749,0.000021,  30.133,     0.5
    32.0,-0.000036,-0.000029, 32,-0.001119,0.000021,  30.135,     0.5
    32.2,-0.000026,-0.000030, 32,-0.001164,0.000007,  30.135,     0.5
    32.4,-0.000021,-0.000030, 32,-0.001105,-0.000007,  30.132,     0.5
    32.6,-0.000019,-0.000029, 32,-0.000924,-0.000042,  30.135,     0.5
    32.8,-0.000011,-0.000019, 32,-0.000640,0.000007,  30.133,     0.5
    33.0,-0.000004,-0.000015, 32,-0.000589,0.000036,  30.135,     0.6
    33.2,-0.000002,-0.000016, 32,-0.000560,0.000029,  30.136,     0.6
    33.4,0.000000,-0.000012, 32,-0.000560,0.000064,  30.134,     0.6
    33.6,0.000002,-0.000010, 32,-0.000662,0.000064,  30.136,     0.6
    33.8,-0.000001,-0.000008, 32,-0.000832,0.000043,  30.136,     0.6
    34.0,0.000002,-0.000006, 32,-0.001060,0.000078,  30.138,     0.6
    34.2,0.000005,-0.000003, 32,-0.001048,0.000078,  30.135,     0.6
    34.4,0.000005,-0.000005, 32,-0.000952,0.000057,  30.136,     0.6
    34.6,0.000015,-0.000003, 32,-0.000765,0.000057,  30.134,     0.6
    34.8,0.000026,-0.000001, 32,-0.000901,0.000057,  30.139,     0.6
    35.0,0.000028,0.000003, 32,-0.001155,0.000036,  30.138,     0.6
    35.2,0.000023,-0.000001, 32,-0.001532,0.000022,  30.140,     0.6
    35.4,0.000023,-0.000001, 32,-0.001517,0.000057,  30.138,     0.6
    35.6,0.000025,0.000001, 32,-0.001375,0.000036,  30.136,     0.6
    35.8,0.000017,-0.000000, 32,-0.001101,0.000022,  30.135,     0.6
    36.0,0.000023,-0.000001, 32,-0.001022,0.000057,  30.135,     0.6
    36.2,0.000023,-0.000005, 32,-0.000969,0.000036,  30.134,     0.6
    36.4,0.000015,-0.000006, 32,-0.000959,0.000022,  30.130,     0.6
    36.6,0.000016,-0.000010, 32,-0.000947,0.000057,  30.130,     0.6
    36.8,0.000016,-0.000011, 32,-0.000948,0.000036,  30.133,     0.6
    37.0,0.000013,-0.000011, 32,-0.000964,0.000022,  30.131,     0.6
    37.2,0.000018,-0.000004, 32,-0.000903,0.000057,  30.132,     0.6
    37.4,0.000018,-0.000004, 32,-0.000809,0.000022,  30.133,     0.6
    37.6,0.000015,-0.000004, 32,-0.000680,0.000043,  30.131,     0.6
    37.8,0.000017,-0.000006, 32,-0.000639,0.000050,  30.136,     0.6
    38.0,0.000017,-0.000006, 32,-0.000624,0.000029,  30.132,     0.6
    38.2,0.000014,-0.000004, 32,-0.000633,0.000064,  30.136,     0.6
    38.4,0.000017,0.000002, 32,-0.000638,0.000064,  30.135,     0.6
    38.6,0.000013,0.000002, 32,-0.000648,0.000043,  30.132,     0.6
    38.8,0.000007,-0.000002, 32,-0.000665,0.000064,  30.137,     0.6
    39.0,0.000015,-0.000002, 32,-0.000654,0.000064,  30.137,     0.6
    39.2,0.000015,-0.000002, 32,-0.000625,0.000043,  30.138,     0.7
    39.4,0.000012,-0.000002, 32,-0.000580,0.000078,  30.135,     0.7
    39.6,0.000020,-0.000002, 32,-0.000569,0.000078,  30.135,     0.7
    39.8,0.000020,-0.000002, 32,-0.000569,0.000057,  30.142,     0.7
    40.0,0.000017,-0.000003, 32,-0.000578,0.000092,  30.139,     0.7
    40.2,0.000022,-0.000001, 32,-0.000676,0.000078,  30.137,     0.7
    40.4,0.000020,-0.000000, 32,-0.000825,0.000078,  30.141,     0.7
    40.6,0.000014,-0.000003, 32,-0.001026,0.000078,  30.139,     0.7
    40.8,0.000020,0.000002, 32,-0.001056,0.000078,  30.141,     0.7
    41.0,0.000015,0.000004, 32,-0.001032,0.000078,  30.141,     0.7
    41.2,0.000012,0.000003, 32,-0.000953,0.000043,  30.149,     0.7
    41.4,0.000020,0.000003, 32,-0.000934,0.000078,  30.148,     0.7
    41.6,0.000020,0.000008, 32,-0.000909,0.000078,  30.153,     0.7
    41.8,0.000017,0.000008, 32,-0.000885,0.000057,  30.150,     0.7
    42.0,0.000019,0.000007, 32,-0.000865,0.000092,  30.150,     0.7
    42.2,0.000019,0.000008, 32,-0.000859,0.000078,  30.153,     0.7
    42.4,0.000016,0.000010, 32,-0.000859,0.000057,  30.147,     0.7
    42.6,0.000016,0.000012, 32,-0.000866,0.000092,  30.148,     0.7
    42.8,0.000021,0.000014, 32,-0.000844,0.000092,  30.149,     0.7
    43.0,0.000014,0.000010, 32,-0.000804,0.000071,  30.141,     0.7
    43.2,0.000009,0.000012, 32,-0.000749,0.000106,  30.143,     0.7
    43.4,0.000005,0.000012, 32,-0.000768,0.000106,  30.144,     0.7
    43.6,-0.000008,0.000006, 32,-0.000803,0.000085,  30.142,     0.7
    43.8,-0.000020,0.000001, 32,-0.000869,0.000106,  30.143,     0.7
    44.0,-0.000031,-0.000004, 32,-0.000865,0.000092,  30.149,     0.7
    44.2,-0.000044,-0.000013, 32,-0.000846,0.000057,  30.151,     0.7
    44.4,-0.000053,-0.000021, 32,-0.000809,0.000078,  30.143,     0.7
    44.6,-0.000058,-0.000027, 32,-0.000845,0.000050,  30.149,     0.7
    44.8,-0.000066,-0.000032, 32,-0.000906,0.000001,  30.152,     0.7
    45.0,-0.000060,-0.000040, 32,-0.000985,0.000021,  30.149,     0.8
    45.2,-0.000055,-0.000045, 32,-0.000961,-0.000007,  30.146,     0.8
    45.4,-0.000053,-0.000048, 32,-0.000889,-0.000056,  30.148,     0.8
    45.6,-0.000040,-0.000045, 32,-0.000769,-0.000035,  30.147,     0.8
    45.8,-0.000041,-0.000036, 32,-0.000715,-0.000035,  30.147,     0.8
    46.0,-0.000033,-0.000037, 32,-0.000680,-0.000042,  30.148,     0.8
    46.2,-0.000026,-0.000029, 32,-0.000651,-0.000007,  30.147,     0.8
    46.4,-0.000021,-0.000023, 32,-0.000634,0.000007,  30.148,     0.8
    46.6,-0.000017,-0.000022, 32,-0.000627,-0.000013,  30.150,     0.8
    46.8,-0.000017,-0.000014, 32,-0.000635,0.000036,  30.142,     0.8
    47.0,-0.000010,-0.000011, 32,-0.000608,0.000036,  30.141,     0.8
    47.2,-0.000002,-0.000009, 32,-0.000567,0.000001,  30.149,     0.8
    47.4,-0.000003,-0.000005, 32,-0.000515,0.000036,  30.150,     0.8
    47.6,-0.000001,-0.000005, 32,-0.000535,0.000036,  30.140,     0.8
    47.8,0.000007,-0.000003, 32,-0.000585,0.000001,  30.145,     0.8
    48.0,0.000004,-0.000002, 32,-0.000666,0.000050,  30.141,     0.8
    48.2,0.000004,-0.000001, 32,-0.000670,0.000050,  30.145,     0.8
    48.4,0.000007,-0.000002, 32,-0.000655,0.000064,  30.145,     0.8
    48.6,0.000002,-0.000004, 32,-0.000613,0.000078,  30.138,     0.8
    48.8,0.000010,0.000001, 32,-0.000583,0.000078,  30.143,     0.8
    49.0,0.000015,0.000003, 32,-0.000557,0.000078,  30.137,     0.8
    49.2,0.000013,0.000003, 32,-0.000526,0.000043,  30.139,     0.8
    49.4,0.000016,0.000005, 32,-0.000637,0.000043,  30.143,     0.8
    49.6,0.000018,0.000003, 32,-0.000804,0.000043,  30.139,     0.8
    49.8,0.000018,0.000003, 32,-0.001041,0.000022,  30.142,     0.8
    50.0,0.000009,-0.000001, 32,-0.001099,0.000022,  30.136,     0.8
    50.2,0.000008,-0.000001, 32,-0.001085,0.000043,  30.137,     0.8
    50.4,0.000008,-0.000005, 32,-0.001030,0.000022,  30.138,     0.8
    50.6,0.000008,-0.000001, 32,-0.000903,0.000022,  30.134,     0.8
    50.8,0.000008,-0.000003, 32,-0.000869,0.000043,  30.135,     0.8
    51.0,0.000005,-0.000009, 32,-0.000835,0.000022,  30.128,     0.9
    51.2,0.000013,-0.000012, 32,-0.000800,0.000022,  30.125,     0.9
    51.4,0.000010,-0.000013, 32,-0.000771,0.000043,  30.134,     0.9
    51.6,0.000005,-0.000019, 32,-0.000742,0.000022,  30.147,     0.9
    51.8,0.000010,-0.000017, 32,-0.000713,0.000022,  30.150,     0.9
    52.0,0.000008,-0.000019, 32,-0.000879,0.000043,  30.153,     0.9
    52.2,0.000000,-0.000021, 32,-0.001139,0.000022,  30.162,     0.9
    52.4,0.000000,-0.000023, 32,-0.001496,0.000022,  30.158,     0.9
    52.6,-0.000002,-0.000022, 32,-0.001740,0.000043,  30.162,     0.9
    52.8,0.000011,-0.000020, 32,-0.001978,0.000022,  30.164,     0.9
    53.0,0.000040,-0.000023, 32,-0.002208,0.000008,  30.164,     0.9
    53.2,0.000084,-0.000017, 32,-0.002115,0.000029,  30.170,     0.9
    53.4,0.000104,0.000009, 32,-0.001864,0.000008,  30.175,     0.9
    53.6,0.000121,0.000049, 32,-0.001449,-0.000006,  30.184,     0.9
    53.8,0.000141,0.000098, 32,-0.001560,0.000029,  30.185,     0.9
    54.0,0.000162,0.000139, 32,-0.001845,-0.000006,  30.187,     0.9
    54.2,0.000188,0.000175, 32,-0.002314,-0.000006,  30.181,     0.9
    54.4,0.000220,0.000214, 32,-0.002181,0.000015,  30.167,     0.9
    54.6,0.000241,0.000245, 32,-0.001832,-0.000006,  30.151,     0.9
    54.8,0.000264,0.000277, 32,-0.001265,0.000008,  30.142,     0.9
    55.0,0.000291,0.000306, 32,-0.000940,0.000043,  30.134,     0.9
    55.2,0.000318,0.000330, 32,-0.000625,0.000036,  30.135,     0.9
    55.4,0.000332,0.000357, 32,-0.000317,0.000050,  30.128,     0.9
    55.6,0.000357,0.000387, 32,-0.000036,0.000099,  30.131,     0.9
    55.8,0.000371,0.000401, 32,0.000234,0.000078,  30.131,     0.9
    56.0,0.000346,0.000422, 32,0.000485,0.000127,  30.125,     0.9
    56.2,0.000316,0.000438, 32,0.000682,0.000162,  30.128,     0.9
    56.4,0.000263,0.000367, 32,0.000835,0.000156,  30.119,     0.9
    56.6,0.000179,0.000248, 32,0.000952,0.000233,  30.109,     0.9
    56.8,0.000082,0.000088, 32,0.001168,0.000289,  30.103,     0.9
    57.0,-0.000042,0.000019, 32,0.001410,0.000212,  30.103,     0.9
    57.2,-0.000105,-0.000031, 32,0.001681,0.000162,  30.103,     1.0
    57.4,-0.000138,-0.000067, 32,0.001703,0.000036,  30.100,     1.0
    57.6,-0.000157,-0.000100, 32,0.001616,-0.000021,  30.097,     1.0
    57.8,-0.000184,-0.000120, 32,0.001420,-0.000063,  30.101,     1.0
    58.0,-0.000190,-0.000128, 32,0.001256,-0.000091,  30.099,     1.0
    58.2,-0.000200,-0.000142, 32,0.001055,-0.000119,  30.098,     1.0
    58.4,-0.000203,-0.000148, 32,0.000809,-0.000168,  30.100,     1.0
    58.6,-0.000190,-0.000144, 32,0.000655,-0.000162,  30.100,     1.0
    58.8,-0.000176,-0.000144, 32,0.000530,-0.000162,  30.100,     1.0
    59.0,-0.000167,-0.000135, 32,0.000424,-0.000196,  30.096,     1.0
    59.2,-0.000150,-0.000125, 32,0.000322,-0.000162,  30.099,     1.0
    59.4,-0.000133,-0.000113, 32,0.000240,-0.000147,  30.100,     1.0
    59.6,-0.000119,-0.000099, 32,0.000170,-0.000154,  30.095,     1.0
    59.8,-0.000100,-0.000080, 32,0.000119,-0.000105,  30.100,     1.0
    60.0,-0.000081,-0.000065, 32,0.000043,-0.000091,  30.095,     1.0
    60.2,-0.000063,-0.000057, 32,-0.000022,-0.000098,  30.092,     1.0
    60.4,-0.000034,-0.000035, 32,-0.000085,-0.000049,  30.091,     1.0
    60.6,-0.000002,-0.000024, 32,-0.000174,-0.000035,  30.090,     1.0
    60.8,0.000011,-0.000012, 32,-0.000279,-0.000042,  30.095,     1.0
    61.0,0.000023,0.000002, 32,-0.000404,-0.000007,  30.093,     1.0
    61.2,0.000030,0.000014, 32,-0.000417,0.000007,  30.102,     1.0
    61.4,0.000032,0.000028, 32,-0.000382,0.000001,  30.098,     1.0
