Run Name,GRP2-10_75%
Run Date,03:52:02 PM   03-26-08
Method Name,75%B-isocratic
Export Format Version, 1.00
Method ID,  476
Points/Second, 5.00
Number of Records,   1470
Offset from Run Start Time,00:00:00
Run End Time,00:04:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,0.000014,0.000000, 75,-0.000857,-0.000008,  61.630,     0.0
     0.2,0.000072,0.000000, 75,-0.000831,0.000006,  61.627,     0.0
     0.4,0.000073,0.000000, 75,-0.000776,0.000020,  61.620,     0.0
     0.6,0.000132,0.000000, 75,-0.000703,0.000062,  61.619,     0.0
     0.8,0.000000,0.000000, 75,-0.000603,0.000062,  61.618,     0.0
     1.0,0.000000,0.000000, 75,-0.000571,0.000048,  61.621,     0.0
     1.2,0.000000,0.000000, 75,-0.000554,0.000006,  61.619,     0.0
     1.4,0.000000,0.000000, 75,-0.000640,-0.000008,  61.612,     0.0
     1.6,0.000000,0.000000, 75,-0.000640,-0.000022,  61.614,     0.0
     1.8,0.000000,0.000000, 75,-0.000640,-0.000015,  61.612,     0.0
     2.0,0.000000,0.000000, 75,-0.000640,0.000013,  61.609,     0.0
     2.2,0.000000,0.000000, 75,0.000000,0.000034,  61.605,     0.0
     2.4,0.000000,0.000000, 75,0.000000,0.000000,  61.606,     0.0
     2.6,0.000000,0.000000, 75,0.000000,0.000000,  61.601,     0.0
     2.8,0.000000,0.000000, 75,0.000000,0.000000,  61.607,     0.0
     3.0,0.000000,0.000000, 75,0.000000,0.000000,  61.601,     0.1
     3.2,0.000000,0.000000, 75,0.000000,0.000000,  61.598,     0.1
     3.4,0.000000,0.000000, 75,0.000000,0.000000,  61.598,     0.1
     3.6,-0.000002,-0.000002, 75,0.000000,0.000000,  61.605,     0.1
     3.8,0.000001,-0.000006, 75,0.000000,0.000000,  61.596,     0.1
     4.0,0.000003,-0.000002, 75,0.000000,0.000000,  61.598,     0.1
     4.2,0.000005,0.000000, 75,0.000000,0.000000,  61.603,     0.1
     4.4,0.000008,0.000000, 75,0.000000,0.000000,  61.601,     0.1
     4.6,0.000010,0.000003, 75,0.000000,0.000000,  61.603,     0.1
     4.8,0.000013,0.000003, 75,0.000000,0.000000,  61.601,     0.1
     5.0,0.000011,0.000003, 75,0.000059,0.000000,  61.600,     0.1
     5.2,0.000005,0.000007, 75,0.000084,0.000000,  61.585,     0.1
     5.4,0.000008,0.000007, 75,0.000087,0.000000,  61.587,     0.1
     5.6,0.000008,0.000010, 75,0.000054,0.000000,  61.582,     0.1
     5.8,0.000003,0.000012, 75,0.000000,0.000000,  61.585,     0.1
     6.0,0.000011,0.000017, 75,-0.000087,0.000000,  61.584,     0.1
     6.2,-0.000003,0.000027, 75,-0.000145,0.000014,  61.582,     0.1
     6.4,-0.000033,0.000033, 75,-0.000209,0.000014,  61.580,     0.1
     6.6,-0.000069,0.000037, 75,-0.000270,0.000014,  61.584,     0.1
     6.8,-0.000083,0.000023, 75,-0.000150,0.000028,  61.583,     0.1
     7.0,-0.000092,-0.000008, 75,0.000052,0.000042,  61.586,     0.1
     7.2,-0.000092,-0.000057, 75,0.000345,0.000042,  61.581,     0.1
     7.4,-0.000092,-0.000069, 75,0.000446,0.000028,  61.582,     0.1
     7.6,-0.000092,-0.000069, 75,0.000497,0.000014,  61.579,     0.1
     7.8,-0.000085,-0.000056, 75,0.000492,0.000000,  61.578,     0.1
     8.0,-0.000068,-0.000056, 75,0.000495,-0.000028,  61.581,     0.1
     8.2,-0.000061,-0.000057, 75,0.000469,-0.000042,  61.585,     0.1
     8.4,-0.000057,-0.000047, 75,0.000415,-0.000042,  61.583,     0.1
     8.6,-0.000046,-0.000046, 75,0.000356,-0.000056,  61.581,     0.1
     8.8,-0.000039,-0.000044, 75,0.000281,-0.000056,  61.580,     0.1
     9.0,-0.000034,-0.000042, 75,0.000182,-0.000091,  61.582,     0.2
     9.2,-0.000027,-0.000040, 75,0.000103,-0.000119,  61.582,     0.2
     9.4,-0.000024,-0.000041, 75,0.000040,-0.000119,  61.589,     0.2
     9.6,-0.000022,-0.000035, 75,-0.000028,-0.000126,  61.589,     0.2
     9.8,-0.000022,-0.000036, 75,-0.000070,-0.000091,  61.591,     0.2
    10.0,-0.000019,-0.000035, 75,-0.000084,-0.000077,  61.597,     0.2
    10.2,-0.000020,-0.000030, 75,-0.000093,-0.000098,  61.599,     0.2
    10.4,-0.000015,-0.000028, 75,-0.000086,-0.000049,  61.593,     0.2
    10.6,-0.000011,-0.000031, 75,-0.000070,-0.000035,  61.586,     0.2
    10.8,-0.000014,-0.000025, 75,-0.000044,-0.000070,  61.577,     0.2
