Run Name,DoomDJ26
Run Date,03:38:50 PM   03-17-08
Method Name,26%B-Isocratic
Export Format Version, 1.00
Method ID,  380
Points/Second, 5.00
Number of Records,   3383
Offset from Run Start Time,00:00:00
Run End Time,00:11:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000260,0.000000,0.002619,0.000121,  27.583
     0.2,0.000314,0.000000,0.002684,0.000100,  27.581
     0.4,0.000316,0.000000,0.002727,0.000107,  27.585
     0.6,0.000293,0.000000,0.002756,0.000113,  27.584
     0.8,0.000000,0.000000,0.002787,0.000113,  27.579
     1.0,0.000000,0.000000,0.002814,0.000099,  27.574
     1.2,0.000000,0.000000,0.002829,0.000000,  27.579
     1.4,0.000000,0.000000,0.002905,0.000000,  27.574
     1.6,0.000000,0.000000,0.003010,0.000000,  27.578
     1.8,0.000000,0.000000,0.002801,0.000000,  27.579
     2.0,0.000000,0.000000,0.002801,0.000000,  27.576
     2.2,0.000000,0.000000,0.002801,0.000000,  27.572
     2.4,0.000000,0.000000,0.002801,0.000000,  27.579
     2.6,0.000000,0.000000,0.000000,0.000000,  27.579
     2.8,0.000000,0.000000,0.000000,0.000000,  27.580
     3.0,0.000000,0.000000,0.000000,0.000000,  27.575
     3.2,0.000000,0.000000,0.000000,0.000000,  27.574
     3.4,0.000000,0.000000,0.000000,0.000000,  27.577
     3.6,0.000000,0.000000,0.000000,0.000000,  27.575
     3.8,0.000000,0.000000,0.000000,0.000000,  27.574
     4.0,0.000000,0.000000,0.000000,0.000000,  27.576
     4.2,0.000000,0.000000,0.000000,0.000000,  27.573
     4.4,0.000010,0.000000,0.000000,0.000000,  27.577
     4.6,0.000018,0.000008,0.000000,0.000000,  27.574
     4.8,0.000023,0.000009,0.000000,0.000000,  27.569
     5.0,0.000020,0.000010,0.000000,0.000000,  27.574
     5.2,0.000015,0.000012,0.000000,0.000000,  27.572
     5.4,0.000017,0.000012,0.000000,0.000000,  27.572
     5.6,0.000012,0.000014,0.000000,-0.000028,  27.570
     5.8,0.000012,0.000013,0.000000,-0.000063,  27.569
     6.0,0.000015,0.000010,0.000000,-0.000049,  27.566
     6.2,0.000014,0.000014,0.000000,-0.000028,  27.570
     6.4,0.000014,0.000014,-0.000054,-0.000049,  27.568
     6.6,0.000020,0.000015,-0.000038,-0.000049,  27.566
     6.8,0.000017,0.000014,-0.000033,-0.000049,  27.565
     7.0,0.000022,0.000014,-0.000029,-0.000070,  27.562
     7.2,0.000025,0.000018,-0.000029,-0.000035,  27.558
     7.4,0.000025,0.000020,-0.000030,-0.000035,  27.560
     7.6,0.000025,0.000017,-0.000034,-0.000070,  27.557
     7.8,0.000031,0.000020,-0.000060,-0.000035,  27.556
     8.0,0.000025,0.000017,-0.000100,-0.000035,  27.553
     8.2,0.000025,0.000016,-0.000144,-0.000056,  27.555
     8.4,0.000025,0.000018,-0.000170,-0.000021,  27.557
     8.6,0.000020,0.000020,-0.000201,-0.000021,  27.553
     8.8,0.000028,0.000020,-0.000229,-0.000042,  27.546
     9.0,0.000028,0.000021,-0.000238,-0.000007,  27.548
     9.2,0.000020,0.000020,-0.000234,-0.000021,  27.541
     9.4,0.000025,0.000024,-0.000222,-0.000056,  27.546
     9.6,0.000023,0.000022,-0.000195,-0.000007,  27.542
     9.8,0.000023,0.000020,-0.000151,-0.000007,  27.542
    10.0,0.000025,0.000018,-0.000093,-0.000056,  27.541
    10.2,0.000028,0.000017,-0.000080,-0.000021,  27.541
    10.4,0.000028,0.000017,-0.000076,-0.000035,  27.543
    10.6,0.000024,0.000017,-0.000085,-0.000070,  27.543
    10.8,0.000030,0.000019,-0.000098,-0.000070,  27.543
    11.0,0.000032,0.000020,-0.000113,-0.000056,  27.540
    11.2,0.000029,0.000020,-0.000135,-0.000077,  27.539
    11.4,0.000035,0.000020,-0.000131,-0.000062,  27.538
    11.6,0.000035,0.000020,-0.000105,-0.000042,  27.540
    11.8,0.000029,0.000022,-0.000074,-0.000077,  27.537
    12.0,0.000035,0.000023,-0.000065,-0.000062,  27.532
    12.2,0.000032,0.000018,-0.000070,-0.000042,  27.531
    12.4,0.000027,0.000020,-0.000079,-0.000077,  27.533
    12.6,0.000035,0.000020,-0.000080,-0.000028,  27.529
    12.8,0.000032,0.000020,-0.000097,-0.000007,  27.530
    13.0,0.000027,0.000018,-0.000116,-0.000042,  27.525
    13.2,0.000032,0.000020,-0.000130,0.000007,  27.528
    13.4,0.000028,0.000020,-0.000147,-0.000007,  27.531
    13.6,0.000022,0.000020,-0.000174,-0.000042,  27.527
    13.8,0.000028,0.000022,-0.000186,0.000007,  27.527
    14.0,0.000025,0.000017,-0.000186,-0.000007,  27.527
    14.2,0.000020,0.000019,-0.000182,-0.000007,  27.527
    14.4,0.000025,0.000022,-0.000146,0.000007,  27.524
    14.6,0.000025,0.000018,-0.000085,-0.000042,  27.522
    14.8,0.000020,0.000018,0.000003,-0.000007,  27.523
    15.0,0.000025,0.000020,0.000021,0.000007,  27.521
    15.2,0.000025,0.000016,0.000017,-0.000042,  27.523
    15.4,0.000017,0.000016,-0.000014,-0.000007,  27.525
    15.6,0.000023,0.000016,-0.000001,-0.000042,  27.518
    15.8,0.000023,0.000016,0.000021,-0.000007,  27.523
    16.0,0.000015,0.000018,0.000056,-0.000021,  27.522
    16.2,0.000018,0.000018,0.000096,-0.000056,  27.523
    16.4,0.000016,0.000018,0.000075,-0.000021,  27.519
    16.6,0.000008,0.000018,0.000043,-0.000021,  27.518
    16.8,0.000008,0.000016,-0.000015,-0.000056,  27.520
    17.0,0.000001,0.000014,-0.000045,-0.000021,  27.517
    17.2,-0.000006,0.000009,-0.000076,-0.000021,  27.514
    17.4,-0.000009,0.000002,-0.000098,-0.000070,  27.518
    17.6,-0.000011,-0.000001,-0.000125,-0.000035,  27.513
    17.8,-0.000009,-0.000006,-0.000152,-0.000035,  27.517
    18.0,-0.000011,-0.000008,-0.000183,-0.000084,  27.519
    18.2,-0.000003,-0.000005,-0.000148,-0.000063,  27.514
    18.4,-0.000000,-0.000001,-0.000091,-0.000063,  27.514
    18.6,-0.000003,-0.000003,-0.000007,-0.000084,  27.515
    18.8,0.000004,-0.000001,0.000023,-0.000049,  27.513
    19.0,0.000007,0.000003,0.000027,-0.000035,  27.514
    19.2,0.000001,-0.000000,0.000017,-0.000056,  27.516
    19.4,0.000004,-0.000004,0.000028,-0.000021,  27.513
    19.6,0.000007,-0.000009,0.000046,-0.000021,  27.508
    19.8,0.000001,-0.000006,0.000068,-0.000042,  27.509
    20.0,0.000004,-0.000003,0.000061,-0.000007,  27.513
    20.2,0.000004,-0.000007,0.000048,-0.000021,  27.508
    20.4,0.000007,-0.000003,0.000030,-0.000056,  27.513
    20.6,0.000001,-0.000002,0.000035,-0.000021,  27.510
    20.8,-0.000001,-0.000006,0.000054,-0.000021,  27.511
    21.0,-0.000004,-0.000006,0.000089,-0.000070,  27.506
    21.2,-0.000001,-0.000009,0.000094,-0.000035,  27.504
    21.4,-0.000003,-0.000011,0.000095,-0.000014,  27.505
    21.6,-0.000006,-0.000011,0.000091,-0.000049,  27.500
    21.8,-0.000003,-0.000010,0.000056,-0.000049,  27.504
    22.0,-0.000006,-0.000014,0.000011,0.000000,  27.501
    22.2,-0.000009,-0.000008,-0.000060,-0.000035,  27.499
    22.4,-0.000003,-0.000006,-0.000095,-0.000035,  27.501
    22.6,-0.000006,-0.000008,-0.000126,0.000000,  27.503
    22.8,-0.000009,-0.000006,-0.000152,-0.000035,  27.501
    23.0,-0.000003,-0.000005,-0.000178,-0.000035,  27.497
    23.2,-0.000006,-0.000005,-0.000195,0.000000,  27.492
    23.4,-0.000011,-0.000006,-0.000216,-0.000035,  27.495
    23.6,-0.000006,-0.000007,-0.000189,-0.000035,  27.497
    23.8,-0.000011,-0.000006,-0.000145,-0.000035,  27.499
    24.0,-0.000014,-0.000005,-0.000078,-0.000035,  27.498
    24.2,-0.000006,-0.000008,-0.000087,-0.000021,  27.499
    24.4,-0.000006,-0.000012,-0.000127,-0.000070,  27.497
    24.6,-0.000003,-0.000012,-0.000193,-0.000035,  27.491
    24.8,-0.000003,-0.000014,-0.000224,-0.000035,  27.499
    25.0,-0.000000,-0.000018,-0.000262,-0.000070,  27.497
    25.2,0.000002,-0.000013,-0.000285,-0.000035,  27.491
    25.4,-0.000003,-0.000010,-0.000294,-0.000056,  27.494
    25.6,-0.000000,-0.000006,-0.000289,-0.000021,  27.492
    25.8,0.000002,-0.000013,-0.000280,-0.000021,  27.498
    26.0,-0.000006,-0.000011,-0.000253,-0.000042,  27.495
    26.2,-0.000003,-0.000014,-0.000244,-0.000007,  27.497
    26.4,-0.000000,-0.000012,-0.000231,-0.000021,  27.498
    26.6,-0.000008,-0.000010,-0.000218,-0.000056,  27.498
    26.8,-0.000003,-0.000007,-0.000240,-0.000021,  27.496
    27.0,-0.000000,-0.000009,-0.000284,-0.000021,  27.495
    27.2,-0.000006,-0.000009,-0.000341,-0.000056,  27.495
    27.4,-0.000000,-0.000011,-0.000315,-0.000021,  27.498
    27.6,0.000002,-0.000013,-0.000253,-0.000021,  27.495
    27.8,-0.000003,-0.000015,-0.000156,-0.000056,  27.500
    28.0,-0.000000,-0.000012,-0.000143,-0.000021,  27.497
    28.2,0.000002,-0.000015,-0.000152,-0.000021,  27.492
    28.4,-0.000006,-0.000015,-0.000188,-0.000056,  27.496
    28.6,-0.000003,-0.000011,-0.000196,-0.000021,  27.493
    28.8,-0.000000,-0.000013,-0.000200,-0.000021,  27.494
    29.0,-0.000006,-0.000013,-0.000200,-0.000056,  27.496
    29.2,0.000002,-0.000011,-0.000214,-0.000021,  27.495
    29.4,0.000002,-0.000014,-0.000240,-0.000021,  27.497
    29.6,0.000004,-0.000012,-0.000266,-0.000056,  27.495
    29.8,-0.000003,-0.000006,-0.000244,-0.000021,  27.493
    30.0,0.000002,-0.000010,-0.000208,-0.000021,  27.494
    30.2,-0.000001,-0.000013,-0.000151,-0.000056,  27.494
    30.4,-0.000003,-0.000013,-0.000146,-0.000021,  27.494
    30.6,0.000002,-0.000013,-0.000159,-0.000021,  27.496
    30.8,0.000004,-0.000012,-0.000187,-0.000056,  27.492
    31.0,-0.000003,-0.000010,-0.000213,-0.000021,  27.496
    31.2,-0.000000,-0.000010,-0.000244,-0.000021,  27.496
    31.4,0.000002,-0.000009,-0.000284,-0.000056,  27.497
    31.6,-0.000003,-0.000009,-0.000305,-0.000021,  27.495
    31.8,-0.000000,-0.000009,-0.000302,-0.000021,  27.495
    32.0,-0.000006,-0.000009,-0.000302,-0.000056,  27.496
    32.2,-0.000008,-0.000011,-0.000279,-0.000021,  27.497
    32.4,-0.000013,-0.000009,-0.000230,-0.000021,  27.499
    32.6,-0.000018,-0.000012,-0.000169,-0.000056,  27.502
    32.8,-0.000013,-0.000011,-0.000186,-0.000021,  27.504
    33.0,-0.000015,-0.000013,-0.000230,-0.000021,  27.506
    33.2,-0.000025,-0.000013,-0.000306,-0.000056,  27.501
    33.4,-0.000022,-0.000014,-0.000323,-0.000021,  27.504
    33.6,-0.000032,-0.000018,-0.000328,-0.000021,  27.498
    33.8,-0.000037,-0.000019,-0.000324,-0.000035,  27.503
    34.0,-0.000030,-0.000029,-0.000350,-0.000035,  27.504
    34.2,-0.000027,-0.000029,-0.000386,-0.000084,  27.504
    34.4,-0.000030,-0.000029,-0.000427,-0.000049,  27.503
    34.6,-0.000022,-0.000025,-0.000397,-0.000049,  27.502
    34.8,-0.000022,-0.000029,-0.000339,-0.000098,  27.504
    35.0,-0.000023,-0.000026,-0.000244,-0.000049,  27.501
    35.2,-0.000018,-0.000025,-0.000227,-0.000070,  27.499
    35.4,-0.000018,-0.000023,-0.000231,-0.000035,  27.506
    35.6,-0.000021,-0.000023,-0.000253,-0.000049,  27.502
