Run Name,DoomDJ
Run Date,02:06:20 PM   03-17-08
Method Name,50%B-Isocratic
Export Format Version, 1.00
Method ID,  427
Points/Second, 5.00
Number of Records,   1800
Offset from Run Start Time,00:00:00
Run End Time,00:06:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001627,0.001009,-0.011920,0.002531,  48.494
     0.2,0.001731,0.001008,-0.011887,0.002545,  48.492
     0.4,0.001755,0.001012,-0.011879,0.002545,  48.493
     0.6,0.001762,0.001013,-0.011887,0.002517,  48.490
     0.8,0.000000,0.001015,-0.011867,0.002503,  48.496
     1.0,0.000000,0.001013,-0.011850,0.002503,  48.500
     1.2,0.000000,0.000860,-0.011818,0.002503,  48.493
     1.4,0.000000,0.000860,-0.011790,0.002489,  48.493
     1.6,0.000000,0.000863,-0.011766,0.002489,  48.491
     1.8,0.000000,0.000863,-0.011741,0.002503,  48.488
     2.0,0.000000,0.000863,-0.011733,0.002503,  48.484
     2.2,0.000000,0.000000,-0.011730,0.002503,  48.482
     2.4,0.000000,0.000000,-0.012062,0.002489,  48.482
     2.6,0.000000,0.000000,-0.012062,0.002489,  48.479
     2.8,0.000000,0.000000,-0.012062,0.002510,  48.477
     3.0,0.000000,0.000000,-0.012062,0.002502,  48.472
     3.2,0.000000,0.000000,0.000000,0.002250,  48.472
     3.4,0.000000,0.000000,0.000000,0.000000,  48.466
     3.6,0.000000,0.000000,0.000000,0.000000,  48.471
     3.8,0.000000,0.000000,0.000000,0.000000,  48.466
     4.0,0.000000,0.000000,0.000000,0.000000,  48.460
     4.2,0.000000,0.000000,0.000000,0.000000,  48.462
     4.4,-0.000005,0.000000,0.000000,0.000000,  48.453
     4.6,-0.000009,0.000000,0.000000,0.000000,  48.437
     4.8,-0.000011,0.000000,0.000000,0.000000,  48.428
     5.0,-0.000026,0.000000,0.000000,0.000000,  48.424
     5.2,-0.000035,0.000000,0.000000,0.000000,  48.430
