Run Name,35%B-David
Run Date,09:54:10 AM   03-12-08
Method Name,35%B-Isocratic
Export Format Version, 1.00
Method ID,  340
Points/Second, 5.00
Number of Records,   3600
Offset from Run Start Time,00:00:00
Run End Time,00:12:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,0.019166,0.000000, 35,0.042534,-0.400166,  35.823,     0.0
     0.2,0.019171,0.000000, 35,0.042509,-0.400187,  35.822,     0.0
     0.4,0.019168,0.000000, 35,0.042501,-0.400166,  35.819,     0.0
     0.6,0.019181,0.000000, 35,0.042514,-0.400166,  35.822,     0.0
     0.8,0.000000,0.000000, 35,0.042514,-0.400194,  35.822,     0.0
     1.0,0.000000,0.000000, 35,0.042510,-0.400180,  35.825,     0.0
     1.2,0.000000,0.000000, 35,0.042822,0.000000,  35.822,     0.0
     1.4,0.000000,0.000000, 35,0.042822,0.000000,  35.822,     0.0
     1.6,0.000000,0.000000, 35,0.042822,0.000000,  35.823,     0.0
     1.8,0.000000,0.000000, 35,0.042822,0.000000,  35.820,     0.0
     2.0,0.000000,0.000000, 35,0.000000,0.000000,  35.821,     0.0
     2.2,0.000000,0.000000, 35,0.000000,0.000000,  35.819,     0.0
     2.4,0.000000,0.000000, 35,0.000000,0.000000,  35.823,     0.0
     2.6,0.000000,0.000000, 35,0.000000,0.000000,  35.819,     0.0
     2.8,0.000000,0.000000, 35,0.000000,0.000000,  35.815,     0.0
     3.0,0.000000,0.000000, 35,0.000000,0.000000,  35.814,     0.1
     3.2,0.000000,0.000000, 35,0.000000,0.000000,  35.810,     0.1
     3.4,0.000000,0.000000, 35,0.000000,0.000000,  35.813,     0.1
     3.6,0.000000,0.000000, 35,0.000000,0.000000,  35.814,     0.1
     3.8,0.000000,0.000000, 35,0.000000,0.000000,  35.807,     0.1
     4.0,0.000000,0.000000, 35,0.000000,0.000000,  35.804,     0.1
     4.2,0.000000,0.000000, 35,0.000000,0.000000,  35.802,     0.1
     4.4,0.000000,0.000000, 35,0.000000,0.000000,  35.799,     0.1
     4.6,0.000000,0.000016, 35,0.000000,0.000000,  35.795,     0.1
     4.8,0.000005,0.000014, 35,0.000000,0.000000,  35.793,     0.1
     5.0,0.000002,0.000013, 35,0.000000,0.000000,  35.791,     0.1
     5.2,0.000002,0.000014, 35,0.000000,0.000000,  35.783,     0.1
     5.4,0.000002,0.000015, 35,0.000000,0.000000,  35.781,     0.1
     5.6,0.000004,0.000017, 35,0.000000,0.000000,  35.780,     0.1
     5.8,0.000004,0.000019, 35,0.000000,0.000000,  35.781,     0.1
     6.0,0.000006,0.000021, 35,0.000001,0.000000,  35.779,     0.1
     6.2,0.000009,0.000022, 35,0.000005,0.000035,  35.777,     0.1
     6.4,0.000009,0.000022, 35,0.000005,0.000014,  35.774,     0.1
     6.6,0.000014,0.000026, 35,0.000009,0.000014,  35.775,     0.1
     6.8,0.000013,0.000025, 35,0.000005,0.000049,  35.778,     0.1
     7.0,0.000016,0.000029, 35,0.000009,0.000028,  35.775,     0.1
     7.2,0.000021,0.000030, 35,-0.000008,0.000028,  35.779,     0.1
     7.4,0.000018,0.000032, 35,-0.000045,0.000028,  35.776,     0.1
     7.6,0.000023,0.000035, 35,-0.000083,0.000007,  35.779,     0.1
     7.8,0.000026,0.000035, 35,-0.000129,0.000042,  35.782,     0.1
     8.0,0.000023,0.000038, 35,-0.000192,0.000042,  35.778,     0.1
     8.2,0.000025,0.000040, 35,-0.000255,0.000021,  35.775,     0.1
     8.4,0.000025,0.000045, 35,-0.000276,0.000056,  35.780,     0.1
     8.6,0.000028,0.000045, 35,-0.000292,0.000056,  35.780,     0.1
     8.8,0.000028,0.000044, 35,-0.000280,0.000035,  35.778,     0.1
     9.0,0.000031,0.000044, 35,-0.000259,0.000035,  35.781,     0.2
     9.2,0.000023,0.000046, 35,-0.000222,0.000035,  35.779,     0.2
     9.4,0.000018,0.000044, 35,-0.000172,0.000014,  35.781,     0.2
     9.6,0.000014,0.000045, 35,-0.000168,0.000014,  35.781,     0.2
     9.8,0.000014,0.000047, 35,-0.000172,0.000035,  35.781,     0.2
    10.0,0.000019,0.000040, 35,-0.000198,0.000014,  35.788,     0.2
    10.2,0.000021,0.000042, 35,-0.000197,0.000014,  35.789,     0.2
    10.4,0.000026,0.000047, 35,-0.000181,0.000049,  35.783,     0.2
    10.6,0.000031,0.000048, 35,-0.000168,0.000014,  35.779,     0.2
    10.8,0.000035,0.000059, 35,-0.000260,0.000014,  35.784,     0.2
    11.0,0.000040,0.000064, 35,-0.000402,0.000035,  35.785,     0.2
