Run Name,group6_23
Run Date,12:40:45 PM   04-09-08
Method Name,23%B-Isocratic
Export Format Version, 1.00
Method ID,  391
Points/Second, 5.00
Number of Records,   4890
Offset from Run Start Time,00:00:00
Run End Time,00:16:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,-0.000080,-0.000029, 23,-0.001573,-0.000056,  26.343,     0.0
     0.2,-0.000080,-0.000029, 23,-0.001488,-0.000042,  26.344,     0.0
     0.4,-0.000078,-0.000032, 23,-0.001411,-0.000077,  26.345,     0.0
     0.6,-0.000075,-0.000032, 23,-0.001334,-0.000091,  26.344,     0.0
     0.8,-0.000078,-0.000030, 23,-0.001293,-0.000091,  26.344,     0.0
     1.0,-0.000073,-0.000030, 23,-0.001264,-0.000091,  26.342,     0.0
     1.2,-0.000070,-0.000025, 23,-0.001259,-0.000126,  26.341,     0.0
     1.4,-0.000070,-0.000019, 23,-0.001225,-0.000091,  26.340,     0.0
     1.6,-0.000067,-0.000016, 23,-0.001185,-0.000112,  26.339,     0.0
     1.8,-0.000065,-0.000011, 23,-0.001141,-0.000112,  26.338,     0.0
     2.0,-0.000068,-0.000009, 23,-0.001097,-0.000077,  26.340,     0.0
     2.2,-0.000061,-0.000006, 23,-0.001036,-0.000063,  26.338,     0.0
     2.4,0.000263,-0.000010, 23,-0.000962,-0.000077,  26.342,     0.0
     2.6,0.000282,-0.000011, 23,-0.000885,-0.000077,  26.340,     0.0
     2.8,0.000249,-0.000006, 23,-0.000901,-0.000063,  26.342,     0.0
     3.0,0.000221,-0.000007, 23,-0.000952,-0.000077,  26.337,     0.1
     3.2,0.000000,-0.000008, 23,-0.001051,-0.000077,  26.338,     0.1
     3.4,0.000000,-0.000008, 23,-0.001032,-0.000063,  26.336,     0.1
     3.6,0.000000,0.000000, 23,-0.000983,-0.000077,  26.333,     0.1
     3.8,0.000000,0.000000, 23,-0.000956,-0.000091,  26.330,     0.1
     4.0,0.000000,0.000000, 23,-0.000956,-0.000091,  26.331,     0.1
     4.2,0.000000,0.000000, 23,-0.000956,-0.000070,  26.330,     0.1
     4.4,0.000000,0.000000, 23,-0.000956,-0.000063,  26.331,     0.1
     4.6,0.000000,0.000000, 23,0.000000,-0.008302,  26.329,     0.1
     4.8,0.000000,0.000000, 23,0.000000,0.000000,  26.325,     0.1
     5.0,0.000000,0.000000, 23,0.000000,0.000000,  26.320,     0.1
     5.2,0.000000,0.000000, 23,0.000000,0.000000,  26.326,     0.1
     5.4,0.000000,0.000000, 23,0.000000,0.000000,  26.327,     0.1
     5.6,0.000000,0.000000, 23,0.000000,0.000000,  26.322,     0.1
     5.8,0.000000,0.000000, 23,0.000000,0.000000,  26.324,     0.1
     6.0,0.000000,0.000000, 23,0.000000,0.000000,  26.323,     0.1
