Run Name,Group6_29
Run Date,11:30:04 AM   04-09-08
Method Name,29%B-Isocratic
Export Format Version, 1.00
Method ID,  362
Points/Second, 5.00
Number of Records,   6180
Offset from Run Start Time,00:00:00
Run End Time,00:20:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,0.000325,0.000261, 29,-0.001185,0.000168,  30.512,     0.0
     0.2,0.000358,0.000257, 29,-0.001134,0.000147,  30.509,     0.0
     0.4,0.000571,0.000256, 29,-0.001089,0.000168,  30.508,     0.0
     0.6,0.000567,0.000258, 29,-0.001055,0.000168,  30.505,     0.0
     0.8,0.000000,0.000260, 29,-0.001015,0.000147,  30.496,     0.0
     1.0,0.000000,0.000261, 29,-0.000980,0.000168,  30.498,     0.0
     1.2,0.000000,0.000345, 29,-0.000916,0.000168,  30.498,     0.0
     1.4,0.000000,0.000345, 29,-0.000916,0.000147,  30.495,     0.0
     1.6,0.000000,0.000374, 29,-0.000916,0.000203,  30.493,     0.0
     1.8,0.000000,0.000435, 29,-0.000916,0.000238,  30.492,     0.0
     2.0,0.000000,0.000435, 29,-0.000916,-0.006000,  30.489,     0.0
     2.2,0.000000,0.000000, 29,0.000000,-0.016693,  30.490,     0.0
     2.4,0.000000,0.000000, 29,0.000000,0.000000,  30.489,     0.0
     2.6,0.000000,0.000000, 29,0.000000,0.000000,  30.488,     0.0
     2.8,0.000000,0.000000, 29,0.000000,0.000000,  30.486,     0.0
     3.0,0.000000,0.000000, 29,0.000000,0.000000,  30.483,     0.1
     3.2,0.000000,0.000000, 29,0.000000,0.000000,  30.478,     0.1
     3.4,0.000000,0.000000, 29,0.000000,0.000000,  30.481,     0.1
