Run Name,group6_35
Run Date,10:33:22 AM   04-09-08
Method Name,35%B-Isocratic
Export Format Version, 1.00
Method ID,  352
Points/Second, 5.00
Number of Records,   4007
Offset from Run Start Time,00:00:00
Run End Time,00:13:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,0.002817,0.000000, 35,-0.000125,0.000000,  34.889,     0.0
     0.2,0.002944,0.000000, 35,-0.000093,0.000000,  34.889,     0.0
     0.4,0.003093,0.000000, 35,-0.000070,0.000000,  34.887,     0.0
     0.6,0.003081,0.000000, 35,-0.000045,0.000000,  34.883,     0.0
     0.8,0.000000,0.000000, 35,-0.000063,0.000000,  34.883,     0.0
     1.0,0.000000,0.000000, 35,-0.000106,0.000000,  34.880,     0.0
     1.2,0.000000,0.000000, 35,-0.000165,0.000000,  34.884,     0.0
     1.4,0.000000,0.000000, 35,-0.000497,0.000000,  34.880,     0.0
     1.6,0.000000,0.000000, 35,-0.000971,0.000000,  34.879,     0.0
     1.8,0.000000,0.000000, 35,0.000000,0.000000,  34.883,     0.0
     2.0,0.000000,0.000000, 35,0.000000,0.000000,  34.884,     0.0
     2.2,0.000000,0.000000, 35,0.000000,0.000000,  34.891,     0.0
     2.4,0.000000,0.000000, 35,0.000000,0.000000,  34.881,     0.0
     2.6,0.000000,0.000000, 35,0.000000,0.000000,  34.878,     0.0
     2.8,0.000000,0.000000, 35,0.000000,0.000000,  34.879,     0.0
     3.0,0.000000,0.000000, 35,0.000000,0.000000,  34.876,     0.1
     3.2,0.000000,0.000000, 35,0.000000,0.000000,  34.874,     0.1
     3.4,0.000000,0.000000, 35,0.000000,0.000000,  34.876,     0.1
     3.6,0.000000,0.000000, 35,0.000000,0.000000,  34.874,     0.1
     3.8,0.000000,0.000000, 35,0.000000,0.000000,  34.872,     0.1
     4.0,0.000000,0.000000, 35,0.000000,0.000000,  34.873,     0.1
     4.2,0.000000,0.000000, 35,0.000000,0.000000,  34.873,     0.1
     4.4,0.000002,0.000000, 35,0.000000,-0.000021,  34.874,     0.1
     4.6,0.000002,0.000008, 35,0.000000,-0.000021,  34.871,     0.1
     4.8,0.000008,0.000006, 35,0.000000,-0.000007,  34.872,     0.1
     5.0,0.000002,0.000004, 35,0.000000,-0.000021,  34.867,     0.1
     5.2,0.000002,0.000004, 35,0.000000,-0.000007,  34.873,     0.1
     5.4,0.000000,0.000000, 35,0.000000,-0.000021,  34.871,     0.1
     5.6,-0.000008,0.000004, 35,0.000000,-0.000021,  34.869,     0.1
     5.8,-0.000010,-0.000002, 35,0.000000,-0.000007,  34.868,     0.1
     6.0,-0.000010,-0.000003, 35,0.000000,-0.000021,  34.874,     0.1
     6.2,-0.000017,-0.000005, 35,0.000000,-0.000021,  34.869,     0.1
     6.4,-0.000017,-0.000003, 35,-0.000128,-0.000007,  34.871,     0.1
     6.6,-0.000010,-0.000005, 35,-0.000092,-0.000021,  34.873,     0.1
     6.8,-0.000014,-0.000001, 35,-0.000078,-0.000021,  34.868,     0.1
     7.0,-0.000018,-0.000002, 35,-0.000094,-0.000021,  34.873,     0.1
     7.2,-0.000016,0.000003, 35,-0.000131,-0.000021,  34.870,     0.1
     7.4,-0.000016,0.000003, 35,-0.000201,-0.000035,  34.870,     0.1
     7.6,-0.000025,0.000002, 35,-0.000298,-0.000021,  34.873,     0.1
     7.8,-0.000020,0.000003, 35,-0.000328,-0.000021,  34.868,     0.1
     8.0,-0.000023,0.000001, 35,-0.000343,-0.000021,  34.869,     0.1
     8.2,-0.000021,0.000002, 35,-0.000337,-0.000007,  34.868,     0.1
