Run Name,jhm_26%
Run Date,03:50:58 PM   03-19-08
Method Name,26%B-Isocratic
Export Format Version, 1.00
Method ID,  387
Points/Second, 5.00
Number of Records,   3090
Offset from Run Start Time,00:00:00
Run End Time,00:10:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,-0.000004,-0.000024, 26,-0.000410,-0.000021,  27.573,     0.0
     0.2,-0.000010,-0.000021, 26,-0.000386,-0.000007,  27.568,     0.0
     0.4,-0.000010,-0.000023, 26,-0.000386,-0.000007,  27.571,     0.0
     0.6,-0.000007,-0.000021, 26,-0.000406,0.000007,  27.567,     0.0
     0.8,-0.000012,-0.000020, 26,-0.000441,0.000007,  27.564,     0.0
     1.0,-0.000015,-0.000022, 26,-0.000500,0.000007,  27.565,     0.0
     1.2,-0.000017,-0.000022, 26,-0.000583,-0.000007,  27.563,     0.0
     1.4,-0.000022,-0.000024, 26,-0.000564,-0.000007,  27.560,     0.0
     1.6,-0.000017,-0.000023, 26,-0.000502,0.000007,  27.557,     0.0
     1.8,-0.000017,-0.000018, 26,-0.000405,-0.000007,  27.559,     0.0
     2.0,-0.000022,-0.000015, 26,-0.000701,-0.000007,  27.553,     0.0
     2.2,-0.000017,-0.000016, 26,-0.001162,-0.000021,  27.552,     0.0
     2.4,0.000220,-0.000009, 26,-0.001798,-0.000014,  27.553,     0.0
     2.6,0.000290,0.000000, 26,-0.001816,-0.000049,  27.546,     0.0
     2.8,0.000297,0.000000, 26,-0.001610,-0.000035,  27.544,     0.0
     3.0,0.000297,0.000000, 26,-0.001180,0.000000,  27.544,     0.1
     3.2,0.000000,0.000000, 26,-0.001051,-0.000035,  27.544,     0.1
     3.4,0.000000,0.000000, 26,-0.000965,-0.000021,  27.543,     0.1
     3.6,0.000000,0.000000, 26,0.000000,0.000000,  27.535,     0.1
     3.8,0.000000,0.000000, 26,0.000000,-0.000035,  27.539,     0.1
     4.0,0.000000,0.000000, 26,0.000000,-0.000021,  27.532,     0.1
     4.2,0.000000,0.000000, 26,0.000000,0.000014,  27.531,     0.1
     4.4,0.000000,0.000000, 26,0.000000,-0.000021,  27.529,     0.1
     4.6,0.000000,0.000000, 26,0.000000,-0.000021,  27.530,     0.1
     4.8,0.000000,0.000000, 26,0.000000,0.000000,  27.525,     0.1
     5.0,0.000000,0.000000, 26,0.000000,0.000000,  27.528,     0.1
     5.2,0.000000,0.000000, 26,0.000000,0.000000,  27.523,     0.1
     5.4,0.000000,0.000000, 26,0.000000,0.000000,  27.516,     0.1
     5.6,0.000000,0.000000, 26,0.000000,0.000000,  27.524,     0.1
     5.8,0.000000,0.000000, 26,0.000000,0.000000,  27.521,     0.1
     6.0,0.000000,0.000000, 26,0.000000,0.000000,  27.525,     0.1
     6.2,0.000000,0.000000, 26,0.000000,0.000000,  27.524,     0.1
     6.4,0.000000,0.000000, 26,0.000000,0.000000,  27.522,     0.1
     6.6,0.000000,0.000009, 26,0.000000,0.000000,  27.521,     0.1
     6.8,-0.000003,0.000007, 26,0.000000,0.000000,  27.523,     0.1
     7.0,-0.000001,0.000009, 26,0.000000,0.000000,  27.524,     0.1
     7.2,0.000002,0.000007, 26,0.000000,0.000000,  27.520,     0.1
     7.4,-0.000003,0.000004, 26,0.000000,0.000000,  27.525,     0.1
     7.6,-0.000005,0.000002, 26,-0.000005,0.000000,  27.523,     0.1
     7.8,-0.000007,0.000000, 26,0.000068,0.000000,  27.520,     0.1
     8.0,-0.000013,-0.000002, 26,0.000058,0.000000,  27.520,     0.1
     8.2,-0.000013,-0.000010, 26,-0.000044,0.000000,  27.513,     0.1
     8.4,-0.000017,-0.000008, 26,-0.000227,0.000000,  27.518,     0.1
     8.6,-0.000023,-0.000007, 26,-0.000496,0.000000,  27.525,     0.1
     8.8,-0.000017,-0.000009, 26,-0.000847,-0.000014,  27.522,     0.1
     9.0,-0.000020,-0.000009, 26,-0.000838,-0.000042,  27.515,     0.2
     9.2,-0.000028,-0.000011, 26,-0.000703,0.000013,  27.515,     0.2
     9.4,-0.000022,-0.000013, 26,-0.000429,0.000027,  27.511,     0.2
     9.6,-0.000017,-0.000014, 26,-0.000342,0.000042,  27.516,     0.2
     9.8,-0.000022,-0.000013, 26,-0.000275,0.000021,  27.515,     0.2
    10.0,-0.000022,-0.000014, 26,-0.000246,0.000000,  27.509,     0.2
