Run Name,jhm_LinGrad
Run Date,01:08:13 PM   03-28-08
Method Name,Linear grad.2
Export Format Version, 1.00
Method ID,  470
Points/Second, 5.00
Number of Records,   5701
Offset from Run Start Time,00:00:00
Run End Time,00:19:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,Volume
     0.0,0.007233,-0.361259, 14,0.097287,-0.409484,  17.099,     0.0
     0.2,0.007229,-0.361258, 14,0.097339,-0.409519,  17.097,     0.0
     0.4,0.007240,-0.361255, 14,0.097373,-0.409471,  17.094,     0.0
     0.6,0.007237,-0.361255, 14,0.097398,-0.409484,  17.098,     0.0
     0.8,0.007234,-0.361255, 14,0.097399,-0.409505,  17.095,     0.0
     1.0,0.007242,-0.361254, 14,0.097384,-0.409471,  17.095,     0.0
     1.2,0.007244,-0.361249, 14,0.097351,-0.409471,  17.096,     0.0
     1.4,0.007249,-0.361247, 14,0.097352,-0.409471,  17.090,     0.0
     1.6,0.007251,-0.361246, 14,0.097366,-0.409457,  17.096,     0.0
     1.8,0.007261,-0.361237, 14,0.097389,-0.409505,  17.098,     0.0
     2.0,0.007266,-0.361237, 14,0.097408,-0.409457,  17.095,     0.0
     2.2,0.007266,-0.361237, 14,0.097424,-0.409492,  17.097,     0.0
     2.4,0.007271,-0.361231, 14,0.097443,-0.409478,  17.098,     0.0
     2.6,0.007274,-0.361228, 14,0.097468,-0.409444,  17.095,     0.0
     2.8,0.007276,-0.361228, 14,0.097460,-0.409465,  17.095,     0.0
     3.0,0.007281,-0.361223, 14,0.097441,-0.409444,  17.096,     0.1
     3.2,0.007283,-0.361220, 14,0.097421,-0.409444,  17.091,     0.1
     3.4,0.007288,-0.361216, 14,0.097427,-0.409465,  17.090,     0.1
     3.6,0.007726,0.000000, 14,0.097447,-0.409431,  17.092,     0.1
     3.8,0.007752,0.000000, 14,0.097475,-0.409431,  17.091,     0.1
     4.0,0.007726,0.000000, 14,0.097443,-0.409438,  17.089,     0.1
     4.2,0.007736,0.000000, 14,0.097395,-0.409404,  17.090,     0.1
     4.4,0.000000,0.000000, 14,0.097318,-0.409404,  17.092,     0.1
     4.6,0.000000,0.000000, 14,0.097360,-0.409425,  17.091,     0.1
     4.8,0.000000,0.000000, 14,0.097442,-0.409411,  17.086,     0.1
     5.0,0.000000,0.000000, 14,0.097576,-0.409425,  17.087,     0.1
     5.2,0.000000,0.000000, 14,0.097576,-0.409446,  17.091,     0.1
     5.4,0.000000,0.000000, 14,0.097576,-0.409419,  17.089,     0.1
     5.6,0.000000,0.000000, 14,0.097576,-0.409406,  17.090,     0.1
     5.8,0.000000,0.000000, 14,0.000000,-0.409371,  17.087,     0.1
     6.0,0.000000,0.000000, 14,0.000000,0.000000,  17.085,     0.1
     6.2,0.000000,0.000000, 14,0.000000,0.000000,  17.087,     0.1
     6.4,0.000000,0.000000, 14,0.000000,0.000000,  17.085,     0.1
     6.6,0.000000,0.000000, 14,0.000000,0.000000,  17.088,     0.1
     6.8,0.000000,0.000000, 14,0.000000,0.000000,  17.085,     0.1
     7.0,0.000000,0.000000, 14,0.000000,0.000000,  17.086,     0.1
     7.2,0.000000,0.000000, 14,0.000000,0.000000,  17.086,     0.1
     7.4,0.000000,0.000000, 14,0.000000,0.000000,  17.088,     0.1
     7.6,0.000000,0.000000, 14,0.000000,0.000000,  17.086,     0.1
     7.8,0.000000,0.000000, 14,0.000000,0.000000,  17.086,     0.1
     8.0,0.000000,0.000000, 14,0.000000,0.000000,  17.081,     0.1
     8.2,0.000000,-0.000008, 14,0.000000,0.000000,  17.086,     0.1
     8.4,0.000019,-0.000012, 14,0.000000,0.000000,  17.082,     0.1
     8.6,0.000021,-0.000013, 14,0.000000,0.000000,  17.083,     0.1
     8.8,0.000019,-0.000009, 14,0.000000,0.000000,  17.083,     0.1
     9.0,0.000016,-0.000008, 14,0.000000,0.000000,  17.084,     0.2
     9.2,0.000014,-0.000002, 14,0.000000,0.000000,  17.082,     0.2
     9.4,0.000014,0.000003, 14,0.000000,0.000000,  17.084,     0.2
     9.6,0.000014,0.000005, 14,0.000000,0.000000,  17.081,     0.2
     9.8,0.000017,0.000006, 14,0.000046,0.000000,  17.080,     0.2
    10.0,0.000017,0.000006, 14,0.000066,0.000000,  17.080,     0.2
    10.2,0.000019,0.000008, 14,0.000063,0.000000,  17.077,     0.2
    10.4,0.000027,0.000009, 14,0.000040,0.000000,  17.082,     0.2
    10.6,0.000029,0.000012, 14,-0.000012,0.000000,  17.079,     0.2
    10.8,0.000024,0.000013, 14,-0.000089,0.000000,  17.078,     0.2
    11.0,0.000029,0.000011, 14,-0.000121,-0.000050,  17.076,     0.2
    11.2,0.000033,0.000016, 14,-0.000144,-0.000071,  17.076,     0.2
    11.4,0.000033,0.000015, 14,-0.000153,-0.000044,  17.075,     0.2
    11.6,0.000036,0.000015, 14,-0.000176,-0.000023,  17.077,     0.2
    11.8,0.000038,0.000012, 14,-0.000200,-0.000044,  17.078,     0.2
    12.0,0.000040,0.000019, 14,-0.000223,-0.000044,  17.074,     0.2
    12.2,0.000043,0.000022, 14,-0.000203,-0.000009,  17.077,     0.2
    12.4,0.000047,0.000020, 14,-0.000161,-0.000030,  17.076,     0.2
    12.6,0.000055,0.000024, 14,-0.000107,-0.000030,  17.073,     0.2
    12.8,0.000054,0.000028, 14,-0.000106,0.000004,  17.076,     0.2
    13.0,0.000056,0.000028, 14,-0.000116,-0.000030,  17.077,     0.2
    13.2,0.000062,0.000035, 14,-0.000159,-0.000030,  17.074,     0.2
    13.4,0.000064,0.000034, 14,-0.000181,0.000004,  17.075,     0.2
    13.6,0.000064,0.000040, 14,-0.000201,-0.000017,  17.077,     0.2
    13.8,0.000074,0.000046, 14,-0.000229,-0.000017,  17.078,     0.2
    14.0,0.000074,0.000051, 14,-0.000238,0.000018,  17.078,     0.2
    14.2,0.000079,0.000054, 14,-0.000237,-0.000003,  17.076,     0.2
    14.4,0.000079,0.000062, 14,-0.000228,0.000010,  17.077,     0.2
    14.6,0.000084,0.000069, 14,-0.000322,0.000010,  17.073,     0.2
    14.8,0.000080,0.000073, 14,-0.000463,-0.000024,  17.077,     0.2
    15.0,0.000084,0.000071, 14,-0.000647,0.000023,  17.075,     0.3
    15.2,0.000089,0.000071, 14,-0.000647,0.000023,  17.072,     0.3
    15.4,0.000088,0.000073, 14,-0.000575,0.000002,  17.077,     0.3
    15.6,0.000096,0.000076, 14,-0.000429,0.000037,  17.071,     0.3
    15.8,0.000106,0.000075, 14,-0.000405,0.000037,  17.070,     0.3
    16.0,0.000103,0.000081, 14,-0.000400,0.000016,  17.069,     0.3
    16.2,0.000111,0.000084, 14,-0.000425,0.000050,  17.073,     0.3
    16.4,0.000111,0.000085, 14,-0.000398,0.000050,  17.074,     0.3
    16.6,0.000108,0.000096, 14,-0.000360,0.000029,  17.072,     0.3
    16.8,0.000118,0.000101, 14,-0.000313,0.000064,  17.074,     0.3
    17.0,0.000122,0.000104, 14,-0.000246,0.000064,  17.073,     0.3
    17.2,0.000122,0.000109, 14,-0.000175,0.000043,  17.069,     0.3
    17.4,0.000132,0.000112, 14,-0.000084,0.000043,  17.068,     0.3
    17.6,0.000134,0.000113, 14,-0.000135,0.000043,  17.071,     0.3
    17.8,0.000133,0.000118, 14,-0.000265,0.000035,  17.072,     0.3
    18.0,0.000143,0.000121, 14,-0.000450,0.000035,  17.070,     0.3
    18.2,0.000143,0.000117, 14,-0.000483,0.000069,  17.073,     0.3
    18.4,0.000148,0.000120, 14,-0.000482,0.000083,  17.071,     0.3
    18.6,0.000156,0.000122, 14,-0.000423,0.000062,  17.077,     0.3
    18.8,0.000163,0.000122, 14,-0.000334,0.000083,  17.073,     0.3
    19.0,0.000168,0.000124, 14,-0.000390,0.000083,  17.071,     0.3
    19.2,0.000170,0.000129, 14,-0.000470,0.000075,  17.075,     0.3
    19.4,0.000178,0.000130, 14,-0.000587,0.000075,  17.072,     0.3
    19.6,0.000183,0.000140, 14,-0.000577,0.000110,  17.072,     0.3
    19.8,0.000177,0.000140, 14,-0.000520,0.000089,  17.075,     0.3
    20.0,0.000180,0.000143, 14,-0.000413,0.000089,  17.070,     0.3
    20.2,0.000182,0.000146, 14,-0.000370,0.000123,  17.075,     0.3
    20.4,0.000184,0.000146, 14,-0.000332,0.000102,  17.075,     0.3
    20.6,0.000184,0.000147, 14,-0.000308,0.000089,  17.076,     0.3
    20.8,0.000184,0.000146, 14,-0.000241,0.000123,  17.076,     0.3
    21.0,0.000187,0.000149, 14,-0.000155,0.000102,  17.074,     0.3
    21.2,0.000187,0.000149, 14,-0.000054,0.000102,  17.076,     0.4
    21.4,0.000189,0.000146, 14,-0.000036,0.000137,  17.077,     0.4
    21.6,0.000191,0.000154, 14,-0.000045,0.000116,  17.076,     0.4
