Run Name,25%-27%
Run Date,02:10:49 PM   04-03-09
Method Name,25%
Export Format Version, 1.00
Method ID,  762
Points/Second, 5.00
Number of Records,   4020
Offset from Run Start Time,00:00:00
Run End Time,00:13:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000175,0.000000,-0.001221,0.000091,  27.674
     0.2,0.000173,0.000000,-0.001206,0.000068,  27.674
     0.4,0.000181,0.000000,-0.001212,0.000118,  27.672
     0.6,0.000190,0.000000,-0.001242,0.000126,  27.675
     0.8,0.000000,0.000000,-0.001179,0.000113,  27.673
     1.0,0.000000,0.000000,-0.001068,0.000135,  27.673
     1.2,0.000000,0.000000,-0.001378,0.000000,  27.675
     1.4,0.000000,0.000000,-0.001378,0.000000,  27.678
     1.6,0.000000,0.000000,-0.001378,0.000000,  27.672
     1.8,0.000000,0.000000,-0.001378,0.000000,  27.674
     2.0,0.000000,0.000000,0.000000,0.000000,  27.677
     2.2,0.000000,0.000000,0.000000,0.000000,  27.673
     2.4,0.000000,0.000000,0.000000,0.000000,  27.677
     2.6,0.000000,0.000000,0.000000,0.000000,  27.681
     2.8,0.000000,0.000000,0.000000,0.000000,  27.674
     3.0,0.000000,0.000000,0.000000,0.000000,  27.676
     3.2,0.000000,0.000000,0.000000,0.000000,  27.679
     3.4,0.000000,0.000000,0.000000,0.000000,  27.674
     3.6,0.000000,0.000000,0.000000,0.000000,  27.677
     3.8,0.000012,0.000000,0.000000,0.000000,  27.678
     4.0,0.000019,0.000006,0.000000,0.000000,  27.679
     4.2,0.000016,0.000005,0.000000,0.000000,  27.680
     4.4,0.000015,0.000002,0.000000,0.000000,  27.680
     4.6,0.000009,0.000001,0.000000,0.000000,  27.675
     4.8,0.000010,-0.000002,0.000000,0.000000,  27.679
     5.0,0.000013,-0.000001,0.000000,0.000019,  27.681
     5.2,0.000007,0.000001,0.000096,0.000019,  27.681
     5.4,0.000010,0.000000,0.000035,0.000019,  27.680
     5.6,0.000013,-0.000000,-0.000007,0.000005,  27.682
     5.8,0.000007,-0.000002,-0.000032,0.000005,  27.683
     6.0,0.000010,-0.000002,-0.000038,0.000019,  27.678
     6.2,0.000013,-0.000003,-0.000023,0.000005,  27.679
     6.4,0.000007,-0.000007,0.000008,-0.000017,  27.679
     6.6,0.000010,-0.000005,0.000014,-0.000017,  27.678
     6.8,0.000013,-0.000004,0.000014,-0.000017,  27.679
     7.0,0.000005,-0.000004,0.000018,-0.000040,  27.683
     7.2,0.000008,0.000003,0.000017,-0.000040,  27.681
     7.4,0.000008,-0.000001,0.000002,-0.000004,  27.679
     7.6,-0.000000,-0.000002,-0.000013,0.000010,  27.683
     7.8,0.000003,-0.000003,0.000014,0.000010,  27.678
     8.0,0.000003,-0.000007,0.000052,0.000010,  27.684
     8.2,0.000001,-0.000007,0.000100,0.000024,  27.680
     8.4,0.000004,-0.000005,0.000044,0.000010,  27.681
     8.6,0.000004,-0.000005,-0.000055,0.000010,  27.678
     8.8,-0.000002,-0.000004,-0.000210,0.000024,  27.679
     9.0,0.000004,0.000000,-0.000288,0.000010,  27.681
     9.2,0.000004,-0.000001,-0.000338,0.000010,  27.680
     9.4,-0.000002,-0.000005,-0.000379,0.000024,  27.679
     9.6,0.000004,-0.000005,-0.000396,0.000010,  27.679
     9.8,-0.000002,-0.000008,-0.000378,0.000010,  27.679
    10.0,-0.000002,-0.000010,-0.000343,0.000024,  27.678
    10.2,-0.000007,-0.000008,-0.000322,-0.000026,  27.680
    10.4,-0.000002,-0.000011,-0.000301,-0.000026,  27.678
    10.6,-0.000002,-0.000007,-0.000275,-0.000012,  27.675
    10.8,-0.000007,-0.000006,-0.000234,-0.000062,  27.678
    11.0,-0.000002,-0.000010,-0.000183,-0.000026,  27.677
    11.2,-0.000002,-0.000010,-0.000123,-0.000012,  27.674
    11.4,-0.000007,-0.000012,-0.000112,-0.000026,  27.675
    11.6,-0.000002,-0.000014,-0.000121,-0.000004,  27.674
    11.8,-0.000002,-0.000016,-0.000143,0.000010,  27.671
    12.0,-0.000007,-0.000011,-0.000268,-0.000004,  27.673
    12.2,-0.000007,-0.000012,-0.000461,-0.000017,  27.671
    12.4,-0.000006,-0.000014,-0.000710,-0.000031,  27.669
    12.6,-0.000003,-0.000011,-0.000704,-0.000040,  27.672
    12.8,0.000001,-0.000013,-0.000595,-0.000031,  27.668
    13.0,-0.000005,-0.000007,-0.000390,-0.000031,  27.670
    13.2,-0.000002,-0.000006,-0.000081,-0.000053,  27.666
    13.4,-0.000006,-0.000004,-0.000044,-0.000031,  27.665
    13.6,-0.000009,-0.000004,-0.000050,-0.000031,  27.667
    13.8,-0.000012,-0.000006,-0.000096,-0.000031,  27.666
    14.0,-0.000010,-0.000006,-0.000075,-0.000031,  27.664
    14.2,-0.000010,-0.000008,-0.000049,-0.000045,  27.661
    14.4,-0.000010,-0.000010,-0.000005,-0.000045,  27.662
    14.6,-0.000010,-0.000006,0.000016,-0.000031,  27.664
    14.8,-0.000007,-0.000008,0.000032,-0.000031,  27.662
    15.0,-0.000007,-0.000008,0.000042,-0.000017,  27.657
    15.2,-0.000007,-0.000005,-0.000108,-0.000017,  27.657
    15.4,-0.000005,-0.000004,-0.000348,-0.000017,  27.658
    15.6,-0.000002,-0.000002,-0.000672,-0.000004,  27.658
    15.8,-0.000002,0.000003,-0.000696,-0.000017,  27.659
    16.0,-0.000002,0.000007,-0.000598,-0.000017,  27.659
    16.2,-0.000002,0.000007,-0.000400,-0.000004,  27.655
    16.4,0.000001,0.000005,-0.000304,-0.000004,  27.654
    16.6,0.000001,0.000007,-0.000204,-0.000004,  27.650
    16.8,0.000001,0.000006,-0.000107,0.000010,  27.649
    17.0,-0.000002,0.000005,-0.000068,-0.000026,  27.644
    17.2,0.000001,0.000005,-0.000058,-0.000026,  27.641
    17.4,-0.000005,0.000004,-0.000084,-0.000012,  27.637
    17.6,0.000001,0.000005,-0.000118,-0.000062,  27.641
    17.8,-0.000002,0.000003,-0.000170,-0.000026,  27.643
    18.0,-0.000004,0.000000,-0.000242,-0.000026,  27.639
    18.2,-0.000010,0.000000,-0.000240,-0.000040,  27.640
    18.4,-0.000004,-0.000004,-0.000195,-0.000031,  27.640
    18.6,-0.000004,-0.000002,-0.000130,-0.000017,  27.638
    18.8,-0.000007,-0.000001,-0.000149,-0.000017,  27.634
    19.0,0.000001,-0.000001,-0.000200,-0.000017,  27.636
    19.2,0.000003,-0.000003,-0.000282,-0.000004,  27.637
    19.4,0.000002,0.000001,-0.000303,-0.000017,  27.633
    19.6,0.000005,0.000003,-0.000326,-0.000017,  27.637
    19.8,0.000005,0.000003,-0.000322,-0.000004,  27.638
    20.0,-0.000000,-0.000003,-0.000291,-0.000004,  27.635
    20.2,0.000003,-0.000003,-0.000241,-0.000004,  27.633
    20.4,0.000003,-0.000004,-0.000170,0.000010,  27.633
    20.6,-0.000002,-0.000002,-0.000134,-0.000040,  27.633
    20.8,0.000003,-0.000002,-0.000099,0.000010,  27.631
    21.0,0.000003,-0.000005,-0.000074,-0.000004,  27.632
    21.2,0.000003,-0.000008,-0.000059,-0.000040,  27.631
    21.4,0.000006,-0.000008,-0.000049,-0.000004,  27.631
    21.6,0.000006,-0.000010,-0.000048,-0.000004,  27.630
    21.8,0.000009,-0.000006,-0.000054,0.000010,  27.629
    22.0,0.000006,-0.000004,-0.000059,0.000010,  27.629
    22.2,0.000006,-0.000008,-0.000078,0.000010,  27.630
    22.4,0.000006,-0.000008,-0.000102,0.000024,  27.625
    22.6,0.000004,-0.000008,-0.000087,0.000010,  27.628
    22.8,0.000004,-0.000010,-0.000062,0.000010,  27.632
    23.0,0.000004,-0.000008,-0.000030,0.000024,  27.631
    23.2,0.000004,-0.000004,-0.000044,0.000010,  27.627
    23.4,0.000002,-0.000006,-0.000075,-0.000004,  27.628
    23.6,0.000002,-0.000012,-0.000122,0.000010,  27.621
    23.8,-0.000001,-0.000009,-0.000301,0.000010,  27.626
    24.0,0.000002,-0.000009,-0.000550,-0.000004,  27.626
    24.2,0.000004,-0.000013,-0.000870,0.000010,  27.627
    24.4,0.000006,-0.000008,-0.001023,0.000010,  27.624
    24.6,0.000009,-0.000009,-0.001119,-0.000004,  27.627
    24.8,0.000003,-0.000009,-0.001165,0.000010,  27.623
    25.0,-0.000002,-0.000008,-0.001079,0.000010,  27.622
    25.2,0.000002,-0.000008,-0.000901,-0.000004,  27.626
    25.4,-0.000001,-0.000008,-0.000633,0.000010,  27.623
    25.6,0.000000,-0.000005,-0.000559,0.000010,  27.622
    25.8,0.000000,-0.000004,-0.000539,-0.000004,  27.625
    26.0,-0.000006,-0.000002,-0.000570,0.000010,  27.627
    26.2,-0.000003,-0.000002,-0.000541,0.000010,  27.628
    26.4,-0.000001,-0.000002,-0.000507,-0.000004,  27.628
    26.6,-0.000002,-0.000002,-0.000482,0.000010,  27.625
    26.8,0.000004,-0.000005,-0.000442,0.000010,  27.627
    27.0,0.000001,-0.000009,-0.000397,-0.000004,  27.624
    27.2,0.000003,-0.000006,-0.000356,0.000010,  27.623
    27.4,0.000005,-0.000006,-0.000299,0.000010,  27.621
    27.6,0.000006,-0.000007,-0.000228,0.000010,  27.624
    27.8,0.000006,-0.000007,-0.000157,0.000024,  27.627
    28.0,0.000009,-0.000008,-0.000156,-0.000012,  27.624
    28.2,0.000006,-0.000008,-0.000196,-0.000012,  27.623
    28.4,0.000006,-0.000008,-0.000264,0.000001,  27.626
    28.6,0.000006,-0.000004,-0.000403,-0.000034,  27.624
    28.8,0.000004,-0.000004,-0.000597,-0.000012,  27.623
    29.0,0.000004,-0.000002,-0.000842,0.000001,  27.626
    29.2,0.000004,-0.000000,-0.000961,-0.000048,  27.623
    29.4,0.000004,-0.000002,-0.001046,-0.000026,  27.628
    29.6,0.000004,-0.000004,-0.001095,-0.000026,  27.625
    29.8,0.000004,-0.000003,-0.001091,-0.000026,  27.628
    30.0,0.000004,-0.000001,-0.001055,-0.000062,  27.628
    30.2,0.000004,-0.000002,-0.000967,-0.000026,  27.624
    30.4,0.000004,0.000000,-0.000843,-0.000062,  27.625
    30.6,0.000004,0.000000,-0.000732,-0.000048,  27.624
    30.8,0.000002,0.000000,-0.000597,-0.000026,  27.624
    31.0,0.000002,-0.000003,-0.000437,-0.000012,  27.624
    31.2,0.000002,-0.000004,-0.000341,-0.000026,  27.623
    31.4,0.000002,-0.000005,-0.000266,0.000010,  27.627
    31.6,-0.000004,-0.000007,-0.000211,0.000024,  27.623
    31.8,-0.000002,-0.000007,-0.000360,0.000010,  27.628
    32.0,-0.000002,-0.000007,-0.000619,-0.000004,  27.623
    32.2,-0.000002,-0.000011,-0.000987,0.000010,  27.628
    32.4,0.000002,-0.000007,-0.000977,-0.000004,  27.628
    32.6,-0.000001,-0.000003,-0.000833,-0.000017,  27.627
    32.8,-0.000006,-0.000008,-0.000554,-0.000004,  27.626
    33.0,-0.000004,-0.000006,-0.000420,-0.000017,  27.622
    33.2,-0.000004,-0.000004,-0.000300,-0.000017,  27.616
    33.4,-0.000012,-0.000003,-0.000194,-0.000004,  27.623
    33.6,-0.000009,-0.000006,-0.000139,-0.000017,  27.623
    33.8,-0.000009,-0.000008,-0.000120,-0.000017,  27.626
    34.0,-0.000017,-0.000005,-0.000140,-0.000004,  27.623
    34.2,-0.000010,-0.000010,-0.000151,-0.000017,  27.625
    34.4,-0.000007,-0.000014,-0.000178,-0.000017,  27.626
    34.6,-0.000005,-0.000011,-0.000219,-0.000004,  27.621
    34.8,0.000001,-0.000007,-0.000213,-0.000040,  27.625
    35.0,0.000003,-0.000008,-0.000189,-0.000040,  27.625
    35.2,0.000003,-0.000006,-0.000153,-0.000026,  27.621
    35.4,-0.000002,-0.000003,-0.000138,-0.000062,  27.621
    35.6,0.000003,-0.000001,-0.000138,-0.000040,  27.627
    35.8,0.000003,-0.000005,-0.000140,-0.000026,  27.625
    36.0,-0.000005,-0.000006,-0.000175,-0.000062,  27.621
    36.2,-0.000002,-0.000005,-0.000229,-0.000040,  27.620
    36.4,-0.000004,-0.000003,-0.000304,-0.000026,  27.620
    36.6,-0.000010,-0.000001,-0.000304,-0.000062,  27.624
    36.8,-0.000004,-0.000004,-0.000264,-0.000040,  27.627
    37.0,-0.000006,-0.000003,-0.000199,-0.000053,  27.623
    37.2,-0.000009,-0.000002,-0.000204,-0.000040,  27.627
    37.4,-0.000006,-0.000006,-0.000226,-0.000053,  27.628
    37.6,-0.000003,-0.000006,-0.000275,-0.000017,  27.623
    37.8,-0.000006,-0.000006,-0.000337,-0.000040,  27.628
    38.0,-0.000006,-0.000006,-0.000535,-0.000017,  27.628
    38.2,-0.000004,-0.000007,-0.000793,-0.000017,  27.624
    38.4,-0.000004,-0.000001,-0.001124,-0.000004,  27.625
    38.6,0.000002,0.000000,-0.001133,-0.000017,  27.624
    38.8,0.000002,0.000001,-0.001004,-0.000017,  27.624
    39.0,0.000002,0.000007,-0.000747,-0.000004,  27.625
    39.2,-0.000001,0.000015,-0.000637,-0.000017,  27.625
    39.4,0.000002,0.000012,-0.000527,-0.000017,  27.628
    39.6,-0.000004,0.000010,-0.000423,-0.000004,  27.626
    39.8,-0.000004,0.000003,-0.000338,-0.000017,  27.627
    40.0,-0.000004,-0.000003,-0.000264,-0.000017,  27.621
    40.2,-0.000004,-0.000002,-0.000205,-0.000017,  27.627
