Run Name,30%
Run Date,11:40:05 AM   04-03-09
Method Name,29%
Export Format Version, 1.00
Method ID,  758
Points/Second, 5.00
Number of Records,  11639
Offset from Run Start Time,00:00:00
Run End Time,00:38:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.011887,0.000000,0.000000,0.000000,  30.778
     0.2,-0.011902,0.000000,0.000000,0.000000,  30.779
     0.4,-0.011912,0.000000,0.000000,0.000000,  30.778
     0.6,-0.011922,0.000000,0.000000,0.000000,  30.777
     0.8,0.000000,0.000000,0.000000,0.000000,  30.776
     1.0,0.000000,0.000000,0.000000,0.000000,  30.779
     1.2,0.000000,0.000000,0.000000,0.000000,  30.778
     1.4,0.000000,0.000000,0.000000,0.000000,  30.774
     1.6,0.000000,0.000000,0.000000,0.000000,  30.774
     1.8,0.000000,0.000000,0.000000,0.000000,  30.778
     2.0,0.000000,0.000000,0.000000,0.000000,  30.776
     2.2,0.000000,0.000000,0.000000,0.000000,  30.767
     2.4,0.000000,0.000000,0.000000,0.000000,  30.772
     2.6,0.000000,0.000000,0.000000,0.000000,  30.776
     2.8,0.000000,0.000000,0.000000,0.000000,  30.773
     3.0,0.000000,0.000000,0.000000,0.000000,  30.774
     3.2,0.000000,0.000000,0.000000,0.000000,  30.773
     3.4,0.000000,-0.000021,-0.000075,0.000000,  30.775
     3.6,-0.000039,-0.000027,-0.000074,0.000000,  30.772
     3.8,-0.000043,-0.000035,-0.000073,-0.000004,  30.774
     4.0,-0.000044,-0.000048,-0.000074,-0.000059,  30.775
     4.2,-0.000056,-0.000058,-0.000070,-0.000046,  30.774
     4.4,-0.000063,-0.000068,-0.000064,-0.000034,  30.774
     4.6,-0.000074,-0.000077,-0.000054,-0.000055,  30.774
     4.8,-0.000086,-0.000091,-0.000084,-0.000076,  30.777
     5.0,-0.000094,-0.000102,-0.000133,-0.000076,  30.772
     5.2,-0.000105,-0.000112,-0.000197,-0.000097,  30.769
     5.4,-0.000121,-0.000123,-0.000218,-0.000085,  30.769
     5.6,-0.000132,-0.000132,-0.000232,-0.000097,  30.773
     5.8,-0.000143,-0.000139,-0.000228,-0.000119,  30.770
     6.0,-0.000153,-0.000146,-0.000244,-0.000119,  30.775
     6.2,-0.000164,-0.000156,-0.000264,-0.000106,  30.774
     6.4,-0.000176,-0.000165,-0.000294,-0.000161,  30.772
     6.6,-0.000182,-0.000172,-0.000281,-0.000148,  30.772
     6.8,-0.000193,-0.000186,-0.000258,-0.000136,  30.773
     7.0,-0.000201,-0.000192,-0.000211,-0.000144,  30.776
     7.2,-0.000217,-0.000200,-0.000210,-0.000165,  30.778
     7.4,-0.000228,-0.000209,-0.000216,-0.000132,  30.773
     7.6,-0.000237,-0.000219,-0.000237,-0.000106,  30.772
     7.8,-0.000247,-0.000235,-0.000237,-0.000161,  30.776
     8.0,-0.000259,-0.000242,-0.000233,-0.000161,  30.773
     8.2,-0.000267,-0.000250,-0.000229,-0.000182,  30.769
     8.4,-0.000283,-0.000258,-0.000254,-0.000182,  30.775
     8.6,-0.000291,-0.000268,-0.000289,-0.000182,  30.774
     8.8,-0.000304,-0.000279,-0.000348,-0.000204,  30.772
     9.0,-0.000304,-0.000292,-0.000344,-0.000204,  30.780
     9.2,-0.000309,-0.000306,-0.000310,-0.000237,  30.778
     9.4,-0.000323,-0.000314,-0.000258,-0.000259,  30.774
     9.6,-0.000331,-0.000324,-0.000263,-0.000259,  30.771
     9.8,-0.000341,-0.000336,-0.000280,-0.000259,  30.776
    10.0,-0.000355,-0.000343,-0.000320,-0.000267,  30.775
    10.2,-0.000363,-0.000349,-0.000349,-0.000255,  30.774
    10.4,-0.000374,-0.000356,-0.000379,-0.000255,  30.777
    10.6,-0.000385,-0.000361,-0.000410,-0.000276,  30.778
    10.8,-0.000385,-0.000362,-0.000377,-0.000297,  30.776
    11.0,-0.000389,-0.000367,-0.000311,-0.000284,  30.778
    11.2,-0.000397,-0.000372,-0.000212,-0.000284,  30.775
    11.4,-0.000408,-0.000374,-0.000204,-0.000339,  30.774
    11.6,-0.000413,-0.000380,-0.000216,-0.000327,  30.778
    11.8,-0.000416,-0.000384,-0.000257,-0.000293,  30.780
    12.0,-0.000421,-0.000391,-0.000328,-0.000301,  30.780
    12.2,-0.000424,-0.000399,-0.000314,-0.000289,  30.779
    12.4,-0.000430,-0.000402,-0.000278,-0.000310,  30.779
    12.6,-0.000438,-0.000409,-0.000226,-0.000331,  30.782
    12.8,-0.000447,-0.000415,-0.000218,-0.000306,  30.782
    13.0,-0.000450,-0.000420,-0.000224,-0.000319,  30.782
    13.2,-0.000451,-0.000424,-0.000249,-0.000340,  30.781
    13.4,-0.000454,-0.000425,-0.000231,-0.000361,  30.782
    13.6,-0.000460,-0.000427,-0.000200,-0.000361,  30.781
    13.8,-0.000461,-0.000430,-0.000165,-0.000370,  30.779
    14.0,-0.000464,-0.000431,-0.000180,-0.000357,  30.784
    14.2,-0.000469,-0.000435,-0.000219,-0.000344,  30.783
    14.4,-0.000475,-0.000438,-0.000273,-0.000365,  30.781
    14.6,-0.000476,-0.000440,-0.000254,-0.000353,  30.781
    14.8,-0.000476,-0.000444,-0.000202,-0.000353,  30.782
    15.0,-0.000481,-0.000447,-0.000119,-0.000374,  30.785
    15.2,-0.000486,-0.000454,-0.000096,-0.000395,  30.785
    15.4,-0.000492,-0.000460,-0.000088,-0.000383,  30.784
    15.6,-0.000495,-0.000464,-0.000084,-0.000370,  30.784
    15.8,-0.000501,-0.000463,-0.000061,-0.000391,  30.781
    16.0,-0.000507,-0.000468,-0.000039,-0.000379,  30.784
    16.2,-0.000514,-0.000474,-0.000012,-0.000400,  30.783
    16.4,-0.000519,-0.000478,-0.000014,-0.000400,  30.782
    16.6,-0.000524,-0.000484,-0.000039,-0.000400,  30.785
    16.8,-0.000532,-0.000486,-0.000074,-0.000421,  30.785
    17.0,-0.000531,-0.000494,-0.000066,-0.000374,  30.786
    17.2,-0.000533,-0.000504,-0.000052,-0.000387,  30.781
    17.4,-0.000543,-0.000509,-0.000026,-0.000408,  30.784
    17.6,-0.000551,-0.000513,-0.000027,-0.000396,  30.785
    17.8,-0.000561,-0.000519,-0.000047,-0.000417,  30.786
    18.0,-0.000569,-0.000525,-0.000073,-0.000438,  30.782
    18.2,-0.000570,-0.000531,-0.000060,-0.000425,  30.784
    18.4,-0.000570,-0.000535,-0.000038,-0.000434,  30.779
    18.6,-0.000579,-0.000540,-0.000004,-0.000455,  30.778
    18.8,-0.000585,-0.000542,0.000010,-0.000477,  30.783
    19.0,-0.000582,-0.000547,0.000023,-0.000464,  30.782
    19.2,-0.000582,-0.000554,0.000031,-0.000472,  30.780
    19.4,-0.000591,-0.000558,0.000020,-0.000494,  30.781
    19.6,-0.000593,-0.000562,-0.000006,-0.000460,  30.786
    19.8,-0.000594,-0.000567,-0.000042,-0.000481,  30.781
    20.0,-0.000604,-0.000570,-0.000045,-0.000456,  30.785
    20.2,-0.000607,-0.000575,-0.000041,-0.000490,  30.782
    20.4,-0.000613,-0.000585,-0.000028,-0.000477,  30.783
    20.6,-0.000619,-0.000588,-0.000006,-0.000498,  30.782
    20.8,-0.000619,-0.000595,-0.000012,-0.000486,  30.782
    21.0,-0.000625,-0.000598,-0.000019,-0.000486,  30.783
    21.2,-0.000630,-0.000600,-0.000040,-0.000507,  30.785
    21.4,-0.000632,-0.000605,-0.000037,-0.000528,  30.782
    21.6,-0.000640,-0.000612,-0.000032,-0.000503,  30.781
    21.8,-0.000645,-0.000612,-0.000020,-0.000524,  30.780
    22.0,-0.000653,-0.000616,-0.000172,-0.000524,  30.784
    22.2,-0.000661,-0.000624,-0.000413,-0.000524,  30.777
    22.4,-0.000664,-0.000629,-0.000725,-0.000533,  30.774
    22.6,-0.000669,-0.000635,-0.000759,-0.000520,  30.777
    22.8,-0.000677,-0.000636,-0.000689,-0.000520,  30.781
    23.0,-0.000677,-0.000644,-0.000522,-0.000528,  30.775
    23.2,-0.000677,-0.000642,-0.000607,-0.000550,  30.779
    23.4,-0.000685,-0.000645,-0.000768,-0.000516,  30.779
    23.6,-0.000686,-0.000649,-0.001006,-0.000503,  30.778
