Run Name,31%
Run Date,04:17:51 PM   03-31-09
Method Name,30
Export Format Version, 1.00
Method ID,  746
Points/Second, 5.00
Number of Records,   6318
Offset from Run Start Time,00:00:00
Run End Time,00:21:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000,0.000000,0.000000,  29.033
     0.2,0.000000,0.000000,0.000000,0.000000,  29.031
     0.4,0.000000,0.000000,0.000000,0.000000,  29.035
     0.6,0.000000,0.000000,0.000000,0.000000,  29.032
     0.8,0.000000,0.000000,0.000000,0.000000,  29.031
     1.0,0.000000,0.000000,0.000000,0.000000,  29.028
     1.2,0.000000,0.000000,0.000000,0.000000,  29.029
     1.4,0.000000,0.000000,0.000000,0.000000,  29.021
     1.6,0.000000,0.000000,0.000000,0.000000,  29.025
     1.8,0.000000,0.000000,0.000000,0.000000,  29.025
     2.0,0.000000,0.000000,0.000000,0.000000,  29.018
     2.2,0.000000,0.000000,0.000000,0.000000,  29.017
     2.4,0.000000,0.000000,0.000000,0.000000,  29.013
     2.6,0.000000,0.000000,0.000000,0.000000,  29.006
     2.8,0.000000,0.000000,0.000000,0.000000,  29.008
     3.0,0.000028,0.000000,0.000000,0.000000,  29.010
     3.2,0.000037,0.000006,0.000000,0.000000,  29.009
     3.4,0.000042,0.000007,0.000000,0.000000,  29.010
     3.6,0.000049,0.000014,-0.000134,0.000000,  29.006
     3.8,0.000056,0.000019,-0.000260,0.000000,  29.000
     4.0,0.000065,0.000024,-0.000375,0.000000,  29.001
     4.2,0.000075,0.000026,-0.000486,0.000000,  28.997
     4.4,0.000084,0.000026,-0.000586,0.000072,  28.995
     4.6,0.000093,0.000034,-0.000678,0.000049,  28.999
     4.8,0.000106,0.000042,-0.000760,0.000077,  28.997
     5.0,0.000113,0.000043,-0.000749,0.000090,  28.994
     5.2,0.000122,0.000050,-0.000687,0.000117,  28.997
     5.4,0.000123,0.000051,-0.000573,0.000095,  28.994
     5.6,0.000133,0.000053,-0.000526,0.000158,  28.992
     5.8,0.000140,0.000061,-0.000484,0.000185,  28.989
     6.0,0.000142,0.000070,-0.000451,0.000149,  28.991
     6.2,0.000144,0.000070,-0.000440,0.000185,  28.991
     6.4,0.000151,0.000072,-0.000431,0.000198,  28.994
     6.6,0.000161,0.000079,-0.000447,0.000149,  28.986
     6.8,0.000168,0.000082,-0.000446,0.000185,  28.981
     7.0,0.000175,0.000083,-0.000432,0.000185,  28.979
     7.2,0.000174,0.000091,-0.000419,0.000149,  28.982
     7.4,0.000176,0.000095,-0.000540,0.000162,  28.983
     7.6,0.000175,0.000095,-0.000717,0.000149,  28.980
     7.8,0.000178,0.000096,-0.000963,0.000162,  28.981
     8.0,0.000180,0.000099,-0.001270,0.000162,  28.982
     8.2,0.000182,0.000106,-0.001270,0.000162,  28.985
     8.4,0.000182,0.000110,-0.001177,0.000176,  28.987
     8.6,0.000188,0.000115,-0.000998,0.000176,  28.988
     8.8,0.000192,0.000119,-0.000920,0.000176,  28.986
     9.0,0.000192,0.000125,-0.000854,0.000176,  28.985
     9.2,0.000199,0.000126,-0.000794,0.000176,  28.992
     9.4,0.000206,0.000130,-0.000698,0.000176,  28.997
     9.6,0.000208,0.000129,-0.000593,0.000189,  28.995
     9.8,0.000218,0.000137,-0.000477,0.000189,  28.998
    10.0,0.000218,0.000140,-0.000402,0.000189,  29.006
    10.2,0.000210,0.000142,-0.000354,0.000203,  29.003
    10.4,0.000209,0.000144,-0.000317,0.000216,  28.995
    10.6,0.000202,0.000140,-0.000294,0.000203,  29.002
    10.8,0.000185,0.000130,-0.000293,0.000203,  28.999
    11.0,0.000176,0.000121,-0.000302,0.000203,  28.996
    11.2,0.000162,0.000114,-0.000242,0.000189,  28.995
    11.4,0.000143,0.000107,-0.000149,0.000176,  29.001
    11.6,0.000132,0.000104,-0.000026,0.000162,  29.005
    11.8,0.000115,0.000094,0.000013,0.000135,  28.999
    12.0,0.000108,0.000087,0.000017,0.000122,  28.998
    12.2,0.000103,0.000079,-0.000000,0.000108,  28.997
    12.4,0.000098,0.000075,0.000034,0.000117,  28.998
    12.6,0.000094,0.000069,0.000087,0.000104,  29.000
    12.8,0.000087,0.000072,0.000147,0.000068,  29.001
    13.0,0.000085,0.000065,0.000182,0.000090,  28.997
    13.2,0.000081,0.000060,0.000213,0.000077,  29.002
    13.4,0.000078,0.000054,0.000244,0.000041,  29.000
    13.6,0.000077,0.000046,0.000257,0.000090,  29.002
    13.8,0.000075,0.000043,0.000237,0.000090,  29.001
