Run Name,grad1
Run Date,04:02:04 PM   04-03-09
Method Name,grad 1
Export Format Version, 1.00
Method ID,  767
Points/Second, 5.00
Number of Records,   4530
Offset from Run Start Time,00:00:00
Run End Time,00:15:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000241,0.000000, 18,-0.001644,0.000000,  21.680
     0.2,0.000211,0.000000, 18,-0.001644,0.000000,  21.682
     0.4,0.000243,0.000000, 18,-0.001644,0.000000,  21.681
     0.6,0.000260,0.000000, 18,-0.001644,0.000000,  21.682
     0.8,0.000000,0.000000, 18,-0.001644,0.000000,  21.686
     1.0,0.000000,0.000000, 18,0.000000,0.000000,  21.682
     1.2,0.000000,0.000000, 18,0.000000,0.000000,  21.677
     1.4,0.000000,0.000000, 18,0.000000,0.000000,  21.676
     1.6,0.000000,0.000000, 18,0.000000,0.000000,  21.676
     1.8,0.000000,0.000000, 18,0.000000,0.000000,  21.677
     2.0,0.000000,0.000000, 18,0.000000,0.000000,  21.675
     2.2,0.000000,0.000000, 18,0.000000,0.000000,  21.677
     2.4,0.000000,0.000000, 18,0.000000,0.000000,  21.676
     2.6,0.000000,0.000000, 18,0.000000,0.000000,  21.677
     2.8,0.000000,0.000000, 18,0.000000,0.000000,  21.673
     3.0,0.000000,0.000000, 18,0.000000,0.000000,  21.674
     3.2,0.000000,0.000000, 18,0.000000,0.000000,  21.672
     3.4,0.000000,0.000000, 18,0.000000,0.000000,  21.680
     3.6,0.000000,0.000000, 18,0.000000,0.000000,  21.680
     3.8,0.000000,0.000000, 18,0.000000,0.000000,  21.679
     4.0,0.000000,0.000000, 18,-0.000035,0.000027,  21.678
     4.2,0.000002,0.000005, 18,-0.000047,0.000027,  21.671
     4.4,-0.000012,0.000003, 18,-0.000047,-0.000009,  21.672
     4.6,-0.000029,0.000006, 18,-0.000042,-0.000045,  21.672
     4.8,-0.000033,-0.000001, 18,-0.000036,-0.000072,  21.674
     5.0,-0.000040,-0.000008, 18,-0.000019,-0.000077,  21.675
     5.2,-0.000043,-0.000017, 18,0.000004,-0.000077,  21.673
     5.4,-0.000043,-0.000024, 18,-0.000025,-0.000077,  21.672
     5.6,-0.000037,-0.000024, 18,-0.000062,-0.000050,  21.669
     5.8,-0.000030,-0.000026, 18,-0.000126,-0.000036,  21.671
     6.0,-0.000028,-0.000021, 18,-0.000160,-0.000036,  21.672
     6.2,-0.000023,-0.000019, 18,-0.000181,-0.000022,  21.668
     6.4,-0.000018,-0.000021, 18,-0.000205,-0.000009,  21.672
     6.6,-0.000018,-0.000021, 18,-0.000260,-0.000009,  21.670
     6.8,-0.000018,-0.000022, 18,-0.000335,-0.000009,  21.671
     7.0,-0.000016,-0.000022, 18,-0.000422,-0.000009,  21.674
     7.2,-0.000016,-0.000024, 18,-0.000436,-0.000031,  21.667
     7.4,-0.000013,-0.000026, 18,-0.000414,-0.000009,  21.668
     7.6,-0.000013,-0.000028, 18,-0.000359,-0.000009,  21.670
     7.8,-0.000013,-0.000023, 18,-0.000278,-0.000031,  21.672
     8.0,-0.000013,-0.000023, 18,-0.000243,-0.000009,  21.671
     8.2,-0.000011,-0.000026, 18,-0.000218,0.000005,  21.668
     8.4,-0.000014,-0.000021, 18,-0.000189,0.000005,  21.671
     8.6,-0.000014,-0.000019, 18,-0.000193,0.000019,  21.670
     8.8,-0.000009,-0.000017, 18,-0.000212,0.000005,  21.671
     9.0,-0.000010,-0.000014, 18,-0.000247,0.000005,  21.672
     9.2,-0.000002,-0.000011, 18,-0.000241,-0.000004,  21.667
     9.4,0.000002,-0.000007, 18,-0.000217,-0.000004,  21.666
     9.6,-0.000003,-0.000006, 18,-0.000192,-0.000004,  21.669
     9.8,0.000005,-0.000010, 18,-0.000158,-0.000053,  21.670
    10.0,0.000005,-0.000008, 18,-0.000125,-0.000045,  21.671
    10.2,-0.000006,-0.000015, 18,-0.000083,-0.000045,  21.668
    10.4,-0.000013,-0.000019, 18,-0.000098,-0.000080,  21.669
    10.6,-0.000013,-0.000023, 18,-0.000143,-0.000045,  21.663
    10.8,-0.000009,-0.000023, 18,-0.000209,-0.000045,  21.669
    11.0,-0.000002,-0.000021, 18,-0.000228,-0.000067,  21.667
    11.2,0.000001,-0.000022, 18,-0.000243,-0.000031,  21.663
    11.4,-0.000002,-0.000015, 18,-0.000236,-0.000031,  21.668
    11.6,0.000000,-0.000009, 18,-0.000256,-0.000053,  21.666
    11.8,0.000002,-0.000009, 18,-0.000292,-0.000031,  21.666
    12.0,-0.000003,-0.000004, 18,-0.000324,-0.000031,  21.663
    12.2,0.000002,-0.000004, 18,-0.000494,-0.000053,  21.668
    12.4,0.000005,-0.000003, 18,-0.000741,-0.000031,  21.664
    12.6,0.000004,0.000002, 18,-0.001057,-0.000031,  21.668
    12.8,0.000012,0.000007, 18,-0.001028,-0.000039,  21.672
    13.0,0.000014,0.000010, 18,-0.000860,-0.000039,  21.667
    13.2,0.000011,0.000012, 18,-0.000562,-0.000026,  21.668
    13.4,0.000012,0.000012, 18,-0.000464,-0.000026,  21.669
    13.6,0.000014,0.000015, 18,-0.000406,-0.000026,  21.667
    13.8,0.000009,0.000015, 18,-0.000383,-0.000026,  21.670
    14.0,0.000017,0.000013, 18,-0.000314,-0.000026,  21.670
    14.2,0.000017,0.000013, 18,-0.000248,-0.000039,  21.666
    14.4,0.000013,0.000014, 18,-0.000177,-0.000039,  21.666
    14.6,0.000017,0.000017, 18,-0.000111,-0.000026,  21.667
