Run Name,Run 3
Run Date,05:00:28 PM   01-26-12
Method Name,ali reza a ladiwala test run 1262012
Export Format Version, 1.00
Method ID, 1310
Points/Second, 5.00
Number of Records,   9136
Offset from Run Start Time,00:00:00
Run End Time,00:30:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000682,0.000000,0.013947,0.000000,  27.458
     0.2,0.000819,0.000000,0.013947,0.000000,  27.454
     0.4,0.000172,0.000000,0.013947,0.000000,  27.456
     0.6,-0.001135,0.000000,0.013947,0.000000,  27.451
     0.8,0.000000,0.000000,0.000000,0.000000,  27.446
     1.0,0.000000,0.000000,0.000000,0.000000,  27.449
     1.2,0.000000,0.000000,0.000000,0.000000,  27.445
     1.4,0.000000,0.000000,0.000000,0.000000,  27.445
     1.6,0.000000,0.000000,0.000000,0.000000,  27.443
     1.8,0.000000,0.000000,0.000000,0.000000,  27.445
     2.0,0.000000,0.000000,0.000000,0.000000,  27.438
     2.2,0.000000,0.000000,0.000000,0.000000,  27.437
     2.4,0.000000,0.000000,0.000000,0.000000,  27.431
     2.6,0.000000,0.000000,0.000000,0.000000,  27.432
     2.8,0.000000,0.000000,0.000000,0.000000,  27.427
     3.0,0.000000,0.000000,0.000000,0.000000,  27.429
     3.2,0.000000,0.000000,0.000000,0.000000,  27.427
     3.4,0.000000,0.000000,0.000000,0.000000,  27.425
     3.6,0.000000,0.000000,0.000000,0.000000,  27.428
     3.8,0.000000,0.000000,0.000000,0.000000,  27.420
     4.0,0.000000,0.000000,0.000000,0.000000,  27.420
     4.2,0.000000,0.000000,0.000000,0.000000,  27.421
     4.4,0.000016,0.000000,0.000000,0.000070,  27.413
     4.6,0.000037,0.000024,0.000379,0.000035,  27.406
     4.8,0.000056,0.000043,0.000516,0.000013,  27.400
     5.0,0.000078,0.000060,0.000659,0.000062,  27.393
     5.2,0.000094,0.000073,0.000754,0.000040,  27.386
     5.4,0.000115,0.000088,0.000944,0.000040,  27.379
     5.6,0.000143,0.000101,0.001091,0.000040,  27.374
     5.8,0.000170,0.000121,0.001250,0.000019,  27.373
     6.0,0.000206,0.000133,0.001440,0.000045,  27.370
     6.2,0.000230,0.000146,0.001588,0.000045,  27.363
     6.4,0.000252,0.000168,0.001731,0.000059,  27.358
     6.6,0.000268,0.000192,0.001964,0.000059,  27.355
     6.8,0.000293,0.000208,0.002154,0.000059,  27.348
     7.0,0.000312,0.000218,0.002345,0.000072,  27.345
     7.2,0.000336,0.000228,0.002482,0.000072,  27.345
     7.4,0.000361,0.000240,0.002572,0.000072,  27.344
     7.6,0.000380,0.000245,0.002620,0.000086,  27.344
     7.8,0.000399,0.000250,0.002710,0.000086,  27.341
     8.0,0.000418,0.000259,0.002763,0.000086,  27.339
     8.2,0.000437,0.000273,0.002869,0.000099,  27.334
     8.4,0.000450,0.000290,0.002965,0.000086,  27.337
     8.6,0.000464,0.000301,0.002965,0.000086,  27.335
     8.8,0.000472,0.000319,0.002975,0.000099,  27.332
     9.0,0.000480,0.000331,0.003065,0.000099,  27.331
     9.2,0.000491,0.000336,0.003102,0.000099,  27.332
     9.4,0.000499,0.000345,0.003187,0.000113,  27.332
     9.6,0.000508,0.000350,0.003235,0.000113,  27.332
     9.8,0.000516,0.000354,0.003246,0.000113,  27.333
    10.0,0.000527,0.000356,0.003209,0.000113,  27.335
    10.2,0.000535,0.000366,0.003251,0.000113,  27.336
    10.4,0.000543,0.000372,0.003293,0.000113,  27.338
    10.6,0.000556,0.000380,0.003384,0.000113,  27.336
    10.8,0.000567,0.000390,0.003426,0.000126,  27.333
    11.0,0.000581,0.000398,0.003341,0.000126,  27.335
    11.2,0.000592,0.000403,0.003304,0.000126,  27.334
    11.4,0.000595,0.000407,0.003262,0.000140,  27.341
    11.6,0.000595,0.000415,0.003219,0.000126,  27.340
    11.8,0.000600,0.000419,0.003182,0.000140,  27.342
    12.0,0.000608,0.000419,0.003145,0.000140,  27.343
    12.2,0.000622,0.000433,0.003193,0.000153,  27.344
    12.4,0.000628,0.000441,0.003193,0.000140,  27.348
    12.6,0.000625,0.000449,0.003289,0.000140,  27.350
    12.8,0.000636,0.000452,0.003320,0.000153,  27.349
    13.0,0.000644,0.000455,0.003363,0.000140,  27.349
    13.2,0.000644,0.000456,0.003352,0.000140,  27.358
    13.4,0.000652,0.000457,0.003389,0.000153,  27.355
    13.6,0.000661,0.000464,0.003347,0.000153,  27.354
    13.8,0.000665,0.000476,0.003304,0.000153,  27.356
    14.0,0.000671,0.000482,0.003352,0.000167,  27.359
    14.2,0.000676,0.000475,0.003309,0.000167,  27.360
    14.4,0.000676,0.000486,0.003320,0.000167,  27.364
    14.6,0.000678,0.000484,0.003368,0.000180,  27.361
    14.8,0.000684,0.000482,0.003320,0.000167,  27.365
    15.0,0.000686,0.000489,0.003326,0.000167,  27.365
    15.2,0.000704,0.000495,0.003373,0.000167,  27.367
    15.4,0.000710,0.000493,0.003315,0.000188,  27.371
    15.6,0.000706,0.000492,0.003309,0.000153,  27.375
    15.8,0.000706,0.000496,0.003309,0.000153,  27.375
    16.0,0.000709,0.000500,0.003309,0.000153,  27.371
    16.2,0.000712,0.000501,0.003272,0.000153,  27.374
    16.4,0.000714,0.000501,0.003315,0.000153,  27.378
    16.6,0.000717,0.000505,0.003400,0.000153,  27.379
    16.8,0.000720,0.000505,0.003490,0.000167,  27.380
    17.0,0.000720,0.000503,0.003484,0.000167,  27.380
    17.2,0.000720,0.000505,0.003437,0.000180,  27.388
    17.4,0.000716,0.000505,0.003394,0.000193,  27.386
    17.6,0.000714,0.000507,0.002605,0.000180,  27.384
    17.8,0.000720,0.000503,0.001343,0.000180,  27.388
    18.0,0.000720,0.000504,-0.000304,0.000193,  27.385
    18.2,0.000720,0.000510,-0.000393,0.000180,  27.392
    18.4,0.000720,0.000510,0.000085,0.000180,  27.393
    18.6,0.000722,0.000507,0.001132,0.000193,  27.391
    18.8,0.000725,0.000515,0.001480,0.000193,  27.400
    19.0,0.000728,0.000517,0.001781,0.000193,  27.404
    19.2,0.000731,0.000516,0.002002,0.000193,  27.406
    19.4,0.000728,0.000520,0.002261,0.000207,  27.410
    19.6,0.000728,0.000519,0.002478,0.000207,  27.412
    19.8,0.000728,0.000517,0.002557,0.000193,  27.413
    20.0,0.000725,0.000516,0.002684,0.000193,  27.412
    20.2,0.000720,0.000513,0.002764,0.000193,  27.414
    20.4,0.000722,0.000517,0.002859,0.000158,  27.416
    20.6,0.000722,0.000520,0.002859,0.000136,  27.417
    20.8,0.000724,0.000520,0.002907,0.000136,  27.420
    21.0,0.000722,0.000518,0.002864,0.000158,  27.419
    21.2,0.000716,0.000516,0.002822,0.000172,  27.426
    21.4,0.000712,0.000522,0.002817,0.000172,  27.423
    21.6,0.000712,0.000522,0.002817,0.000172,  27.425
    21.8,0.000712,0.000522,0.002769,0.000185,  27.427
    22.0,0.000714,0.000521,0.002758,0.000172,  27.430
    22.2,0.000714,0.000519,0.002848,0.000172,  27.431
    22.4,0.000714,0.000513,0.002843,0.000185,  27.432
    22.6,0.000712,0.000507,0.002795,0.000172,  27.434
    22.8,0.000714,0.000507,0.002748,0.000158,  27.437
    23.0,0.000712,0.000513,0.002615,0.000172,  27.439
    23.2,0.000706,0.000517,0.002663,0.000158,  27.443
    23.4,0.000706,0.000511,0.002658,0.000145,  27.444
    23.6,0.000701,0.000511,0.002694,0.000158,  27.444
    23.8,0.000699,0.000504,0.002641,0.000145,  27.447
    24.0,0.000699,0.000495,0.002546,0.000145,  27.450
    24.2,0.000695,0.000499,0.002366,0.000158,  27.460
    24.4,0.000695,0.000499,0.002276,0.000145,  27.458
    24.6,0.000693,0.000496,0.002234,0.000145,  27.460
    24.8,0.000686,0.000494,0.002245,0.000158,  27.467
    25.0,0.000681,0.000498,0.002245,0.000145,  27.465
    25.2,0.000678,0.000500,0.002292,0.000145,  27.468
    25.4,0.000673,0.000500,0.002335,0.000158,  27.468
    25.6,0.000673,0.000503,0.002371,0.000158,  27.472
    25.8,0.000677,0.000508,0.002414,0.000158,  27.474
    26.0,0.000676,0.000508,0.002366,0.000172,  27.477
    26.2,0.000679,0.000510,0.002361,0.000172,  27.480
    26.4,0.000684,0.000514,0.002308,0.000172,  27.484
    26.6,0.000684,0.000514,0.002271,0.000185,  27.486
    26.8,0.000687,0.000514,0.002229,0.000172,  27.489
    27.0,0.000687,0.000518,0.002186,0.000172,  27.488
    27.2,0.000690,0.000522,0.002102,0.000185,  27.492
    27.4,0.000690,0.000529,0.002102,0.000185,  27.495
    27.6,0.000687,0.000528,0.002102,0.000185,  27.496
    27.8,0.000690,0.000532,0.002144,0.000185,  27.500
    28.0,0.000690,0.000530,0.002186,0.000199,  27.501
    28.2,0.000687,0.000531,0.002139,0.000150,  27.503
    28.4,0.000693,0.000537,0.002091,0.000185,  27.505
    28.6,0.000698,0.000544,0.002139,0.000199,  27.505
    28.8,0.000701,0.000547,0.002096,0.000199,  27.507
    29.0,0.000701,0.000549,0.002060,0.000185,  27.516
    29.2,0.000698,0.000551,0.002012,0.000199,  27.514
    29.4,0.000696,0.000553,0.002060,0.000199,  27.519
    29.6,0.000693,0.000544,0.002007,0.000185,  27.518
    29.8,0.000687,0.000542,0.001959,0.000199,  27.520
    30.0,0.000693,0.000540,0.001906,0.000163,  27.521
    30.2,0.000696,0.000534,0.001864,0.000163,  27.523
    30.4,0.000687,0.000526,0.001769,0.000163,  27.528
    30.6,0.000682,0.000520,0.001763,0.000128,  27.526
    30.8,0.000679,0.000517,0.001763,0.000150,  27.531
    31.0,0.000671,0.000510,0.001763,0.000163,  27.532
    31.2,0.000660,0.000504,0.001805,0.000128,  27.539
    31.4,0.000657,0.000500,0.001805,0.000150,  27.541
    31.6,0.000652,0.000496,0.001763,0.000163,  27.545
    31.8,0.000649,0.000496,0.001716,0.000128,  27.543
    32.0,0.000644,0.000487,0.001589,0.000150,  27.546
    32.2,0.000635,0.000486,0.001373,0.000163,  27.546
    32.4,0.000622,0.000478,0.001415,0.000115,  27.549
    32.6,0.000616,0.000472,0.001457,0.000136,  27.550
    32.8,0.000614,0.000468,0.001494,0.000150,  27.551
    33.0,0.000611,0.000465,0.001489,0.000101,  27.552
    33.2,0.000608,0.000461,0.001494,0.000136,  27.554
    33.4,0.000603,0.000458,0.001399,0.000150,  27.554
    33.6,0.000606,0.000457,0.001388,0.000101,  27.556
    33.8,0.000606,0.000449,0.001430,0.000136,  27.555
    34.0,0.000600,0.000440,0.001515,0.000150,  27.555
    34.2,0.000597,0.000434,0.001515,0.000101,  27.560
    34.4,0.000592,0.000428,0.001472,0.000123,  27.560
    34.6,0.000583,0.000420,0.001346,0.000136,  27.563
    34.8,0.000575,0.000418,0.001262,0.000088,  27.565
    35.0,0.000570,0.000414,0.001135,0.000110,  27.560
    35.2,0.000565,0.000412,0.000961,0.000123,  27.565
    35.4,0.000562,0.000410,0.000919,0.000074,  27.566
    35.6,0.000559,0.000406,0.000835,0.000110,  27.569
    35.8,0.000559,0.000400,0.000751,0.000123,  27.567
    36.0,0.000553,0.000397,0.000787,0.000074,  27.564
    36.2,0.000553,0.000392,0.000866,0.000110,  27.571
    36.4,0.000548,0.000382,0.000945,0.000110,  27.566
    36.6,0.000533,0.000373,0.000950,0.000074,  27.569
    36.8,0.000523,0.000369,0.000908,0.000110,  27.568
    37.0,0.000518,0.000368,0.000787,0.000096,  27.568
    37.2,0.000515,0.000368,0.000787,0.000096,  27.571
    37.4,0.000516,0.000364,0.000824,0.000096,  27.572
    37.6,0.000510,0.000358,0.000760,0.000096,  27.574
    37.8,0.000502,0.000359,0.000803,0.000096,  27.576
    38.0,0.000500,0.000353,0.000787,0.000074,  27.579
    38.2,0.000497,0.000353,0.000834,0.000096,  27.576
    38.4,0.000489,0.000346,0.000829,0.000096,  27.575
    38.6,0.000492,0.000342,0.000913,0.000096,  27.577
    38.8,0.000489,0.000341,0.000997,0.000118,  27.576
    39.0,0.000478,0.000340,0.001076,0.000118,  27.573
    39.2,0.000476,0.000338,0.001076,0.000118,  27.577
    39.4,0.000473,0.000333,0.000986,0.000118,  27.574
    39.6,0.000464,0.000327,0.000813,0.000118,  27.574
    39.8,0.000467,0.000325,0.000813,0.000118,  27.573
    40.0,0.000465,0.000315,0.000765,0.000118,  27.574
    40.2,0.000453,0.000317,0.000760,0.000118,  27.576
    40.4,0.000448,0.000313,0.000754,0.000118,  27.574
    40.6,0.000448,0.000309,0.000707,0.000118,  27.576
    40.8,0.000440,0.000311,0.000659,0.000118,  27.577
    41.0,0.000446,0.000309,0.000575,0.000118,  27.574
    41.2,0.000448,0.000306,0.000496,0.000118,  27.573
    41.4,0.000440,0.000301,0.000333,0.000118,  27.573
    41.6,0.000446,0.000302,0.000249,0.000118,  27.570
    41.8,0.000446,0.000302,0.000207,0.000118,  27.568
    42.0,0.000434,0.000299,0.000113,0.000118,  27.565
    42.2,0.000435,0.000298,0.000065,0.000118,  27.562
    42.4,0.000435,0.000296,0.000018,0.000118,  27.566
    42.6,0.000429,0.000298,-0.000066,0.000118,  27.563
    42.8,0.000432,0.000294,-0.000114,0.000118,  27.569
    43.0,0.000432,0.000288,-0.000203,0.000118,  27.569
    43.2,0.000423,0.000289,-0.000334,0.000118,  27.568
    43.4,0.000429,0.000287,-0.000292,0.000118,  27.564
    43.6,0.000427,0.000283,-0.000256,0.000118,  27.566
    43.8,0.000429,0.000286,-0.000177,0.000118,  27.566
    44.0,0.000429,0.000289,-0.000140,0.000118,  27.564
    44.2,0.000426,0.000291,-0.000051,0.000118,  27.566
    44.4,0.000426,0.000289,-0.000109,0.000118,  27.568
    44.6,0.000421,0.000285,-0.000073,0.000118,  27.567
    44.8,0.000410,0.000289,-0.000073,0.000118,  27.566
    45.0,0.000407,0.000286,-0.000073,0.000118,  27.566
    45.2,0.000402,0.000284,-0.000031,0.000118,  27.565
    45.4,0.000399,0.000277,-0.000073,0.000083,  27.564
    45.6,0.000396,0.000273,-0.000073,0.000118,  27.567
    45.8,0.000393,0.000274,-0.000120,0.000118,  27.564
    46.0,0.000388,0.000272,-0.000167,0.000118,  27.569
    46.2,0.000388,0.000272,-0.000204,0.000118,  27.566
    46.4,0.000385,0.000272,-0.000246,0.000118,  27.565
    46.6,0.000385,0.000270,-0.000330,0.000118,  27.567
    46.8,0.000385,0.000270,-0.000503,0.000118,  27.564
    47.0,0.000382,0.000268,-0.000624,0.000118,  27.563
    47.2,0.000386,0.000268,-0.000671,0.000118,  27.563
