Run Name,28%
Run Date,05:42:43 PM   03-30-09
Method Name,28%
Export Format Version, 1.00
Method ID,  736
Points/Second, 5.00
Number of Records,   3780
Offset from Run Start Time,00:00:00
Run End Time,00:12:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000056,0.000000, 28,-0.001423,0.000000,  28.013
     0.2,0.000053,0.000000, 28,-0.001423,0.000000,  28.015
     0.4,0.000083,0.000000, 28,-0.001423,0.000000,  28.014
     0.6,0.000067,0.000000, 28,-0.001423,0.000000,  28.016
     0.8,0.000000,0.000000, 28,0.000000,0.000000,  28.017
     1.0,0.000000,0.000000, 28,0.000000,0.000000,  28.018
     1.2,0.000000,0.000000, 28,0.000000,0.000000,  28.022
     1.4,0.000000,0.000000, 28,0.000000,0.000000,  28.015
     1.6,0.000000,0.000000, 28,0.000000,0.000000,  28.022
     1.8,0.000000,0.000000, 28,0.000000,0.000000,  28.020
     2.0,0.000000,0.000000, 28,0.000000,0.000000,  28.017
     2.2,0.000000,0.000000, 28,0.000000,0.000000,  28.020
     2.4,0.000000,0.000000, 28,0.000000,0.000000,  28.019
     2.6,0.000000,0.000000, 28,0.000000,0.000000,  28.017
     2.8,0.000000,0.000000, 28,0.000000,0.000000,  28.019
     3.0,0.000000,0.000000, 28,0.000000,0.000000,  28.024
     3.2,0.000000,0.000000, 28,0.000000,0.000000,  28.025
     3.4,0.000000,0.000000, 28,0.000000,0.000000,  28.023
     3.6,0.000000,0.000000, 28,0.000000,0.000000,  28.023
     3.8,0.000000,0.000000, 28,0.000000,0.000000,  28.021
     4.0,0.000000,0.000000, 28,0.000000,0.000000,  28.027
     4.2,0.000000,0.000000, 28,0.000000,0.000000,  28.027
     4.4,-0.000008,0.000000, 28,0.000000,0.000000,  28.023
     4.6,-0.000008,-0.000019, 28,0.000030,-0.000022,  28.024
     4.8,-0.000010,-0.000020, 28,0.000031,-0.000022,  28.024
     5.0,-0.000010,-0.000017, 28,0.000021,-0.000009,  28.028
     5.2,-0.000013,-0.000016, 28,-0.000005,0.000005,  28.029
