Run Name,25
Run Date,02:11:08 PM   03-21-12
Method Name,Group 6 lilly.2
Export Format Version, 1.00
Method ID, 1423
Points/Second, 5.00
Number of Records,  11136
Offset from Run Start Time,00:00:00
Run End Time,00:37:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000165,0.000000,0.000000,0.000000,  26.467
     0.2,-0.000171,0.000000,0.000000,0.000000,  26.469
     0.4,-0.000177,0.000000,0.000000,0.000000,  26.465
     0.6,-0.000182,0.000000,0.000000,0.000000,  26.465
     0.8,-0.000193,0.000000,0.000000,0.000000,  26.467
     1.0,-0.000250,0.000000,0.000000,0.000000,  26.466
     1.2,-0.000246,0.000000,0.000000,0.000000,  26.467
     1.4,-0.000247,0.000000,0.000000,0.000000,  26.472
     1.6,-0.000213,0.000000,0.000000,0.000000,  26.467
     1.8,0.000000,0.000000,0.000000,0.000000,  26.471
     2.0,0.000000,0.000000,0.000000,0.000000,  26.472
     2.2,0.000000,0.000000,0.000000,0.000000,  26.472
     2.4,0.000000,0.000000,0.000000,0.000000,  26.471
     2.6,0.000000,0.000000,0.000000,0.000000,  26.466
     2.8,0.000000,0.000000,0.000000,0.000000,  26.466
     3.0,0.000000,0.000000,0.000000,0.000000,  26.470
     3.2,0.000000,0.000000,0.000000,0.000000,  26.468
     3.4,0.000000,0.000000,0.000000,0.000000,  26.467
     3.6,0.000000,-0.000005,-0.000036,0.000000,  26.469
     3.8,0.000000,-0.000008,-0.000094,-0.000012,  26.463
     4.0,0.000000,-0.000015,-0.000146,-0.000034,  26.469
     4.2,0.000000,-0.000017,-0.000212,-0.000022,  26.473
     4.4,0.000000,-0.000023,-0.000285,-0.000009,  26.471
     4.6,-0.000019,-0.000029,-0.000377,-0.000031,  26.467
     4.8,-0.000017,-0.000033,-0.000404,-0.000053,  26.470
     5.0,-0.000021,-0.000032,-0.000396,-0.000053,  26.468
     5.2,-0.000019,-0.000034,-0.000370,-0.000074,  26.468
     5.4,-0.000024,-0.000030,-0.000373,-0.000062,  26.468
     5.6,-0.000020,-0.000030,-0.000385,-0.000050,  26.466
     5.8,-0.000025,-0.000030,-0.000399,-0.000059,  26.472
     6.0,-0.000033,-0.000031,-0.000396,-0.000046,  26.470
     6.2,-0.000033,-0.000031,-0.000386,-0.000068,  26.468
     6.4,-0.000032,-0.000035,-0.000378,-0.000090,  26.465
     6.6,-0.000032,-0.000036,-0.000366,-0.000077,  26.465
     6.8,-0.000031,-0.000036,-0.000348,-0.000077,  26.470
     7.0,-0.000033,-0.000042,-0.000330,-0.000111,  26.471
     7.2,-0.000033,-0.000043,-0.000312,-0.000099,  26.466
     7.4,-0.000033,-0.000047,-0.000295,-0.000065,  26.468
     7.6,-0.000035,-0.000046,-0.000278,-0.000053,  26.469
     7.8,-0.000043,-0.000048,-0.000298,-0.000053,  26.471
     8.0,-0.000043,-0.000053,-0.000347,-0.000053,  26.471
     8.2,-0.000038,-0.000052,-0.000411,-0.000040,  26.467
     8.4,-0.000044,-0.000055,-0.000388,-0.000062,  26.471
     8.6,-0.000046,-0.000063,-0.000342,-0.000049,  26.470
