Run Name,RUN 20
Run Date,06:17:41 PM   04-10-12
Method Name,condon group20
Export Format Version, 1.00
Method ID, 1460
Points/Second, 5.00
Number of Records,  30287
Offset from Run Start Time,00:00:00
Run End Time,01:41:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000455,0.000000,-0.000246,0.000000,  23.507
     0.2,-0.000454,0.000000,-0.000246,0.000000,  23.510
     0.4,-0.000463,0.000000,-0.000246,0.000000,  23.512
     0.6,-0.000199,0.000000,-0.000246,0.000000,  23.515
     0.8,0.000000,0.000000,0.000000,0.000000,  23.514
     1.0,0.000000,0.000000,0.000000,0.000000,  23.522
     1.2,0.000000,0.000000,0.000000,0.000000,  23.522
     1.4,0.000000,0.000000,0.000000,0.000000,  23.526
     1.6,0.000000,0.000000,0.000000,0.000000,  23.529
     1.8,0.000000,0.000000,0.000000,0.000000,  23.528
     2.0,0.000000,0.000000,0.000000,0.000000,  23.525
     2.2,0.000000,0.000000,0.000000,0.000000,  23.525
     2.4,0.000000,0.000000,0.000000,0.000000,  23.528
     2.6,0.000000,0.000000,0.000000,0.000000,  23.526
     2.8,0.000000,0.000000,0.000000,0.000000,  23.524
     3.0,0.000000,0.000000,0.000000,0.000000,  23.521
     3.2,0.000000,0.000000,0.000000,0.000000,  23.521
     3.4,0.000000,0.000000,0.000000,0.000000,  23.518
     3.6,0.000006,0.000008,0.000000,0.000000,  23.516
     3.8,0.000003,0.000010,0.000000,-0.000023,  23.514
     4.0,0.000006,0.000019,0.000828,-0.000033,  23.514
     4.2,0.000006,0.000018,0.001022,-0.000106,  23.510
     4.4,0.000006,0.000013,0.001200,-0.000069,  23.509
     4.6,0.000003,0.000008,0.001359,-0.000106,  23.504
     4.8,0.000006,0.000009,0.001502,-0.000069,  23.505
     5.0,0.000006,0.000005,0.001633,-0.000083,  23.503
     5.2,0.000000,-0.000002,0.001742,-0.000119,  23.503
     5.4,0.000001,0.000002,0.001770,-0.000083,  23.503
     5.6,0.000001,-0.000001,0.001754,-0.000083,  23.504
     5.8,-0.000005,-0.000004,0.001687,-0.000119,  23.505
     6.0,-0.000002,0.000001,0.001733,-0.000069,  23.505
     6.2,-0.000004,-0.000001,0.001826,-0.000069,  23.504
     6.4,-0.000011,0.000001,0.001952,-0.000106,  23.503
     6.6,-0.000004,-0.000000,0.001990,-0.000056,  23.502
     6.8,-0.000004,-0.000003,0.002003,-0.000069,  23.502
     7.0,-0.000004,0.000002,0.001982,-0.000106,  23.496
     7.2,-0.000007,-0.000000,0.001989,-0.000056,  23.495
     7.4,-0.000010,-0.000002,0.001981,-0.000069,  23.489
     7.6,-0.000018,0.000002,0.001959,-0.000106,  23.484
     7.8,-0.000012,0.000002,0.001932,-0.000056,  23.480
     8.0,-0.000006,0.000003,0.001916,-0.000069,  23.473
     8.2,-0.000003,-0.000001,0.001885,-0.000069,  23.469
     8.4,-0.000003,-0.000001,0.001887,-0.000056,  23.471
     8.6,-0.000006,-0.000005,0.001910,-0.000069,  23.460
     8.8,-0.000003,-0.000005,0.001951,-0.000069,  23.455
     9.0,-0.000006,0.000003,0.001981,-0.000056,  23.450
     9.2,-0.000008,0.000000,0.002018,-0.000069,  23.450
     9.4,-0.000008,-0.000002,0.002050,-0.000069,  23.447
     9.6,-0.000008,0.000003,0.002095,-0.000106,  23.445
     9.8,-0.000011,0.000003,0.002111,-0.000056,  23.436
    10.0,-0.000008,0.000002,0.002117,-0.000069,  23.433
    10.2,-0.000006,-0.000001,0.002117,-0.000106,  23.426
    10.4,-0.000006,-0.000001,0.002089,-0.000056,  23.426
    10.6,-0.000003,0.000002,0.002031,-0.000069,  23.423
    10.8,-0.000003,0.000000,0.001970,-0.000093,  23.416
    11.0,-0.000006,0.000001,0.001947,-0.000056,  23.410
    11.2,-0.000003,-0.000001,0.001926,-0.000056,  23.414
    11.4,-0.000003,0.000001,0.001918,-0.000079,  23.412
    11.6,-0.000006,0.000004,0.001896,-0.000093,  23.403
    11.8,-0.000003,0.000006,0.001867,-0.000093,  23.403
    12.0,-0.000003,0.000005,0.001837,-0.000116,  23.395
    12.2,-0.000006,0.000005,0.001872,-0.000116,  23.396
    12.4,-0.000003,0.000002,0.001923,-0.000079,  23.397
    12.6,-0.000003,-0.000000,0.002009,-0.000103,  23.391
    12.8,-0.000006,0.000011,0.002044,-0.000103,  23.393
    13.0,-0.000003,0.000013,0.002060,-0.000079,  23.393
    13.2,-0.000003,0.000008,0.002054,-0.000103,  23.391
