Run Name,23
Run Date,04:49:12 PM   04-10-12
Method Name,condon group23
Export Format Version, 1.00
Method ID, 1456
Points/Second, 5.00
Number of Records,  14005
Offset from Run Start Time,00:00:00
Run End Time,00:46:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000140,-0.000292,-0.002032,0.000000,  25.497
     0.2,0.000145,-0.000292,-0.002032,0.000000,  25.499
     0.4,0.000148,-0.000289,-0.002032,0.000000,  25.499
     0.6,0.000148,-0.000287,-0.002032,0.000000,  25.497
     0.8,0.000151,-0.000285,0.000000,0.000000,  25.498
     1.0,0.000153,-0.000281,0.000000,0.000000,  25.497
     1.2,0.000156,-0.000277,0.000000,0.000000,  25.499
     1.4,0.000156,-0.000275,0.000000,0.000000,  25.496
     1.6,0.000158,-0.000273,0.000000,0.000000,  25.503
     1.8,0.000161,-0.000269,0.000000,0.000000,  25.499
     2.0,0.000164,-0.000266,0.000000,0.000000,  25.505
     2.2,0.000166,-0.000266,0.000000,0.000000,  25.505
     2.4,0.000166,-0.000266,0.000000,0.000000,  25.507
     2.6,0.000166,-0.000264,0.000000,0.000000,  25.511
     2.8,0.000166,-0.000262,0.000000,0.000000,  25.512
     3.0,-0.000344,0.000004,0.000000,0.000000,  25.515
     3.2,-0.000362,0.000004,0.000000,0.000000,  25.516
     3.4,-0.000358,-0.000133,0.000000,0.000000,  25.522
     3.6,-0.000078,-0.000421,0.000000,0.000000,  25.521
     3.8,0.000000,-0.000421,0.000000,0.000000,  25.525
     4.0,0.000000,0.000000,0.000000,0.000000,  25.531
     4.2,0.000000,0.000000,0.000000,0.000000,  25.529
     4.4,0.000000,0.000000,0.000000,-0.000010,  25.535
     4.6,0.000000,0.000000,0.000068,0.000003,  25.532
     4.8,0.000000,0.000000,0.000091,0.000003,  25.535
     5.0,0.000000,0.000000,0.000100,-0.000046,  25.537
     5.2,0.000000,0.000000,0.000107,-0.000069,  25.540
     5.4,0.000000,0.000000,0.000100,-0.000069,  25.543
     5.6,0.000000,0.000000,0.000077,-0.000069,  25.549
     5.8,0.000000,0.000000,0.000041,-0.000092,  25.549
     6.0,0.000000,0.000000,0.000005,-0.000106,  25.554
     6.2,0.000000,0.000000,-0.000033,-0.000069,  25.551
     6.4,0.000000,0.000000,-0.000077,-0.000056,  25.557
     6.6,0.000000,0.000000,-0.000201,-0.000056,  25.560
     6.8,0.000000,0.000000,-0.000367,-0.000056,  25.558
     7.0,0.000000,0.000000,-0.000577,-0.000043,  25.561
     7.2,0.000000,0.000000,-0.000598,-0.000056,  25.558
     7.4,-0.000015,0.000000,-0.000547,-0.000069,  25.559
     7.6,-0.000021,-0.000005,-0.000426,-0.000056,  25.565
     7.8,-0.000018,-0.000011,-0.000380,-0.000069,  25.567
