Run Name,50
Run Date,02:38:59 PM   04-10-12
Method Name,condon group50
Export Format Version, 1.00
Method ID, 1451
Points/Second, 5.00
Number of Records,   8039
Offset from Run Start Time,00:00:00
Run End Time,00:26:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000529,0.000000,0.000707,0.000000,  47.744
     0.2,0.000532,0.000000,0.000707,0.000000,  47.744
     0.4,0.000528,0.000000,0.000707,0.000000,  47.744
     0.6,0.000532,0.000000,0.000707,0.000000,  47.748
     0.8,0.000000,0.000000,0.000707,0.000000,  47.745
     1.0,0.000000,0.000000,0.000000,0.000000,  47.753
     1.2,0.000000,0.000000,0.000000,0.000000,  47.750
     1.4,0.000000,0.000000,0.000000,0.000000,  47.753
     1.6,0.000000,0.000000,0.000000,0.000000,  47.755
     1.8,0.000000,0.000000,0.000000,0.000000,  47.753
     2.0,0.000000,0.000000,0.000000,0.000000,  47.754
     2.2,0.000000,0.000000,0.000000,0.000000,  47.754
     2.4,0.000000,0.000000,0.000000,0.000000,  47.754
     2.6,0.000000,0.000000,0.000000,0.000000,  47.754
     2.8,0.000000,0.000000,0.000000,0.000000,  47.757
     3.0,0.000000,0.000000,0.000000,0.000000,  47.759
     3.2,0.000000,0.000000,0.000000,0.000000,  47.756
     3.4,0.000000,0.000000,0.000000,0.000000,  47.759
     3.6,0.000000,0.000000,0.000000,0.000000,  47.758
     3.8,0.000000,0.000000,0.000000,0.000000,  47.754
     4.0,0.000000,0.000000,0.000000,0.000000,  47.757
     4.2,0.000000,0.000000,0.000000,0.000000,  47.756
     4.4,0.000000,0.000000,0.000000,-0.000013,  47.755
     4.6,0.000005,0.000000,0.000162,-0.000013,  47.754
     4.8,0.000008,0.000005,0.000163,-0.000013,  47.751
     5.0,0.000014,0.000007,0.000155,0.000000,  47.751
     5.2,0.000017,0.000002,0.000140,0.000000,  47.749
     5.4,0.000011,0.000008,0.000117,0.000013,  47.743
     5.6,0.000014,0.000006,0.000074,-0.000036,  47.740
     5.8,0.000017,0.000008,0.000030,-0.000023,  47.740
     6.0,0.000011,0.000002,0.000015,-0.000059,  47.738
     6.2,0.000017,-0.000000,0.000007,-0.000046,  47.736
     6.4,0.000013,0.000006,0.000007,-0.000046,  47.736
     6.6,0.000013,0.000005,0.000019,-0.000069,  47.733
     6.8,0.000016,0.000006,0.000010,-0.000069,  47.733
     7.0,0.000009,0.000001,-0.000012,-0.000069,  47.726
     7.2,0.000016,0.000003,-0.000035,-0.000092,  47.726
     7.4,0.000016,-0.000002,-0.000063,-0.000092,  47.725
     7.6,0.000009,0.000000,-0.000105,-0.000069,  47.723
     7.8,0.000016,-0.000004,-0.000129,-0.000092,  47.719
     8.0,0.000013,-0.000003,-0.000136,-0.000092,  47.713
     8.2,0.000009,-0.000003,-0.000137,-0.000069,  47.711
     8.4,0.000016,-0.000005,-0.000130,-0.000092,  47.710
     8.6,0.000013,-0.000005,-0.000175,-0.000092,  47.711
     8.8,0.000009,-0.000007,-0.000243,-0.000056,  47.705
     9.0,0.000016,-0.000005,-0.000347,-0.000079,  47.703
     9.2,0.000016,0.000003,-0.000317,-0.000092,  47.703
     9.4,0.000009,-0.000002,-0.000238,-0.000056,  47.705
     9.6,0.000016,-0.000003,-0.000119,-0.000079,  47.704
