Run Name,24
Run Date,05:28:38 PM   02-10-09
Method Name,24%
Export Format Version, 1.00
Method ID,  652
Points/Second, 5.00
Number of Records,   6896
Offset from Run Start Time,00:00:00
Run End Time,00:23:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000063,0.000000, 24,-0.000937,0.000000,  26.047
     0.2,-0.000068,0.000000, 24,-0.000937,0.000000,  26.045
     0.4,-0.000035,0.000000, 24,-0.000937,0.000000,  26.044
     0.6,-0.000062,0.000000, 24,-0.000937,0.000000,  26.048
     0.8,0.000000,0.000000, 24,-0.000937,0.000000,  26.049
     1.0,0.000000,0.000000, 24,0.000000,0.000000,  26.047
     1.2,0.000000,0.000000, 24,0.000000,0.000000,  26.045
     1.4,0.000000,0.000000, 24,0.000000,0.000000,  26.049
     1.6,0.000000,0.000000, 24,0.000000,0.000000,  26.047
     1.8,0.000000,0.000000, 24,0.000000,0.000000,  26.049
     2.0,0.000000,0.000000, 24,0.000000,0.000000,  26.049
     2.2,0.000000,0.000000, 24,0.000000,0.000000,  26.049
     2.4,0.000000,0.000000, 24,0.000000,0.000000,  26.049
     2.6,0.000000,0.000000, 24,0.000000,0.000000,  26.048
     2.8,0.000000,0.000000, 24,0.000000,0.000000,  26.049
     3.0,0.000000,0.000000, 24,0.000000,0.000000,  26.050
     3.2,0.000000,0.000000, 24,0.000000,0.000000,  26.051
     3.4,0.000000,0.000000, 24,0.000000,0.000000,  26.052
     3.6,0.000000,0.000000, 24,0.000000,0.000000,  26.053
     3.8,0.000000,0.000000, 24,0.000000,0.000000,  26.055
     4.0,0.000000,0.000000, 24,0.000000,0.000000,  26.048
     4.2,0.000000,0.000000, 24,0.000000,0.000000,  26.054
     4.4,-0.000036,0.000023, 24,0.000000,0.000034,  26.052
     4.6,-0.000024,0.000037, 24,-0.000333,0.000048,  26.049
     4.8,-0.000015,0.000050, 24,-0.000402,0.000034,  26.050
     5.0,-0.000008,0.000051, 24,-0.000450,0.000034,  26.051
     5.2,-0.000003,0.000057, 24,-0.000491,0.000034,  26.052
     5.4,-0.000003,0.000049, 24,-0.000517,0.000048,  26.050
     5.6,-0.000010,0.000048, 24,-0.000519,0.000034,  26.047
     5.8,-0.000010,0.000053, 24,-0.000503,0.000034,  26.047
     6.0,-0.000008,0.000056, 24,-0.000495,0.000013,  26.047
     6.2,-0.000010,0.000055, 24,-0.000471,-0.000001,  26.045
     6.4,-0.000010,0.000057, 24,-0.000431,-0.000001,  26.046
     6.6,-0.000006,0.000054, 24,-0.000448,-0.000022,  26.043
     6.8,-0.000006,0.000052, 24,-0.000488,-0.000036,  26.048
     7.0,-0.000006,0.000048, 24,-0.000539,-0.000036,  26.049
     7.2,-0.000006,0.000050, 24,-0.000540,-0.000057,  26.047
     7.4,-0.000010,0.000050, 24,-0.000537,-0.000070,  26.047
     7.6,-0.000010,0.000049, 24,-0.000510,-0.000036,  26.046
     7.8,-0.000010,0.000053, 24,-0.000478,-0.000057,  26.050
     8.0,-0.000013,0.000058, 24,-0.000493,-0.000022,  26.045
     8.2,-0.000010,0.000058, 24,-0.000519,-0.000022,  26.047
     8.4,-0.000006,0.000063, 24,-0.000560,-0.000043,  26.046
     8.6,0.000004,0.000058, 24,-0.000572,-0.000008,  26.045
     8.8,-0.000003,0.000053, 24,-0.000589,-0.000008,  26.044
     9.0,-0.000024,0.000042, 24,-0.000588,-0.000043,  26.039
     9.2,-0.000040,0.000037, 24,-0.000561,-0.000008,  26.045
     9.4,-0.000042,0.000036, 24,-0.000512,-0.000036,  26.046
     9.6,-0.000040,0.000035, 24,-0.000447,-0.000070,  26.046
     9.8,-0.000025,0.000033, 24,-0.000407,-0.000022,  26.043
    10.0,-0.000022,0.000032, 24,-0.000376,-0.000036,  26.043
    10.2,-0.000022,0.000034, 24,-0.000356,-0.000057,  26.042
    10.4,-0.000018,0.000037, 24,-0.000334,-0.000022,  26.042
    10.6,-0.000018,0.000035, 24,-0.000322,-0.000022,  26.040
