Run Name,30%
Run Date,03:41:11 PM   02-10-09
Method Name,30%
Export Format Version, 1.00
Method ID,  649
Points/Second, 5.00
Number of Records,   7069
Offset from Run Start Time,00:00:00
Run End Time,00:23:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000125,0.000084, 30,-0.000245,0.000021,  30.865
     0.2,0.000120,0.000081, 30,-0.000257,0.000021,  30.862
     0.4,0.000118,0.000083, 30,-0.000273,-0.000014,  30.858
     0.6,0.000118,0.000080, 30,-0.000287,0.000021,  30.860
     0.8,0.000115,0.000078, 30,-0.000280,0.000021,  30.861
     1.0,0.000118,0.000083, 30,-0.000268,-0.000014,  30.859
     1.2,0.000221,0.000000, 30,-0.000251,0.000021,  30.856
     1.4,0.000260,0.000000, 30,-0.000261,0.000021,  30.860
     1.6,0.000228,0.000000, 30,-0.000289,-0.000014,  30.852
     1.8,0.000247,0.000000, 30,-0.000321,0.000021,  30.856
     2.0,0.000000,0.000000, 30,-0.000424,0.000056,  30.851
     2.2,0.000000,0.000000, 30,-0.000567,0.000028,  30.854
     2.4,0.000000,0.000000, 30,-0.000335,0.000000,  30.854
     2.6,0.000000,0.000000, 30,-0.000335,0.000000,  30.849
     2.8,0.000000,0.000000, 30,-0.000335,0.000000,  30.848
     3.0,0.000000,0.000000, 30,-0.000335,0.000000,  30.852
     3.2,0.000000,0.000000, 30,-0.000335,0.000000,  30.851
     3.4,0.000000,0.000000, 30,0.000000,0.000000,  30.851
     3.6,0.000000,0.000000, 30,0.000000,0.000000,  30.849
     3.8,0.000000,0.000000, 30,0.000000,0.000000,  30.846
     4.0,0.000000,0.000000, 30,0.000000,0.000000,  30.849
     4.2,0.000000,0.000000, 30,0.000000,0.000000,  30.843
     4.4,0.000000,0.000000, 30,0.000000,0.000000,  30.846
     4.6,0.000000,0.000000, 30,0.000000,0.000000,  30.846
     4.8,0.000000,0.000000, 30,0.000000,0.000000,  30.847
     5.0,0.000000,0.000000, 30,0.000000,0.000000,  30.843
     5.2,0.000000,0.000000, 30,0.000000,0.000000,  30.849
     5.4,0.000000,0.000000, 30,0.000000,0.000000,  30.845
     5.6,-0.000009,-0.000020, 30,0.000000,0.000000,  30.841
     5.8,-0.000019,-0.000031, 30,0.000000,0.000000,  30.843
     6.0,-0.000023,-0.000039, 30,0.000000,0.000000,  30.846
     6.2,-0.000026,-0.000045, 30,0.000000,0.000000,  30.840
