Run Name,Run 1
Run Date,04:54:49 PM   03-10-11
Method Name,Group 12 Gradient 220-350 over 40min
Export Format Version, 1.00
Method ID, 1259
Points/Second, 1.00
Number of Records,   2507
Offset from Run Start Time,00:00:00
Run End Time,00:41:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001709,0.001172,0.000235,0.000000,  24.635
     1.0,0.001704,0.001175,0.000000,0.000000,  24.626
     2.0,0.001693,0.001165,0.000000,0.000000,  24.619
     3.0,0.000000,0.001157,0.000000,0.000000,  24.624
     4.0,0.000000,0.000000,0.000000,0.000000,  24.620
     5.0,0.000000,0.000000,-0.000021,-0.000053,  24.621
     6.0,0.000000,0.000000,-0.000004,-0.000053,  24.627
     7.0,0.000000,0.000000,-0.000151,-0.000053,  24.622
     8.0,0.000013,0.000000,-0.000115,-0.000053,  24.629
     9.0,0.000005,0.000005,-0.000079,-0.000075,  24.630
    10.0,-0.000002,-0.000010,-0.000173,-0.000062,  24.633
    11.0,0.000009,-0.000012,-0.000084,-0.000062,  24.632
    12.0,-0.000004,-0.000012,-0.000051,-0.000084,  24.636
    13.0,-0.000023,-0.000018,-0.000066,-0.000062,  24.632
    14.0,-0.000013,-0.000020,-0.000018,-0.000062,  24.635
    15.0,-0.000016,-0.000025,-0.000070,-0.000111,  24.635
    16.0,-0.000016,-0.000019,-0.000065,-0.000111,  24.646
    17.0,-0.000018,-0.000027,-0.000164,-0.000097,  24.643
    18.0,-0.000022,-0.000033,-0.000145,-0.000097,  24.648
    19.0,-0.000010,-0.000031,-0.000169,-0.000097,  24.650
    20.0,-0.000024,-0.000029,-0.000092,-0.000084,  24.647
    21.0,-0.000027,-0.000035,-0.000096,-0.000097,  24.653
    22.0,-0.000017,-0.000033,-0.000023,-0.000097,  24.652
    23.0,-0.000018,-0.000026,-0.000001,-0.000119,  24.651
    24.0,-0.000022,-0.000025,0.000025,-0.000106,  24.656
    25.0,-0.000010,-0.000017,-0.000105,-0.000106,  24.660
    26.0,-0.000013,-0.000025,-0.000097,-0.000106,  24.656
    27.0,-0.000017,-0.000020,-0.000078,-0.000106,  24.659
    28.0,-0.000016,-0.000019,-0.000007,-0.000141,  24.660
    29.0,-0.000020,-0.000021,-0.000069,-0.000092,  24.661
    30.0,-0.000007,-0.000017,-0.000017,-0.000106,  24.662
    31.0,-0.000010,-0.000011,-0.000039,-0.000128,  24.660
    32.0,-0.000010,-0.000019,-0.000069,-0.000092,  24.667
    33.0,-0.000013,-0.000016,-0.000069,-0.000106,  24.666
    34.0,-0.000021,-0.000026,-0.000217,-0.000141,  24.662
    35.0,-0.000021,-0.000031,-0.000171,-0.000106,  24.666
    36.0,-0.000018,-0.000034,-0.000219,-0.000128,  24.673
    37.0,-0.000023,-0.000030,-0.000107,-0.000128,  24.677
    38.0,-0.000014,-0.000032,-0.000070,-0.000128,  24.671
    39.0,-0.000008,-0.000026,-0.000209,-0.000128,  24.681
    40.0,-0.000003,-0.000017,-0.000046,-0.000164,  24.683
    41.0,0.000005,-0.000011,-0.000015,-0.000141,  24.685
    42.0,-0.000003,-0.000011,-0.000207,-0.000141,  24.686
    43.0,-0.000010,-0.000014,-0.000004,-0.000119,  24.683
    44.0,-0.000003,-0.000012,0.000051,-0.000128,  24.684
    45.0,0.000002,-0.000011,0.000044,-0.000079,  24.685
    46.0,0.000017,-0.000012,0.000056,-0.000092,  24.681
    47.0,0.000016,-0.000006,-0.000008,-0.000101,  24.682
    48.0,0.000004,0.000003,-0.000009,-0.000137,  24.680
    49.0,0.000012,-0.000001,0.000077,-0.000101,  24.681
    50.0,0.000020,0.000004,0.000232,-0.000088,  24.679
    51.0,0.000024,0.000016,0.000291,-0.000101,  24.676
    52.0,0.000031,0.000015,0.000340,-0.000115,  24.674
    53.0,0.000053,0.000029,-0.001231,-0.000137,  24.674
    54.0,0.000042,0.000034,-0.000333,-0.000115,  24.673
    55.0,0.000023,0.000035,0.000027,-0.000101,  24.669
    56.0,0.000035,0.000042,0.000120,-0.000137,  24.664
    57.0,0.000037,0.000024,0.000103,-0.000101,  24.666
    58.0,0.000034,0.000030,0.000192,-0.000101,  24.660
    59.0,0.000042,0.000034,0.000116,-0.000101,  24.658
    60.0,0.000047,0.000032,0.000069,-0.000101,  24.666
    61.0,0.000034,0.000034,-0.000043,-0.000137,  24.661
    62.0,0.000024,0.000044,0.000016,-0.000128,  24.660
