Run Name,elliot template 1
Run Date,03:03:04 PM   05-03-12
Method Name,LinearGradientTemplate.1
Export Format Version, 1.00
Method ID, 1495
Points/Second, 5.00
Number of Records,   6270
Offset from Run Start Time,00:00:00
Run End Time,00:20:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000627,-0.355484,0.116635,0.000000,  19.406
     0.2,0.000631,-0.355484,0.116635,0.000000,  19.408
     0.4,0.000708,-0.355559,0.116635,0.000000,  19.404
     0.6,0.000759,-0.355705,0.116635,0.000000,  19.405
     0.8,0.000000,-0.355705,0.000000,0.000000,  19.410
     1.0,0.000000,0.000000,0.000000,0.000000,  19.407
     1.2,0.000000,0.000000,0.000000,0.000000,  19.405
     1.4,0.000000,0.000000,0.000000,0.000000,  19.405
     1.6,0.000000,0.000000,0.000000,0.000000,  19.401
     1.8,0.000000,0.000000,0.000000,0.000000,  19.401
     2.0,0.000000,0.000000,0.000000,0.000000,  19.404
     2.2,0.000000,0.000000,0.000000,0.000000,  19.405
     2.4,0.000000,0.000000,0.000000,0.000000,  19.403
     2.6,0.000000,0.000000,0.000000,0.000000,  19.399
     2.8,0.000000,0.000000,0.000000,0.000000,  19.401
     3.0,0.000000,0.000000,0.000000,0.000000,  19.407
     3.2,0.000000,0.000000,0.000000,0.000000,  19.404
     3.4,0.000000,0.000000,0.000000,0.000000,  19.406
     3.6,0.000000,0.000000,0.000000,0.000000,  19.406
     3.8,0.000000,0.000000,0.000000,0.000000,  19.408
     4.0,0.000000,-0.000003,0.000000,0.000000,  19.405
     4.2,-0.000007,0.000001,0.000022,0.000000,  19.407
     4.4,-0.000011,0.000003,0.000013,-0.000035,  19.407
     4.6,-0.000007,0.000006,-0.000020,-0.000057,  19.405
     4.8,-0.000007,0.000003,-0.000064,-0.000044,  19.404
     5.0,-0.000007,0.000007,-0.000139,-0.000057,  19.407
     5.2,-0.000013,0.000005,-0.000253,-0.000044,  19.403
     5.4,-0.000010,0.000002,-0.000253,-0.000079,  19.406
     5.6,-0.000010,0.000000,-0.000220,-0.000079,  19.406
     5.8,-0.000010,-0.000002,-0.000148,-0.000066,  19.406
     6.0,-0.000004,-0.000002,-0.000388,-0.000101,  19.411
     6.2,-0.000004,-0.000002,-0.000755,-0.000101,  19.408
     6.4,-0.000007,0.000002,-0.001263,-0.000123,  19.410
     6.6,-0.000007,0.000007,-0.001679,-0.000123,  19.408
     6.8,-0.000007,0.000002,-0.002100,-0.000137,  19.408
     7.0,-0.000011,0.000007,-0.002544,-0.000172,  19.411
     7.2,-0.000007,0.000009,-0.002448,-0.000123,  19.412
     7.4,-0.000007,0.000011,-0.002109,-0.000123,  19.410
     7.6,-0.000011,0.000004,-0.001513,-0.000159,  19.409
     7.8,-0.000007,0.000001,-0.001298,-0.000110,  19.412
     8.0,-0.000007,0.000005,-0.001153,-0.000123,  19.408
     8.2,-0.000011,0.000001,-0.001076,-0.000159,  19.408
     8.4,-0.000007,0.000007,-0.000941,-0.000110,  19.407
     8.6,-0.000007,0.000005,-0.000818,-0.000123,  19.410
     8.8,-0.000011,0.000005,-0.000697,-0.000159,  19.410
     9.0,-0.000007,0.000003,-0.000626,-0.000110,  19.409
     9.2,-0.000007,-0.000001,-0.000595,-0.000123,  19.413
     9.4,-0.000013,-0.000002,-0.000589,-0.000159,  19.407
     9.6,-0.000013,-0.000001,-0.000532,-0.000145,  19.409
     9.8,-0.000013,-0.000001,-0.000474,-0.000159,  19.409
    10.0,-0.000011,-0.000004,-0.000408,-0.000207,  19.405
    10.2,-0.000008,0.000006,-0.000406,-0.000207,  19.409
    10.4,-0.000002,0.000008,-0.000417,-0.000185,  19.409
    10.6,0.000001,0.000008,-0.000461,-0.000220,  19.410
    10.8,-0.000003,0.000013,-0.000434,-0.000207,  19.406
    11.0,0.000006,0.000015,-0.000368,-0.000159,  19.412
    11.2,0.000009,0.000017,-0.000276,-0.000181,  19.411
    11.4,0.000009,0.000017,-0.000267,-0.000168,  19.406
    11.6,0.000015,0.000020,-0.000287,-0.000159,  19.404
    11.8,0.000018,0.000016,-0.000353,-0.000159,  19.409
    12.0,0.000018,0.000016,-0.000351,-0.000145,  19.406
    12.2,0.000024,0.000015,-0.000327,-0.000181,  19.406
    12.4,0.000024,0.000015,-0.000302,-0.000145,  19.405
    12.6,0.000018,0.000014,-0.000293,-0.000181,  19.404
    12.8,0.000018,0.000016,-0.000271,-0.000181,  19.403
    13.0,0.000018,0.000014,-0.000276,-0.000181,  19.403
    13.2,0.000015,0.000017,-0.000271,-0.000216,  19.404
    13.4,0.000012,0.000013,-0.000302,-0.000181,  19.403
    13.6,0.000015,0.000011,-0.000342,-0.000181,  19.405
    13.8,0.000012,0.000007,-0.000386,-0.000216,  19.404
    14.0,0.000016,0.000005,-0.000393,-0.000181,  19.406
    14.2,0.000019,0.000007,-0.000401,-0.000181,  19.402
    14.4,0.000015,0.000008,-0.000392,-0.000216,  19.402
    14.6,0.000020,0.000006,-0.000415,-0.000181,  19.401
    14.8,0.000020,0.000007,-0.000463,-0.000181,  19.401
    15.0,0.000017,0.000005,-0.000514,-0.000216,  19.398
    15.2,0.000016,0.000005,-0.000538,-0.000168,  19.398
    15.4,0.000012,0.000004,-0.000545,-0.000168,  19.401
    15.6,0.000012,-0.000001,-0.000547,-0.000203,  19.398
    15.8,0.000016,0.000000,-0.000556,-0.000154,  19.397
    16.0,0.000012,0.000002,-0.000571,-0.000168,  19.396
    16.2,0.000012,0.000002,-0.000591,-0.000190,  19.396
    16.4,0.000010,0.000000,-0.000655,-0.000190,  19.394
    16.6,0.000006,-0.000002,-0.000752,-0.000190,  19.391
    16.8,0.000006,0.000001,-0.000875,-0.000225,  19.389
    17.0,0.000006,0.000001,-0.000897,-0.000225,  19.394
    17.2,0.000000,0.000001,-0.000873,-0.000203,  19.390
    17.4,0.000000,-0.000003,-0.000831,-0.000238,  19.389
    17.6,0.000006,-0.000002,-0.000788,-0.000225,  19.386
    17.8,0.000006,-0.000005,-0.000714,-0.000203,  19.386
    18.0,0.000006,-0.000005,-0.000639,-0.000238,  19.385
    18.2,0.000006,-0.000003,-0.000614,-0.000225,  19.389
    18.4,0.000006,-0.000005,-0.000605,-0.000203,  19.386
    18.6,0.000006,-0.000008,-0.000603,-0.000238,  19.387
    18.8,0.000004,-0.000007,-0.000579,-0.000225,  19.389
    19.0,0.000004,-0.000003,-0.000561,-0.000203,  19.384
    19.2,0.000004,-0.000005,-0.000535,-0.000225,  19.383
    19.4,0.000006,0.000004,-0.000550,-0.000225,  19.379
    19.6,0.000004,0.000004,-0.000583,-0.000225,  19.378
    19.8,0.000003,0.000006,-0.000647,-0.000212,  19.379
    20.0,0.000009,0.000001,-0.000678,-0.000225,  19.382
    20.2,0.000009,-0.000004,-0.000702,-0.000225,  19.380
    20.4,0.000011,-0.000001,-0.000713,-0.000212,  19.378
    20.6,0.000011,-0.000004,-0.000680,-0.000225,  19.376
    20.8,0.000009,-0.000008,-0.000616,-0.000225,  19.378
    21.0,0.000009,-0.000008,-0.000532,-0.000225,  19.376
    21.2,0.000011,-0.000005,-0.000508,-0.000225,  19.379
    21.4,0.000014,-0.000005,-0.000508,-0.000225,  19.375
    21.6,0.000017,-0.000005,-0.000539,-0.000225,  19.378
    21.8,0.000011,-0.000001,-0.000570,-0.000212,  19.378
    22.0,0.000013,0.000005,-0.000597,-0.000225,  19.380
    22.2,0.000013,0.000002,-0.000645,-0.000225,  19.376
    22.4,0.000004,0.000003,-0.000698,-0.000212,  19.376
    22.6,0.000005,0.000005,-0.000714,-0.000225,  19.376
    22.8,0.000003,0.000001,-0.000723,-0.000225,  19.371
    23.0,0.000000,-0.000002,-0.000736,-0.000212,  19.374
    23.2,0.000001,-0.000006,-0.000726,-0.000225,  19.376
    23.4,0.000001,-0.000006,-0.000707,-0.000225,  19.377
    23.6,-0.000002,-0.000011,-0.000669,-0.000212,  19.375
    23.8,-0.000002,-0.000012,-0.000651,-0.000225,  19.375
    24.0,0.000007,-0.000011,-0.000642,-0.000225,  19.374
    24.2,0.000005,-0.000014,-0.000627,-0.000212,  19.374
    24.4,0.000002,-0.000016,-0.000609,-0.000225,  19.377
    24.6,0.000008,-0.000018,-0.000600,-0.000225,  19.377
    24.8,0.000008,-0.000019,-0.000596,-0.000212,  19.377
    25.0,-0.000001,-0.000017,-0.000613,-0.000225,  19.378
    25.2,-0.000001,-0.000017,-0.000660,-0.000225,  19.368
    25.4,0.000002,-0.000016,-0.000713,-0.000212,  19.375
    25.6,-0.000001,-0.000015,-0.000720,-0.000225,  19.373
