Run Name,Grad 2-15-38.6
Run Date,03:27:30 PM   02-13-09
Method Name,Grad 2
Export Format Version, 1.00
Method ID,  665
Points/Second, 5.00
Number of Records,   7470
Offset from Run Start Time,00:00:00
Run End Time,00:24:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000761,0.000580, 15,-0.000969,0.001019,  17.682
     0.2,0.000756,0.000581, 15,-0.000986,0.001019,  17.682
     0.4,0.000759,0.000587, 15,-0.000846,0.000984,  17.681
     0.6,0.000760,0.000592, 15,-0.000557,0.001005,  17.676
     0.8,0.000754,0.000592, 15,-0.000428,0.000970,  17.682
     1.0,0.000760,0.000592, 15,-0.000304,0.001032,  17.684
     1.2,0.000770,0.000592, 15,-0.000194,0.001032,  17.679
     1.4,0.000767,0.000594, 15,-0.000084,0.000998,  17.683
     1.6,0.000769,0.000596, 15,-0.000230,0.001032,  17.679
     1.8,0.000771,0.000599, 15,-0.000490,0.001019,  17.676
     2.0,0.000770,0.000601, 15,-0.000862,0.000984,  17.678
     2.2,0.000776,0.000590, 15,-0.000857,0.001019,  17.677
     2.4,0.000776,0.000584, 15,-0.000712,0.001005,  17.676
     2.6,0.000773,0.000584, 15,-0.000437,0.000970,  17.678
     2.8,0.000776,0.000583, 15,-0.000325,0.001019,  17.678
     3.0,0.000776,0.000589, 15,-0.000235,0.001005,  17.672
     3.2,0.000773,0.000587, 15,-0.000167,0.000970,  17.679
     3.4,0.000778,0.000587, 15,-0.000102,0.001019,  17.680
     3.6,0.000778,0.000583, 15,-0.000051,0.001005,  17.679
     3.8,0.000775,0.000585, 15,-0.000012,0.000970,  17.678
     4.0,0.000775,0.000585, 15,0.000023,0.001032,  17.676
     4.2,0.000775,0.000588, 15,0.000051,0.001032,  17.676
     4.4,0.000772,0.000592, 15,0.000068,0.000998,  17.672
     4.6,0.000770,0.000591, 15,-0.000045,0.001032,  17.672
     4.8,0.000735,0.000593, 15,-0.000225,0.001005,  17.676
     5.0,0.000744,0.000000, 15,-0.000480,0.000970,  17.673
     5.2,0.000793,0.000000, 15,-0.000503,0.001019,  17.670
     5.4,0.000769,0.000000, 15,-0.000452,0.001019,  17.674
     5.6,0.000000,0.000000, 15,-0.000319,0.001005,  17.676
     5.8,0.000000,0.000000, 15,-0.000245,0.001034,  17.668
     6.0,0.000000,0.000000, 15,-0.000160,0.000000,  17.670
     6.2,0.000000,0.000000, 15,0.000000,0.000000,  17.677
     6.4,0.000000,0.000000, 15,0.000000,0.000000,  17.674
     6.6,0.000000,0.000000, 15,0.000000,0.000000,  17.675
     6.8,0.000000,0.000000, 15,0.000000,0.000000,  17.672
     7.0,0.000000,0.000000, 15,0.000000,0.000000,  17.675
     7.2,0.000000,0.000000, 15,0.000000,0.000000,  17.675
     7.4,0.000000,0.000000, 15,0.000000,0.000000,  17.675
     7.6,0.000000,0.000000, 15,0.000000,0.000000,  17.674
     7.8,0.000000,0.000000, 15,0.000000,0.000000,  17.674
     8.0,0.000000,0.000000, 15,0.000000,0.000000,  17.677
     8.2,0.000000,0.000000, 15,0.000000,0.000000,  17.676
     8.4,0.000000,0.000000, 15,0.000000,0.000000,  17.676
     8.6,-0.000015,0.000000, 15,0.000000,0.000000,  17.675
     8.8,-0.000026,0.000000, 15,0.000000,0.000000,  17.674
     9.0,-0.000030,0.000000, 15,0.000000,0.000000,  17.677
     9.2,-0.000037,-0.000001, 15,0.000000,0.000000,  17.675
     9.4,-0.000040,-0.000007, 15,0.000000,0.000000,  17.678
     9.6,-0.000044,-0.000012, 15,0.000000,0.000000,  17.681
     9.8,-0.000039,-0.000014, 15,0.000000,0.000000,  17.685
    10.0,-0.000044,-0.000017, 15,0.000000,-0.000035,  17.680
    10.2,-0.000039,-0.000019, 15,-0.000627,-0.000021,  17.680
    10.4,-0.000041,-0.000022, 15,-0.000574,-0.000035,  17.678
    10.6,-0.000047,-0.000022, 15,-0.000527,-0.000021,  17.676
    10.8,-0.000044,-0.000018, 15,-0.000491,-0.000021,  17.676
    11.0,-0.000042,-0.000012, 15,-0.000456,-0.000021,  17.676
    11.2,-0.000047,-0.000012, 15,-0.000436,-0.000007,  17.676
    11.4,-0.000047,-0.000015, 15,-0.000417,-0.000042,  17.679
    11.6,-0.000044,-0.000020, 15,-0.000422,-0.000056,  17.678
    11.8,-0.000052,-0.000020, 15,-0.000445,-0.000042,  17.673
    12.0,-0.000052,-0.000019, 15,-0.000480,-0.000077,  17.681
    12.2,-0.000049,-0.000024, 15,-0.000482,-0.000056,  17.680
    12.4,-0.000057,-0.000023, 15,-0.000492,-0.000035,  17.678
    12.6,-0.000051,-0.000022, 15,-0.000492,-0.000021,  17.676
    12.8,-0.000046,-0.000023, 15,-0.000507,-0.000048,  17.678
    13.0,-0.000049,-0.000025, 15,-0.000526,-0.000048,  17.678
    13.2,-0.000046,-0.000032, 15,-0.000546,-0.000014,  17.678
    13.4,-0.000048,-0.000030, 15,-0.000573,-0.000014,  17.677
    13.6,-0.000049,-0.000031, 15,-0.000607,-0.000048,  17.678
    13.8,-0.000044,-0.000031, 15,-0.000645,-0.000035,  17.678
    14.0,-0.000041,-0.000030, 15,-0.000681,-0.000021,  17.677
    14.2,-0.000044,-0.000030, 15,-0.000691,-0.000021,  17.678
    14.4,-0.000037,-0.000027, 15,-0.000698,-0.000007,  17.678
    14.6,-0.000037,-0.000023, 15,-0.000692,-0.000021,  17.678
    14.8,-0.000041,-0.000018, 15,-0.000696,-0.000035,  17.678
    15.0,-0.000038,-0.000018, 15,-0.000695,-0.000021,  17.676
    15.2,-0.000038,-0.000017, 15,-0.000695,-0.000021,  17.676
    15.4,-0.000042,-0.000015, 15,-0.000654,-0.000021,  17.674
    15.6,-0.000035,-0.000017, 15,-0.000593,-0.000007,  17.672
    15.8,-0.000029,-0.000019, 15,-0.000509,-0.000007,  17.675
    16.0,-0.000030,-0.000017, 15,-0.000501,-0.000021,  17.674
    16.2,-0.000025,-0.000015, 15,-0.000507,-0.000007,  17.669
    16.4,-0.000023,-0.000013, 15,-0.000541,-0.000021,  17.673
    16.6,-0.000028,-0.000009, 15,-0.000698,-0.000035,  17.672
    16.8,-0.000023,-0.000008, 15,-0.000923,-0.000021,  17.673
