Run Name,Run 1
Run Date,10:46:13 AM   04-11-08
Method Name,Linear Gradient.1
Export Format Version, 1.00
Method ID,  543
Points/Second, 5.00
Number of Records,   9114
Offset from Run Start Time,00:00:00
Run End Time,00:30:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000448,0.000000, 10,0.054863,0.000000,  10.234
     0.2,0.000460,0.000000, 10,0.054863,0.000000,  10.233
     0.4,0.000434,0.000000, 10,0.054863,0.000000,  10.238
     0.6,0.000442,0.000000, 10,0.054863,0.000000,  10.238
     0.8,0.000000,0.000000, 10,0.000000,0.000000,  10.234
     1.0,0.000000,0.000000, 10,0.000000,0.000000,  10.236
     1.2,0.000000,0.000000, 10,0.000000,0.000000,  10.232
     1.4,0.000000,0.000000, 10,0.000000,0.000000,  10.233
     1.6,0.000000,0.000000, 10,0.000000,0.000000,  10.230
     1.8,0.000000,0.000000, 10,0.000000,0.000000,  10.233
     2.0,0.000000,0.000000, 10,0.000000,0.000000,  10.232
     2.2,0.000000,0.000000, 10,0.000000,0.000000,  10.231
     2.4,0.000000,0.000000, 10,0.000000,0.000000,  10.230
     2.6,0.000000,0.000000, 10,0.000000,0.000000,  10.231
     2.8,0.000000,0.000000, 10,0.000000,0.000000,  10.228
     3.0,0.000000,0.000000, 10,0.000000,0.000000,  10.226
     3.2,0.000000,0.000000, 10,0.000000,0.000000,  10.228
     3.4,0.000000,0.000000, 10,0.000000,0.000000,  10.229
     3.6,0.000000,0.000000, 10,0.000000,0.000000,  10.227
     3.8,0.000000,0.000000, 10,0.000000,0.000000,  10.228
     4.0,0.000000,0.000000, 10,0.000000,0.000000,  10.226
     4.2,0.000000,0.000000, 10,0.000000,0.000000,  10.226
     4.4,0.000000,0.000000, 10,0.000000,0.000000,  10.223
     4.6,0.000000,-0.000008, 10,0.000052,0.000000,  10.223
     4.8,0.000001,-0.000012, 10,0.000092,0.000000,  10.222
     5.0,0.000006,-0.000013, 10,0.000118,0.000000,  10.220
     5.2,0.000001,-0.000011, 10,0.000142,0.000000,  10.216
     5.4,0.000006,-0.000013, 10,0.000163,-0.000021,  10.220
     5.6,0.000001,-0.000016, 10,0.000177,-0.000021,  10.219
     5.8,0.000004,-0.000014, 10,0.000183,-0.000021,  10.217
     6.0,-0.000001,-0.000017, 10,0.000149,-0.000043,  10.215
     6.2,-0.000009,-0.000021, 10,0.000094,-0.000043,  10.214
     6.4,-0.000005,-0.000023, 10,0.000018,-0.000043,  10.217
     6.6,-0.000010,-0.000027, 10,0.000019,-0.000043,  10.211
     6.8,-0.000018,-0.000031, 10,0.000045,-0.000043,  10.217
     7.0,-0.000012,-0.000025, 10,0.000103,-0.000043,  10.213
     7.2,-0.000009,-0.000020, 10,0.000058,-0.000043,  10.210
     7.4,-0.000017,-0.000024, 10,-0.000031,-0.000043,  10.214
     7.6,-0.000019,-0.000026, 10,-0.000160,-0.000043,  10.215
     7.8,-0.000026,-0.000031, 10,-0.000170,-0.000043,  10.212
     8.0,-0.000032,-0.000033, 10,-0.000145,-0.000043,  10.215
     8.2,-0.000026,-0.000032, 10,-0.000086,-0.000043,  10.212
     8.4,-0.000021,-0.000030, 10,-0.000100,-0.000043,  10.211
     8.6,-0.000015,-0.000030, 10,-0.000140,-0.000043,  10.215
     8.8,-0.000021,-0.000032, 10,-0.000205,-0.000043,  10.209
     9.0,-0.000021,-0.000033, 10,-0.000204,-0.000043,  10.207
     9.2,-0.000023,-0.000037, 10,-0.000179,-0.000043,  10.206
     9.4,-0.000023,-0.000035, 10,-0.000136,-0.000043,  10.208
     9.6,-0.000028,-0.000039, 10,-0.000099,-0.000043,  10.204
     9.8,-0.000032,-0.000047, 10,-0.000049,-0.000043,  10.201
    10.0,-0.000040,-0.000046, 10,0.000010,-0.000043,  10.201
    10.2,-0.000045,-0.000053, 10,0.000027,-0.000043,  10.205
    10.4,-0.000044,-0.000060, 10,0.000032,-0.000043,  10.206
    10.6,-0.000049,-0.000058, 10,0.000018,-0.000043,  10.201
    10.8,-0.000054,-0.000058, 10,0.000004,-0.000043,  10.205
    11.0,-0.000049,-0.000062, 10,-0.000015,-0.000043,  10.204
    11.2,-0.000052,-0.000060, 10,-0.000046,-0.000056,  10.198
    11.4,-0.000052,-0.000058, 10,-0.000055,-0.000078,  10.203
    11.6,-0.000046,-0.000060, 10,-0.000064,-0.000056,  10.201
    11.8,-0.000049,-0.000062, 10,-0.000067,-0.000056,  10.199
    12.0,-0.000052,-0.000062, 10,-0.000067,-0.000056,  10.198
    12.2,-0.000049,-0.000063, 10,-0.000075,-0.000056,  10.201
    12.4,-0.000052,-0.000066, 10,-0.000075,-0.000043,  10.195
    12.6,-0.000054,-0.000061, 10,-0.000080,-0.000043,  10.200
    12.8,-0.000049,-0.000063, 10,-0.000100,-0.000043,  10.203
    13.0,-0.000054,-0.000065, 10,-0.000128,-0.000056,  10.200
    13.2,-0.000056,-0.000064, 10,-0.000154,-0.000056,  10.200
    13.4,-0.000053,-0.000068, 10,-0.000174,-0.000056,  10.200
    13.6,-0.000061,-0.000071, 10,-0.000190,-0.000070,  10.199
    13.8,-0.000063,-0.000067, 10,-0.000202,-0.000070,  10.200
    14.0,-0.000066,-0.000071, 10,-0.000187,-0.000070,  10.200
    14.2,-0.000071,-0.000074, 10,-0.000153,-0.000070,  10.195
    14.4,-0.000063,-0.000071, 10,-0.000104,-0.000070,  10.197
    14.6,-0.000053,-0.000068, 10,-0.000104,-0.000070,  10.200
    14.8,-0.000053,-0.000070, 10,-0.000128,-0.000070,  10.203
    15.0,-0.000056,-0.000064, 10,-0.000172,-0.000070,  10.201
    15.2,-0.000052,-0.000064, 10,-0.000163,-0.000070,  10.200
    15.4,-0.000055,-0.000068, 10,-0.000148,-0.000070,  10.202
    15.6,-0.000058,-0.000065, 10,-0.000123,-0.000070,  10.197
    15.8,-0.000053,-0.000068, 10,-0.000117,-0.000070,  10.201
    16.0,-0.000059,-0.000070, 10,-0.000117,-0.000070,  10.200
    16.2,-0.000061,-0.000069, 10,-0.000119,-0.000070,  10.198
    16.4,-0.000060,-0.000066, 10,-0.000120,-0.000070,  10.201
    16.6,-0.000068,-0.000070, 10,-0.000131,-0.000070,  10.200
    16.8,-0.000068,-0.000065, 10,-0.000137,-0.000070,  10.200
    17.0,-0.000060,-0.000062, 10,-0.000299,-0.000070,  10.199
    17.2,-0.000063,-0.000062, 10,-0.000547,-0.000070,  10.197
    17.4,-0.000061,-0.000065, 10,-0.000868,-0.000070,  10.195
    17.6,-0.000059,-0.000061, 10,-0.000867,-0.000070,  10.194
    17.8,-0.000064,-0.000063, 10,-0.000740,-0.000070,  10.195
    18.0,-0.000064,-0.000066, 10,-0.000489,-0.000084,  10.193
    18.2,-0.000064,-0.000069, 10,-0.000405,-0.000084,  10.197
    18.4,-0.000063,-0.000077, 10,-0.000338,-0.000049,  10.197
    18.6,-0.000069,-0.000077, 10,-0.000294,-0.000062,  10.201
    18.8,-0.000063,-0.000075, 10,-0.000230,-0.000097,  10.196
    19.0,-0.000066,-0.000078, 10,-0.000158,-0.000049,  10.194
    19.2,-0.000073,-0.000076, 10,-0.000086,-0.000035,  10.197
    19.4,-0.000068,-0.000074, 10,-0.000056,-0.000070,  10.192
    19.6,-0.000062,-0.000075, 10,-0.000056,-0.000035,  10.195
    19.8,-0.000066,-0.000072, 10,-0.000076,-0.000021,  10.195
    20.0,-0.000066,-0.000073, 10,-0.000035,-0.000056,  10.190
    20.2,-0.000060,-0.000076, 10,0.000029,-0.000070,  10.194
    20.4,-0.000066,-0.000076, 10,0.000116,-0.000105,  10.193
    20.6,-0.000066,-0.000077, 10,0.000160,-0.000105,  10.194
    20.8,-0.000062,-0.000081, 10,0.000182,-0.000091,  10.198
    21.0,-0.000066,-0.000077, 10,0.000210,-0.000070,  10.198
    21.2,-0.000068,-0.000073, 10,0.000224,-0.000070,  10.198
    21.4,-0.000065,-0.000077, 10,0.000229,-0.000070,  10.197
    21.6,-0.000068,-0.000073, 10,0.000224,-0.000084,  10.194
    21.8,-0.000070,-0.000075, 10,0.000209,-0.000097,  10.194
    22.0,-0.000065,-0.000075, 10,0.000184,-0.000097,  10.193
    22.2,-0.000068,-0.000072, 10,0.000148,-0.000084,  10.191
    22.4,-0.000070,-0.000074, 10,0.000112,-0.000070,  10.196
    22.6,-0.000070,-0.000076, 10,0.000092,-0.000070,  10.194
    22.8,-0.000076,-0.000074, 10,0.000077,-0.000070,  10.193
    23.0,-0.000073,-0.000076, 10,0.000072,-0.000056,  10.191
    23.2,-0.000072,-0.000078, 10,0.000048,-0.000056,  10.190
    23.4,-0.000075,-0.000076, 10,0.000027,-0.000070,  10.190
    23.6,-0.000073,-0.000076, 10,0.000009,-0.000070,  10.192
    23.8,-0.000065,-0.000076, 10,0.000016,-0.000070,  10.186
    24.0,-0.000068,-0.000077, 10,0.000050,-0.000070,  10.189
    24.2,-0.000070,-0.000079, 10,0.000105,-0.000084,  10.188
    24.4,-0.000067,-0.000076, 10,0.000130,-0.000084,  10.190
    24.6,-0.000070,-0.000072, 10,0.000149,-0.000062,  10.191
    24.8,-0.000068,-0.000075, 10,0.000163,-0.000049,  10.188
    25.0,-0.000062,-0.000072, 10,0.000183,-0.000084,  10.190
    25.2,-0.000063,-0.000076, 10,0.000207,-0.000070,  10.192
    25.4,-0.000061,-0.000078, 10,0.000223,-0.000056,  10.186
    25.6,-0.000056,-0.000076, 10,0.000209,-0.000056,  10.191
    25.8,-0.000059,-0.000080, 10,0.000188,-0.000070,  10.190
    26.0,-0.000056,-0.000078, 10,0.000142,-0.000070,  10.189
    26.2,-0.000053,-0.000081, 10,0.000098,-0.000078,  10.191
    26.4,-0.000053,-0.000083, 10,0.000043,-0.000064,  10.187
