Run Name,18-100-18.6
Run Date,02:21:52 PM   01-26-09
Method Name,Grad1
Export Format Version, 1.00
Method ID,  620
Points/Second, 5.00
Number of Records,   5310
Offset from Run Start Time,00:00:00
Run End Time,00:17:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000889,0.000000, 18,0.000000,0.000000,  19.532
     0.2,0.000883,0.000000, 18,0.000000,0.000000,  19.534
     0.4,0.000925,0.000000, 18,0.000000,0.000000,  19.532
     0.6,0.000923,0.000000, 18,0.000000,0.000000,  19.533
     0.8,0.000000,0.000000, 18,0.000000,0.000000,  19.533
     1.0,0.000000,0.000000, 18,0.000000,0.000000,  19.528
     1.2,0.000000,0.000000, 18,0.000000,0.000000,  19.533
     1.4,0.000000,0.000000, 18,0.000000,0.000000,  19.533
     1.6,0.000000,0.000000, 18,0.000000,0.000000,  19.530
     1.8,0.000000,0.000000, 18,0.000000,0.000000,  19.533
     2.0,0.000000,0.000000, 18,0.000000,0.000000,  19.531
     2.2,0.000000,0.000000, 18,0.000000,0.000000,  19.530
     2.4,0.000000,0.000000, 18,0.000000,0.000000,  19.529
     2.6,0.000000,0.000000, 18,0.000000,0.000000,  19.529
     2.8,0.000000,0.000000, 18,0.000000,0.000000,  19.529
     3.0,0.000000,0.000000, 18,0.000000,0.000000,  19.526
     3.2,0.000000,0.000000, 18,0.000000,0.000000,  19.527
     3.4,0.000000,0.000000, 18,0.000000,0.000000,  19.525
     3.6,0.000000,0.000000, 18,0.000000,0.000000,  19.523
     3.8,0.000000,0.000000, 18,0.000000,0.000000,  19.530
     4.0,0.000000,0.000000, 18,0.000000,0.000000,  19.525
     4.2,0.000000,0.000000, 18,0.000000,0.000000,  19.524
     4.4,0.000002,0.000000, 18,0.000000,-0.000049,  19.525
     4.6,0.000004,0.000005, 18,0.000033,-0.000035,  19.527
     4.8,0.000009,0.000000, 18,0.000052,-0.000035,  19.524
     5.0,0.000015,-0.000005, 18,0.000074,-0.000035,  19.524
     5.2,0.000012,-0.000007, 18,0.000079,-0.000021,  19.525
     5.4,0.000005,-0.000010, 18,0.000084,-0.000021,  19.521
     5.6,0.000005,-0.000012, 18,0.000077,-0.000021,  19.520
     5.8,0.000005,-0.000012, 18,0.000069,-0.000008,  19.516
     6.0,0.000002,-0.000012, 18,0.000069,-0.000008,  19.516
     6.2,-0.000003,-0.000014, 18,0.000069,-0.000008,  19.513
     6.4,-0.000003,-0.000011, 18,0.000068,0.000028,  19.515
     6.6,0.000000,-0.000011, 18,0.000061,0.000028,  19.515
     6.8,-0.000002,-0.000011, 18,0.000054,0.000000,  19.516
     7.0,-0.000005,-0.000012, 18,0.000036,0.000014,  19.514
     7.2,-0.000005,-0.000011, 18,0.000029,0.000014,  19.509
     7.4,-0.000002,-0.000013, 18,0.000023,-0.000021,  19.510
     7.6,-0.000005,-0.000016, 18,0.000016,-0.000043,  19.511
     7.8,-0.000005,-0.000014, 18,-0.000231,-0.000043,  19.513
     8.0,-0.000002,-0.000013, 18,-0.000601,0.000006,  19.513
     8.2,-0.000002,-0.000013, 18,-0.001085,0.000020,  19.513
     8.4,0.000000,-0.000010, 18,-0.001090,0.000006,  19.510
     8.6,0.000000,-0.000012, 18,-0.000920,-0.000008,  19.516
     8.8,-0.000008,-0.000014, 18,-0.000576,0.000006,  19.515
     9.0,-0.000008,-0.000017, 18,-0.000450,0.000006,  19.517
     9.2,-0.000012,-0.000019, 18,-0.000338,-0.000008,  19.518
     9.4,-0.000018,-0.000021, 18,-0.000254,0.000006,  19.517
     9.6,-0.000015,-0.000017, 18,-0.000455,-0.000029,  19.517
     9.8,-0.000017,-0.000020, 18,-0.000813,-0.000029,  19.519
    10.0,-0.000015,-0.000020, 18,-0.001315,-0.000015,  19.522
    10.2,-0.000020,-0.000024, 18,-0.001333,-0.000064,  19.527
    10.4,-0.000015,-0.000024, 18,-0.001193,-0.000043,  19.521
    10.6,-0.000015,-0.000026, 18,-0.000892,-0.000029,  19.524
    10.8,-0.000023,-0.000023, 18,-0.001003,-0.000064,  19.521
    11.0,-0.000022,-0.000025, 18,-0.001248,-0.000043,  19.525
    11.2,-0.000024,-0.000028, 18,-0.001625,-0.000043,  19.522
    11.4,-0.000030,-0.000031, 18,-0.001545,-0.000057,  19.520
    11.6,-0.000029,-0.000037, 18,-0.001304,-0.000057,  19.518
    11.8,-0.000031,-0.000041, 18,-0.000897,-0.000085,  19.516
    12.0,-0.000041,-0.000041, 18,-0.000718,-0.000120,  19.517
    12.2,-0.000041,-0.000045, 18,-0.000582,-0.000085,  19.516
    12.4,-0.000045,-0.000044, 18,-0.000475,-0.000085,  19.518
    12.6,-0.000058,-0.000046, 18,-0.000403,-0.000085,  19.519
    12.8,-0.000062,-0.000050, 18,-0.000312,-0.000120,  19.513
    13.0,-0.000067,-0.000057, 18,-0.000229,-0.000098,  19.517
    13.2,-0.000077,-0.000064, 18,-0.000159,-0.000112,  19.514
    13.4,-0.000076,-0.000068, 18,-0.000130,-0.000148,  19.517
    13.6,-0.000076,-0.000070, 18,-0.000125,-0.000126,  19.513
    13.8,-0.000081,-0.000073, 18,-0.000154,-0.000126,  19.514
    14.0,-0.000076,-0.000073, 18,-0.000134,-0.000148,  19.515
    14.2,-0.000071,-0.000072, 18,-0.000098,-0.000098,  19.516
    14.4,-0.000072,-0.000066, 18,-0.000048,-0.000085,  19.518
    14.6,-0.000064,-0.000062, 18,-0.000045,-0.000106,  19.509
    14.8,-0.000059,-0.000059, 18,-0.000055,-0.000085,  19.511
    15.0,-0.000060,-0.000057, 18,-0.000073,-0.000071,  19.516
    15.2,-0.000055,-0.000056, 18,-0.000077,-0.000106,  19.516
    15.4,-0.000050,-0.000052, 18,-0.000081,-0.000057,  19.514
    15.6,-0.000051,-0.000053, 18,-0.000071,-0.000043,  19.511
    15.8,-0.000043,-0.000051, 18,-0.000062,-0.000092,  19.513
    16.0,-0.000038,-0.000050, 18,-0.000040,-0.000057,  19.511
    16.2,-0.000041,-0.000048, 18,-0.000018,-0.000043,  19.506
    16.4,-0.000036,-0.000045, 18,-0.000023,-0.000092,  19.513
    16.6,-0.000034,-0.000045, 18,-0.000047,-0.000057,  19.513
    16.8,-0.000036,-0.000043, 18,-0.000087,-0.000043,  19.511
    17.0,-0.000031,-0.000042, 18,-0.000076,-0.000078,  19.508
    17.2,-0.000023,-0.000042, 18,-0.000048,-0.000029,  19.509
    17.4,-0.000023,-0.000042, 18,-0.000004,-0.000015,  19.511
    17.6,-0.000020,-0.000034, 18,0.000006,-0.000064,  19.511
    17.8,-0.000018,-0.000034, 18,0.000001,-0.000029,  19.513
    18.0,-0.000016,-0.000038, 18,-0.000018,-0.000015,  19.515
    18.2,-0.000021,-0.000034, 18,-0.000014,-0.000064,  19.511
    18.4,-0.000021,-0.000036, 18,-0.000009,-0.000029,  19.510
    18.6,-0.000021,-0.000037, 18,-0.000018,-0.000015,  19.516
    18.8,-0.000027,-0.000035, 18,-0.000016,-0.000064,  19.511
    19.0,-0.000024,-0.000033, 18,-0.000009,-0.000029,  19.514
    19.2,-0.000021,-0.000034, 18,0.000001,-0.000015,  19.513
    19.4,-0.000024,-0.000034, 18,-0.000212,-0.000043,  19.514
    19.6,-0.000028,-0.000034, 18,-0.000547,-0.000021,  19.517
    19.8,-0.000026,-0.000032, 18,-0.000977,-0.000021,  19.514
    20.0,-0.000026,-0.000034, 18,-0.000994,-0.000021,  19.514
    20.2,-0.000028,-0.000037, 18,-0.000854,-0.000057,  19.515
    20.4,-0.000026,-0.000037, 18,-0.000558,-0.000021,  19.516
    20.6,-0.000026,-0.000039, 18,-0.000475,-0.000043,  19.514
    20.8,-0.000028,-0.000040, 18,-0.000414,-0.000057,  19.512
    21.0,-0.000026,-0.000039, 18,-0.000391,-0.000021,  19.514
    21.2,-0.000026,-0.000042, 18,-0.000387,-0.000008,  19.514
    21.4,-0.000028,-0.000043, 18,-0.000347,-0.000021,  19.509
    21.6,-0.000023,-0.000036, 18,-0.000306,-0.000021,  19.513
    21.8,-0.000025,-0.000035, 18,-0.000265,-0.000008,  19.512
    22.0,-0.000030,-0.000036, 18,-0.000218,-0.000043,  19.517
    22.2,-0.000028,-0.000034, 18,-0.000177,-0.000043,  19.514
    22.4,-0.000025,-0.000037, 18,-0.000126,-0.000029,  19.510
    22.6,-0.000026,-0.000037, 18,-0.000120,-0.000064,  19.512
    22.8,-0.000029,-0.000036, 18,-0.000128,-0.000029,  19.507
    23.0,-0.000029,-0.000039, 18,-0.000163,-0.000015,  19.510
    23.2,-0.000024,-0.000037, 18,-0.000165,-0.000064,  19.513
    23.4,-0.000016,-0.000034, 18,-0.000165,-0.000029,  19.507
    23.6,-0.000016,-0.000034, 18,-0.000170,-0.000015,  19.510
    23.8,-0.000016,-0.000027, 18,-0.000137,-0.000050,  19.509
    24.0,-0.000010,-0.000025, 18,-0.000093,-0.000015,  19.513
    24.2,-0.000010,-0.000023, 18,-0.000041,-0.000001,  19.509
    24.4,-0.000016,-0.000025, 18,-0.000028,-0.000036,  19.513
    24.6,-0.000013,-0.000027, 18,-0.000019,-0.000015,  19.509
    24.8,-0.000013,-0.000028, 18,-0.000021,-0.000001,  19.509
    25.0,-0.000013,-0.000026, 18,-0.000007,-0.000036,  19.514
    25.2,-0.000011,-0.000026, 18,0.000010,-0.000015,  19.510
    25.4,-0.000009,-0.000027, 18,0.000037,-0.000001,  19.511
    25.6,-0.000009,-0.000023, 18,0.000060,-0.000036,  19.518
    25.8,-0.000009,-0.000023, 18,0.000074,-0.000015,  19.509
    26.0,-0.000004,-0.000022, 18,0.000091,-0.000001,  19.510
    26.2,-0.000004,-0.000023, 18,0.000107,-0.000036,  19.515
    26.4,-0.000004,-0.000024, 18,0.000128,-0.000015,  19.514
    26.6,-0.000002,-0.000023, 18,0.000135,-0.000001,  19.511
    26.8,-0.000009,-0.000021, 18,0.000072,-0.000015,  19.515
    27.0,-0.000009,-0.000021, 18,-0.000017,-0.000008,  19.518
    27.2,-0.000009,-0.000021, 18,-0.000150,0.000006,  19.513
    27.4,-0.000012,-0.000018, 18,-0.000187,0.000006,  19.511
    27.6,-0.000011,-0.000019, 18,-0.000184,0.000006,  19.513
    27.8,-0.000006,-0.000021, 18,-0.000155,0.000006,  19.516
    28.0,-0.000003,-0.000019, 18,-0.000125,0.000006,  19.515
    28.2,-0.000011,-0.000017, 18,-0.000069,-0.000029,  19.516
    28.4,-0.000014,-0.000018, 18,-0.000007,-0.000008,  19.518
    28.6,-0.000007,-0.000014, 18,0.000027,-0.000029,  19.520
    28.8,-0.000002,-0.000015, 18,0.000056,-0.000015,  19.519
    29.0,-0.000005,-0.000018, 18,0.000068,0.000020,  19.522
    29.2,-0.000010,-0.000014, 18,0.000074,0.000034,  19.524
    29.4,-0.000009,-0.000012, 18,0.000096,0.000034,  19.529
    29.6,-0.000007,-0.000012, 18,0.000124,0.000020,  19.526
    29.8,-0.000012,-0.000012, 18,0.000146,0.000034,  19.529
    30.0,-0.000012,-0.000011, 18,0.000139,0.000034,  19.522
    30.2,-0.000010,-0.000014, 18,0.000121,0.000020,  19.533
    30.4,-0.000018,-0.000016, 18,0.000075,0.000034,  19.527
    30.6,-0.000015,-0.000016, 18,0.000063,0.000020,  19.528
    30.8,-0.000015,-0.000021, 18,0.000063,0.000006,  19.531
    31.0,-0.000023,-0.000023, 18,0.000068,0.000020,  19.535
    31.2,-0.000020,-0.000027, 18,0.000066,0.000006,  19.529
    31.4,-0.000020,-0.000027, 18,0.000076,0.000006,  19.532
    31.6,-0.000022,-0.000029, 18,0.000097,0.000020,  19.532
    31.8,-0.000019,-0.000031, 18,0.000099,0.000006,  19.534
    32.0,-0.000016,-0.000033, 18,0.000088,-0.000008,  19.534
    32.2,-0.000016,-0.000028, 18,0.000076,0.000006,  19.530
    32.4,-0.000016,-0.000030, 18,0.000087,0.000006,  19.531
    32.6,-0.000018,-0.000032, 18,0.000100,-0.000008,  19.535
    32.8,-0.000018,-0.000030, 18,0.000117,0.000006,  19.529
    33.0,-0.000024,-0.000034, 18,0.000088,0.000006,  19.533
    33.2,-0.000027,-0.000034, 18,0.000037,-0.000008,  19.537
    33.4,-0.000029,-0.000032, 18,-0.000038,0.000006,  19.530
    33.6,-0.000026,-0.000028, 18,-0.000037,-0.000029,  19.537
    33.8,-0.000024,-0.000026, 18,-0.000007,-0.000043,  19.537
    34.0,-0.000031,-0.000026, 18,0.000046,-0.000029,  19.536
    34.2,-0.000034,-0.000031, 18,0.000056,-0.000064,  19.537
    34.4,-0.000034,-0.000031, 18,0.000056,-0.000029,  19.537
    34.6,-0.000039,-0.000028, 18,0.000039,-0.000015,  19.536
    34.8,-0.000031,-0.000028, 18,0.000049,-0.000078,  19.532
    35.0,-0.000034,-0.000031, 18,0.000066,-0.000057,  19.533
    35.2,-0.000039,-0.000033, 18,0.000078,-0.000057,  19.529
    35.4,-0.000034,-0.000034, 18,0.000085,-0.000106,  19.529
    35.6,-0.000038,-0.000036, 18,0.000091,-0.000085,  19.530
    35.8,-0.000041,-0.000039, 18,0.000099,-0.000085,  19.530
    36.0,-0.000048,-0.000045, 18,0.000062,-0.000120,  19.532
    36.2,-0.000050,-0.000045, 18,-0.000011,-0.000098,  19.528
    36.4,-0.000055,-0.000052, 18,-0.000100,-0.000112,  19.528
    36.6,-0.000062,-0.000054, 18,-0.000107,-0.000085,  19.531
    36.8,-0.000066,-0.000056, 18,-0.000090,-0.000098,  19.528
    37.0,-0.000060,-0.000059, 18,-0.000041,-0.000098,  19.529
    37.2,-0.000063,-0.000060, 18,-0.000017,-0.000120,  19.525
    37.4,-0.000063,-0.000059, 18,0.000007,-0.000071,  19.522
    37.6,-0.000055,-0.000058, 18,0.000028,-0.000071,  19.525
    37.8,-0.000055,-0.000053, 18,0.000057,-0.000071,  19.529
    38.0,-0.000053,-0.000049, 18,0.000075,-0.000092,  19.529
    38.2,-0.000053,-0.000046, 18,0.000090,-0.000071,  19.527
    38.4,-0.000051,-0.000044, 18,0.000112,-0.000071,  19.528
    38.6,-0.000046,-0.000043, 18,0.000115,-0.000092,  19.523
    38.8,-0.000039,-0.000042, 18,0.000111,-0.000071,  19.523
    39.0,-0.000037,-0.000043, 18,0.000099,-0.000057,  19.520
    39.2,-0.000035,-0.000042, 18,0.000101,-0.000092,  19.520
    39.4,-0.000032,-0.000044, 18,0.000113,-0.000057,  19.513
    39.6,-0.000030,-0.000040, 18,0.000124,-0.000043,  19.516
    39.8,-0.000030,-0.000040, 18,0.000136,-0.000092,  19.516
    40.0,-0.000032,-0.000034, 18,0.000148,-0.000057,  19.516
