Run Name,Grad2
Run Date,03:00:28 PM   01-26-09
Method Name,Grad2
Export Format Version, 1.00
Method ID,  621
Points/Second, 5.00
Number of Records,   4210
Offset from Run Start Time,00:00:00
Run End Time,00:14:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000010,-0.000006, 25,0.000128,0.000098,  26.101
     0.2,0.000010,-0.000004, 25,0.000147,0.000077,  26.099
     0.4,0.000015,-0.000006, 25,0.000182,0.000112,  26.105
     0.6,0.000020,-0.000006, 25,0.000236,0.000098,  26.097
     0.8,0.000015,-0.000005, 25,0.000230,0.000077,  26.101
     1.0,0.000017,0.000001, 25,0.000194,0.000077,  26.096
     1.2,0.000020,0.000006, 25,0.000139,0.000063,  26.095
     1.4,0.000015,0.000008, 25,0.000161,0.000042,  26.097
     1.6,0.000012,0.000006, 25,0.000205,0.000042,  26.096
     1.8,0.000013,0.000003, 25,0.000278,0.000063,  26.095
     2.0,0.000011,0.000001, 25,0.000307,0.000042,  26.094
     2.2,0.000008,0.000001, 25,0.000325,0.000042,  26.095
     2.4,0.000008,0.000000, 25,0.000333,0.000063,  26.090
     2.6,0.000016,0.000000, 25,0.000339,0.000042,  26.092
     2.8,0.000018,0.000000, 25,0.000327,0.000042,  26.095
     3.0,-0.000003,0.000000, 25,0.000314,0.000063,  26.090
     3.2,-0.000004,0.000000, 25,0.000261,0.000042,  26.095
     3.4,0.000000,0.000000, 25,0.000185,0.000077,  26.090
     3.6,0.000000,0.000000, 25,0.000085,0.000000,  26.089
     3.8,0.000000,0.000000, 25,0.000115,0.000000,  26.091
     4.0,0.000000,0.000000, 25,0.000197,0.000000,  26.085
     4.2,0.000000,0.000000, 25,0.000073,0.000000,  26.083
     4.4,0.000000,0.000000, 25,0.000073,0.000000,  26.086
     4.6,0.000000,0.000000, 25,0.000073,0.000000,  26.085
     4.8,0.000000,0.000000, 25,0.000073,0.000000,  26.083
     5.0,0.000000,0.000000, 25,0.000000,0.000000,  26.084
     5.2,0.000000,0.000000, 25,0.000000,0.000000,  26.079
     5.4,0.000000,0.000000, 25,0.000000,0.000000,  26.082
     5.6,0.000000,0.000000, 25,0.000000,0.000000,  26.086
     5.8,0.000000,0.000000, 25,0.000000,0.000000,  26.080
     6.0,0.000000,0.000000, 25,0.000000,0.000000,  26.087
     6.2,0.000000,0.000000, 25,0.000000,0.000000,  26.086
     6.4,0.000000,0.000000, 25,0.000000,0.000000,  26.085
     6.6,0.000000,0.000000, 25,0.000000,0.000000,  26.089
     6.8,0.000000,0.000000, 25,0.000000,0.000000,  26.083
     7.0,0.000002,-0.000007, 25,0.000000,0.000000,  26.072
     7.2,0.000002,-0.000010, 25,0.000000,0.000000,  26.081
     7.4,0.000005,-0.000011, 25,0.000000,0.000000,  26.078
     7.6,0.000000,-0.000012, 25,0.000000,0.000000,  26.078
     7.8,-0.000002,-0.000017, 25,0.000000,0.000000,  26.075
     8.0,-0.000007,-0.000014, 25,0.000000,-0.000015,  26.077
     8.2,-0.000012,-0.000013, 25,0.000000,0.000020,  26.074
     8.4,-0.000012,-0.000013, 25,0.000000,0.000006,  26.074
     8.6,-0.000015,-0.000015, 25,0.000000,-0.000029,  26.077
     8.8,-0.000017,-0.000015, 25,0.000049,-0.000064,  26.070
     9.0,-0.000020,-0.000015, 25,0.000043,-0.000050,  26.064
     9.2,-0.000024,-0.000019, 25,0.000027,-0.000050,  26.060
     9.4,-0.000029,-0.000024, 25,0.000005,-0.000086,  26.060
     9.6,-0.000038,-0.000025, 25,-0.000015,-0.000086,  26.061
     9.8,-0.000042,-0.000032, 25,-0.000039,-0.000050,  26.059
    10.0,-0.000048,-0.000030, 25,-0.000064,-0.000050,  26.058
    10.2,-0.000048,-0.000034, 25,-0.000081,-0.000050,  26.057
    10.4,-0.000042,-0.000034, 25,-0.000098,-0.000064,  26.053
    10.6,-0.000045,-0.000037, 25,-0.000116,-0.000064,  26.056
    10.8,-0.000038,-0.000035, 25,-0.000106,-0.000050,  26.052
    11.0,-0.000032,-0.000037, 25,-0.000086,-0.000064,  26.047
    11.2,-0.000035,-0.000041, 25,-0.000062,-0.000064,  26.047
    11.4,-0.000027,-0.000039, 25,-0.000046,-0.000050,  26.043
    11.6,-0.000026,-0.000041, 25,-0.000046,-0.000050,  26.046
    11.8,-0.000026,-0.000041, 25,-0.000046,-0.000015,  26.046
    12.0,-0.000039,-0.000037, 25,-0.000045,-0.000015,  26.044
    12.2,-0.000031,-0.000038, 25,-0.000038,-0.000029,  26.047
    12.4,-0.000039,-0.000036, 25,-0.000042,0.000006,  26.045
    12.6,-0.000037,-0.000036, 25,-0.000073,0.000020,  26.043
    12.8,-0.000037,-0.000040, 25,-0.000117,-0.000029,  26.044
    13.0,-0.000031,-0.000038, 25,-0.000178,-0.000064,  26.046
    13.2,-0.000035,-0.000039, 25,-0.000194,-0.000050,  26.045
    13.4,-0.000035,-0.000043, 25,-0.000185,-0.000064,  26.047
    13.6,-0.000029,-0.000045, 25,-0.000173,-0.000100,  26.041
    13.8,-0.000032,-0.000041, 25,-0.000172,-0.000086,  26.041
    14.0,-0.000032,-0.000043, 25,-0.000166,-0.000050,  26.040
    14.2,-0.000027,-0.000045, 25,-0.000165,-0.000050,  26.043
    14.4,-0.000030,-0.000043, 25,-0.000158,-0.000050,  26.040
    14.6,-0.000032,-0.000049, 25,-0.000155,-0.000050,  26.041
    14.8,-0.000035,-0.000048, 25,-0.000144,-0.000064,  26.042
    15.0,-0.000040,-0.000048, 25,-0.000147,-0.000050,  26.041
    15.2,-0.000037,-0.000050, 25,-0.000166,-0.000100,  26.043
    15.4,-0.000036,-0.000048, 25,-0.000180,-0.000064,  26.042
    15.6,-0.000042,-0.000048, 25,-0.000195,-0.000086,  26.040
    15.8,-0.000042,-0.000048, 25,-0.000216,-0.000100,  26.041
    16.0,-0.000044,-0.000046, 25,-0.000229,-0.000064,  26.036
    16.2,-0.000049,-0.000048, 25,-0.000234,-0.000029,  26.031
    16.4,-0.000044,-0.000045, 25,-0.000236,-0.000029,  26.032
    16.6,-0.000044,-0.000045, 25,-0.000231,-0.000043,  26.029
    16.8,-0.000049,-0.000045, 25,-0.000243,-0.000008,  26.020
    17.0,-0.000044,-0.000047, 25,-0.000249,0.000006,  26.026
    17.2,-0.000039,-0.000041, 25,-0.000282,-0.000029,  26.023
    17.4,-0.000044,-0.000043, 25,-0.000302,-0.000029,  26.021
    17.6,-0.000046,-0.000039, 25,-0.000324,-0.000015,  26.023
    17.8,-0.000043,-0.000037, 25,-0.000351,-0.000015,  26.020
    18.0,-0.000049,-0.000040, 25,-0.000375,-0.000037,  26.024
    18.2,-0.000049,-0.000037, 25,-0.000361,-0.000037,  26.025
    18.4,-0.000043,-0.000036, 25,-0.000327,-0.000023,  26.024
    18.6,-0.000049,-0.000040, 25,-0.000272,-0.000058,  26.027
    18.8,-0.000046,-0.000038, 25,-0.000261,-0.000058,  26.024
    19.0,-0.000041,-0.000036, 25,-0.000277,-0.000037,  26.026
    19.2,-0.000046,-0.000035, 25,-0.000304,-0.000037,  26.026
    19.4,-0.000039,-0.000038, 25,-0.000292,-0.000023,  26.028
    19.6,-0.000035,-0.000036, 25,-0.000270,-0.000037,  26.024
    19.8,-0.000039,-0.000034, 25,-0.000240,-0.000037,  26.025
    20.0,-0.000028,-0.000037, 25,-0.000237,-0.000023,  26.027
    20.2,-0.000026,-0.000039, 25,-0.000238,-0.000037,  26.027
    20.4,-0.000029,-0.000036, 25,-0.000250,-0.000023,  26.026
    20.6,-0.000024,-0.000037, 25,-0.000266,-0.000009,  26.029
    20.8,-0.000026,-0.000041, 25,-0.000279,-0.000009,  26.031
    21.0,-0.000026,-0.000039, 25,-0.000297,0.000005,  26.027
    21.2,-0.000031,-0.000039, 25,-0.000319,-0.000009,  26.032
    21.4,-0.000026,-0.000041, 25,-0.000343,-0.000023,  26.033
    21.6,-0.000028,-0.000039, 25,-0.000366,-0.000009,  26.034
    21.8,-0.000031,-0.000039, 25,-0.000355,-0.000023,  26.033
    22.0,-0.000029,-0.000039, 25,-0.000327,-0.000023,  26.030
    22.2,-0.000027,-0.000034, 25,-0.000287,-0.000009,  26.030
    22.4,-0.000030,-0.000033, 25,-0.000265,-0.000023,  26.032
    22.6,-0.000030,-0.000033, 25,-0.000257,-0.000023,  26.029
    22.8,-0.000027,-0.000031, 25,-0.000246,-0.000009,  26.038
    23.0,-0.000027,-0.000028, 25,-0.000230,-0.000023,  26.048
    23.2,-0.000025,-0.000028, 25,-0.000211,-0.000023,  26.046
    23.4,-0.000020,-0.000030, 25,-0.000199,-0.000009,  26.051
    23.6,-0.000025,-0.000025, 25,-0.000204,-0.000023,  26.047
    23.8,-0.000025,-0.000025, 25,-0.000216,-0.000023,  26.044
    24.0,-0.000024,-0.000024, 25,-0.000236,-0.000023,  26.037
    24.2,-0.000032,-0.000023, 25,-0.000246,-0.000023,  26.035
    24.4,-0.000032,-0.000022, 25,-0.000253,-0.000058,  26.031
    24.6,-0.000024,-0.000024, 25,-0.000251,-0.000023,  26.030
    24.8,-0.000027,-0.000023, 25,-0.000258,-0.000058,  26.034
    25.0,-0.000022,-0.000021, 25,-0.000275,-0.000058,  26.033
    25.2,-0.000017,-0.000019, 25,-0.000291,-0.000037,  26.031
    25.4,-0.000022,-0.000021, 25,-0.000286,-0.000037,  26.031
    25.6,-0.000019,-0.000019, 25,-0.000268,-0.000023,  26.028
    25.8,-0.000024,-0.000017, 25,-0.000249,-0.000037,  26.027
    26.0,-0.000029,-0.000016, 25,-0.000214,-0.000023,  26.033
    26.2,-0.000028,-0.000018, 25,-0.000214,-0.000023,  26.027
    26.4,-0.000028,-0.000020, 25,-0.000231,-0.000023,  26.034
    26.6,-0.000034,-0.000020, 25,-0.000251,-0.000023,  26.030
    26.8,-0.000031,-0.000022, 25,-0.000246,-0.000023,  26.033
    27.0,-0.000033,-0.000024, 25,-0.000246,-0.000037,  26.032
    27.2,-0.000039,-0.000026, 25,-0.000236,-0.000037,  26.035
    27.4,-0.000031,-0.000028, 25,-0.000210,-0.000050,  26.032
    27.6,-0.000031,-0.000027, 25,-0.000177,-0.000078,  26.036
    27.8,-0.000034,-0.000023, 25,-0.000140,-0.000078,  26.033
    28.0,-0.000026,-0.000019, 25,-0.000107,-0.000064,  26.032
    28.2,-0.000024,-0.000020, 25,-0.000071,-0.000064,  26.032
    28.4,-0.000027,-0.000026, 25,-0.000039,-0.000064,  26.035
    28.6,-0.000021,-0.000024, 25,-0.000029,-0.000050,  26.037
    28.8,-0.000019,-0.000024, 25,-0.000034,-0.000064,  26.038
    29.0,-0.000022,-0.000023, 25,-0.000056,-0.000064,  26.037
    29.2,-0.000017,-0.000018, 25,-0.000061,-0.000050,  26.033
    29.4,-0.000017,-0.000017, 25,-0.000065,-0.000050,  26.040
    29.6,-0.000017,-0.000014, 25,-0.000066,-0.000050,  26.043
    29.8,-0.000022,-0.000017, 25,-0.000075,-0.000037,  26.040
    30.0,-0.000014,-0.000019, 25,-0.000079,-0.000037,  26.038
    30.2,-0.000017,-0.000021, 25,-0.000074,-0.000001,  26.039
    30.4,-0.000017,-0.000022, 25,-0.000072,-0.000001,  26.042
    30.6,-0.000017,-0.000020, 25,-0.000067,-0.000015,  26.042
    30.8,-0.000019,-0.000023, 25,-0.000067,0.000020,  26.044
    31.0,-0.000024,-0.000017, 25,-0.000059,0.000034,  26.048
    31.2,-0.000017,-0.000017, 25,-0.000038,-0.000001,  26.044
    31.4,-0.000014,-0.000018, 25,-0.000026,-0.000001,  26.049
    31.6,-0.000017,-0.000020, 25,-0.000025,-0.000001,  26.049
    31.8,-0.000010,-0.000022, 25,-0.000029,-0.000029,  26.051
    32.0,-0.000014,-0.000024, 25,-0.000030,-0.000029,  26.052
    32.2,-0.000022,-0.000024, 25,-0.000037,-0.000015,  26.052
    32.4,-0.000017,-0.000026, 25,-0.000049,-0.000015,  26.054
    32.6,-0.000019,-0.000026, 25,-0.000067,-0.000001,  26.054
    32.8,-0.000021,-0.000026, 25,-0.000118,-0.000015,  26.054
    33.0,-0.000021,-0.000030, 25,-0.000178,-0.000001,  26.052
    33.2,-0.000016,-0.000026, 25,-0.000270,-0.000015,  26.052
    33.4,-0.000019,-0.000028, 25,-0.000293,-0.000015,  26.054
    33.6,-0.000021,-0.000028, 25,-0.000303,-0.000029,  26.056
    33.8,-0.000024,-0.000027, 25,-0.000292,-0.000029,  26.053
    34.0,-0.000027,-0.000025, 25,-0.000312,-0.000029,  26.052
    34.2,-0.000021,-0.000025, 25,-0.000331,-0.000015,  26.058
    34.4,-0.000019,-0.000028, 25,-0.000363,-0.000015,  26.052
    34.6,-0.000019,-0.000025, 25,-0.000402,-0.000015,  26.057
    34.8,-0.000024,-0.000028, 25,-0.000373,-0.000015,  26.056
    35.0,-0.000023,-0.000031, 25,-0.000321,-0.000015,  26.053
    35.2,-0.000026,-0.000031, 25,-0.000247,-0.000015,  26.055
    35.4,-0.000026,-0.000029, 25,-0.000211,-0.000015,  26.054
    35.6,-0.000026,-0.000029, 25,-0.000188,-0.000015,  26.058
    35.8,-0.000029,-0.000031, 25,-0.000171,-0.000029,  26.053
    36.0,-0.000024,-0.000026, 25,-0.000171,-0.000043,  26.055
    36.2,-0.000024,-0.000028, 25,-0.000188,-0.000057,  26.053
    36.4,-0.000021,-0.000030, 25,-0.000218,-0.000057,  26.052
    36.6,-0.000024,-0.000024, 25,-0.000233,-0.000057,  26.052
    36.8,-0.000018,-0.000024, 25,-0.000241,-0.000043,  26.048
    37.0,-0.000016,-0.000029, 25,-0.000253,-0.000029,  26.048
    37.2,-0.000024,-0.000024, 25,-0.000247,-0.000015,  26.053
    37.4,-0.000021,-0.000022, 25,-0.000230,-0.000029,  26.047
    37.6,-0.000018,-0.000028, 25,-0.000201,-0.000029,  26.049
    37.8,-0.000024,-0.000028, 25,-0.000211,-0.000015,  26.044
    38.0,-0.000021,-0.000026, 25,-0.000240,-0.000029,  26.049
    38.2,-0.000021,-0.000028, 25,-0.000279,-0.000029,  26.049
    38.4,-0.000018,-0.000029, 25,-0.000271,-0.000015,  26.046
    38.6,-0.000021,-0.000030, 25,-0.000252,-0.000015,  26.048
    38.8,-0.000021,-0.000030, 25,-0.000217,-0.000015,  26.046
    39.0,-0.000024,-0.000032, 25,-0.000205,-0.000029,  26.044
    39.2,-0.000018,-0.000031, 25,-0.000205,-0.000008,  26.047
    39.4,-0.000021,-0.000031, 25,-0.000208,-0.000043,  26.041
    39.6,-0.000024,-0.000026, 25,-0.000191,-0.000029,  26.046
    39.8,-0.000021,-0.000028, 25,-0.000178,-0.000015,  26.046
    40.0,-0.000019,-0.000029, 25,-0.000156,-0.000015,  26.045
    40.2,-0.000022,-0.000024, 25,-0.000149,-0.000015,  26.047
    40.4,-0.000017,-0.000026, 25,-0.000149,-0.000015,  26.046
    40.6,-0.000017,-0.000022, 25,-0.000161,-0.000015,  26.049
    40.8,-0.000020,-0.000017, 25,-0.000165,-0.000015,  26.043
    41.0,-0.000014,-0.000020, 25,-0.000160,-0.000015,  26.039
    41.2,-0.000017,-0.000017, 25,-0.000160,-0.000015,  26.031
    41.4,-0.000022,-0.000017, 25,-0.000101,-0.000015,  26.028
    41.6,-0.000020,-0.000018, 25,-0.000006,-0.000015,  26.027
    41.8,-0.000017,-0.000016, 25,0.000114,-0.000015,  26.026
    42.0,-0.000023,-0.000017, 25,0.000094,-0.000015,  26.023
    42.2,-0.000025,-0.000017, 25,0.000018,-0.000029,  26.023
    42.4,-0.000022,-0.000017, 25,-0.000109,-0.000029,  26.024
    42.6,-0.000030,-0.000019, 25,-0.000143,-0.000029,  26.025
    42.8,-0.000030,-0.000021, 25,-0.000154,-0.000015,  26.021
    43.0,-0.000024,-0.000026, 25,-0.000153,-0.000015,  26.021
    43.2,-0.000035,-0.000028, 25,-0.000126,-0.000050,  26.021
    43.4,-0.000042,-0.000031, 25,-0.000127,-0.000037,  26.015
    43.6,-0.000043,-0.000037, 25,-0.000139,-0.000037,  26.018
    43.8,-0.000051,-0.000037, 25,-0.000141,-0.000072,  26.018
    44.0,-0.000051,-0.000036, 25,-0.000139,-0.000072,  26.018
    44.2,-0.000046,-0.000038, 25,-0.000132,-0.000064,  26.020
    44.4,-0.000051,-0.000035, 25,-0.000117,-0.000064,  26.022
    44.6,-0.000049,-0.000031, 25,-0.000110,-0.000064,  26.022
    44.8,-0.000039,-0.000030, 25,-0.000095,-0.000078,  26.015
    45.0,-0.000039,-0.000030, 25,-0.000086,-0.000078,  26.015
    45.2,-0.000031,-0.000024, 25,-0.000108,-0.000064,  26.016
    45.4,-0.000024,-0.000023, 25,-0.000140,-0.000064,  26.018
    45.6,-0.000024,-0.000018, 25,-0.000180,-0.000064,  26.017
    45.8,-0.000017,-0.000014, 25,-0.000246,-0.000050,  26.020
    46.0,-0.000012,-0.000010, 25,-0.000320,-0.000064,  26.018
    46.2,-0.000013,-0.000009, 25,-0.000406,-0.000064,  26.020
    46.4,-0.000013,-0.000007, 25,-0.000418,-0.000050,  26.022
    46.6,-0.000013,-0.000011, 25,-0.000400,-0.000050,  26.021
    46.8,-0.000013,-0.000008, 25,-0.000350,-0.000050,  26.025
    47.0,-0.000008,-0.000005, 25,-0.000315,-0.000050,  26.024
    47.2,-0.000013,-0.000005, 25,-0.000270,-0.000050,  26.025
    47.4,-0.000013,-0.000009, 25,-0.000228,-0.000050,  26.024
    47.6,-0.000005,-0.000006, 25,-0.000209,-0.000050,  26.025
    47.8,-0.000007,-0.000004, 25,-0.000195,-0.000050,  26.021
    48.0,-0.000007,-0.000004, 25,-0.000202,-0.000050,  26.025
    48.2,-0.000010,-0.000000, 25,-0.000188,-0.000037,  26.021
    48.4,-0.000005,0.000001, 25,-0.000166,-0.000037,  26.022
    48.6,-0.000003,0.000000, 25,-0.000148,-0.000037,  26.023
    48.8,-0.000000,0.000005, 25,-0.000130,-0.000023,  26.023
    49.0,-0.000003,0.000005, 25,-0.000107,-0.000037,  26.020
    49.2,0.000001,0.000010, 25,-0.000080,-0.000037,  26.023
    49.4,0.000003,0.000012, 25,-0.000068,-0.000023,  26.020
    49.6,-0.000000,0.000014, 25,-0.000065,-0.000037,  26.023
    49.8,0.000005,0.000016, 25,-0.000075,-0.000037,  26.027
    50.0,0.000008,0.000016, 25,-0.000080,-0.000037,  26.025
    50.2,0.000008,0.000018, 25,-0.000094,-0.000072,  26.020
    50.4,0.000013,0.000016, 25,-0.000112,-0.000037,  26.026
    50.6,0.000015,0.000019, 25,-0.000091,-0.000072,  26.022
    50.8,0.000012,0.000020, 25,-0.000068,-0.000058,  26.022
    51.0,0.000012,0.000019, 25,-0.000025,-0.000037,  26.022
    51.2,0.000012,0.000022, 25,-0.000027,-0.000037,  26.021
    51.4,0.000019,0.000019, 25,-0.000038,-0.000023,  26.026
    51.6,0.000021,0.000019, 25,-0.000076,-0.000037,  26.023
    51.8,0.000018,0.000012, 25,-0.000116,-0.000023,  26.025
    52.0,0.000023,0.000015, 25,-0.000089,-0.000009,  26.026
    52.2,0.000021,0.000015, 25,-0.000060,-0.000009,  26.022
    52.4,0.000018,0.000018, 25,-0.000006,0.000005,  26.028
    52.6,0.000023,0.000022, 25,0.000001,0.000005,  26.040
    52.8,0.000023,0.000020, 25,0.000001,-0.000009,  26.054
    53.0,0.000018,0.000022, 25,-0.000016,0.000005,  26.066
    53.2,0.000016,0.000021, 25,-0.000033,-0.000030,  26.075
    53.4,0.000013,0.000022, 25,-0.000052,-0.000044,  26.081
    53.6,0.000010,0.000022, 25,-0.000080,-0.000030,  26.091
    53.8,0.000013,0.000023, 25,-0.000104,-0.000065,  26.093
    54.0,0.000019,0.000023, 25,-0.000129,-0.000044,  26.098
    54.2,0.000021,0.000019, 25,-0.000173,-0.000030,  26.101
    54.4,0.000021,0.000023, 25,-0.000214,-0.000030,  26.105
    54.6,0.000029,0.000022, 25,-0.000257,-0.000009,  26.109
    54.8,0.000037,0.000022, 25,-0.000311,0.000005,  26.112
    55.0,0.000031,0.000027, 25,-0.000298,-0.000009,  26.117
    55.2,0.000037,0.000053, 25,-0.000247,-0.000023,  26.124
    55.4,0.000031,0.000090, 25,-0.000173,-0.000009,  26.133
    55.6,0.000040,0.000145, 25,-0.000137,-0.000023,  26.135
    55.8,0.000069,0.000172, 25,-0.000103,-0.000023,  26.135
    56.0,0.000095,0.000192, 25,-0.000081,-0.000009,  26.138
    56.2,0.000118,0.000216, 25,-0.000052,-0.000023,  26.126
    56.4,0.000139,0.000240, 25,-0.000029,-0.000023,  26.106
    56.6,0.000172,0.000262, 25,-0.000007,-0.000009,  26.084
    56.8,0.000200,0.000293, 25,0.000099,-0.000023,  26.075
    57.0,0.000221,0.000314, 25,0.000236,-0.000023,  26.064
    57.2,0.000254,0.000340, 25,0.000413,-0.000009,  26.064
    57.4,0.000275,0.000364, 25,0.000532,0.000005,  26.061
    57.6,0.000298,0.000386, 25,0.000633,0.000019,  26.062
    57.8,0.000320,0.000404, 25,0.000730,0.000047,  26.058
    58.0,0.000333,0.000422, 25,0.000859,0.000075,  26.053
    58.2,0.000355,0.000418, 25,0.000997,0.000089,  26.047
    58.4,0.000369,0.000402, 25,0.001147,0.000102,  26.043
    58.6,0.000371,0.000379, 25,0.001298,0.000130,  26.024
    58.8,0.000367,0.000322, 25,0.001457,0.000081,  26.013
    59.0,0.000356,0.000248, 25,0.001612,0.000116,  26.011
    59.2,0.000270,0.000159, 25,0.001743,0.000095,  26.006
    59.4,0.000153,0.000070, 25,0.001864,0.000109,  26.008
    59.6,-0.000005,-0.000031, 25,0.001966,0.000158,  26.007
    59.8,-0.000104,-0.000129, 25,0.002069,0.000172,  26.001
    60.0,-0.000189,-0.000186, 25,0.002164,0.000186,  26.000
    60.2,-0.000264,-0.000235, 25,0.002248,0.000200,  26.006
    60.4,-0.000328,-0.000264, 25,0.002327,0.000144,  26.005
    60.6,-0.000375,-0.000293, 25,0.002419,0.000019,  26.001
    60.8,-0.000407,-0.000309, 25,0.002504,-0.000148,  26.004
    61.0,-0.000436,-0.000323, 25,0.002601,-0.000231,  26.002
    61.2,-0.000450,-0.000322, 25,0.002483,-0.000300,  26.000
    61.4,-0.000450,-0.000321, 25,0.002264,-0.000356,  26.004
    61.6,-0.000436,-0.000311, 25,0.001940,-0.000384,  26.002
    61.8,-0.000403,-0.000302, 25,0.001754,-0.000425,  26.006
    62.0,-0.000355,-0.000287, 25,0.001592,-0.000453,  26.006
    62.2,-0.000327,-0.000271, 25,0.001441,-0.000453,  26.004
    62.4,-0.000292,-0.000242, 25,0.001300,-0.000425,  26.006
    62.6,-0.000261,-0.000208, 25,0.001179,-0.000412,  26.004
    62.8,-0.000203,-0.000167, 25,0.001069,-0.000384,  25.999
    63.0,-0.000122,-0.000116, 25,0.000951,-0.000342,  26.004
    63.2,-0.000028,-0.000050, 25,0.000837,-0.000300,  26.005
    63.4,0.000032,0.000031, 25,0.000727,-0.000273,  26.003
    63.6,0.000096,0.000124, 25,0.000637,-0.000245,  26.000
    63.8,0.000150,0.000175, 25,0.000547,-0.000217,  25.999
    64.0,0.000189,0.000211, 25,0.000469,-0.000175,  25.995
    64.2,0.000207,0.000234, 25,0.000395,-0.000120,  25.995
    64.4,0.000222,0.000256, 25,0.000331,-0.000050,  26.000
    64.6,0.000222,0.000264, 26,0.000268,0.000005,  26.003
    64.8,0.000233,0.000272, 26,0.000342,0.000033,  25.995
    65.0,0.000238,0.000272, 26,0.000484,0.000047,  25.997
    65.2,0.000235,0.000263, 26,0.000694,0.000061,  25.992
    65.4,0.000225,0.000249, 26,0.000756,0.000075,  25.991
    65.6,0.000218,0.000233, 26,0.000772,0.000061,  25.996
    65.8,0.000204,0.000212, 26,0.000758,0.000061,  25.998
    66.0,0.000193,0.000187, 26,0.000755,0.000061,  25.995
    66.2,0.000176,0.000171, 26,0.000731,0.000047,  25.997
    66.4,0.000160,0.000164, 26,0.000696,0.000047,  25.998
    66.6,0.000149,0.000157, 26,0.000672,0.000047,  26.002
    66.8,0.000134,0.000147, 26,0.000646,0.000047,  26.003
    67.0,0.000127,0.000129, 26,0.000611,0.000033,  26.001
    67.2,0.000118,0.000118, 26,0.000554,0.000033,  26.004
    67.4,0.000103,0.000110, 26,0.000495,-0.000002,  26.000
    67.6,0.000099,0.000104, 26,0.000414,0.000033,  26.007
    67.8,0.000089,0.000102, 26,0.000385,-0.000016,  26.000
    68.0,0.000084,0.000097, 26,0.000370,-0.000016,  26.004
    68.2,0.000082,0.000097, 26,0.000366,0.000033,  26.001
    68.4,0.000074,0.000092, 26,0.000342,0.000033,  26.003
    68.6,0.000073,0.000089, 26,0.000326,0.000033,  26.007
    68.8,0.000068,0.000086, 26,0.000306,0.000019,  26.006
    69.0,0.000060,0.000078, 26,0.000289,0.000033,  26.002
    69.2,0.000058,0.000075, 26,0.000246,0.000033,  26.002
    69.4,0.000053,0.000067, 26,0.000191,0.000019,  26.010
    69.6,0.000045,0.000069, 26,0.000130,0.000033,  26.009
    69.8,0.000051,0.000064, 26,0.000113,0.000019,  26.003
    70.0,0.000054,0.000064, 26,0.000108,-0.000009,  26.010
    70.2,0.000051,0.000065, 26,0.000118,0.000005,  26.012
    70.4,0.000056,0.000065, 26,0.000127,-0.000009,  26.010
    70.6,0.000056,0.000067, 26,0.000127,-0.000023,  26.017
    70.8,0.000053,0.000065, 26,0.000122,-0.000009,  26.016
    71.0,0.000053,0.000061, 26,0.000130,-0.000009,  26.017
    71.2,0.000053,0.000058, 26,0.000137,-0.000009,  26.020
    71.4,0.000052,0.000060, 26,0.000152,0.000005,  26.018
    71.6,0.000057,0.000067, 26,0.000159,0.000005,  26.019
    71.8,0.000065,0.000067, 26,0.000150,-0.000009,  26.019
    72.0,0.000063,0.000064, 26,0.000152,0.000005,  26.022
    72.2,0.000058,0.000064, 26,0.000169,0.000005,  26.027
    72.4,0.000057,0.000061, 26,0.000188,0.000005,  26.024
    72.6,0.000060,0.000061, 26,0.000216,0.000019,  26.028
    72.8,0.000055,0.000063, 26,0.000210,0.000005,  26.033
    73.0,0.000062,0.000061, 26,0.000185,0.000005,  26.033
    73.2,0.000062,0.000060, 26,0.000139,0.000019,  26.035
    73.4,0.000061,0.000057, 26,0.000139,0.000005,  26.036
    73.6,0.000066,0.000056, 26,0.000161,0.000005,  26.037
    73.8,0.000069,0.000054, 26,0.000193,0.000019,  26.038
    74.0,0.000069,0.000054, 26,0.000212,0.000005,  26.039
    74.2,0.000056,0.000050, 26,0.000236,0.000005,  26.049
    74.4,0.000052,0.000050, 26,0.000258,0.000019,  26.045
    74.6,0.000044,0.000047, 26,0.000264,0.000005,  26.046
    74.8,0.000044,0.000046, 26,0.000268,0.000005,  26.046
    75.0,0.000044,0.000046, 26,0.000256,0.000019,  26.042
    75.2,0.000042,0.000049, 26,0.000229,0.000005,  26.046
    75.4,0.000042,0.000049, 26,0.000193,0.000005,  26.044
    75.6,0.000048,0.000042, 26,0.000146,0.000005,  26.041
    75.8,0.000044,0.000042, 26,0.000143,0.000019,  26.041
