Run Name,30%iso
Run Date,03:20:09 PM   01-21-09
Method Name,30%iso
Export Format Version, 1.00
Method ID,  596
Points/Second, 5.00
Number of Records,   6297
Offset from Run Start Time,00:00:00
Run End Time,00:21:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000758,0.000000, 30,-0.000188,0.000777,  30.569
     0.2,0.000754,0.000000, 30,-0.000273,0.000777,  30.570
     0.4,0.000760,0.000000, 30,-0.000426,0.000777,  30.571
     0.6,0.000758,0.000000, 30,-0.000661,0.000777,  30.565
     0.8,0.000754,0.000000, 30,-0.000639,0.000777,  30.565
     1.0,0.000760,0.000000, 30,-0.000540,0.000777,  30.567
     1.2,0.000637,0.000000, 30,0.000000,0.000742,  30.569
     1.4,0.000634,0.000000, 30,0.000000,0.000777,  30.573
     1.6,0.000628,0.000000, 30,0.000000,0.000777,  30.566
     1.8,0.000676,0.000000, 30,0.000000,0.000763,  30.570
     2.0,0.000000,0.000000, 30,0.000000,0.000798,  30.570
     2.2,0.000000,0.000000, 30,0.000000,-0.010645,  30.568
     2.4,0.000000,0.000000, 30,0.000000,0.000000,  30.565
     2.6,0.000000,0.000000, 30,0.000000,0.000000,  30.563
     2.8,0.000000,0.000000, 30,0.000000,0.000000,  30.567
     3.0,0.000000,0.000000, 30,0.000000,0.000000,  30.568
     3.2,0.000000,0.000000, 30,0.000000,0.000000,  30.567
     3.4,0.000000,0.000000, 30,0.000000,0.000000,  30.570
     3.6,0.000000,0.000000, 30,0.000000,0.000000,  30.564
     3.8,0.000000,0.000000, 30,0.000000,0.000000,  30.569
     4.0,0.000000,0.000010, 30,0.000000,0.000000,  30.568
     4.2,0.000000,0.000013, 30,0.000000,0.000000,  30.569
     4.4,0.000000,0.000014, 30,0.000000,0.000000,  30.567
     4.6,0.000000,0.000013, 30,0.000000,0.000000,  30.565
     4.8,0.000000,0.000013, 30,0.000000,0.000000,  30.566
     5.0,-0.000003,0.000012, 30,0.000000,0.000000,  30.567
     5.2,-0.000001,0.000009, 30,0.000019,0.000000,  30.569
     5.4,-0.000003,0.000005, 30,-0.000014,0.000000,  30.565
     5.6,-0.000001,0.000004, 30,-0.000051,0.000000,  30.565
     5.8,-0.000001,0.000006, 30,-0.000075,0.000000,  30.563
     6.0,0.000002,0.000008, 30,-0.000086,0.000000,  30.566
     6.2,0.000005,0.000006, 30,-0.000098,0.000006,  30.565
     6.4,0.000005,0.000007, 30,-0.000108,0.000006,  30.563
     6.6,0.000008,0.000008, 30,-0.000101,0.000006,  30.566
     6.8,0.000008,0.000002, 30,-0.000086,0.000020,  30.563
     7.0,0.000005,0.000004, 30,-0.000064,0.000034,  30.556
     7.2,0.000004,0.000005, 30,-0.000159,0.000034,  30.562
     7.4,0.000004,0.000005, 30,-0.000319,0.000034,  30.563
     7.6,0.000006,0.000006, 30,-0.000539,0.000034,  30.558
     7.8,0.000004,0.000009, 30,-0.000545,0.000034,  30.558
     8.0,0.000007,0.000009, 30,-0.000475,0.000006,  30.557
     8.2,0.000007,0.000007, 30,-0.000339,0.000020,  30.554
     8.4,0.000005,0.000005, 30,-0.000276,-0.000001,  30.560
     8.6,0.000008,0.000003, 30,-0.000199,0.000013,  30.557
     8.8,0.000005,-0.000004, 30,-0.000126,0.000026,  30.559
     9.0,0.000005,-0.000002, 30,-0.000108,0.000005,  30.552
     9.2,0.000002,-0.000000, 30,-0.000108,0.000013,  30.562
     9.4,-0.000000,-0.000003, 30,-0.000122,0.000013,  30.561
     9.6,0.000003,-0.000002, 30,-0.000101,-0.000009,  30.561
     9.8,0.000003,-0.000002, 30,-0.000072,0.000026,  30.562
    10.0,0.000003,-0.000002, 30,-0.000039,0.000026,  30.561
    10.2,0.000001,-0.000003, 30,-0.000027,-0.000009,  30.561
    10.4,0.000004,-0.000005, 30,-0.000022,0.000026,  30.561
    10.6,0.000004,-0.000003, 30,-0.000038,0.000026,  30.564
    10.8,0.000001,-0.000001, 30,-0.000174,-0.000009,  30.559
    11.0,-0.000002,-0.000004, 30,-0.000378,0.000013,  30.562
    11.2,-0.000007,-0.000004, 30,-0.000640,-0.000001,  30.563
    11.4,-0.000005,-0.000008, 30,-0.000647,-0.000001,  30.561
    11.6,-0.000002,-0.000013, 30,-0.000553,0.000020,  30.562
    11.8,-0.000007,-0.000011, 30,-0.000367,0.000006,  30.561
    12.0,-0.000005,-0.000011, 30,-0.000454,0.000006,  30.562
    12.2,-0.000002,-0.000017, 30,-0.000625,0.000020,  30.562
    12.4,-0.000007,-0.000015, 30,-0.000893,0.000034,  30.561
    12.6,-0.000005,-0.000011, 30,-0.000837,0.000013,  30.562
    12.8,-0.000002,-0.000012, 30,-0.000671,0.000013,  30.558
