Run Name,elute
Run Date,05:05:24 PM   01-21-09
Method Name,elute
Export Format Version, 1.00
Method ID,  603
Points/Second, 5.00
Number of Records,   1559
Offset from Run Start Time,00:00:00
Run End Time,00:05:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000281,0.000044,  0,0.000960,0.000054,  51.405
     0.2,0.000271,0.000039,  0,0.000891,0.000033,  51.421
     0.4,0.000274,0.000036,  0,0.001031,0.000054,  51.447
     0.6,0.000273,0.000036,  0,0.001382,0.000054,  51.458
     0.8,0.000263,0.000037,  0,0.001464,0.000033,  51.486
     1.0,0.000260,0.000035,  0,0.001517,0.000054,  51.500
     1.2,0.000256,0.000032,  0,0.001535,0.000054,  51.520
     1.4,0.000246,0.000025,  0,0.001561,0.000033,  51.534
     1.6,0.000242,0.000021,  0,0.001576,0.000054,  51.552
     1.8,0.000232,0.000017,  0,0.001577,0.000054,  51.570
     2.0,0.000222,0.000010,  0,0.001592,0.000033,  51.587
     2.2,0.000218,0.000002,  0,0.001601,0.000054,  51.606
     2.4,0.000063,-0.000004,  0,0.001062,0.000054,  51.648
     2.6,0.000014,-0.000061,  0,0.001062,0.000033,  51.659
     2.8,-0.000013,-0.000061,  0,0.000970,0.000054,  51.680
     3.0,-0.000052,-0.000167,  0,0.000789,0.000054,  51.695
     3.2,-0.000035,-0.000374,  0,0.000514,0.000054,  51.715
     3.4,-0.000003,-0.000306,  0,0.000653,0.000047,  51.733
     3.6,0.000039,-0.000090,  0,0.000961,0.000123,  51.762
     3.8,0.000068,-0.000015,  0,0.001435,0.000123,  51.787
     4.0,0.000095,0.000009,  0,0.001342,0.000123,  51.807
     4.2,0.000121,-0.000003,  0,0.001051,0.000109,  51.823
     4.4,0.000128,0.000012,  0,0.000565,0.000082,  51.840
     4.6,0.000127,0.000018,  0,-0.000118,0.000089,  51.857
     4.8,0.000117,0.000025,  0,0.000125,0.000048,  51.872
     5.0,0.000124,0.000030,  0,0.000618,-0.000006,  51.902
     5.2,0.000126,0.000037,  0,0.001361,-0.000027,  51.922
     5.4,0.000138,0.000041,  0,0.001530,-0.000014,  51.942
     5.6,0.000135,0.000038,  0,0.001543,0.000014,  51.954
     5.8,0.000133,0.000043,  0,0.001394,0.000055,  51.972
     6.0,0.000131,0.000043,  0,0.001357,0.000068,  51.990
     6.2,0.000126,0.000041,  0,0.001302,0.000096,  52.007
     6.4,0.000128,0.000041,  0,0.001222,0.000109,  52.047
     6.6,0.000131,0.000041,  0,0.001178,0.000096,  52.054
     6.8,0.000126,0.000041,  0,0.001140,0.000089,  52.075
     7.0,0.000126,0.000038,  0,0.001106,0.000089,  52.085
     7.2,0.000124,0.000038,  0,0.001101,0.000068,  52.104
     7.4,0.000119,0.000036,  0,0.001102,0.000068,  52.120
     7.6,0.000114,0.000032,  0,0.001116,0.000068,  52.137
     7.8,0.000113,0.000030,  0,0.001129,0.000034,  52.168
     8.0,0.000103,0.000025,  0,0.001143,0.000034,  52.180
     8.2,0.000100,0.000020,  0,0.001163,0.000034,  52.202
     8.4,0.000103,0.000018,  0,0.001127,0.000013,  52.215
     8.6,0.000096,0.000016,  0,0.001076,0.000047,  52.232
     8.8,0.000096,0.000013,  0,0.001009,0.000026,  52.243
     9.0,0.000095,0.000011,  0,0.000997,0.000026,  52.262
     9.2,0.000087,0.000005,  0,0.001005,0.000026,  52.276
     9.4,0.000092,0.000005,  0,0.001036,0.000026,  52.315
     9.6,0.000088,0.000005,  0,0.000874,0.000013,  52.326
     9.8,0.000082,0.000003,  0,0.000631,0.000034,  52.345
    10.0,0.000078,-0.000002,  0,0.000304,0.000013,  52.358
    10.2,0.000070,-0.000003,  0,0.000271,0.000026,  52.377
    10.4,0.000060,-0.000007,  0,0.000327,0.000040,  52.394
    10.6,0.000063,-0.000018,  0,0.000491,0.000019,  52.405
    10.8,0.000051,-0.000022,  0,0.000581,0.000040,  52.413
    11.0,0.000051,-0.000030,  0,0.000674,0.000026,  52.427
    11.2,0.000054,-0.000032,  0,0.000784,0.000005,  52.458
    11.4,0.000054,-0.000036,  0,0.000825,0.000026,  52.475
    11.6,0.000054,-0.000034,  0,0.000833,0.000026,  52.482
    11.8,0.000051,-0.000031,  0,0.000816,0.000026,  52.491
    12.0,0.000049,-0.000028,  0,0.000841,0.000026,  52.507
    12.2,0.000054,-0.000026,  0,0.000876,0.000047,  52.511
    12.4,0.000049,-0.000020,  0,0.000923,0.000061,  52.531
    12.6,0.000049,-0.000020,  0,0.000923,0.000026,  52.542
    12.8,0.000052,-0.000024,  0,0.000911,0.000061,  52.556
    13.0,0.000047,-0.000025,  0,0.000887,0.000040,  52.587
    13.2,0.000047,-0.000025,  0,0.000863,0.000026,  52.599
    13.4,0.000050,-0.000025,  0,0.000827,0.000026,  52.616
    13.6,0.000044,-0.000027,  0,0.000772,0.000005,  52.626
    13.8,0.000044,-0.000027,  0,0.000765,0.000026,  52.638
    14.0,0.000050,-0.000024,  0,0.000767,0.000026,  52.656
    14.2,0.000042,-0.000027,  0,0.000789,0.000026,  52.670
    14.4,0.000040,-0.000029,  0,0.000827,0.000054,  52.686
    14.6,0.000040,-0.000032,  0,0.000680,0.000019,  52.721
    14.8,0.000035,-0.000034,  0,0.000474,0.000054,  52.735
    15.0,0.000030,-0.000033,  0,0.000200,0.000019,  52.751
    15.2,0.000033,-0.000030,  0,0.000195,0.000019,  52.761
    15.4,0.000028,-0.000034,  0,0.000285,0.000040,  52.774
    15.6,0.000028,-0.000036,  0,0.000482,0.000019,  52.789
    15.8,0.000031,-0.000040,  0,0.000567,0.000054,  52.802
    16.0,0.000021,-0.000044,  0,0.000647,0.000040,  52.814
    16.2,0.000027,-0.000050,  0,0.000720,0.000019,  52.832
    16.4,0.000026,-0.000047,  0,0.000565,0.000054,  52.871
    16.6,0.000018,-0.000051,  0,0.000283,0.000040,  52.878
    16.8,0.000016,-0.000054,  0,-0.000107,0.000019,  52.896
    17.0,0.000008,-0.000058,  0,-0.000095,0.000040,  52.909
    17.2,0.000001,-0.000055,  0,0.000046,0.000026,  52.928
    17.4,0.000004,-0.000059,  0,0.000331,0.000005,  52.949
    17.6,0.000001,-0.000068,  0,0.000416,0.000026,  52.960
    17.8,-0.000006,-0.000070,  0,0.000471,0.000026,  52.977
    18.0,-0.000003,-0.000073,  0,0.000487,-0.000008,  53.010
    18.2,-0.000006,-0.000072,  0,0.000556,0.000026,  53.027
    18.4,-0.000013,-0.000072,  0,0.000619,0.000013,  53.048
    18.6,-0.000020,-0.000072,  0,0.000692,0.000013,  53.061
    18.8,-0.000035,-0.000080,  0,0.000707,0.000013,  53.083
    19.0,-0.000040,-0.000083,  0,0.000693,0.000020,  53.092
    19.2,-0.000044,-0.000086,  0,0.000654,-0.000015,  53.114
    19.4,-0.000047,-0.000086,  0,0.000601,-0.000001,  53.143
    19.6,-0.000049,-0.000088,  0,0.000519,-0.000001,  53.160
    19.8,-0.000049,-0.000092,  0,0.000422,-0.000036,  53.176
    20.0,-0.000047,-0.000096,  0,0.000390,-0.000001,  53.192
    20.2,-0.000044,-0.000102,  0,0.000371,-0.000015,  53.205
    20.4,-0.000046,-0.000111,  0,0.000387,-0.000049,  53.226
