Run Name,grad 3
Run Date,12:10:27 PM   03-06-09
Method Name,grad 3
Export Format Version, 1.00
Method ID,  714
Points/Second, 5.00
Number of Records,   6648
Offset from Run Start Time,00:00:00
Run End Time,00:22:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.003121,0.002100, 20,0.021436,0.002544,  20.580
     0.2,0.003118,0.002098, 20,0.021499,0.002544,  20.585
     0.4,0.003121,0.002097, 20,0.021586,0.002509,  20.592
     0.6,0.003121,0.002097, 20,0.021679,0.002531,  20.586
     0.8,0.003121,0.002099, 20,0.021543,0.002531,  20.590
     1.0,0.003123,0.002098, 20,0.021296,0.002509,  20.591
     1.2,0.003115,0.002091, 20,0.015208,0.002531,  20.590
     1.4,0.003241,0.002091, 20,0.015208,0.002531,  20.598
     1.6,0.003246,0.001772, 20,0.015208,0.002509,  20.597
     1.8,0.003273,0.001131, 20,0.015208,0.002531,  20.596
     2.0,0.000419,0.001131, 20,0.015208,0.002531,  20.600
     2.2,0.000000,0.000000, 20,0.000000,0.002496,  20.600
     2.4,0.000000,0.000000, 20,0.000000,0.002517,  20.602
     2.6,0.000000,0.000000, 20,0.000000,0.002539,  20.603
     2.8,0.000000,0.000000, 20,0.000000,0.002526,  20.602
     3.0,0.000000,0.000000, 20,0.000000,0.002569,  20.603
     3.2,0.000000,0.000000, 20,0.000000,0.002569,  20.605
     3.4,0.000000,0.000000, 20,0.000000,0.002555,  20.603
     3.6,0.000000,0.000000, 20,0.000000,0.000000,  20.603
     3.8,0.000000,0.000000, 20,0.000000,0.000000,  20.605
     4.0,0.000000,0.000000, 20,0.000000,0.000000,  20.607
     4.2,0.000000,0.000000, 20,0.000000,0.000000,  20.606
     4.4,0.000000,0.000000, 20,0.000000,0.000000,  20.608
     4.6,0.000000,0.000000, 20,0.000000,0.000000,  20.611
     4.8,0.000000,0.000000, 20,0.000000,0.000000,  20.607
     5.0,0.000000,0.000000, 20,0.000000,0.000000,  20.605
     5.2,0.000000,0.000436, 20,0.000000,0.000000,  20.610
     5.4,0.000000,0.000465, 20,0.000012,0.000000,  20.605
     5.6,0.000358,0.000479, 20,-0.000026,0.000000,  20.609
     5.8,0.000358,0.000496, 20,-0.000107,0.000000,  20.612
     6.0,0.000356,0.000502, 20,-0.000230,0.000000,  20.608
     6.2,0.000351,0.000501, 20,-0.000386,0.000000,  20.607
     6.4,0.000349,0.000496, 20,-0.000585,0.000000,  20.605
     6.6,0.000344,0.000481, 20,-0.000750,0.000000,  20.608
     6.8,0.000335,0.000472, 20,-0.000921,0.000000,  20.611
     7.0,0.000335,0.000468, 20,-0.001081,0.000000,  20.616
     7.2,0.000337,0.000462, 20,-0.000998,0.000000,  20.613
     7.4,0.000342,0.000458, 20,-0.000797,0.000000,  20.610
     7.6,0.000347,0.000456, 20,-0.000471,0.000000,  20.613
     7.8,0.000346,0.000459, 20,-0.000438,0.000000,  20.614
     8.0,0.000353,0.000458, 20,-0.000493,0.000207,  20.610
     8.2,0.000354,0.000458, 20,-0.000634,0.000159,  20.608
     8.4,0.000357,0.000467, 20,-0.000738,0.000159,  20.606
     8.6,0.000357,0.000469, 20,-0.000859,0.000146,  20.605
     8.8,0.000351,0.000467, 20,-0.001009,0.000159,  20.603
     9.0,0.000357,0.000472, 20,-0.001109,0.000146,  20.599
     9.2,0.000350,0.000472, 20,-0.001199,0.000146,  20.600
     9.4,0.000350,0.000467, 20,-0.001268,0.000124,  20.601
     9.6,0.000346,0.000465, 20,-0.001235,0.000124,  20.599
     9.8,0.000352,0.000467, 20,-0.001131,0.000102,  20.597
    10.0,0.000357,0.000463, 20,-0.000976,0.000094,  20.593
    10.2,0.000351,0.000462, 20,-0.000955,0.000129,  20.594
    10.4,0.000344,0.000465, 20,-0.000960,0.000142,  20.611
    10.6,0.000343,0.000470, 20,-0.001006,0.000107,  20.627
    10.8,0.000337,0.000475, 20,-0.000977,0.000142,  20.638
    11.0,0.000343,0.000475, 20,-0.000926,0.000116,  20.644
    11.2,0.000345,0.000474, 20,-0.000855,0.000081,  20.647
    11.4,0.000344,0.000469, 20,-0.000796,0.000116,  20.651
    11.6,0.000354,0.000460, 20,-0.000721,0.000116,  20.656
    11.8,0.000359,0.000453, 20,-0.000648,0.000094,  20.665
    12.0,0.000351,0.000445, 20,-0.000646,0.000129,  20.674
    12.2,0.000347,0.000433, 20,-0.000671,0.000116,  20.677
    12.4,0.000333,0.000419, 20,-0.000730,0.000094,  20.679
    12.6,0.000319,0.000412, 20,-0.000755,0.000129,  20.684
    12.8,0.000315,0.000398, 20,-0.000775,0.000116,  20.688
    13.0,0.000303,0.000382, 20,-0.000793,0.000094,  20.695
    13.2,0.000279,0.000365, 20,-0.000813,0.000116,  20.699
    13.4,0.000261,0.000352, 20,-0.000928,0.000102,  20.701
    13.6,0.000234,0.000332, 20,-0.001086,0.000081,  20.700
    13.8,0.000208,0.000311, 20,-0.001281,0.000102,  20.702
    14.0,0.000180,0.000309, 20,-0.001327,0.000089,  20.703
    14.2,0.000153,0.000313, 20,-0.001319,0.000089,  20.712
    14.4,0.000151,0.000330, 20,-0.001256,0.000076,  20.713
    14.6,0.000157,0.000336, 20,-0.001203,0.000076,  20.715
    14.8,0.000186,0.000348, 20,-0.001128,0.000049,  20.719
    15.0,0.000202,0.000360, 20,-0.001037,0.000001,  20.721
    15.2,0.000215,0.000377, 20,-0.001019,0.000010,  20.724
    15.4,0.000241,0.000392, 20,-0.001030,-0.000017,  20.729
    15.6,0.000265,0.000407, 20,-0.001074,-0.000065,  20.724
    15.8,0.000280,0.000428, 20,-0.001151,-0.000056,  20.729
    16.0,0.000306,0.000437, 20,-0.001262,-0.000083,  20.733
    16.2,0.000325,0.000453, 20,-0.001407,-0.000131,  20.736
    16.4,0.000331,0.000469, 20,-0.001431,-0.000109,  20.734
    16.6,0.000348,0.000474, 20,-0.001417,-0.000136,  20.735
    16.8,0.000360,0.000474, 20,-0.001353,-0.000144,  20.739
    17.0,0.000364,0.000477, 20,-0.001270,-0.000096,  20.730
    17.2,0.000376,0.000484, 20,-0.001155,-0.000043,  20.737
    17.4,0.000385,0.000483, 20,-0.001008,-0.000038,  20.743
    17.6,0.000388,0.000492, 20,-0.001184,0.000010,  20.743
    17.8,0.000395,0.000497, 20,-0.001503,0.000023,  20.744
    18.0,0.000400,0.000498, 20,-0.001960,0.000015,  20.744
    18.2,0.000402,0.000508, 20,-0.002075,0.000076,  20.744
    18.4,0.000405,0.000518, 20,-0.002077,0.000089,  20.749
    18.6,0.000412,0.000526, 20,-0.001976,0.000068,  20.742
    18.8,0.000415,0.000539, 20,-0.001973,0.000116,  20.745
    19.0,0.000427,0.000545, 20,-0.001973,0.000116,  20.742
    19.2,0.000442,0.000545, 20,-0.001980,0.000094,  20.743
    19.4,0.000449,0.000543, 20,-0.002087,0.000129,  20.744
    19.6,0.000453,0.000541, 20,-0.002235,0.000129,  20.746
    19.8,0.000453,0.000540, 20,-0.002446,0.000107,  20.747
    20.0,0.000458,0.000536, 20,-0.002415,0.000142,  20.747
    20.2,0.000458,0.000532, 20,-0.002298,0.000142,  20.749
    20.4,0.000458,0.000536, 20,-0.002087,0.000121,  20.748
    20.6,0.000463,0.000542, 20,-0.001912,0.000155,  20.747
    20.8,0.000470,0.000547, 20,-0.001710,0.000142,  20.749
    21.0,0.000482,0.000560, 20,-0.001493,0.000107,  20.745
    21.2,0.000494,0.000583, 20,-0.001367,0.000155,  20.747
    21.4,0.000505,0.000588, 20,-0.001283,0.000155,  20.749
