Run Name,23%grad2.5
Run Date,02:15:48 PM   03-06-09
Method Name,23%grad2.5
Export Format Version, 1.00
Method ID,  720
Points/Second, 5.00
Number of Records,   5910
Offset from Run Start Time,00:00:00
Run End Time,00:19:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000793,-0.000652, 23,-0.016009,0.000217,  21.920
     0.2,-0.000793,-0.000657, 23,-0.016097,0.000217,  21.918
     0.4,-0.000791,-0.000656, 23,-0.016157,0.000217,  21.919
     0.6,-0.000788,-0.000662, 23,-0.016199,0.000217,  21.920
     0.8,-0.000788,-0.000658, 23,-0.016164,0.000204,  21.916
     1.0,-0.000788,-0.000652, 23,-0.016081,0.000169,  21.918
     1.2,-0.000758,0.000000, 23,0.000000,0.000204,  21.920
     1.4,-0.000751,0.000000, 23,0.000000,0.000190,  21.920
     1.6,-0.000744,0.000000, 23,0.000000,0.000204,  21.919
     1.8,-0.000745,0.000000, 23,0.000000,0.000204,  21.918
     2.0,0.000000,0.000000, 23,0.000000,0.000239,  21.923
     2.2,0.000000,0.000000, 23,0.000000,0.000204,  21.920
     2.4,0.000000,0.000000, 23,0.000000,0.000000,  21.926
     2.6,0.000000,0.000000, 23,0.000000,0.000000,  21.923
     2.8,0.000000,0.000000, 23,0.000000,0.000000,  21.921
     3.0,0.000000,0.000000, 23,0.000000,0.000000,  21.927
     3.2,0.000000,0.000000, 23,0.000000,0.000000,  21.927
     3.4,0.000000,0.000000, 23,0.000000,0.000000,  21.931
     3.6,0.000000,0.000000, 23,0.000000,0.000000,  21.929
     3.8,0.000000,0.000000, 23,0.000000,0.000000,  21.927
     4.0,0.000000,0.000000, 23,0.000000,0.000000,  21.928
     4.2,0.000000,0.000000, 23,0.000000,0.000000,  21.932
     4.4,0.000000,0.000000, 23,0.000000,0.000000,  21.938
     4.6,0.000000,0.000000, 23,0.000000,0.000000,  21.932
     4.8,0.000000,0.000000, 23,0.000000,0.000000,  21.936
     5.0,0.000000,0.000000, 23,0.000000,0.000000,  21.930
     5.2,0.000000,0.000028, 23,-0.000270,0.000000,  21.939
     5.4,0.000012,0.000022, 23,-0.000167,0.000000,  21.935
     5.6,0.000001,0.000013, 23,-0.000124,0.000000,  21.936
     5.8,0.000005,0.000012, 23,-0.000137,0.000000,  21.940
     6.0,0.000000,0.000011, 23,-0.000207,0.000000,  21.940
     6.2,-0.000002,0.000012, 23,-0.000335,0.000000,  21.939
     6.4,-0.000010,0.000016, 23,-0.000518,0.000000,  21.945
     6.6,-0.000005,0.000014, 23,-0.000543,0.000000,  21.949
     6.8,-0.000007,0.000015, 23,-0.000527,0.000008,  21.948
     7.0,-0.000014,0.000011, 23,-0.000458,-0.000013,  21.946
     7.2,-0.000010,0.000012, 23,-0.000418,-0.000035,  21.953
     7.4,-0.000015,0.000010, 23,-0.000385,-0.000013,  21.949
     7.6,-0.000022,0.000006, 23,-0.000342,-0.000035,  21.949
     7.8,-0.000023,0.000007, 23,-0.000322,-0.000013,  21.948
     8.0,-0.000025,0.000002, 23,-0.000306,-0.000026,  21.947
     8.2,-0.000034,-0.000001, 23,-0.000311,-0.000048,  21.949
     8.4,-0.000040,-0.000003, 23,-0.000311,-0.000026,  21.950
     8.6,-0.000049,-0.000010, 23,-0.000313,-0.000026,  21.953
     8.8,-0.000055,-0.000019, 23,-0.000318,-0.000048,  21.956
     9.0,-0.000069,-0.000029, 23,-0.000479,-0.000026,  21.954
     9.2,-0.000076,-0.000032, 23,-0.000718,-0.000026,  21.957
     9.4,-0.000079,-0.000036, 23,-0.001032,-0.000061,  21.957
     9.6,-0.000083,-0.000033, 23,-0.001144,-0.000040,  21.963
     9.8,-0.000076,-0.000035, 23,-0.001200,-0.000053,  21.966
    10.0,-0.000076,-0.000037, 23,-0.001196,-0.000088,  21.967
    10.2,-0.000073,-0.000032, 23,-0.001128,-0.000066,  21.968
    10.4,-0.000068,-0.000030, 23,-0.000996,-0.000080,  21.969
