Run Name,grad 3.5
Run Date,12:46:14 PM   03-06-09
Method Name,23%grad3.5
Export Format Version, 1.00
Method ID,  716
Points/Second, 5.00
Number of Records,   5340
Offset from Run Start Time,00:00:00
Run End Time,00:17:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000740,0.000000, 23,-0.010538,0.000000,  21.873
     0.2,0.000764,0.000000, 23,-0.010538,0.000000,  21.870
     0.4,0.000795,0.000000, 23,-0.010538,0.000000,  21.872
     0.6,0.000796,0.000000, 23,-0.010538,0.000000,  21.870
     0.8,0.000000,0.000000, 23,0.000000,0.000000,  21.869
     1.0,0.000000,0.000000, 23,0.000000,0.000000,  21.870
     1.2,0.000000,0.000000, 23,0.000000,0.000000,  21.867
     1.4,0.000000,0.000000, 23,0.000000,0.000000,  21.868
     1.6,0.000000,0.000000, 23,0.000000,0.000000,  21.867
     1.8,0.000000,0.000000, 23,0.000000,0.000000,  21.867
     2.0,0.000000,0.000000, 23,0.000000,0.000000,  21.864
     2.2,0.000000,0.000000, 23,0.000000,0.000000,  21.871
     2.4,0.000000,0.000000, 23,0.000000,0.000000,  21.866
     2.6,0.000000,0.000000, 23,0.000000,0.000000,  21.869
     2.8,0.000000,0.000000, 23,0.000000,0.000000,  21.868
     3.0,0.000000,0.000000, 23,0.000000,0.000000,  21.871
     3.2,0.000000,0.000000, 23,0.000000,0.000000,  21.869
     3.4,0.000000,0.000000, 23,0.000000,0.000000,  21.867
     3.6,0.000000,0.000000, 23,0.000000,0.000000,  21.870
     3.8,0.000000,0.000000, 23,0.000000,0.000000,  21.865
     4.0,0.000000,0.000055, 23,-0.000012,0.000000,  21.874
     4.2,0.000040,0.000047, 23,0.000055,0.000013,  21.871
     4.4,0.000032,0.000039, 23,0.000095,0.000000,  21.867
     4.6,0.000035,0.000034, 23,0.000095,0.000013,  21.871
     4.8,0.000035,0.000033, 23,0.000074,0.000013,  21.870
     5.0,0.000035,0.000033, 23,0.000006,0.000026,  21.872
     5.2,0.000030,0.000039, 23,-0.000083,0.000040,  21.873
     5.4,0.000035,0.000040, 23,-0.000108,0.000026,  21.871
     5.6,0.000033,0.000034, 23,-0.000115,0.000026,  21.865
     5.8,0.000033,0.000034, 23,-0.000111,0.000040,  21.865
