Run Name,24%
Run Date,05:45:37 PM   03-03-09
Method Name,24%
Export Format Version, 1.00
Method ID,  698
Points/Second, 5.00
Number of Records,   6300
Offset from Run Start Time,00:00:00
Run End Time,00:21:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000000,0.000000, 24,-0.000700,0.000066,  25.247
     0.2,0.000000,0.000000, 24,-0.000721,0.000080,  25.250
     0.4,0.000000,0.000000, 24,-0.000684,0.000045,  25.248
     0.6,0.000000,0.000000, 24,-0.000592,0.000080,  25.248
     0.8,0.000000,0.000000, 24,-0.000496,0.000080,  25.252
     1.0,0.000000,0.000000, 24,-0.000371,0.000066,  25.252
     1.2,0.000000,0.000000, 24,-0.000343,0.000000,  25.251
     1.4,0.000000,0.000000, 24,-0.000343,0.000000,  25.251
     1.6,0.000000,0.000000, 24,-0.000343,0.000000,  25.245
     1.8,0.000000,0.000000, 24,-0.000343,0.000000,  25.246
     2.0,0.000000,0.000000, 24,0.000000,0.000000,  25.245
     2.2,0.000000,0.000000, 24,0.000000,0.000000,  25.248
     2.4,0.000000,0.000000, 24,0.000000,0.000000,  25.244
     2.6,0.000000,0.000000, 24,0.000000,0.000000,  25.247
     2.8,0.000000,0.000000, 24,0.000000,0.000000,  25.239
     3.0,0.000000,0.000000, 24,0.000000,0.000000,  25.241
     3.2,0.000000,0.000000, 24,0.000000,0.000000,  25.238
     3.4,0.000000,0.000000, 24,0.000000,0.000000,  25.241
     3.6,0.000000,0.000000, 24,0.000000,0.000000,  25.237
     3.8,0.000000,0.000000, 24,0.000000,0.000000,  25.241
     4.0,0.000014,0.000000, 24,0.000000,0.000000,  25.239
     4.2,0.000019,-0.000006, 24,0.000000,0.000000,  25.237
     4.4,0.000021,-0.000009, 24,0.000000,0.000000,  25.239
     4.6,0.000029,-0.000015, 24,0.000000,0.000000,  25.234
     4.8,0.000021,-0.000017, 24,0.000000,0.000000,  25.239
     5.0,0.000016,-0.000019, 24,0.000000,0.000000,  25.238
     5.2,0.000008,-0.000011, 24,0.000000,0.000000,  25.239
     5.4,0.000005,-0.000009, 24,0.000000,0.000000,  25.237
     5.6,0.000008,-0.000011, 24,0.000135,-0.000008,  25.239
     5.8,0.000008,-0.000009, 24,0.000140,-0.000008,  25.242
     6.0,0.000015,-0.000007, 24,0.000132,-0.000008,  25.239
     6.2,0.000015,-0.000015, 24,0.000107,-0.000008,  25.243
     6.4,0.000012,-0.000019, 24,0.000067,-0.000042,  25.241
     6.6,0.000008,-0.000020, 24,0.000016,-0.000021,  25.244
     6.8,-0.000002,-0.000027, 24,-0.000044,-0.000021,  25.239
     7.0,-0.000007,-0.000026, 24,-0.000105,-0.000056,  25.237
     7.2,-0.000013,-0.000028, 24,-0.000167,-0.000008,  25.241
     7.4,-0.000021,-0.000033, 24,-0.000227,0.000006,  25.241
     7.6,-0.000019,-0.000033, 24,-0.000215,-0.000015,  25.239
     7.8,-0.000013,-0.000031, 24,-0.000180,0.000006,  25.243
     8.0,-0.000019,-0.000031, 24,-0.000116,0.000006,  25.237
