Run Name,29%
Run Date,03:51:22 PM   03-02-09
Method Name,29%
Export Format Version, 1.00
Method ID,  677
Points/Second, 5.00
Number of Records,   3180
Offset from Run Start Time,00:00:00
Run End Time,00:10:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000099,0.000000, 29,-0.000553,0.000000,  30.473
     0.2,0.000126,0.000000, 29,-0.000553,0.000000,  30.475
     0.4,0.000130,0.000000, 29,-0.000553,0.000000,  30.471
     0.6,0.000116,0.000000, 29,-0.000553,0.000000,  30.472
     0.8,0.000000,0.000000, 29,0.000000,0.000000,  30.469
     1.0,0.000000,0.000000, 29,0.000000,0.000000,  30.463
     1.2,0.000000,0.000000, 29,0.000000,0.000000,  30.462
     1.4,0.000000,0.000000, 29,0.000000,0.000000,  30.466
     1.6,0.000000,0.000000, 29,0.000000,0.000000,  30.469
     1.8,0.000000,0.000000, 29,0.000000,0.000000,  30.469
     2.0,0.000000,0.000000, 29,0.000000,0.000000,  30.467
     2.2,0.000000,0.000000, 29,0.000000,0.000000,  30.461
     2.4,0.000000,0.000000, 29,0.000000,0.000000,  30.458
     2.6,0.000000,0.000000, 29,0.000000,0.000000,  30.461
     2.8,0.000000,0.000000, 29,0.000000,0.000000,  30.454
     3.0,0.000000,0.000000, 29,0.000000,0.000000,  30.457
     3.2,0.000000,0.000000, 29,0.000000,0.000000,  30.457
     3.4,0.000000,0.000000, 29,0.000000,0.000000,  30.457
     3.6,0.000000,0.000000, 29,0.000000,0.000000,  30.459
     3.8,0.000000,0.000000, 29,0.000000,0.000000,  30.461
     4.0,0.000000,0.000019, 29,0.000000,0.000000,  30.460
     4.2,0.000015,0.000022, 29,-0.000040,0.000000,  30.455
     4.4,0.000012,0.000021, 29,-0.000069,-0.000049,  30.456
     4.6,0.000001,0.000024, 29,-0.000092,-0.000035,  30.456
     4.8,0.000004,0.000019, 29,-0.000104,-0.000035,  30.454
     5.0,-0.000004,0.000016, 29,-0.000104,-0.000035,  30.453
     5.2,-0.000001,0.000010, 29,-0.000092,-0.000035,  30.451
     5.4,-0.000005,0.000005, 29,-0.000080,-0.000022,  30.446
