Run Name,dead time
Run Date,02:17:37 PM   03-02-09
Method Name,time delay
Export Format Version, 1.00
Method ID,  669
Points/Second, 5.00
Number of Records,   1396
Offset from Run Start Time,00:00:00
Run End Time,00:04:41
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.014814,-0.355010, 75,0.148928,-0.409916,  64.601
     0.2,0.014816,-0.355006, 75,0.148940,-0.409937,  64.603
     0.4,0.014813,-0.355003, 75,0.148949,-0.409937,  64.598
     0.6,0.014816,-0.355001, 75,0.148957,-0.409937,  64.601
     0.8,0.014818,-0.355001, 75,0.148975,-0.409923,  64.601
     1.0,0.014815,-0.355001, 75,0.148995,-0.409937,  64.601
     1.2,0.014820,-0.355002, 75,0.149012,-0.409937,  64.602
     1.4,0.014815,-0.354997, 75,0.149024,-0.409923,  64.607
     1.6,0.014817,-0.354997, 75,0.149029,-0.409937,  64.607
     1.8,0.014815,-0.354995, 75,0.149029,-0.409937,  64.613
     2.0,0.014815,-0.354993, 75,0.149012,-0.409923,  64.619
     2.2,0.014815,-0.354995, 75,0.148978,-0.409937,  64.621
     2.4,0.014809,-0.355000, 75,0.148940,-0.409937,  64.614
     2.6,0.014815,-0.355000, 75,0.148945,-0.409923,  64.603
     2.8,0.014815,-0.354999, 75,0.148958,-0.409937,  64.604
     3.0,0.014815,-0.354988, 75,0.148994,-0.409937,  64.603
     3.2,0.014826,-0.354986, 75,0.148992,-0.409937,  64.603
     3.4,0.014826,-0.354990, 75,0.148970,-0.409972,  64.604
     3.6,0.014820,-0.354991, 75,0.148946,-0.409923,  64.604
     3.8,0.014826,-0.354993, 75,0.148904,-0.409937,  64.599
     4.0,0.014826,-0.354992, 75,0.148882,-0.409937,  64.597
     4.2,0.014820,-0.354994, 75,0.148867,-0.409937,  64.597
     4.4,0.014826,-0.354992, 75,0.148848,-0.409951,  64.594
     4.6,0.014826,-0.354990, 75,0.148872,-0.409937,  64.593
     4.8,0.014820,0.000000, 75,0.148904,-0.409937,  64.603
     5.0,0.015405,0.000000, 75,0.148962,-0.409951,  64.599
     5.2,0.015390,0.000000, 75,0.149178,-0.409937,  64.596
     5.4,0.015384,0.000000, 75,0.149481,-0.409937,  64.594
     5.6,0.015431,0.000000, 75,0.149860,-0.409951,  64.592
     5.8,0.000000,0.000000, 75,0.149791,-0.409937,  64.595
     6.0,0.000000,0.000000, 75,0.149545,-0.409937,  64.593
     6.2,0.000000,0.000000, 75,0.148593,-0.409951,  64.590
     6.4,0.000000,0.000000, 75,0.148593,-0.409937,  64.577
     6.6,0.000000,0.000000, 75,0.148593,-0.409937,  64.577
     6.8,0.000000,0.000000, 75,0.148593,-0.409916,  64.580
     7.0,0.000000,0.000000, 75,0.000000,-0.409931,  64.570
     7.2,0.000000,0.000000, 75,0.000000,0.000000,  64.572
     7.4,0.000000,0.000000, 75,0.000000,0.000000,  64.572
     7.6,0.000000,0.000000, 75,0.000000,0.000000,  64.561
     7.8,0.000000,0.000000, 75,0.000000,0.000000,  64.569
     8.0,0.000000,0.000000, 75,0.000000,0.000000,  64.565
     8.2,0.000000,0.000000, 75,0.000000,0.000000,  64.564
     8.4,0.000000,0.000000, 75,0.000000,0.000000,  64.557
     8.6,0.000000,0.000000, 75,0.000000,0.000000,  64.554
     8.8,0.000000,0.000000, 75,0.000000,0.000000,  64.556
     9.0,0.000000,0.000000, 75,0.000000,0.000000,  64.559
     9.2,0.000000,0.000000, 75,0.000000,0.000000,  64.551
     9.4,0.000000,0.000017, 75,0.000000,0.000000,  64.542
     9.6,0.000000,0.000018, 75,0.000000,0.000000,  64.540
     9.8,-0.000026,0.000021, 75,0.000000,0.000000,  64.549
    10.0,-0.000026,0.000023, 75,0.000000,0.000000,  64.549
    10.2,-0.000024,0.000022, 75,0.000000,0.000000,  64.549
    10.4,-0.000021,0.000021, 75,0.000000,0.000000,  64.543
    10.6,-0.000019,0.000019, 75,0.000000,0.000000,  64.539
    10.8,-0.000024,0.000019, 75,0.000000,0.000000,  64.533
    11.0,-0.000016,0.000018, 75,-0.000041,0.000000,  64.534
    11.2,-0.000014,0.000016, 75,-0.000076,0.000000,  64.532
    11.4,-0.000014,0.000012, 75,-0.000107,0.000000,  64.524
    11.6,-0.000009,0.000009, 75,-0.000131,0.000000,  64.528
    11.8,-0.000006,0.000005, 75,-0.000148,0.000000,  64.530
    12.0,-0.000006,0.000001, 75,-0.000160,0.000000,  64.528
    12.2,-0.000009,0.000003, 75,-0.000170,-0.000028,  64.524
    12.4,-0.000011,-0.000002, 75,-0.000171,-0.000063,  64.520
    12.6,-0.000011,-0.000001, 75,-0.000173,-0.000014,  64.522
    12.8,-0.000011,0.000002, 75,-0.000166,0.000000,  64.525
    13.0,-0.000013,0.000004, 75,-0.000149,0.000014,  64.524
    13.2,-0.000016,0.000010, 75,-0.000134,-0.000022,  64.526
    13.4,-0.000012,0.000013, 75,-0.000114,-0.000022,  64.531
    13.6,-0.000010,0.000014, 75,-0.000081,-0.000008,  64.531
    13.8,-0.000016,0.000019, 75,-0.000052,0.000006,  64.526
    14.0,-0.000012,0.000020, 75,-0.000044,-0.000008,  64.531
    14.2,-0.000008,0.000020, 75,-0.000040,-0.000008,  64.532
    14.4,-0.000011,0.000017, 75,-0.000052,0.000006,  64.532
    14.6,-0.000009,0.000017, 75,-0.000045,0.000006,  64.532
    14.8,-0.000006,0.000018, 75,-0.000035,0.000006,  64.531
    15.0,-0.000004,0.000019, 75,-0.000030,0.000006,  64.539
    15.2,-0.000006,0.000013, 75,-0.000018,0.000006,  64.535
    15.4,-0.000006,0.000010, 75,0.000004,0.000006,  64.541
    15.6,-0.000006,0.000010, 75,0.000016,-0.000029,  64.538
    15.8,-0.000009,0.000006, 75,0.000028,-0.000029,  64.539
    16.0,-0.000011,0.000004, 75,0.000038,-0.000029,  64.540
