Run Name,Run 1
Run Date,02:56:30 PM   03-31-09
Method Name,32
Export Format Version, 1.00
Method ID,  742
Points/Second, 5.00
Number of Records,   4259
Offset from Run Start Time,00:00:00
Run End Time,00:14:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.002487,0.000000, 32,0.000562,0.002087,  32.159
     0.2,0.002530,0.000000, 32,0.000562,0.002087,  32.158
     0.4,0.002545,0.000000, 32,0.000562,0.002087,  32.159
     0.6,0.002539,0.000000, 32,0.000562,0.002074,  32.158
     0.8,0.000000,0.000000, 32,0.000000,0.002096,  32.159
     1.0,0.000000,0.000000, 32,0.000000,0.000000,  32.158
     1.2,0.000000,0.000000, 32,0.000000,0.000000,  32.158
     1.4,0.000000,0.000000, 32,0.000000,0.000000,  32.155
     1.6,0.000000,0.000000, 32,0.000000,0.000000,  32.157
     1.8,0.000000,0.000000, 32,0.000000,0.000000,  32.153
     2.0,0.000000,0.000000, 32,0.000000,0.000000,  32.145
     2.2,0.000000,0.000000, 32,0.000000,0.000000,  32.142
     2.4,0.000000,0.000000, 32,0.000000,0.000000,  32.144
     2.6,0.000000,0.000000, 32,0.000000,0.000000,  32.137
     2.8,0.000000,0.000000, 32,0.000000,0.000000,  32.137
     3.0,0.000000,0.000000, 32,0.000000,0.000000,  32.138
     3.2,0.000000,0.000000, 32,0.000000,0.000000,  32.139
     3.4,0.000000,0.000000, 32,0.000000,0.000000,  32.135
     3.6,0.000000,0.000000, 32,0.000000,0.000000,  32.136
     3.8,0.000000,0.000000, 32,0.000000,0.000000,  32.131
     4.0,0.000000,0.000000, 32,0.000000,0.000000,  32.132
     4.2,0.000000,0.000000, 32,0.000000,0.000000,  32.131
     4.4,-0.000009,0.000000, 32,0.000000,0.000000,  32.132
     4.6,-0.000014,-0.000002, 32,0.000069,0.000000,  32.129
     4.8,-0.000011,-0.000007, 32,0.000069,0.000000,  32.128
     5.0,-0.000008,-0.000003, 32,0.000054,0.000000,  32.124
     5.2,-0.000009,-0.000003, 32,0.000028,0.000000,  32.125
     5.4,0.000003,-0.000002, 32,-0.000016,0.000036,  32.125
     5.6,0.000008,-0.000005, 32,-0.000064,0.000014,  32.121
     5.8,0.000005,-0.000005, 32,-0.000127,0.000027,  32.122
     6.0,0.000010,-0.000007, 32,-0.000137,0.000041,  32.125
     6.2,0.000005,-0.000012, 32,-0.000127,0.000068,  32.122
     6.4,0.000005,-0.000009, 32,-0.000106,0.000032,  32.122
