Run Name,dead time
Run Date,02:09:02 PM   03-31-09
Method Name,Dead time
Export Format Version, 1.00
Method ID,  738
Points/Second, 5.00
Number of Records,   1350
Offset from Run Start Time,00:00:00
Run End Time,00:04:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000211,-0.000216,100,-0.000100,-0.000167,  81.883
     0.2,-0.000211,-0.000218,100,-0.000096,-0.000189,  81.881
     0.4,-0.000211,-0.000225,100,-0.000098,-0.000176,  81.879
     0.6,-0.000219,-0.000225,100,-0.000113,-0.000198,  81.876
     0.8,-0.000224,-0.000229,100,-0.000126,-0.000185,  81.881
     1.0,-0.000216,-0.000238,100,-0.000150,-0.000219,  81.875
     1.2,-0.000212,-0.000237,100,-0.000173,-0.000207,  81.879
     1.4,-0.000215,-0.000240,100,-0.000205,-0.000194,  81.877
     1.6,-0.000221,-0.000242,100,-0.000222,-0.000228,  81.878
     1.8,-0.000226,-0.000239,100,-0.000239,-0.000182,  81.877
     2.0,-0.000229,-0.000243,100,-0.000256,-0.000203,  81.875
     2.2,-0.000234,-0.000243,100,-0.000281,-0.000225,  81.878
     2.4,0.000040,0.000030,100,-0.000307,-0.000212,  81.883
     2.6,0.000042,0.000030,100,-0.000330,-0.000221,  81.881
     2.8,0.000020,-0.000109,100,-0.000311,-0.000221,  81.890
     3.0,0.000019,-0.000381,100,-0.000269,-0.000221,  81.888
     3.2,0.000000,-0.000381,100,-0.000207,-0.000243,  81.888
     3.4,0.000000,0.000000,100,-0.000198,-0.000221,  81.889
     3.6,0.000000,0.000000,100,-0.000200,0.000000,  81.894
     3.8,0.000000,0.000000,100,-0.000696,0.000000,  81.897
     4.0,0.000000,0.000000,100,-0.000696,0.000000,  81.891
     4.2,0.000000,0.000000,100,-0.000696,0.000000,  81.893
     4.4,0.000000,0.000000,100,-0.000696,0.000000,  81.891
     4.6,0.000000,0.000000,100,0.000000,0.000000,  81.896
     4.8,0.000000,0.000000,100,0.000000,0.000000,  81.892
     5.0,0.000000,0.000000,100,0.000000,0.000000,  81.893
