Run Name,20_60_35
Run Date,03:37:31 PM   01-23-09
Method Name,20_60_35
Export Format Version, 1.00
Method ID,  610
Points/Second, 5.00
Number of Records,   7860
Offset from Run Start Time,00:00:00
Run End Time,00:26:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000109,0.000000, 20,0.000176,0.000438,  21.796
     0.2,0.000121,0.000000, 20,0.000181,0.000404,  21.790
     0.4,0.000109,0.000000, 20,0.000178,0.000452,  21.795
     0.6,0.000109,0.000000, 20,0.000161,0.000438,  21.800
     0.8,0.000000,0.000000, 20,0.000161,0.000417,  21.794
     1.0,0.000000,0.000000, 20,0.000152,0.000452,  21.797
     1.2,0.000000,0.000000, 20,0.000156,0.000452,  21.797
     1.4,0.000000,0.000000, 20,0.000156,0.000431,  21.797
     1.6,0.000000,0.000000, 20,0.000145,0.000466,  21.795
     1.8,0.000000,0.000000, 20,0.000139,0.000466,  21.793
     2.0,0.000000,0.000000, 20,0.000191,0.000466,  21.794
     2.2,0.000000,0.000000, 20,0.000272,0.000487,  21.801
     2.4,0.000000,0.000000, 20,-0.000336,0.000000,  21.798
     2.6,0.000000,0.000000, 20,-0.000336,0.000000,  21.800
     2.8,0.000000,0.000000, 20,-0.000336,0.000000,  21.794
     3.0,0.000000,0.000000, 20,-0.000336,0.000000,  21.795
     3.2,0.000000,0.000000, 20,0.000000,0.000000,  21.797
     3.4,0.000000,0.000000, 20,0.000000,0.000000,  21.795
     3.6,0.000000,0.000000, 20,0.000000,0.000000,  21.796
     3.8,0.000000,0.000000, 20,0.000000,0.000000,  21.796
     4.0,0.000000,0.000000, 20,0.000000,0.000000,  21.792
     4.2,0.000000,0.000000, 20,0.000000,0.000000,  21.790
     4.4,-0.000006,0.000000, 20,0.000000,0.000000,  21.796
     4.6,-0.000007,0.000001, 20,0.000000,0.000000,  21.796
     4.8,-0.000010,0.000002, 20,0.000000,0.000000,  21.794
     5.0,-0.000013,-0.000000, 20,0.000000,0.000000,  21.796
