Run Name,29%ISO
Run Date,02:56:28 PM   01-20-09
Method Name,29%
Export Format Version, 1.00
Method ID,  580
Points/Second, 5.00
Number of Records,   7078
Offset from Run Start Time,00:00:00
Run End Time,00:23:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000193,0.000230, 29,-0.001150,0.000055,  29.302
     0.2,0.000191,0.000231, 29,-0.001110,0.000068,  29.305
     0.4,0.000193,0.000233, 29,-0.001065,0.000020,  29.304
     0.6,0.000185,0.000235, 29,-0.001018,0.000055,  29.305
     0.8,0.000188,0.000233, 29,-0.000987,0.000068,  29.307
     1.0,0.000183,0.000227, 29,-0.000953,0.000034,  29.317
     1.2,0.000183,0.000000, 29,-0.000935,0.000068,  29.320
     1.4,0.000183,0.000000, 29,-0.000904,0.000082,  29.323
     1.6,0.000178,0.000000, 29,-0.000869,0.000047,  29.321
     1.8,0.000178,0.000000, 29,-0.000834,0.000082,  29.318
     2.0,0.000183,0.000000, 29,-0.000798,0.000082,  29.318
     2.2,0.000188,0.000000, 29,-0.000763,0.000047,  29.319
     2.4,0.000186,0.000000, 29,-0.001017,0.000082,  29.319
     2.6,0.000316,0.000000, 29,-0.001017,0.000082,  29.323
     2.8,0.000296,0.000000, 29,-0.001017,0.000082,  29.320
     3.0,0.000283,0.000000, 29,-0.001017,0.000068,  29.319
     3.2,0.000280,0.000000, 29,0.000000,0.000055,  29.320
     3.4,0.000000,0.000000, 29,0.000000,-0.011998,  29.319
     3.6,0.000000,0.000000, 29,0.000000,0.000000,  29.320
     3.8,0.000000,0.000000, 29,0.000000,0.000000,  29.318
     4.0,0.000000,0.000000, 29,0.000000,0.000000,  29.322
     4.2,0.000000,0.000000, 29,0.000000,0.000000,  29.318
     4.4,0.000000,0.000000, 29,0.000000,0.000000,  29.323
     4.6,0.000000,0.000000, 29,0.000000,0.000000,  29.319
     4.8,0.000000,0.000000, 29,0.000000,0.000000,  29.317
     5.0,0.000000,0.000000, 29,0.000000,0.000000,  29.317
     5.2,0.000000,0.000000, 29,0.000000,0.000000,  29.317
     5.4,0.000000,0.000000, 29,0.000000,0.000000,  29.315
     5.6,0.000000,0.000000, 29,0.000000,0.000000,  29.315
     5.8,0.000000,-0.000020, 29,0.000000,0.000000,  29.315
     6.0,0.000000,-0.000023, 29,0.000000,0.000000,  29.315
     6.2,0.000000,-0.000027, 29,0.000000,0.000000,  29.317
     6.4,0.000000,-0.000024, 29,0.000000,0.000000,  29.313
     6.6,0.000000,-0.000030, 29,0.000000,0.000000,  29.316
     6.8,0.000000,-0.000029, 29,0.000000,0.000000,  29.313
     7.0,-0.000010,-0.000028, 29,-0.000054,0.000000,  29.310
     7.2,-0.000012,-0.000030, 29,-0.000060,0.000000,  29.308
     7.4,-0.000022,-0.000029, 29,-0.000076,0.000000,  29.308
     7.6,-0.000028,-0.000034, 29,-0.000079,0.000000,  29.308
