Run Name,Run 1
Run Date,05:33:15 PM   02-09-11
Method Name,24%
Export Format Version, 1.00
Method ID,  834
Points/Second, 5.00
Number of Records,   5669
Offset from Run Start Time,00:00:00
Run End Time,00:18:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000768,0.000828, 24,0.009114,0.000434,  25.803
     0.2,0.000771,0.000830, 24,0.009081,0.000434,  25.801
     0.4,0.000762,0.000825, 24,0.009034,0.000434,  25.795
     0.6,0.000768,0.000828, 24,0.008991,0.000434,  25.791
     0.8,0.000771,0.000826, 24,0.009030,0.000434,  25.787
     1.0,0.000762,0.000825, 24,0.009102,0.000434,  25.783
     1.2,0.000766,0.000827, 24,0.009212,0.000434,  25.780
     1.4,0.000768,0.000827, 24,0.009235,0.000434,  25.772
     1.6,0.000760,0.000826, 24,0.009225,0.000434,  25.774
     1.8,0.000766,0.000830, 24,0.009170,0.000434,  25.773
     2.0,0.000768,0.000831, 24,0.009197,0.000434,  25.770
     2.2,0.000760,0.000827, 24,0.009251,0.000434,  25.767
     2.4,0.000763,0.000000, 24,0.009321,0.000434,  25.766
     2.6,0.000766,0.000000, 24,0.009362,0.000434,  25.765
     2.8,0.000760,0.000000, 24,0.009393,0.000434,  25.758
     3.0,0.000766,0.000000, 24,0.009421,0.000398,  25.755
     3.2,0.000768,0.000000, 24,0.009419,0.000434,  25.758
     3.4,0.000760,0.000000, 24,0.009391,0.000434,  25.757
     3.6,0.000414,0.000000, 24,0.009356,0.000421,  25.757
     3.8,0.000496,0.000000, 24,0.008459,0.000000,  25.754
     4.0,0.000061,0.000000, 24,0.008459,0.000000,  25.755
     4.2,-0.000955,0.000000, 24,0.008459,0.000000,  25.756
     4.4,0.000000,0.000000, 24,0.008459,0.000000,  25.753
     4.6,0.000000,0.000000, 24,0.000000,0.000000,  25.753
     4.8,0.000000,0.000000, 24,0.000000,0.000000,  25.753
     5.0,0.000000,0.000000, 24,0.000000,0.000000,  25.748
     5.2,0.000000,0.000000, 24,0.000000,0.000000,  25.746
     5.4,0.000000,0.000000, 24,0.000000,0.000000,  25.751
     5.6,0.000000,0.000000, 24,0.000000,0.000000,  25.748
     5.8,0.000000,0.000000, 24,0.000000,0.000000,  25.750
     6.0,0.000000,0.000000, 24,0.000000,0.000000,  25.749
     6.2,0.000000,0.000000, 24,0.000000,0.000000,  25.754
     6.4,0.000000,0.000000, 24,0.000000,0.000000,  25.753
     6.6,0.000000,0.000000, 24,0.000000,0.000000,  25.753
     6.8,0.000000,0.000000, 24,0.000000,0.000000,  25.749
     7.0,0.000000,0.000029, 24,0.000000,0.000000,  25.749
     7.2,0.000000,0.000029, 24,0.000000,0.000000,  25.758
     7.4,0.000000,0.000029, 24,0.000000,0.000000,  25.757
     7.6,0.000000,0.000034, 24,0.000000,0.000000,  25.755
     7.8,0.000000,0.000038, 24,0.000000,0.000000,  25.753
     8.0,0.000012,0.000049, 24,0.000000,0.000000,  25.755
     8.2,0.000033,0.000060, 24,0.000000,0.000049,  25.756
     8.4,0.000043,0.000065, 24,-0.000055,0.000013,  25.757
     8.6,0.000053,0.000071, 24,-0.000113,0.000013,  25.758
     8.8,0.000054,0.000072, 24,-0.000139,0.000013,  25.757
     9.0,0.000054,0.000080, 24,-0.000156,0.000013,  25.756
     9.2,0.000059,0.000083, 24,-0.000156,-0.000010,  25.757
     9.4,0.000064,0.000091, 24,-0.000134,-0.000010,  25.753
     9.6,0.000067,0.000097, 24,-0.000103,-0.000010,  25.754
     9.8,0.000072,0.000099, 24,-0.000096,-0.000033,  25.754
    10.0,0.000074,0.000106, 24,-0.000089,-0.000010,  25.753
    10.2,0.000077,0.000115, 24,-0.000103,-0.000010,  25.756
    10.4,0.000084,0.000116, 24,-0.000125,-0.000033,  25.748
    10.6,0.000094,0.000121, 24,-0.000156,-0.000010,  25.746
    10.8,0.000099,0.000119, 24,-0.000203,0.000004,  25.747
    11.0,0.000104,0.000122, 24,-0.000210,-0.000019,  25.742
    11.2,0.000112,0.000120, 24,-0.000201,0.000017,  25.739
    11.4,0.000114,0.000122, 24,-0.000174,0.000030,  25.736
    11.6,0.000119,0.000123, 24,-0.000165,-0.000006,  25.734
    11.8,0.000119,0.000127, 24,-0.000156,0.000017,  25.725
    12.0,0.000125,0.000124, 24,-0.000149,0.000030,  25.731
    12.2,0.000130,0.000124, 24,-0.000134,-0.000006,  25.722
    12.4,0.000127,0.000134, 24,-0.000106,0.000017,  25.715
    12.6,0.000135,0.000135, 24,-0.000093,0.000030,  25.720
    12.8,0.000138,0.000141, 24,-0.000082,0.000007,  25.717
    13.0,0.000134,0.000146, 24,-0.000062,0.000043,  25.717
    13.2,0.000143,0.000158, 24,-0.000053,0.000057,  25.712
    13.4,0.000145,0.000165, 24,-0.000098,0.000020,  25.709
    13.6,0.000148,0.000171, 24,-0.000168,0.000043,  25.702
    13.8,0.000142,0.000180, 24,-0.000263,0.000057,  25.699
    14.0,0.000148,0.000182, 24,-0.000278,0.000020,  25.693
    14.2,0.000147,0.000179, 24,-0.000271,0.000043,  25.696
    14.4,0.000147,0.000171, 24,-0.000234,0.000057,  25.696
    14.6,0.000155,0.000169, 24,-0.000301,0.000020,  25.687
    14.8,0.000158,0.000169, 24,-0.000405,0.000043,  25.681
    15.0,0.000158,0.000174, 24,-0.000555,0.000057,  25.685
    15.2,0.000164,0.000178, 24,-0.000563,0.000020,  25.682
    15.4,0.000166,0.000180, 24,-0.000532,0.000057,  25.681
    15.6,0.000166,0.000186, 24,-0.000452,0.000057,  25.680
    15.8,0.000169,0.000189, 24,-0.000421,0.000034,  25.681
    16.0,0.000174,0.000194, 24,-0.000392,0.000057,  25.676
    16.2,0.000168,0.000201, 24,-0.000371,0.000057,  25.671
    16.4,0.000170,0.000199, 24,-0.000355,0.000034,  25.669
    16.6,0.000175,0.000194, 24,-0.000342,0.000070,  25.669
    16.8,0.000174,0.000199, 24,-0.000345,0.000070,  25.672
    17.0,0.000183,0.000195, 24,-0.000347,0.000083,  25.672
    17.2,0.000185,0.000193, 24,-0.000330,0.000047,  25.671
    17.4,0.000182,0.000196, 24,-0.000306,0.000070,  25.671
    17.6,0.000188,0.000200, 24,-0.000270,0.000070,  25.672
    17.8,0.000193,0.000197, 24,-0.000246,0.000034,  25.670
    18.0,0.000189,0.000197, 24,-0.000237,0.000070,  25.668
    18.2,0.000195,0.000202, 24,-0.000230,0.000070,  25.672
    18.4,0.000198,0.000207, 24,-0.000222,0.000034,  25.670
    18.6,0.000197,0.000207, 24,-0.000222,0.000070,  25.673
    18.8,0.000194,0.000216, 24,-0.000223,0.000070,  25.677
    19.0,0.000197,0.000221, 24,-0.000204,0.000034,  25.670
    19.2,0.000199,0.000219, 24,-0.000161,0.000070,  25.669
    19.4,0.000202,0.000219, 24,-0.000110,0.000070,  25.674
