Run Name,Run 2
Run Date,03:06:29 PM   02-09-10
Method Name,38% (36.5 mS/cm conductivity)
Export Format Version, 1.00
Method ID,  818
Points/Second, 5.00
Number of Records,   4823
Offset from Run Start Time,00:00:00
Run End Time,00:16:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000136,0.000072, 38,0.000445,0.000063,  36.664
     0.2,0.000141,0.000071, 38,0.000455,0.000063,  36.664
     0.4,0.000141,0.000071, 38,0.000476,0.000063,  36.669
     0.6,0.000141,0.000077, 38,0.000488,0.000063,  36.664
     0.8,0.000143,0.000080, 38,0.000496,0.000076,  36.663
     1.0,0.000148,0.000082, 38,0.000510,0.000076,  36.660
     1.2,0.000148,0.000085, 38,0.000519,0.000076,  36.663
     1.4,0.000151,0.000089, 38,0.000527,0.000089,  36.664
     1.6,0.000147,0.000087, 38,0.000525,0.000089,  36.662
     1.8,0.000156,0.000087, 38,0.000512,0.000076,  36.661
     2.0,0.000156,0.000085, 38,0.000513,0.000076,  36.662
     2.2,0.000158,0.000088, 38,0.000525,0.000076,  36.662
     2.4,0.000156,-0.000015, 38,0.000539,0.000076,  36.662
     2.6,0.000035,-0.000015, 38,0.000519,0.000076,  36.660
     2.8,0.000040,-0.000069, 38,0.000493,0.000089,  36.662
     3.0,0.000043,-0.000173, 38,0.000454,0.000089,  36.662
     3.2,0.000039,-0.000173, 38,0.000493,0.000089,  36.668
     3.4,0.000000,0.000000, 38,0.000575,0.000089,  36.665
     3.6,0.000000,0.000000, 38,-0.000197,0.000000,  36.665
     3.8,0.000000,0.000000, 38,-0.000197,0.000000,  36.662
     4.0,0.000000,0.000000, 38,-0.000197,0.000000,  36.663
     4.2,0.000000,0.000000, 38,-0.000197,0.000000,  36.660
     4.4,0.000000,0.000000, 38,-0.000197,0.000000,  36.661
     4.6,0.000000,0.000000, 38,0.000000,0.000000,  36.660
     4.8,0.000000,0.000000, 38,0.000000,0.000000,  36.661
     5.0,0.000000,0.000000, 38,0.000000,0.000000,  36.661
     5.2,0.000000,0.000000, 38,0.000000,0.000000,  36.661
     5.4,0.000000,0.000000, 38,0.000000,0.000000,  36.661
     5.6,0.000000,0.000000, 38,0.000000,0.000000,  36.661
     5.8,0.000000,0.000000, 38,0.000000,0.000000,  36.663
     6.0,0.000000,0.000000, 38,0.000000,0.000000,  36.661
     6.2,0.000000,0.000000, 38,0.000000,0.000000,  36.663
