Run Name,Run 6
Run Date,04:37:18 PM   03-29-10
Method Name,24%
Export Format Version, 1.00
Method ID,  981
Points/Second, 5.00
Number of Records,   6175
Offset from Run Start Time,00:00:00
Run End Time,00:20:36
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000037,-0.000060, 24,-0.000986,-0.000065,  26.383
     0.2,-0.000046,-0.000065, 24,-0.000992,-0.000051,  26.386
     0.4,-0.000040,-0.000062, 24,-0.001000,-0.000088,  26.382
     0.6,-0.000031,-0.000064, 24,-0.001015,-0.000051,  26.380
     0.8,-0.000035,-0.000064, 24,-0.001002,-0.000038,  26.385
     1.0,-0.000026,-0.000068, 24,-0.000983,-0.000074,  26.381
     1.2,-0.000056,-0.000060, 24,-0.000945,-0.000051,  26.382
     1.4,-0.000064,-0.000058, 24,-0.001199,-0.000038,  26.382
     1.6,-0.000057,-0.000059, 24,-0.001595,-0.000074,  26.379
     1.8,-0.000057,-0.000053, 24,-0.002121,-0.000038,  26.384
     2.0,0.000000,-0.000055, 24,-0.002122,-0.000024,  26.381
     2.2,0.000000,-0.000058, 24,-0.001953,-0.000061,  26.380
     2.4,0.000000,-0.000058, 24,-0.001584,0.000000,  26.385
     2.6,0.000000,0.000000, 24,-0.001480,0.000000,  26.382
     2.8,0.000000,0.000000, 24,-0.001409,0.000000,  26.378
     3.0,0.000000,0.000000, 24,-0.001382,0.000000,  26.385
     3.2,0.000000,0.000000, 24,-0.001278,0.000000,  26.381
     3.4,0.000000,0.000000, 24,-0.001155,0.000000,  26.380
     3.6,0.000000,0.000000, 24,-0.001706,0.000000,  26.381
     3.8,0.000000,0.000000, 24,-0.001706,0.000000,  26.383
     4.0,0.000000,0.000000, 24,-0.001706,0.000000,  26.381
     4.2,0.000000,0.000000, 24,-0.001706,0.000000,  26.379
     4.4,0.000000,0.000000, 24,-0.001706,0.000000,  26.381
     4.6,0.000000,0.000000, 24,0.000000,0.000000,  26.377
     4.8,0.000000,0.000000, 24,0.000000,0.000000,  26.373
     5.0,0.000000,0.000000, 24,0.000000,0.000000,  26.374
     5.2,0.000000,0.000000, 24,0.000000,0.000000,  26.371
     5.4,0.000005,0.000000, 24,0.000000,0.000000,  26.373
     5.6,0.000005,0.000000, 24,0.000000,0.000000,  26.371
     5.8,0.000008,0.000000, 24,0.000000,0.000000,  26.367
     6.0,0.000005,0.000000, 24,0.000000,0.000000,  26.367
     6.2,0.000005,0.000000, 24,0.000000,0.000000,  26.364
     6.4,0.000005,0.000000, 24,0.000000,0.000000,  26.370
     6.6,0.000005,0.000000, 24,0.000000,0.000000,  26.365
     6.8,0.000005,0.000000, 24,0.000000,0.000000,  26.369
     7.0,0.000002,0.000003, 24,0.000000,-0.000023,  26.365
     7.2,0.000008,0.000003, 24,0.000000,-0.000023,  26.363
     7.4,0.000005,0.000003, 24,0.000000,-0.000009,  26.371
     7.6,0.000004,0.000000, 24,0.000000,0.000004,  26.366
     7.8,0.000010,0.000000, 24,0.000000,-0.000019,  26.365
