Run Name,Run 1
Run Date,03:55:22 PM   04-05-10
Method Name,29%
Export Format Version, 1.00
Method ID, 1045
Points/Second, 5.00
Number of Records,   6030
Offset from Run Start Time,00:00:00
Run End Time,00:20:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000789,0.000000, 29,0.003520,0.000000,  30.481
     0.2,0.000730,0.000000, 29,0.003520,0.000000,  30.481
     0.4,-0.000346,0.000000, 29,0.003520,0.000000,  30.481
     0.6,-0.001335,0.000000, 29,0.003520,0.000000,  30.479
     0.8,0.000000,0.000000, 29,0.000000,0.000000,  30.481
     1.0,0.000000,0.000000, 29,0.000000,0.000000,  30.481
     1.2,0.000000,0.000000, 29,0.000000,0.000000,  30.482
     1.4,0.000000,0.000000, 29,0.000000,0.000000,  30.482
     1.6,0.000000,0.000000, 29,0.000000,0.000000,  30.480
     1.8,0.000000,0.000000, 29,0.000000,0.000000,  30.477
     2.0,0.000000,0.000000, 29,0.000000,0.000000,  30.482
     2.2,0.000000,0.000000, 29,0.000000,0.000000,  30.484
     2.4,0.000000,0.000000, 29,0.000000,0.000000,  30.479
     2.6,0.000000,0.000000, 29,0.000000,0.000000,  30.481
     2.8,0.000000,0.000000, 29,0.000000,0.000000,  30.482
     3.0,0.000000,0.000000, 29,0.000000,0.000000,  30.481
     3.2,0.000000,0.000000, 29,0.000000,0.000000,  30.479
     3.4,0.000000,0.000000, 29,0.000000,0.000000,  30.476
     3.6,0.000000,0.000000, 29,0.000000,0.000000,  30.482
     3.8,0.000000,0.000000, 29,0.000000,0.000000,  30.478
     4.0,0.000000,0.000000, 29,0.000000,0.000000,  30.482
     4.2,0.000056,0.000010, 29,0.000219,0.000000,  30.484
     4.4,0.000057,0.000022, 29,0.000345,0.000008,  30.481
     4.6,0.000056,0.000033, 29,0.000373,0.000022,  30.481
     4.8,0.000068,0.000038, 29,0.000314,0.000022,  30.484
     5.0,0.000069,0.000040, 29,0.000153,0.000022,  30.483
     5.2,0.000074,0.000036, 29,-0.000096,0.000035,  30.479
     5.4,0.000083,0.000040, 29,-0.000193,0.000035,  30.479
     5.6,0.000082,0.000042, 29,-0.000271,0.000035,  30.481
     5.8,0.000090,0.000044, 29,-0.000322,0.000048,  30.484
     6.0,0.000101,0.000050, 29,-0.000361,0.000048,  30.479
     6.2,0.000102,0.000054, 29,-0.000397,0.000035,  30.482
     6.4,0.000108,0.000059, 29,-0.000416,0.000048,  30.476
     6.6,0.000119,0.000064, 29,-0.000454,0.000048,  30.476
     6.8,0.000120,0.000070, 29,-0.000492,0.000035,  30.481
     7.0,0.000128,0.000073, 29,-0.000538,0.000048,  30.480
     7.2,0.000137,0.000082, 29,-0.000550,0.000062,  30.479
     7.4,0.000138,0.000088, 29,-0.000554,0.000062,  30.480
     7.6,0.000149,0.000092, 29,-0.000534,0.000075,  30.475
     7.8,0.000160,0.000093, 29,-0.000578,0.000039,  30.476
     8.0,0.000159,0.000098, 29,-0.000649,0.000039,  30.479
     8.2,0.000161,0.000104, 29,-0.000745,0.000039,  30.480
     8.4,0.000165,0.000111, 29,-0.000756,0.000003,  30.476
     8.6,0.000164,0.000117, 29,-0.000729,0.000039,  30.476
     8.8,0.000166,0.000119, 29,-0.000676,0.000039,  30.478
     9.0,0.000175,0.000123, 29,-0.000668,0.000003,  30.479
     9.2,0.000175,0.000127, 29,-0.000662,0.000039,  30.479
     9.4,0.000172,0.000129, 29,-0.000668,0.000039,  30.478
     9.6,0.000175,0.000128, 29,-0.000678,0.000039,  30.474
     9.8,0.000181,0.000130, 29,-0.000683,0.000075,  30.479
    10.0,0.000189,0.000131, 29,-0.000688,0.000075,  30.475
    10.2,0.000191,0.000138, 29,-0.000720,0.000075,  30.474
    10.4,0.000199,0.000143, 29,-0.000765,0.000075,  30.481
    10.6,0.000202,0.000149, 29,-0.000813,0.000075,  30.475
    10.8,0.000211,0.000155, 29,-0.000819,0.000075,  30.479
    11.0,0.000221,0.000157, 29,-0.000818,0.000075,  30.475
    11.2,0.000228,0.000161, 29,-0.000797,0.000089,  30.476
    11.4,0.000227,0.000163, 29,-0.000784,0.000102,  30.476
    11.6,0.000235,0.000164, 29,-0.000777,0.000066,  30.477
    11.8,0.000240,0.000168, 29,-0.000770,0.000102,  30.478
    12.0,0.000237,0.000175, 29,-0.000789,0.000079,  30.475
    12.2,0.000234,0.000175, 29,-0.000827,0.000079,  30.481
    12.4,0.000239,0.000177, 29,-0.000873,0.000102,  30.478
    12.6,0.000233,0.000178, 29,-0.000906,0.000102,  30.478
    12.8,0.000233,0.000182, 29,-0.000932,0.000116,  30.477
    13.0,0.000236,0.000184, 29,-0.000970,0.000102,  30.480
    13.2,0.000232,0.000188, 29,-0.000997,0.000102,  30.479
    13.4,0.000238,0.000187, 29,-0.000996,0.000116,  30.479
    13.6,0.000238,0.000187, 29,-0.000977,0.000102,  30.476
    13.8,0.000241,0.000191, 29,-0.000949,0.000102,  30.480
    14.0,0.000247,0.000191, 29,-0.000948,0.000102,  30.475
    14.2,0.000250,0.000189, 29,-0.000954,0.000089,  30.477
    14.4,0.000244,0.000196, 29,-0.000968,0.000089,  30.476
    14.6,0.000244,0.000198, 29,-0.000954,0.000089,  30.477
    14.8,0.000240,0.000197, 29,-0.000933,0.000089,  30.481
