Run Name,Run 1
Run Date,04:11:00 PM   04-08-10
Method Name,Gradient-.5, %B=24
Export Format Version, 1.00
Method ID, 1060
Points/Second, 5.00
Number of Records,   9360
Offset from Run Start Time,00:00:00
Run End Time,00:31:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.001586,-0.361059, 24,0.096348,0.000000,  25.766
     0.2,-0.001460,-0.361059, 24,0.096348,0.000000,  25.765
     0.4,-0.001906,-0.361474, 24,0.096348,0.000000,  25.762
     0.6,-0.003457,-0.362311, 24,0.096348,0.000000,  25.764
     0.8,0.000000,-0.362311, 24,0.000000,0.000000,  25.758
     1.0,0.000000,0.000000, 24,0.000000,0.000000,  25.756
     1.2,0.000000,0.000000, 24,0.000000,0.000000,  25.754
     1.4,0.000000,0.000000, 24,0.000000,0.000000,  25.758
     1.6,0.000000,0.000000, 24,0.000000,0.000000,  25.756
     1.8,0.000000,0.000000, 24,0.000000,0.000000,  25.755
     2.0,0.000000,0.000000, 24,0.000000,0.000000,  25.757
     2.2,0.000000,0.000000, 24,0.000000,0.000000,  25.754
     2.4,0.000000,0.000000, 24,0.000000,0.000000,  25.759
     2.6,0.000000,0.000000, 24,0.000000,0.000000,  25.758
     2.8,0.000000,0.000000, 24,0.000000,0.000000,  25.755
     3.0,0.000000,0.000000, 24,0.000000,0.000000,  25.755
     3.2,0.000000,0.000000, 24,0.000000,0.000000,  25.754
     3.4,0.000000,0.000000, 24,0.000000,0.000000,  25.756
     3.6,0.000000,0.000000, 24,0.000000,0.000000,  25.756
     3.8,0.000000,0.000000, 24,0.000000,0.000000,  25.758
     4.0,0.000000,0.000000, 24,0.000000,0.000000,  25.754
     4.2,0.000000,0.000000, 24,0.000000,0.000000,  25.755
     4.4,0.000011,0.000000, 24,0.000000,0.000017,  25.754
     4.6,0.000014,-0.000029, 24,0.000009,-0.000005,  25.754
     4.8,0.000017,-0.000035, 24,-0.000930,0.000008,  25.758
     5.0,0.000009,-0.000039, 24,-0.001572,-0.000005,  25.756
     5.2,0.000004,-0.000042, 24,-0.001948,0.000008,  25.758
     5.4,-0.000002,-0.000042, 24,-0.002028,-0.000005,  25.758
     5.6,-0.000008,-0.000037, 24,-0.001832,-0.000019,  25.759
     5.8,-0.000003,-0.000033, 24,-0.001358,-0.000005,  25.757
     6.0,0.000003,-0.000019, 24,-0.001241,-0.000019,  25.757
     6.2,0.000009,-0.000017, 24,-0.001160,-0.000019,  25.759
     6.4,0.000010,-0.000011, 24,-0.001113,-0.000005,  25.758
     6.6,0.000017,-0.000014, 24,-0.001050,-0.000055,  25.756
     6.8,0.000004,-0.000016, 24,-0.000994,-0.000055,  25.753
     7.0,-0.000009,-0.000029, 24,-0.000939,-0.000055,  25.759
     7.2,-0.000024,-0.000031, 24,-0.000898,-0.000105,  25.755
     7.4,-0.000031,-0.000033, 24,-0.000860,-0.000096,  25.754
     7.6,-0.000023,-0.000040, 24,-0.000842,-0.000096,  25.755
     7.8,-0.000013,-0.000040, 24,-0.000846,-0.000105,  25.752
     8.0,-0.000016,-0.000041, 24,-0.000856,-0.000069,  25.757
     8.2,-0.000011,-0.000043, 24,-0.000885,-0.000055,  25.752
     8.4,-0.000008,-0.000042, 24,-0.000959,-0.000078,  25.753
     8.6,-0.000003,-0.000042, 24,-0.001073,-0.000042,  25.754
     8.8,-0.000001,-0.000040, 24,-0.001221,-0.000028,  25.753
     9.0,-0.000002,-0.000036, 24,-0.001238,-0.000051,  25.756
     9.2,0.000007,-0.000032, 24,-0.001226,-0.000015,  25.759
     9.4,0.000012,-0.000022, 24,-0.001161,-0.000038,  25.754
     9.6,0.000014,-0.000010, 24,-0.001165,-0.000038,  25.753
     9.8,0.000021,-0.000004, 24,-0.001189,-0.000038,  25.753
