Run Name,Run 1
Run Date,03:03:06 PM   04-26-10
Method Name,31%
Export Format Version, 1.00
Method ID, 1142
Points/Second, 5.00
Number of Records,   4592
Offset from Run Start Time,00:00:00
Run End Time,00:15:23
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000827,0.000000, 31,0.004780,0.000000,  32.433,   88,     0.0
     0.2,0.000981,0.000000, 31,0.004780,0.000000,  32.427,   89,     0.0
     0.4,0.000226,0.000000, 31,0.004780,0.000000,  32.431,   90,     0.0
     0.6,-0.001002,0.000000, 31,0.004780,0.000000,  32.429,   90,     0.0
     0.8,0.000000,0.000000, 31,0.000000,0.000000,  32.431,   90,     0.0
     1.0,0.000000,0.000000, 31,0.000000,0.000000,  32.428,   90,     0.0
     1.2,0.000000,0.000000, 31,0.000000,0.000000,  32.432,   90,     0.0
     1.4,0.000000,0.000000, 31,0.000000,0.000000,  32.432,   90,     0.0
     1.6,0.000000,0.000000, 31,0.000000,0.000000,  32.427,   91,     0.0
     1.8,0.000000,0.000000, 31,0.000000,0.000000,  32.430,   90,     0.0
     2.0,0.000000,0.000000, 31,0.000000,0.000000,  32.430,   89,     0.0
     2.2,0.000000,0.000000, 31,0.000000,0.000000,  32.429,   89,     0.0
     2.4,0.000000,0.000000, 31,0.000000,0.000000,  32.432,   89,     0.0
     2.6,0.000000,0.000000, 31,0.000000,0.000000,  32.428,   89,     0.0
     2.8,0.000000,0.000000, 31,0.000000,0.000000,  32.431,   90,     0.0
     3.0,0.000000,0.000000, 31,0.000000,0.000000,  32.428,   89,     0.1
     3.2,0.000000,0.000000, 31,0.000000,0.000000,  32.426,   88,     0.1
     3.4,0.000000,0.000000, 31,0.000000,0.000000,  32.429,   89,     0.1
     3.6,0.000000,0.000000, 31,0.000000,0.000000,  32.428,   89,     0.1
     3.8,0.000000,0.000000, 31,0.000000,0.000000,  32.422,   89,     0.1
     4.0,0.000000,0.000000, 31,0.000000,0.000000,  32.425,   89,     0.1
     4.2,0.000030,0.000017, 31,0.000560,0.000000,  32.427,   90,     0.1
     4.4,0.000029,0.000023, 31,0.000965,0.000054,  32.425,   91,     0.1
     4.6,0.000038,0.000033, 31,0.001201,0.000067,  32.428,   90,     0.1
     4.8,0.000040,0.000031, 31,0.001280,0.000054,  32.427,   90,     0.1
     5.0,0.000045,0.000035, 31,0.001203,0.000054,  32.424,   90,     0.1
     5.2,0.000044,0.000031, 31,0.000967,0.000054,  32.428,   90,     0.1
