Run Name,Run 4
Run Date,03:14:47 PM   02-01-11
Method Name,5%B-Isocrat
Export Format Version, 1.00
Method ID,  284
Points/Second, 1.00
Number of Records,   1452
Offset from Run Start Time,00:00:00
Run End Time,00:24:12
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000064,0.000047,-0.000965,0.000000,  28.680
     1.0,0.000000,0.000000,0.000000,0.000000,  28.689
     2.0,0.000000,0.000000,0.000000,0.000000,  28.694
     3.0,0.000000,0.000000,0.000000,0.000000,  28.706
     4.0,0.000000,0.000000,0.000000,0.000000,  28.719
     5.0,-0.000008,0.000010,-0.000070,0.000027,  28.726
     6.0,-0.000002,0.000018,-0.000186,-0.000009,  28.728
     7.0,-0.000003,0.000031,-0.000259,0.000040,  28.731
     8.0,0.000002,0.000029,-0.000218,0.000018,  28.735
     9.0,0.000006,0.000033,-0.000316,-0.000004,  28.735
    10.0,-0.000000,0.000031,-0.000270,-0.000053,  28.734
    11.0,0.000003,0.000021,-0.000229,-0.000040,  28.737
    12.0,-0.000003,0.000014,-0.000267,-0.000076,  28.738
    13.0,-0.000013,0.000008,-0.000263,-0.000040,  28.734
    14.0,-0.000012,-0.000001,-0.000256,-0.000076,  28.733
    15.0,-0.000012,0.000002,-0.000653,-0.000062,  28.721
    16.0,-0.000010,0.000008,-0.000465,-0.000040,  28.717
    17.0,0.000009,0.000022,-0.000233,-0.000049,  28.698
    18.0,0.000012,0.000018,-0.000212,-0.000098,  28.683
    19.0,-0.000002,0.000005,-0.000505,-0.000062,  28.665
    20.0,-0.000012,0.000003,-0.000280,-0.000049,  28.661
    21.0,-0.000018,-0.000001,-0.000358,-0.000071,  28.656
    22.0,-0.000023,-0.000009,-0.000705,-0.000049,  28.648
    23.0,-0.000026,-0.000006,-0.000356,-0.000049,  28.637
    24.0,-0.000028,-0.000004,-0.000413,-0.000049,  28.638
    25.0,-0.000037,-0.000005,-0.000278,-0.000084,  28.646
    26.0,-0.000042,-0.000006,-0.000354,-0.000107,  28.642
    27.0,-0.000037,-0.000012,-0.000320,-0.000084,  28.655
    28.0,-0.000032,0.000003,-0.000261,-0.000107,  28.653
    29.0,-0.000029,0.000001,-0.000581,-0.000093,  28.663
    30.0,-0.000029,-0.000001,-0.000419,-0.000071,  28.670
    31.0,-0.000024,0.000006,-0.000410,-0.000093,  28.675
    32.0,-0.000030,0.000011,-0.000183,-0.000093,  28.685
    33.0,-0.000027,0.000002,-0.000255,-0.000058,  28.686
    34.0,-0.000024,0.000003,-0.000249,-0.000080,  28.696
    35.0,-0.000027,0.000001,-0.000268,-0.000058,  28.703
    36.0,-0.000029,0.000000,-0.000371,-0.000093,  28.708
    37.0,-0.000038,0.000000,-0.000362,-0.000080,  28.708
    38.0,-0.000037,0.000005,-0.000298,-0.000080,  28.712
    39.0,-0.000034,0.000006,-0.000263,-0.000066,  28.725
    40.0,-0.000039,-0.000003,-0.000378,-0.000080,  28.732
    41.0,-0.000045,-0.000004,-0.000381,-0.000093,  28.737
    42.0,-0.000042,-0.000005,-0.000571,-0.000093,  28.733
    43.0,-0.000045,-0.000005,-0.000608,-0.000093,  28.732
    44.0,-0.000053,-0.000007,-0.000515,-0.000093,  28.733
    45.0,-0.000047,-0.000002,-0.000492,-0.000093,  28.726
    46.0,-0.000039,-0.000003,-0.000504,-0.000107,  28.728
    47.0,-0.000037,0.000001,-0.001027,-0.000093,  28.723
    48.0,-0.000048,-0.000004,-0.000965,-0.000080,  28.728
    49.0,-0.000048,-0.000010,-0.001067,-0.000107,  28.725
    50.0,-0.000053,-0.000006,-0.000897,-0.000093,  28.723
    51.0,-0.000051,-0.000012,-0.000607,-0.000080,  28.723
    52.0,-0.000043,-0.000001,-0.000492,-0.000093,  28.725
    53.0,-0.000044,0.000002,-0.000590,-0.000129,  28.724
    54.0,-0.000051,-0.000006,-0.000519,-0.000093,  28.716
    55.0,-0.000060,-0.000008,-0.000505,-0.000093,  28.719
    56.0,-0.000051,-0.000004,-0.000536,-0.000093,  28.712
    57.0,-0.000051,-0.000010,-0.000913,-0.000093,  28.708
    58.0,-0.000054,0.000002,-0.000675,-0.000093,  28.707
    59.0,-0.000066,0.000006,-0.000669,-0.000066,  28.708
    60.0,-0.000057,0.000013,-0.000657,-0.000071,  28.712
    61.0,-0.000055,0.000012,-0.000591,-0.000093,  28.712
    62.0,-0.000051,0.000004,-0.000859,-0.000093,  28.711
    63.0,-0.000043,0.000003,-0.000790,-0.000093,  28.719
    64.0,-0.000046,0.000005,-0.000779,-0.000080,  28.719
    65.0,-0.000038,0.000015,-0.000531,-0.000093,  28.722
    66.0,-0.000035,0.000010,-0.000589,-0.000080,  28.726
    67.0,-0.000044,0.000008,-0.000552,-0.000080,  28.721
    68.0,-0.000048,0.000007,-0.000894,-0.000093,  28.718
    69.0,-0.000043,0.000008,-0.000584,-0.000093,  28.725
    70.0,-0.000046,0.000005,-0.000595,-0.000093,  28.724
    71.0,-0.000038,0.000011,-0.000569,-0.000107,  28.729
    72.0,-0.000041,0.000017,-0.000562,-0.000115,  28.730
    73.0,-0.000041,0.000007,-0.000557,-0.000093,  28.731
    74.0,-0.000039,0.000011,-0.000588,-0.000093,  28.731
    75.0,-0.000041,0.000015,-0.000623,-0.000080,  28.736
    76.0,-0.000030,0.000016,-0.000513,-0.000093,  28.737
    77.0,-0.000038,0.000014,-0.000675,-0.000093,  28.733
    78.0,-0.000044,0.000012,-0.000901,-0.000080,  28.733
    79.0,-0.000038,0.000005,-0.000583,-0.000080,  28.728
    80.0,-0.000044,0.000011,-0.000565,-0.000093,  28.723
    81.0,-0.000038,0.000010,-0.000493,-0.000080,  28.708
    82.0,-0.000035,0.000006,-0.000571,-0.000107,  28.704
    83.0,-0.000041,0.000014,-0.000566,-0.000080,  28.701
    84.0,-0.000038,0.000008,-0.000531,-0.000080,  28.696
    85.0,-0.000044,0.000009,-0.000606,-0.000066,  28.693
    86.0,-0.000041,0.000017,-0.000570,-0.000066,  28.683
    87.0,-0.000030,0.000019,-0.000468,-0.000080,  28.681
    88.0,-0.000025,0.000016,-0.000289,-0.000066,  28.678
    89.0,-0.000011,0.000019,-0.000272,-0.000066,  28.669
    90.0,0.000005,0.000038,-0.000012,-0.000080,  28.668
    91.0,0.000028,0.000055,0.000287,-0.000066,  28.666
    92.0,0.000061,0.000079,0.000732,-0.000080,  28.662
    93.0,0.000107,0.000102,0.001163,-0.000066,  28.665
    94.0,0.000176,0.000138,0.001771,-0.000066,  28.667
    95.0,0.000255,0.000183,0.002574,-0.000080,  28.666
    96.0,0.000351,0.000221,0.003537,-0.000066,  28.669
    97.0,0.000473,0.000293,0.004654,-0.000080,  28.673
    98.0,0.000614,0.000375,0.006137,-0.000093,  28.673
    99.0,0.000778,0.000469,0.007837,-0.000093,  28.678
   100.0,0.000945,0.000593,0.010095,-0.000066,  28.672
   101.0,0.001179,0.000723,0.012416,-0.000066,  28.673
   102.0,0.001452,0.000871,0.014861,-0.000066,  28.681
   103.0,0.001745,0.001057,0.017544,-0.000066,  28.674
   104.0,0.002071,0.001254,0.020876,-0.000053,  28.681
   105.0,0.002471,0.001481,0.024815,-0.000053,  28.686
   106.0,0.002906,0.001681,0.028810,-0.000053,  28.697
   107.0,0.003372,0.001949,0.033727,-0.000053,  28.707
   108.0,0.003934,0.002266,0.038959,-0.000040,  28.718
   109.0,0.004544,0.002617,0.045236,-0.000017,  28.722
   110.0,0.005074,0.002985,0.051409,-0.000040,  28.731
   111.0,0.005822,0.003427,0.058529,-0.000040,  28.740
   112.0,0.006634,0.003896,0.066234,-0.000013,  28.744
   113.0,0.007496,0.004395,0.072781,0.000014,  28.748
   114.0,0.008416,0.004943,0.081646,0.000001,  28.753
   115.0,0.009455,0.005517,0.091046,0.000014,  28.760
   116.0,0.010489,0.006025,0.100832,0.000028,  28.756
   117.0,0.011654,0.006703,0.111850,0.000041,  28.765
   118.0,0.012904,0.007425,0.123200,0.000081,  28.774
   119.0,0.014045,0.008167,0.134297,0.000081,  28.773
   120.0,0.015219,0.008946,0.147318,0.000095,  28.772
   121.0,0.016629,0.009790,0.160450,0.000086,  28.778
   122.0,0.018019,0.010608,0.172828,0.000135,  28.772
   123.0,0.019589,0.011524,0.184539,0.000162,  28.766
   124.0,0.021194,0.012473,0.199491,0.000189,  28.755
   125.0,0.022737,0.013315,0.213867,0.000216,  28.750
   126.0,0.024427,0.014197,0.229073,0.000256,  28.739
   127.0,0.026152,0.015200,0.244288,0.000247,  28.727
   128.0,0.027824,0.016201,0.259441,0.000274,  28.711
   129.0,0.029392,0.017269,0.275627,0.000314,  28.698
   130.0,0.031062,0.018348,0.291959,0.000341,  28.678
   131.0,0.032875,0.019375,0.307922,0.000368,  28.668
   132.0,0.034668,0.020445,0.321105,0.000395,  28.653
   133.0,0.036542,0.021563,0.337846,0.000444,  28.630
   134.0,0.038381,0.022616,0.353827,0.000471,  28.618
   135.0,0.040335,0.023633,0.372169,0.000498,  28.592
   136.0,0.042230,0.024663,0.388857,0.000484,  28.570
   137.0,0.044011,0.025690,0.404707,0.000498,  28.544
   138.0,0.046019,0.026858,0.423865,0.000484,  28.513
   139.0,0.047636,0.028005,0.442533,0.000457,  28.488
   140.0,0.049520,0.029046,0.459795,0.000457,  28.454
   141.0,0.051631,0.030248,0.480254,0.000417,  28.403
   142.0,0.053735,0.031412,0.498147,0.000377,  28.358
   143.0,0.055835,0.032588,0.515800,0.000296,  28.313
   144.0,0.058152,0.033831,0.537232,0.000229,  28.257
   145.0,0.060647,0.034919,0.559926,0.000148,  28.192
   146.0,0.063253,0.036351,0.583634,0.000068,  28.122
   147.0,0.066262,0.037911,0.610372,-0.000013,  28.046
   148.0,0.069490,0.039652,0.639269,-0.000080,  27.962
   149.0,0.072241,0.041503,0.670825,-0.000160,  27.868
   150.0,0.076348,0.043700,0.706497,-0.000201,  27.759
   151.0,0.080907,0.046218,0.745318,-0.000227,  27.633
   152.0,0.085760,0.048820,0.779317,-0.000241,  27.505
   153.0,0.091422,0.051904,0.828075,-0.000254,  27.358
   154.0,0.097494,0.055229,0.879870,-0.000227,  27.199
   155.0,0.103937,0.057966,0.933712,-0.000201,  27.040
   156.0,0.110795,0.061743,0.992217,-0.000120,  26.863
   157.0,0.117763,0.065546,1.052622,-0.000053,  26.688
   158.0,0.124680,0.069406,1.113228,0.000014,  26.530
   159.0,0.130397,0.073248,1.173985,0.000108,  26.367
   160.0,0.137222,0.076892,1.231578,0.000175,  26.223
   161.0,0.143602,0.080356,1.283464,0.000256,  26.110
   162.0,0.149471,0.083508,1.327118,0.000336,  26.021
   163.0,0.154728,0.086329,1.373046,0.000350,  25.954
   164.0,0.159258,0.088722,1.413301,0.000404,  25.934
   165.0,0.163235,0.090460,1.447429,0.000408,  25.939
   166.0,0.166478,0.092263,1.476701,0.000408,  25.981
   167.0,0.169068,0.093668,1.498402,0.000422,  26.060
   168.0,0.170947,0.094734,1.517407,0.000408,  26.168
   169.0,0.172262,0.095514,1.531547,0.000395,  26.285
   170.0,0.173324,0.096014,1.540708,0.000359,  26.434
   171.0,0.173913,0.096269,1.545380,0.000368,  26.605
   172.0,0.174129,0.096337,1.547919,0.000354,  26.782
   173.0,0.173965,0.096169,1.547272,0.000354,  26.963
   174.0,0.173526,0.095955,1.544935,0.000301,  27.146
   175.0,0.172848,0.095532,1.539873,0.000301,  27.325
   176.0,0.171853,0.094968,1.532175,0.000247,  27.495
   177.0,0.170733,0.094308,1.523781,0.000260,  27.657
   178.0,0.169655,0.093549,1.513216,0.000260,  27.805
   179.0,0.168124,0.092685,1.501136,0.000260,  27.942
   180.0,0.166519,0.091757,1.488408,0.000247,  28.062
   181.0,0.164782,0.090801,1.477382,0.000247,  28.176
   182.0,0.162896,0.089735,1.462570,0.000234,  28.274
   183.0,0.160918,0.088649,1.447004,0.000234,  28.350
   184.0,0.158882,0.087711,1.431033,0.000291,  28.424
   185.0,0.156730,0.086487,1.414050,0.000242,  28.485
   186.0,0.154543,0.085291,1.396397,0.000242,  28.545
   187.0,0.152480,0.084053,1.378827,0.000229,  28.584
   188.0,0.150421,0.082742,1.359693,0.000229,  28.622
   189.0,0.148070,0.081444,1.341229,0.000242,  28.652
   190.0,0.145729,0.080133,1.321617,0.000229,  28.677
   191.0,0.143230,0.078771,1.306405,0.000242,  28.696
   192.0,0.140794,0.077409,1.285821,0.000229,  28.708
   193.0,0.138404,0.076062,1.267158,0.000229,  28.722
   194.0,0.135845,0.074929,1.246863,0.000242,  28.734
   195.0,0.133316,0.073528,1.226958,0.000229,  28.742
   196.0,0.130857,0.072155,1.206826,0.000229,  28.743
   197.0,0.128326,0.070758,1.185880,0.000216,  28.746
   198.0,0.126345,0.069366,1.166124,0.000216,  28.747
   199.0,0.123815,0.067995,1.146669,0.000202,  28.750
   200.0,0.121263,0.066590,1.126509,0.000202,  28.752
   201.0,0.118782,0.065232,1.109231,0.000189,  28.752
   202.0,0.116373,0.063901,1.091612,0.000175,  28.755
   203.0,0.113880,0.062521,1.071796,0.000189,  28.752
   204.0,0.111465,0.061488,1.052126,0.000175,  28.748
   205.0,0.109128,0.060188,1.033541,0.000189,  28.750
   206.0,0.106709,0.058839,1.014597,0.000189,  28.750
   207.0,0.104411,0.057545,0.996205,0.000189,  28.743
   208.0,0.102527,0.056284,0.977932,0.000162,  28.742
   209.0,0.100199,0.055006,0.959053,0.000175,  28.731
   210.0,0.097906,0.053750,0.941918,0.000175,  28.733
   211.0,0.095699,0.052535,0.928032,0.000175,  28.731
   212.0,0.093502,0.051321,0.910776,0.000175,  28.728
   213.0,0.091351,0.050165,0.893990,0.000175,  28.727
   214.0,0.089262,0.049231,0.877509,0.000175,  28.734
   215.0,0.087191,0.048055,0.861765,0.000175,  28.730
   216.0,0.085171,0.046935,0.846013,0.000175,  28.737
   217.0,0.083353,0.045869,0.830861,0.000175,  28.735
   218.0,0.081649,0.044791,0.816065,0.000175,  28.739
   219.0,0.079750,0.043748,0.801362,0.000140,  28.740
   220.0,0.077938,0.042748,0.786785,0.000162,  28.745
   221.0,0.076104,0.041740,0.776249,0.000175,  28.745
   222.0,0.074323,0.040759,0.763204,0.000175,  28.755
   223.0,0.072612,0.039873,0.750033,0.000162,  28.752
   224.0,0.070905,0.039056,0.737559,0.000175,  28.753
   225.0,0.069268,0.038160,0.725200,0.000175,  28.759
   226.0,0.067637,0.037261,0.713388,0.000162,  28.754
   227.0,0.066292,0.036408,0.702235,0.000175,  28.761
   228.0,0.064894,0.035578,0.691241,0.000175,  28.760
   229.0,0.063422,0.034769,0.680673,0.000184,  28.763
   230.0,0.061983,0.033974,0.672643,0.000162,  28.761
   231.0,0.060623,0.033213,0.662914,0.000184,  28.764
   232.0,0.059288,0.032474,0.653380,0.000148,  28.775
   233.0,0.057986,0.031854,0.644413,0.000162,  28.775
   234.0,0.056725,0.031212,0.635297,0.000184,  28.776
   235.0,0.055521,0.030541,0.626790,0.000148,  28.773
   236.0,0.054338,0.029886,0.618694,0.000162,  28.777
   237.0,0.053432,0.029263,0.611946,0.000148,  28.782
   238.0,0.052340,0.028651,0.604512,0.000148,  28.777
   239.0,0.051255,0.028058,0.597697,0.000148,  28.777
   240.0,0.050246,0.027490,0.591931,0.000148,  28.776
   241.0,0.049249,0.026948,0.586172,0.000162,  28.777
   242.0,0.048276,0.026411,0.580391,0.000162,  28.779
   243.0,0.047375,0.026013,0.574759,0.000148,  28.777
   244.0,0.046466,0.025509,0.569070,0.000162,  28.786
   245.0,0.045619,0.025029,0.564459,0.000162,  28.784
   246.0,0.044816,0.024585,0.559921,0.000175,  28.780
   247.0,0.044193,0.024152,0.555798,0.000175,  28.782
   248.0,0.043418,0.023717,0.551226,0.000162,  28.780
   249.0,0.042695,0.023322,0.547880,0.000175,  28.780
   250.0,0.041997,0.022937,0.544733,0.000162,  28.778
   251.0,0.041336,0.022566,0.541092,0.000175,  28.779
   252.0,0.040698,0.022220,0.538574,0.000175,  28.773
   253.0,0.040077,0.021944,0.535071,0.000162,  28.778
   254.0,0.039510,0.021618,0.532686,0.000175,  28.779
   255.0,0.038956,0.021304,0.530446,0.000175,  28.779
   256.0,0.038425,0.021005,0.528239,0.000162,  28.777
   257.0,0.038011,0.020718,0.526449,0.000175,  28.783
   258.0,0.037514,0.020448,0.524388,0.000162,  28.782
   259.0,0.037044,0.020173,0.522968,0.000162,  28.783
   260.0,0.036612,0.019938,0.521904,0.000175,  28.782
   261.0,0.036201,0.019714,0.520482,0.000175,  28.785
   262.0,0.035798,0.019492,0.519455,0.000175,  28.782
   263.0,0.035429,0.019317,0.518649,0.000175,  28.785
   264.0,0.035085,0.019124,0.518409,0.000162,  28.783
   265.0,0.034753,0.018940,0.517959,0.000175,  28.784
   266.0,0.034457,0.018758,0.517426,0.000175,  28.780
