Run Name,Run 5
Run Date,03:56:34 PM   02-01-11
Method Name,50%B-Isocrat
Export Format Version, 1.00
Method ID,  558
Points/Second, 1.00
Number of Records,    333
Offset from Run Start Time,00:00:00
Run End Time,00:05:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000269,-0.000487,-0.013798,0.000000,  45.261
     1.0,-0.000270,-0.000492,0.000000,0.000000,  45.264
     2.0,-0.000270,-0.000491,0.000000,0.000000,  45.277
     3.0,-0.000270,-0.000491,0.000000,0.000000,  45.279
     4.0,-0.000274,-0.000485,0.000000,0.000000,  45.284
     5.0,-0.000309,0.000000,0.001371,0.000000,  45.279
     6.0,0.000000,0.000000,0.001282,-0.000044,  45.275
     7.0,0.000000,0.000000,0.001262,-0.000067,  45.270
     8.0,0.000000,0.000000,0.001207,-0.000031,  45.266
     9.0,0.000000,0.000000,0.001208,-0.000004,  45.265
    10.0,-0.000010,-0.000028,0.001096,-0.000089,  45.252
    11.0,-0.000007,-0.000024,0.001179,-0.000040,  45.246
    12.0,-0.000004,-0.000008,0.001253,-0.000062,  45.247
    13.0,-0.000010,-0.000014,0.001190,-0.000040,  45.243
    14.0,-0.000007,-0.000023,0.001136,-0.000026,  45.241
    15.0,-0.000010,-0.000022,0.001143,-0.000098,  45.244
    16.0,-0.000012,-0.000024,0.001134,-0.000076,  45.247
    17.0,-0.000015,-0.000024,0.001215,-0.000062,  45.245
    18.0,-0.000015,-0.000026,0.001155,-0.000098,  45.247
    19.0,-0.000012,-0.000023,0.001285,-0.000062,  45.247
    20.0,-0.000007,-0.000021,0.001180,-0.000062,  45.243
    21.0,-0.000010,-0.000024,0.000841,-0.000098,  45.246
    22.0,-0.000007,-0.000022,0.001089,-0.000062,  45.249
    23.0,-0.000004,-0.000016,0.001094,-0.000035,  45.243
    24.0,-0.000003,-0.000021,0.001189,-0.000049,  45.246
    25.0,-0.000010,-0.000027,0.001190,-0.000084,  45.249
    26.0,-0.000022,-0.000026,0.001128,-0.000133,  45.242
    27.0,-0.000016,-0.000025,0.001165,-0.000098,  45.251
    28.0,-0.000022,-0.000025,0.001121,-0.000120,  45.245
    29.0,-0.000022,-0.000030,0.001049,-0.000133,  45.256
    30.0,-0.000016,-0.000032,0.001173,-0.000071,  45.247
    31.0,-0.000022,-0.000029,0.001185,-0.000093,  45.256
    32.0,-0.000022,-0.000029,0.001208,-0.000107,  45.255
    33.0,-0.000016,-0.000028,0.001120,-0.000058,  45.253
    34.0,-0.000011,-0.000025,0.001023,-0.000093,  45.249
    35.0,-0.000012,-0.000022,0.000976,-0.000071,  45.249
    36.0,-0.000004,-0.000018,0.000954,-0.000107,  45.242
    37.0,-0.000012,-0.000009,0.001094,-0.000098,  45.242
    38.0,-0.000009,-0.000019,0.000933,-0.000084,  45.242
    39.0,-0.000014,-0.000028,0.000922,-0.000107,  45.234
    40.0,-0.000022,-0.000036,0.000978,-0.000120,  45.231
    41.0,-0.000027,-0.000044,0.000866,-0.000120,  45.235
    42.0,-0.000036,-0.000047,0.000461,-0.000107,  45.247
    43.0,-0.000041,-0.000042,0.000595,-0.000107,  45.250
    44.0,-0.000035,-0.000045,0.000702,-0.000107,  45.256
    45.0,-0.000034,-0.000046,0.000697,-0.000093,  45.261
    46.0,-0.000031,-0.000039,0.000706,-0.000107,  45.269
    47.0,-0.000039,-0.000045,0.000623,-0.000093,  45.272
    48.0,-0.000048,-0.000050,0.000521,-0.000093,  45.284
    49.0,-0.000039,-0.000050,0.000473,-0.000084,  45.285
    50.0,-0.000039,-0.000055,0.000490,-0.000107,  45.293
    51.0,-0.000043,-0.000049,0.000594,-0.000093,  45.359
    52.0,-0.000042,-0.000049,0.000680,-0.000098,  45.419
    53.0,-0.000042,-0.000052,0.001076,-0.000066,  45.300
    54.0,-0.000040,-0.000056,0.001940,0.000041,  45.305
    55.0,-0.000042,-0.000055,0.002304,0.000054,  45.302
    56.0,-0.000045,-0.000052,0.001229,-0.000160,  45.308
    57.0,-0.000043,-0.000049,0.000840,-0.000160,  45.303
    58.0,0.000007,0.000076,0.000554,-0.000053,  45.307
    59.0,0.000202,0.000234,0.000686,0.000068,  45.312
    60.0,-0.000045,0.000025,0.000691,0.000054,  45.318
    61.0,-0.000182,-0.000150,0.000660,0.000054,  45.324
    62.0,-0.000154,-0.000150,0.000683,0.000041,  45.312
    63.0,0.000128,0.000019,0.000783,-0.000013,  45.307
    64.0,0.000232,0.000210,0.000752,-0.000026,  45.309
    65.0,0.000212,0.000171,0.000747,-0.000053,  45.312
    66.0,0.000177,0.000162,0.000747,-0.000053,  45.310
    67.0,0.000128,0.000159,0.000717,-0.000053,  45.318
    68.0,0.000114,0.000090,0.000685,-0.000080,  45.321
    69.0,0.000061,0.000067,0.000671,-0.000080,  45.330
    70.0,0.000048,0.000049,0.000716,-0.000066,  45.336
    71.0,0.000039,0.000041,0.000532,-0.000093,  45.340
    72.0,0.000035,0.000028,0.000534,-0.000107,  45.350
    73.0,0.000037,0.000033,0.000367,-0.000080,  45.354
    74.0,0.000033,0.000022,0.000534,-0.000080,  45.354
    75.0,0.000027,0.000017,0.000726,-0.000066,  45.356
    76.0,0.000033,0.000009,0.000595,-0.000080,  45.360
    77.0,0.000026,0.000016,0.000583,-0.000080,  45.351
    78.0,0.000012,0.000003,0.000218,-0.000066,  45.353
    79.0,0.000007,-0.000001,0.000469,-0.000066,  45.341
    80.0,0.000015,0.000018,0.000210,-0.000053,  45.345
    81.0,0.000020,0.000007,0.000502,-0.000053,  45.335
    82.0,0.000015,0.000006,0.000642,-0.000053,  45.330
    83.0,0.000017,0.000009,0.000809,-0.000075,  45.327
    84.0,0.000024,0.000017,0.000909,-0.000040,  45.321
    85.0,0.000032,0.000020,0.000941,-0.000026,  45.322
    86.0,0.000044,0.000043,0.000920,0.000014,  45.327
    87.0,0.000065,0.000058,0.001458,0.000014,  45.327
    88.0,0.000078,0.000076,0.001722,0.000028,  45.330
    89.0,0.000093,0.000092,0.002370,0.000041,  45.342
    90.0,0.000121,0.000133,0.003121,0.000028,  45.341
    91.0,0.000180,0.000175,0.004556,0.000054,  45.335
    92.0,0.000225,0.000232,0.006693,0.000135,  45.331
    93.0,0.000283,0.000263,0.009377,0.000166,  45.332
    94.0,0.000323,0.000294,0.012234,0.000193,  45.325
    95.0,0.000402,0.000350,0.016343,0.000193,  45.342
    96.0,0.000533,0.000447,0.021406,0.000153,  45.345
    97.0,0.000752,0.000633,0.027333,0.000139,  45.351
    98.0,0.001091,0.000897,0.035271,0.000086,  45.352
    99.0,0.001465,0.001143,0.043784,0.000099,  45.358
   100.0,0.001808,0.001333,0.054625,0.000059,  45.354
   101.0,0.002195,0.001518,0.067414,0.000059,  45.354
   102.0,0.002613,0.001668,0.081481,0.000059,  45.355
   103.0,0.003217,0.001929,0.097219,0.000046,  45.362
   104.0,0.003981,0.002311,0.113646,0.000059,  45.361
   105.0,0.004857,0.002757,0.131679,0.000059,  45.365
   106.0,0.005737,0.003353,0.153105,0.000072,  45.360
   107.0,0.006960,0.004032,0.178560,0.000072,  45.367
   108.0,0.008419,0.004827,0.204144,0.000072,  45.361
   109.0,0.010021,0.005708,0.235576,0.000086,  45.364
   110.0,0.011907,0.006749,0.267572,0.000086,  45.359
   111.0,0.013963,0.007912,0.302194,0.000099,  45.353
   112.0,0.016435,0.008995,0.339673,0.000099,  45.361
   113.0,0.018960,0.010393,0.378646,0.000113,  45.366
   114.0,0.021916,0.012003,0.411149,0.000126,  45.368
   115.0,0.025021,0.013705,0.455808,0.000139,  45.367
   116.0,0.027664,0.015563,0.501696,0.000166,  45.368
   117.0,0.031343,0.017563,0.548312,0.000166,  45.366
   118.0,0.035110,0.019683,0.598483,0.000193,  45.372
   119.0,0.038982,0.021813,0.647960,0.000193,  45.371
   120.0,0.043238,0.024180,0.698606,0.000220,  45.377
   121.0,0.047557,0.026582,0.749370,0.000247,  45.382
   122.0,0.051917,0.028462,0.801191,0.000287,  45.383
   123.0,0.056569,0.031106,0.853710,0.000301,  45.389
   124.0,0.061142,0.033658,0.896206,0.000341,  45.395
   125.0,0.065772,0.036265,0.946755,0.000354,  45.398
   126.0,0.069600,0.038892,0.998372,0.000381,  45.405
   127.0,0.074392,0.041501,1.048002,0.000421,  45.419
   128.0,0.078915,0.044055,1.096030,0.000435,  45.421
   129.0,0.083647,0.046703,1.142745,0.000448,  45.418
   130.0,0.088059,0.049171,1.188964,0.000502,  45.414
   131.0,0.092629,0.051639,1.230882,0.000529,  45.390
   132.0,0.096874,0.053605,1.273480,0.000520,  45.378
   133.0,0.101036,0.055987,1.312459,0.000583,  45.368
   134.0,0.105010,0.058267,1.340980,0.000623,  45.354
   135.0,0.108677,0.060478,1.377613,0.000677,  45.346
   136.0,0.111761,0.062498,1.409780,0.000677,  45.332
   137.0,0.115305,0.064517,1.439610,0.000654,  45.320
   138.0,0.118677,0.066415,1.467057,0.000668,  45.293
   139.0,0.121675,0.068142,1.492860,0.000668,  45.276
