Run Name,50% Concentration Group 11
Run Date,01:25:56 PM   02-10-11
Method Name,50%B-Isocrat
Export Format Version, 1.00
Method ID, 1177
Points/Second, 1.00
Number of Records,    459
Offset from Run Start Time,00:00:00
Run End Time,00:07:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.010105,-0.359514,0.063275,0.000000,  46.688
     1.0,0.010105,-0.359516,0.000000,0.000000,  46.694
     2.0,0.010105,-0.359519,0.000000,0.000000,  46.694
     3.0,0.010103,-0.359525,0.000000,0.000000,  46.695
     4.0,0.010100,-0.359521,0.000000,0.000000,  46.700
     5.0,0.010100,0.000000,0.001576,-0.000049,  46.701
     6.0,0.010100,0.000000,0.001216,-0.000044,  46.700
     7.0,0.000000,0.000000,0.001720,-0.000067,  46.696
     8.0,0.000000,0.000000,0.001844,-0.000031,  46.694
     9.0,0.000000,0.000000,0.001831,-0.000053,  46.688
    10.0,0.000000,0.000019,0.001372,-0.000040,  46.682
    11.0,0.000003,0.000021,0.001669,-0.000018,  46.679
    12.0,0.000003,0.000023,0.001688,-0.000004,  46.677
    13.0,-0.000002,0.000033,0.001738,-0.000040,  46.675
    14.0,0.000004,0.000039,0.001730,-0.000027,  46.674
    15.0,0.000003,0.000041,0.001735,-0.000062,  46.675
    16.0,0.000012,0.000053,0.001687,-0.000027,  46.668
    17.0,0.000009,0.000046,0.001515,-0.000027,  46.664
    18.0,0.000007,0.000041,0.000520,-0.000035,  46.668
    19.0,0.000014,0.000044,0.001417,-0.000013,  46.665
    20.0,0.000008,0.000046,0.001713,0.000014,  46.661
    21.0,0.000007,0.000056,0.001927,0.000014,  46.664
    22.0,0.000019,0.000055,0.001987,0.000014,  46.659
    23.0,0.000015,0.000059,0.001936,-0.000022,  46.653
    24.0,0.000015,0.000060,0.001974,0.000027,  46.648
    25.0,0.000021,0.000067,0.001665,0.000005,  46.645
    26.0,0.000023,0.000067,0.001941,-0.000017,  46.636
    27.0,0.000040,0.000084,0.002184,-0.000031,  46.633
    28.0,0.000045,0.000090,0.002218,-0.000017,  46.629
    29.0,0.000051,0.000092,0.001731,-0.000004,  46.629
    30.0,0.000057,0.000095,0.001901,-0.000066,  46.618
    31.0,0.000061,0.000097,0.002111,-0.000017,  46.622
    32.0,0.000057,0.000085,0.001893,-0.000031,  46.619
    33.0,0.000053,0.000079,0.001975,-0.000031,  46.599
    34.0,0.000042,0.000078,0.001982,-0.000004,  46.599
    35.0,0.000049,0.000069,0.001993,-0.000004,  46.597
    36.0,0.000043,0.000076,0.001980,0.000009,  46.598
    37.0,0.000049,0.000073,0.001960,0.000023,  46.595
    38.0,0.000046,0.000082,0.002028,0.000009,  46.603
    39.0,0.000045,0.000084,0.002147,-0.000013,  46.602
    40.0,0.000049,0.000087,0.002028,0.000009,  46.606
    41.0,0.000060,0.000097,0.001986,0.000023,  46.607
    42.0,0.000063,0.000106,0.002050,0.000023,  46.606
    43.0,0.000065,0.000107,0.002137,0.000023,  46.603
    44.0,0.000068,0.000102,0.002018,0.000023,  46.607
    45.0,0.000079,0.000101,0.002130,0.000023,  46.632
    46.0,0.000081,0.000107,0.002043,0.000023,  46.639
    47.0,0.000087,0.000106,0.001982,0.000023,  46.644
    48.0,0.000090,0.000103,0.001815,0.000036,  46.647
    49.0,0.000093,0.000111,0.001930,0.000036,  46.649
    50.0,0.000080,0.000109,0.002050,0.000036,  46.646
    51.0,0.000081,0.000116,0.001712,0.000036,  46.643
    52.0,0.000081,0.000109,0.002072,0.000036,  46.713
    53.0,0.000081,0.000104,0.001936,0.000009,  46.653
    54.0,0.000074,0.000110,0.002324,-0.000044,  46.646
    55.0,0.000073,0.000104,0.002156,-0.000017,  46.647
    56.0,0.000087,0.000111,0.001902,0.000036,  46.647
    57.0,0.000088,0.000116,0.001545,0.000027,  46.659
    58.0,0.000093,0.000169,0.002148,0.000156,  46.658
    59.0,0.000101,0.000256,0.002431,0.000170,  46.653
    60.0,0.000186,0.000108,0.002324,0.000156,  46.658
    61.0,0.000081,0.000113,0.002344,0.000130,  46.659
    62.0,0.000086,0.000153,0.001685,0.000090,  46.649
    63.0,0.000101,0.000344,0.001781,0.000116,  46.639
    64.0,0.000242,0.000310,0.002108,0.000116,  46.635
    65.0,0.000265,0.000254,0.001378,0.000116,  46.626
    66.0,0.000252,0.000248,0.001532,0.000081,  46.628
    67.0,0.000209,0.000221,0.002113,0.000116,  46.625
    68.0,0.000199,0.000220,0.002297,0.000116,  46.624
    69.0,0.000196,0.000220,0.002353,0.000130,  46.623
    70.0,0.000210,0.000217,0.002348,0.000103,  46.620
    71.0,0.000210,0.000212,0.002270,0.000103,  46.626
    72.0,0.000194,0.000206,0.002183,0.000090,  46.630
    73.0,0.000194,0.000203,0.002241,0.000103,  46.631
    74.0,0.000181,0.000207,0.002174,0.000103,  46.638
    75.0,0.000187,0.000199,0.002313,0.000103,  46.638
    76.0,0.000200,0.000204,0.002294,0.000116,  46.635
    77.0,0.000192,0.000202,0.002295,0.000130,  46.628
    78.0,0.000182,0.000195,0.002257,0.000116,  46.625
    79.0,0.000176,0.000193,0.002132,0.000130,  46.629
    80.0,0.000188,0.000198,0.002201,0.000143,  46.625
    81.0,0.000195,0.000193,0.002299,0.000130,  46.623
    82.0,0.000201,0.000195,0.002369,0.000143,  46.626
    83.0,0.000204,0.000201,0.002317,0.000156,  46.632
    84.0,0.000204,0.000207,0.002289,0.000183,  46.631
    85.0,0.000212,0.000212,0.002685,0.000183,  46.636
    86.0,0.000215,0.000223,0.002398,0.000170,  46.632
    87.0,0.000225,0.000243,0.002855,0.000197,  46.634
    88.0,0.000233,0.000257,0.004049,0.000197,  46.632
    89.0,0.000243,0.000271,0.005532,0.000197,  46.642
    90.0,0.000255,0.000303,0.007870,0.000210,  46.640
    91.0,0.000289,0.000333,0.011031,0.000197,  46.638
    92.0,0.000335,0.000363,0.015580,0.000188,  46.635
    93.0,0.000368,0.000388,0.020266,0.000237,  46.632
