Run Name,Group 2 - 23%B
Run Date,05:20:24 PM   02-22-11
Method Name,23% B SVS edit
Export Format Version, 1.00
Method ID, 1222
Points/Second, 1.00
Number of Records,   3534
Offset from Run Start Time,00:00:00
Run End Time,00:58:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000506,0.000337,0.000011,0.000000,  25.978
     1.0,0.000513,0.000347,0.000000,0.000000,  25.979
     2.0,0.000151,0.000351,0.000000,0.000000,  25.985
     3.0,0.000000,0.000000,0.000000,0.000000,  25.983
     4.0,0.000000,0.000000,0.000000,0.000000,  25.984
     5.0,0.000000,0.000000,-0.000073,-0.000022,  25.979
     6.0,0.000000,0.000000,-0.000250,-0.000031,  25.972
     7.0,-0.000011,0.000000,-0.000620,-0.000058,  25.973
     8.0,-0.000019,-0.000003,-0.000401,-0.000045,  25.968
     9.0,-0.000027,-0.000007,-0.000386,-0.000080,  25.960
    10.0,-0.000037,-0.000012,-0.000460,-0.000067,  25.957
    11.0,-0.000032,-0.000012,-0.000444,-0.000103,  25.942
    12.0,-0.000036,-0.000020,-0.000529,-0.000067,  25.938
    13.0,-0.000032,-0.000023,-0.000943,-0.000089,  25.934
    14.0,-0.000027,-0.000016,-0.000764,-0.000076,  25.932
    15.0,-0.000018,-0.000020,-0.000626,-0.000125,  25.931
    16.0,-0.000032,-0.000019,-0.000695,-0.000076,  25.939
    17.0,-0.000023,-0.000019,-0.000722,-0.000098,  25.930
    18.0,-0.000021,-0.000013,-0.000751,-0.000076,  25.933
    19.0,-0.000024,-0.000002,-0.000612,-0.000062,  25.927
    20.0,-0.000016,-0.000005,-0.000559,-0.000084,  25.930
    21.0,-0.000016,-0.000002,-0.000744,-0.000062,  25.932
    22.0,-0.000011,-0.000002,-0.001220,-0.000134,  25.928
    23.0,-0.000014,0.000003,-0.000846,-0.000134,  25.928
    24.0,-0.000011,0.000004,-0.000681,-0.000098,  25.933
    25.0,-0.000004,0.000013,-0.000616,-0.000120,  25.933
    26.0,-0.000010,-0.000001,-0.001307,-0.000098,  25.939
    27.0,-0.000010,0.000010,-0.000743,-0.000120,  25.940
    28.0,-0.000006,0.000006,-0.000557,-0.000107,  25.935
    29.0,-0.000003,0.000005,-0.000594,-0.000084,  25.937
    30.0,-0.000003,0.000016,-0.000491,-0.000120,  25.937
    31.0,0.000000,0.000021,-0.002161,-0.000107,  25.940
    32.0,-0.000003,0.000009,-0.001640,-0.000120,  25.940
    33.0,-0.000011,0.000014,-0.000854,-0.000120,  25.945
    34.0,-0.000003,0.000008,-0.000928,-0.000120,  25.943
    35.0,-0.000011,0.000007,-0.000848,-0.000120,  25.944
    36.0,-0.000014,0.000010,-0.000618,-0.000142,  25.949
    37.0,-0.000016,-0.000006,-0.001418,-0.000120,  25.951
    38.0,-0.000019,0.000001,-0.001138,-0.000120,  25.959
    39.0,-0.000016,0.000001,-0.000749,-0.000142,  25.962
    40.0,-0.000022,-0.000002,-0.001340,-0.000120,  25.962
    41.0,-0.000014,-0.000003,-0.001076,-0.000120,  25.971
    42.0,-0.000006,0.000007,-0.001361,-0.000120,  25.969
    43.0,-0.000001,0.000011,-0.000829,-0.000120,  25.966
    44.0,-0.000003,0.000007,-0.000758,-0.000107,  25.969
    45.0,-0.000004,0.000011,-0.000724,-0.000084,  25.971
    46.0,-0.000003,0.000005,-0.000744,-0.000107,  25.972
    47.0,0.000001,0.000007,-0.000957,-0.000093,  25.971
