Run Name,Group 2 - 30%
Run Date,02:13:43 PM   02-22-11
Method Name,30%B-Isocrat
Export Format Version, 1.00
Method ID, 1195
Points/Second, 1.00
Number of Records,   1637
Offset from Run Start Time,00:00:00
Run End Time,00:27:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.014599,0.009433,0.113867,0.000000,  30.958
     1.0,0.000000,0.000000,0.000000,0.000000,  31.064
     2.0,0.000000,0.000000,0.000000,0.000000,  31.095
     3.0,0.000000,0.000000,0.000000,0.000000,  31.097
     4.0,0.000000,0.000000,0.000000,0.000000,  30.960
     5.0,-0.000379,0.000000,-0.003588,-0.000098,  30.943
     6.0,-0.000526,-0.000300,-0.004084,-0.000228,  30.944
     7.0,-0.000414,-0.000452,-0.004652,-0.000013,  31.039
     8.0,-0.000513,-0.000366,-0.006320,0.000046,  31.080
     9.0,-0.000307,-0.000426,-0.005641,-0.000049,  31.088
    10.0,-0.000277,-0.000273,-0.003778,-0.000103,  30.949
    11.0,-0.000531,-0.000215,-0.005490,-0.000179,  30.932
    12.0,-0.000889,-0.000419,-0.006221,-0.000260,  30.926
    13.0,-0.000841,-0.000661,-0.007922,-0.000071,  31.019
    14.0,-0.000911,-0.000631,-0.009884,0.000015,  31.076
    15.0,-0.000768,-0.000667,-0.007941,-0.000030,  31.090
    16.0,-0.000778,-0.000536,-0.007207,-0.000084,  30.960
    17.0,-0.001007,-0.000518,-0.009165,-0.000161,  30.952
    18.0,-0.001368,-0.000656,-0.010288,-0.000255,  30.954
    19.0,-0.001282,-0.000947,-0.011373,-0.000066,  31.030
    20.0,-0.001323,-0.000930,-0.013048,0.000042,  31.086
    21.0,-0.001221,-0.000947,-0.012079,-0.000039,  31.117
    22.0,-0.001163,-0.000804,-0.010630,-0.000080,  30.994
    23.0,-0.001197,-0.000743,-0.011223,-0.000012,  30.965
    24.0,-0.001710,-0.000782,-0.012960,-0.000187,  30.963
    25.0,-0.001667,-0.001157,-0.014278,-0.000053,  31.016
    26.0,-0.001721,-0.001163,-0.016556,0.000028,  31.084
    27.0,-0.001654,-0.001173,-0.014618,-0.000039,  31.091
    28.0,-0.001600,-0.001088,-0.013711,-0.000129,  31.015
    29.0,-0.001749,-0.001033,-0.015178,-0.000169,  30.975
    30.0,-0.002160,-0.001172,-0.016725,-0.000250,  30.973
    31.0,-0.002090,-0.001474,-0.017461,-0.000102,  31.011
    32.0,-0.002122,-0.001418,-0.018765,0.000006,  31.088
    33.0,-0.002065,-0.001398,-0.017683,-0.000016,  31.102
    34.0,-0.001998,-0.001305,-0.016472,-0.000061,  31.042
    35.0,-0.002114,-0.001264,-0.017486,-0.000115,  30.983
    36.0,-0.002503,-0.001327,-0.019556,-0.000219,  30.976
    37.0,-0.002487,-0.001645,-0.020371,-0.000115,  31.001
    38.0,-0.002474,-0.001673,-0.021890,0.000019,  31.084
    39.0,-0.002505,-0.001640,-0.020938,0.000024,  31.104
    40.0,-0.002362,-0.001593,-0.019285,-0.000048,  31.058
    41.0,-0.002400,-0.001504,-0.019384,-0.000124,  30.965
