Run Name,group 2_50-50
Run Date,12:29:45 PM   02-22-11
Method Name,50%B-Isocrat
Export Format Version, 1.00
Method ID, 1210
Points/Second, 1.00
Number of Records,    868
Offset from Run Start Time,00:00:00
Run End Time,00:14:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.004939,0.000000,0.083088,0.000000,  33.484
     1.0,0.000000,0.000000,0.000000,0.000000,  33.343
     2.0,0.000000,0.000000,0.000000,0.000000,  33.335
     3.0,0.000000,0.000000,0.000000,0.000000,  33.337
     4.0,0.000000,0.000000,0.000000,0.000000,  33.343
     5.0,-0.000012,0.000027,-0.000015,-0.000045,  33.344
     6.0,0.000007,0.000033,-0.000151,-0.000054,  33.368
     7.0,0.000008,0.000042,-0.001044,-0.000067,  33.462
     8.0,0.000175,0.000202,0.000243,0.000052,  33.508
     9.0,0.000128,0.000054,0.000739,-0.000076,  33.393
    10.0,-0.000031,-0.000025,0.000307,-0.000085,  33.375
    11.0,-0.000018,0.000003,0.000061,-0.000058,  33.378
    12.0,0.000015,0.000032,-0.000054,-0.000019,  33.380
    13.0,0.000039,0.000049,-0.000288,-0.000028,  33.389
    14.0,0.000055,0.000065,-0.000128,-0.000001,  33.395
    15.0,0.000052,0.000060,-0.000241,-0.000063,  33.447
    16.0,0.000144,0.000153,0.000307,-0.000023,  33.502
    17.0,0.000250,0.000351,0.000979,-0.000059,  33.521
    18.0,0.000008,0.000024,0.000276,-0.000099,  33.403
    19.0,0.000019,0.000017,-0.000270,-0.000072,  33.403
    20.0,0.000056,0.000047,-0.000263,-0.000032,  33.398
    21.0,0.000084,0.000066,-0.000225,-0.000006,  33.391
    22.0,0.000103,0.000083,-0.000195,0.000007,  33.391
    23.0,0.000116,0.000105,-0.000776,0.000021,  33.409
    24.0,0.000106,0.000089,-0.001222,-0.000006,  33.488
    25.0,0.000282,0.000263,0.000520,0.000091,  33.534
    26.0,0.000155,0.000225,0.000795,-0.000081,  33.427
    27.0,0.000029,0.000031,-0.000412,-0.000068,  33.399
    28.0,0.000073,0.000056,-0.000511,-0.000037,  33.389
    29.0,0.000122,0.000099,-0.000484,0.000038,  33.391
    30.0,0.000152,0.000122,-0.000335,0.000042,  33.388
    31.0,0.000156,0.000128,-0.000240,0.000104,  33.390
    32.0,0.000160,0.000145,-0.000105,0.000038,  33.455
    33.0,0.000258,0.000234,0.000465,0.000069,  33.524
    34.0,0.000306,0.000311,0.001253,0.000224,  33.548
    35.0,0.000075,0.000071,0.000533,0.000051,  33.421
    36.0,0.000106,0.000086,-0.000024,0.000082,  33.414
    37.0,0.000153,0.000116,-0.000115,0.000095,  33.419
    38.0,0.000189,0.000142,-0.000180,0.000100,  33.419
    39.0,0.000214,0.000165,-0.000183,0.000091,  33.417
    40.0,0.000224,0.000181,-0.000119,0.000126,  33.437
    41.0,0.000242,0.000189,0.000289,0.000077,  33.525
    42.0,0.000399,0.000353,0.000891,0.000210,  33.562
    43.0,0.000170,0.000200,0.001116,0.000139,  33.472
    44.0,0.000136,0.000107,0.000419,0.000091,  33.455
    45.0,0.000188,0.000136,-0.000401,0.000130,  33.451
    46.0,0.000236,0.000179,-0.000185,0.000206,  33.453
    47.0,0.000253,0.000210,-0.000024,0.000183,  33.449
    48.0,0.000268,0.000229,0.000063,0.000197,  33.446
    49.0,0.000252,0.000225,0.000148,0.000170,  33.494
    50.0,0.000362,0.000308,0.000721,0.000188,  33.564
    51.0,0.000483,0.000410,0.000149,0.000356,  33.581
    52.0,0.000212,0.000159,0.000442,0.000170,  33.458
    53.0,0.000234,0.000177,0.000232,0.000161,  33.451
    54.0,0.000279,0.000210,0.000164,0.000201,  33.435
    55.0,0.000298,0.000237,0.000137,0.000241,  33.430
    56.0,0.000324,0.000255,0.000235,0.000254,  33.413
    57.0,0.000346,0.000273,-0.000231,0.000245,  33.428
    58.0,0.000338,0.000287,0.000472,0.000192,  33.522
    59.0,0.000518,0.000439,0.001270,0.000347,  33.574
    60.0,0.000329,0.000291,0.001353,0.000245,  33.453
    61.0,0.000274,0.000200,0.000683,0.000218,  33.405
    62.0,0.000310,0.000230,0.000403,0.000245,  33.396
    63.0,0.000335,0.000265,0.000334,0.000236,  33.396
    64.0,0.000359,0.000284,0.000289,0.000298,  33.393
    65.0,0.000376,0.000289,0.000293,0.000325,  33.396
    66.0,0.000365,0.000287,0.000412,0.000311,  33.473
    67.0,0.000476,0.000389,0.000860,0.000351,  33.549
    68.0,0.000595,0.000593,0.001453,0.000351,  33.575
    69.0,0.000305,0.000268,0.000751,0.000214,  33.414
    70.0,0.000337,0.000261,0.000424,0.000276,  33.409
    71.0,0.000378,0.000293,0.000408,0.000293,  33.402
    72.0,0.000407,0.000317,0.000270,0.000342,  33.405
    73.0,0.000432,0.000350,0.000107,0.000382,  33.401
    74.0,0.000453,0.000358,-0.000177,0.000369,  33.427
    75.0,0.000447,0.000364,-0.000092,0.000355,  33.535
    76.0,0.000610,0.000526,0.001111,0.000488,  33.582
    77.0,0.000448,0.000486,0.001143,0.000316,  33.464
    78.0,0.000373,0.000295,0.000572,0.000329,  33.434
    79.0,0.000398,0.000310,0.000495,0.000395,  33.428
    80.0,0.000431,0.000340,0.000290,0.000435,  33.430
    81.0,0.000468,0.000366,0.000228,0.000377,  33.428
    82.0,0.000491,0.000388,0.000391,0.000426,  33.415
    83.0,0.000492,0.000393,0.000582,0.000386,  33.482
    84.0,0.000589,0.000479,0.001086,0.000417,  33.573
    85.0,0.000588,0.000571,0.001945,0.000532,  33.607
    86.0,0.000379,0.000324,0.001129,0.000373,  33.435
    87.0,0.000412,0.000327,0.000724,0.000390,  33.439
    88.0,0.000464,0.000360,0.000557,0.000479,  33.436
    89.0,0.000506,0.000383,0.000332,0.000457,  33.437
    90.0,0.000519,0.000403,0.000407,0.000492,  33.425
    91.0,0.000530,0.000419,0.000501,0.000506,  33.433
    92.0,0.000550,0.000434,0.000765,0.000457,  33.545
    93.0,0.000703,0.000587,0.001608,0.000590,  33.594
    94.0,0.000499,0.000472,0.001670,0.000483,  33.467
    95.0,0.000470,0.000362,0.001011,0.000483,  33.414
    96.0,0.000512,0.000391,0.000679,0.000523,  33.405
    97.0,0.000541,0.000433,0.000255,0.000550,  33.407
    98.0,0.000586,0.000460,0.000519,0.000563,  33.406
    99.0,0.000604,0.000473,0.000827,0.000590,  33.404
   100.0,0.000605,0.000497,0.001095,0.000479,  33.482
   101.0,0.000736,0.000595,0.001779,0.000567,  33.576
   102.0,0.000841,0.000693,0.001752,0.000714,  33.621
   103.0,0.000600,0.000447,0.001692,0.000505,  33.429
   104.0,0.000649,0.000479,0.001786,0.000567,  33.407
   105.0,0.000757,0.000572,0.001931,0.000581,  33.395
   106.0,0.000851,0.000637,0.002977,0.000585,  33.385
   107.0,0.000927,0.000695,0.004042,0.000634,  33.378
   108.0,0.001033,0.000748,0.004925,0.000612,  33.395
   109.0,0.001132,0.000859,0.006703,0.000594,  33.531
   110.0,0.001359,0.000999,0.008176,0.000691,  33.593
   111.0,0.001300,0.000930,0.009644,0.000665,  33.445
   112.0,0.001263,0.000821,0.009038,0.000563,  33.390
   113.0,0.001389,0.000938,0.010795,0.000625,  33.382
   114.0,0.001739,0.001153,0.013576,0.000651,  33.388
   115.0,0.001980,0.001276,0.015670,0.000665,  33.385
   116.0,0.002235,0.001420,0.018071,0.000691,  33.388
   117.0,0.002554,0.001627,0.021256,0.000656,  33.469
   118.0,0.002947,0.001890,0.025550,0.000731,  33.568
   119.0,0.003288,0.002149,0.028621,0.000744,  33.615
   120.0,0.003256,0.001993,0.029461,0.000616,  33.414
   121.0,0.003440,0.002061,0.031113,0.000691,  33.417
   122.0,0.004038,0.002532,0.040762,0.000758,  33.416
   123.0,0.004775,0.002920,0.045010,0.000749,  33.421
   124.0,0.005406,0.003259,0.050716,0.000726,  33.422
   125.0,0.006139,0.003674,0.056238,0.000740,  33.448
   126.0,0.006967,0.004187,0.065588,0.000749,  33.555
   127.0,0.007606,0.004542,0.071972,0.000833,  33.615
   128.0,0.008058,0.004817,0.078674,0.000660,  33.506
   129.0,0.008347,0.004848,0.080533,0.000722,  33.469
   130.0,0.009342,0.005384,0.089429,0.000726,  33.465
   131.0,0.010820,0.006354,0.106655,0.000820,  33.464
   132.0,0.012125,0.007092,0.116079,0.000868,  33.468
   133.0,0.013513,0.007886,0.128938,0.000882,  33.468
   134.0,0.015217,0.008856,0.142101,0.000829,  33.532
   135.0,0.016498,0.009641,0.157127,0.000873,  33.607
   136.0,0.017555,0.010097,0.165035,0.000939,  33.655
   137.0,0.018301,0.010450,0.174780,0.000766,  33.486
   138.0,0.019371,0.010975,0.182910,0.000833,  33.478
   139.0,0.021972,0.012504,0.207476,0.000850,  33.469
   140.0,0.024106,0.013885,0.228799,0.000966,  33.472
   141.0,0.026232,0.015119,0.247585,0.000979,  33.459
   142.0,0.028678,0.016572,0.269950,0.000992,  33.467
   143.0,0.031100,0.017956,0.290223,0.000966,  33.566
   144.0,0.032523,0.018821,0.305057,0.001063,  33.625
