Run Name,Group4run23%
Run Date,04:26:37 PM   04-15-11
Method Name,23% B isocratic SVS
Export Format Version, 1.00
Method ID, 1287
Points/Second, 1.00
Number of Records,   3953
Offset from Run Start Time,00:00:00
Run End Time,01:05:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.000021,-0.000183,0.000652,0.000000,  25.732
     1.0,0.000052,-0.000188,0.000000,0.000000,  25.731
     2.0,0.000000,0.000031,0.000000,0.000000,  25.730
     3.0,0.000000,0.000000,0.000000,0.000000,  25.733
     4.0,0.000000,0.000000,-0.002615,0.000000,  25.736
     5.0,0.000000,0.000000,-0.000999,0.000000,  25.737
     6.0,0.000002,-0.000002,-0.000472,-0.000022,  25.738
     7.0,0.000002,-0.000008,-0.000327,-0.000004,  25.740
     8.0,0.000017,-0.000007,-0.000372,-0.000004,  25.744
     9.0,0.000037,0.000010,-0.000194,-0.000004,  25.745
    10.0,0.000028,0.000023,-0.000067,0.000010,  25.747
    11.0,0.000019,0.000022,-0.000087,-0.000039,  25.744
    12.0,0.000025,0.000021,-0.000127,-0.000075,  25.750
    13.0,0.000027,0.000019,-0.000037,-0.000039,  25.749
    14.0,0.000022,0.000021,0.000073,-0.000026,  25.749
    15.0,0.000031,0.000014,-0.000009,-0.000012,  25.755
    16.0,0.000017,0.000025,-0.000072,-0.000026,  25.759
    17.0,0.000031,0.000011,-0.000119,0.000010,  25.763
    18.0,0.000034,0.000005,-0.000298,-0.000012,  25.758
    19.0,0.000036,0.000023,-0.000152,-0.000026,  25.765
    20.0,0.000033,0.000022,-0.000162,-0.000048,  25.767
    21.0,0.000027,0.000017,-0.000139,-0.000048,  25.768
