Run Name,Group4Run50%
Run Date,12:59:06 PM   04-15-11
Method Name,50%B-Isocrat SVS
Export Format Version, 1.00
Method ID, 1283
Points/Second, 1.00
Number of Records,    362
Offset from Run Start Time,00:00:00
Run End Time,00:06:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.006535,-0.351703,0.135703,0.000000,  46.485
     1.0,0.006538,-0.351698,0.000000,0.000000,  46.484
     2.0,0.000000,-0.351699,0.000000,0.000000,  46.484
     3.0,0.000000,0.000000,0.000000,0.000000,  46.485
     4.0,0.000000,0.000000,0.000000,0.000000,  46.480
     5.0,0.000000,0.000000,0.000084,0.000022,  46.482
     6.0,0.000000,0.000000,0.000097,0.000000,  46.480
     7.0,0.000003,0.000000,0.000132,-0.000022,  46.481
     8.0,-0.000014,0.000000,0.000137,-0.000036,  46.473
     9.0,-0.000025,0.000003,0.000200,-0.000071,  46.473
    10.0,-0.000032,0.000002,0.000203,-0.000022,  46.472
    11.0,-0.000041,-0.000013,0.000256,-0.000022,  46.474
    12.0,-0.000039,-0.000017,0.000316,-0.000044,  46.474
    13.0,-0.000015,-0.000018,0.000382,0.000027,  46.475
    14.0,-0.000018,-0.000000,0.000513,0.000027,  46.479
    15.0,-0.000020,-0.000005,0.000496,0.000027,  46.480
    16.0,-0.000011,-0.000008,0.000539,0.000027,  46.478
    17.0,-0.000008,0.000002,0.000369,0.000027,  46.478
    18.0,-0.000016,0.000009,0.000472,0.000027,  46.480
    19.0,-0.000004,0.000011,0.000539,0.000013,  46.481
    20.0,-0.000014,0.000010,0.000398,0.000027,  46.477
    21.0,-0.000020,0.000011,0.000400,0.000013,  46.473
    22.0,-0.000019,0.000024,0.000424,0.000009,  46.473
    23.0,-0.000022,0.000011,0.000416,0.000036,  46.474
    24.0,-0.000013,-0.000005,0.000471,0.000009,  46.473
    25.0,-0.000020,0.000002,0.000337,0.000036,  46.477
    26.0,-0.000028,0.000014,0.000477,0.000009,  46.481
    27.0,-0.000031,0.000005,0.000446,0.000022,  46.483
    28.0,-0.000026,-0.000001,0.000530,0.000036,  46.481
    29.0,-0.000020,0.000002,0.000624,0.000022,  46.482
    30.0,-0.000022,-0.000005,0.000701,0.000022,  46.478
    31.0,-0.000020,0.000002,0.000749,0.000036,  46.475
    32.0,-0.000017,0.000000,0.000787,0.000036,  46.477
    33.0,-0.000020,0.000006,0.000747,0.000049,  46.475
    34.0,-0.000017,0.000008,0.000766,0.000049,  46.482
    35.0,-0.000022,0.000001,0.000828,0.000036,  46.481
    36.0,-0.000023,0.000006,0.000778,0.000036,  46.489
    37.0,-0.000020,0.000000,0.000715,0.000049,  46.494
    38.0,-0.000023,0.000005,0.000805,0.000036,  46.494
    39.0,-0.000020,0.000004,0.000874,0.000036,  46.501
    40.0,-0.000014,0.000008,0.000765,0.000036,  46.503
    41.0,-0.000014,0.000007,0.000728,0.000049,  46.506
    42.0,-0.000011,0.000010,0.000826,0.000049,  46.509
    43.0,-0.000013,0.000014,0.000881,0.000044,  46.514
    44.0,-0.000019,0.000002,0.001204,0.000022,  46.523
    45.0,-0.000001,-0.000011,0.000979,0.000022,  46.524
    46.0,-0.000006,-0.000001,0.000898,0.000044,  46.535
    47.0,-0.000010,0.000009,0.000916,0.000022,  46.538
    48.0,-0.000013,0.000010,0.000912,0.000022,  46.545
    49.0,-0.000001,0.000001,0.000922,0.000058,  46.552
    50.0,-0.000015,0.000018,0.000976,0.000022,  46.575
    51.0,-0.000012,0.000015,0.000967,0.000058,  46.619
    52.0,-0.000006,0.000009,0.000958,0.000036,  46.606
    53.0,-0.000004,0.000012,0.001163,-0.000032,  46.581
    54.0,0.000014,0.000014,0.001626,-0.000077,  46.573
    55.0,0.000051,0.000025,0.001381,-0.000072,  46.567
    56.0,-0.000092,0.000036,0.001134,-0.000032,  46.559
    57.0,-0.000103,-0.000028,0.000904,0.000017,  46.558
    58.0,-0.000064,-0.000085,0.000946,0.000022,  46.547
    59.0,-0.000038,-0.000056,0.001075,0.000098,  46.530
    60.0,0.000017,-0.000022,0.001044,0.000062,  46.513
    61.0,0.000081,0.000040,0.000904,0.000076,  46.529
