Run Name,Group4Run25%
Run Date,03:28:14 PM   04-15-11
Method Name,25%B-Isocrat.2 SVS
Export Format Version, 1.00
Method ID, 1293
Points/Second, 1.00
Number of Records,   2562
Offset from Run Start Time,00:00:00
Run End Time,00:42:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.000138,-0.000317,0.000530,0.000000,  27.171
     1.0,-0.000138,-0.000312,0.000000,0.000000,  27.170
     2.0,-0.000132,-0.000315,0.000000,0.000000,  27.171
     3.0,-0.000130,-0.000310,0.000000,0.000000,  27.165
     4.0,-0.000134,-0.000096,-0.000023,0.000014,  27.164
     5.0,0.000000,0.000000,-0.000035,-0.000009,  27.165
     6.0,0.000000,0.000000,-0.000288,-0.000017,  27.160
     7.0,0.000000,0.000000,-0.000121,-0.000039,  27.160
     8.0,0.000000,-0.000010,-0.000083,-0.000017,  27.156
     9.0,0.000001,-0.000016,-0.000116,-0.000017,  27.157
    10.0,0.000002,-0.000016,-0.000060,-0.000039,  27.156
    11.0,-0.000002,-0.000009,-0.000052,-0.000039,  27.154
    12.0,0.000001,-0.000004,-0.000134,-0.000012,  27.145
    13.0,0.000015,-0.000002,-0.000178,0.000010,  27.143
    14.0,0.000009,0.000000,-0.000008,0.000023,  27.142
    15.0,0.000025,0.000012,-0.000034,-0.000034,  27.149
    16.0,0.000024,0.000013,-0.000034,-0.000012,  27.145
    17.0,0.000020,0.000014,0.000121,-0.000034,  27.147
    18.0,0.000024,0.000023,0.000122,-0.000034,  27.150
    19.0,0.000032,0.000020,0.000308,-0.000012,  27.149
    20.0,0.000030,0.000033,0.000323,-0.000034,  27.153
    21.0,0.000046,0.000028,0.000224,-0.000026,  27.152
    22.0,0.000054,0.000039,0.000174,-0.000061,  27.153
    23.0,0.000044,0.000024,0.000134,-0.000061,  27.150
    24.0,0.000041,0.000020,0.000028,-0.000026,  27.148
    25.0,0.000038,0.000021,0.000030,-0.000048,  27.153
    26.0,0.000035,0.000021,-0.000028,-0.000034,  27.151
    27.0,0.000024,0.000019,0.000014,-0.000012,  27.148
    28.0,0.000019,0.000021,-0.000149,-0.000070,  27.146
    29.0,0.000021,0.000017,-0.000024,-0.000048,  27.149
    30.0,0.000006,0.000010,0.000018,-0.000034,  27.146
    31.0,0.000015,0.000002,0.000039,-0.000034,  27.153
    32.0,0.000012,0.000002,-0.000097,-0.000048,  27.151
    33.0,0.000012,-0.000002,-0.000147,-0.000034,  27.150
    34.0,0.000019,0.000006,-0.000075,-0.000034,  27.153
    35.0,0.000006,0.000003,-0.000029,-0.000048,  27.159
    36.0,0.000004,0.000002,0.000027,-0.000034,  27.166
    37.0,0.000012,0.000004,0.000006,-0.000048,  27.169
    38.0,0.000001,0.000003,-0.000037,-0.000034,  27.173
    39.0,0.000002,0.000012,-0.000008,-0.000007,  27.175
    40.0,-0.000003,-0.000003,0.000022,-0.000021,  27.179
