Run Name,group 4 run 35%
Run Date,01:28:50 PM   04-15-11
Method Name,35%B-Isocrat.1 SVS
Export Format Version, 1.00
Method ID, 1274
Points/Second, 1.00
Number of Records,   1256
Offset from Run Start Time,00:00:00
Run End Time,00:21:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001876,0.001241,0.013737,0.000000,  35.437
     1.0,0.001704,0.001239,0.000000,0.000000,  35.438
     2.0,0.000000,0.001321,0.000000,0.000000,  35.445
     3.0,0.000000,0.000000,0.000000,0.000000,  35.443
     4.0,0.000000,0.000000,0.000000,0.000000,  35.436
     5.0,0.000000,0.000000,0.000008,-0.000009,  35.429
     6.0,0.000003,0.000000,-0.000015,-0.000044,  35.432
     7.0,-0.000002,-0.000017,0.000015,-0.000004,  35.434
     8.0,0.000001,0.000001,-0.000044,-0.000017,  35.435
     9.0,0.000001,-0.000006,0.000002,-0.000026,  35.434
    10.0,-0.000008,-0.000009,0.000062,-0.000061,  35.439
    11.0,-0.000010,-0.000016,0.000030,-0.000039,  35.441
    12.0,-0.000008,-0.000014,0.000066,-0.000075,  35.444
    13.0,-0.000012,-0.000015,-0.000086,-0.000061,  35.444
    14.0,-0.000018,-0.000021,-0.000037,-0.000097,  35.448
    15.0,-0.000022,-0.000026,-0.000020,-0.000083,  35.444
    16.0,-0.000030,-0.000014,-0.000069,-0.000061,  35.445
    17.0,-0.000015,-0.000019,-0.000040,-0.000097,  35.448
    18.0,-0.000010,-0.000024,-0.000035,-0.000083,  35.449
    19.0,-0.000010,-0.000018,-0.000057,-0.000061,  35.448
    20.0,-0.000015,-0.000010,-0.000100,-0.000034,  35.448
    21.0,-0.000017,-0.000003,-0.000073,-0.000048,  35.445
    22.0,-0.000029,-0.000017,-0.000127,-0.000070,  35.451
    23.0,-0.000026,-0.000012,-0.000163,-0.000083,  35.445
    24.0,-0.000027,-0.000016,-0.000084,-0.000048,  35.444
    25.0,-0.000024,-0.000016,-0.000074,-0.000070,  35.443
    26.0,-0.000029,-0.000020,-0.000184,-0.000083,  35.440
    27.0,-0.000036,-0.000007,-0.000062,-0.000048,  35.438
    28.0,-0.000032,-0.000011,-0.000014,-0.000070,  35.437
    29.0,-0.000032,-0.000019,-0.000024,-0.000034,  35.437
    30.0,-0.000024,-0.000017,-0.000014,-0.000070,  35.433
    31.0,-0.000015,-0.000012,-0.000110,-0.000070,  35.430
    32.0,-0.000015,-0.000012,-0.000010,-0.000061,  35.434
    33.0,-0.000026,-0.000016,-0.000044,-0.000083,  35.430
    34.0,-0.000031,-0.000016,-0.000037,-0.000070,  35.432
    35.0,-0.000031,-0.000020,-0.000057,-0.000048,  35.426
    36.0,-0.000028,-0.000016,-0.000138,-0.000070,  35.428
    37.0,-0.000025,-0.000017,-0.000213,-0.000083,  35.424
    38.0,-0.000032,-0.000016,-0.000174,-0.000070,  35.432
    39.0,-0.000029,-0.000016,-0.000084,-0.000106,  35.432
    40.0,-0.000032,-0.000023,-0.000127,-0.000070,  35.428
    41.0,-0.000026,-0.000026,-0.000112,-0.000070,  35.425
    42.0,-0.000029,-0.000022,-0.000015,-0.000106,  35.422
    43.0,-0.000033,-0.000027,-0.000008,-0.000070,  35.416
    44.0,-0.000033,-0.000015,-0.001733,-0.000070,  35.416
    45.0,-0.000033,-0.000018,-0.000486,-0.000070,  35.410
    46.0,-0.000019,-0.000012,-0.000115,-0.000106,  35.408
    47.0,-0.000013,-0.000003,-0.000058,-0.000092,  35.405
    48.0,-0.000019,-0.000013,0.000039,-0.000070,  35.409
    49.0,-0.000033,-0.000006,0.000021,-0.000106,  35.402
    50.0,-0.000025,-0.000005,-0.000105,-0.000141,  35.405
    51.0,-0.000022,-0.000010,0.000008,-0.000119,  35.404
