Run Name,Group 5 20%
Run Date,02:31:25 PM   02-08-11
Method Name,20%B-Isocrat
Export Format Version, 1.00
Method ID,  329
Points/Second, 1.00
Number of Records,   1491
Offset from Run Start Time,00:00:00
Run End Time,00:24:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001293,0.001033,0.013426,0.000000,  21.906
     1.0,0.001289,0.001033,0.000000,0.000000,  21.888
     2.0,0.001262,0.001033,0.000000,0.000000,  21.881
     3.0,0.000000,0.000000,0.000000,0.000000,  21.873
     4.0,0.000000,0.000000,0.000000,0.000000,  21.865
     5.0,0.000000,0.000000,0.000003,0.000324,  21.857
     6.0,0.000000,0.000000,-0.000123,0.000235,  21.847
     7.0,0.000722,0.000000,-0.000357,0.000113,  21.838
     8.0,0.000564,0.000551,-0.000443,0.000073,  21.840
     9.0,0.000432,0.000509,-0.000460,0.000087,  21.843
    10.0,0.000367,0.000407,-0.000676,0.000029,  21.859
    11.0,0.000378,0.000350,-0.000654,0.000051,  21.863
    12.0,0.000396,0.000357,-0.000742,0.000078,  21.856
    13.0,0.000419,0.000384,-0.000711,0.000118,  21.859
    14.0,0.000428,0.000410,-0.000913,0.000060,  21.843
    15.0,0.000449,0.000431,-0.000872,0.000096,  21.835
    16.0,0.000481,0.000449,-0.000809,0.000110,  21.819
    17.0,0.000490,0.000470,-0.000801,0.000101,  21.806
    18.0,0.000506,0.000482,-0.001545,0.000137,  21.800
    19.0,0.000518,0.000501,-0.000918,0.000137,  21.804
    20.0,0.000523,0.000519,-0.000908,0.000150,  21.799
    21.0,0.000534,0.000517,-0.000954,0.000150,  21.788
    22.0,0.000544,0.000527,-0.000849,0.000114,  21.789
    23.0,0.000545,0.000533,-0.000577,0.000047,  21.791
    24.0,0.000544,0.000538,-0.000811,0.000074,  21.786
    25.0,0.000514,0.000549,-0.000966,0.000101,  21.795
    26.0,0.000508,0.000530,-0.001147,0.000114,  21.799
    27.0,0.000526,0.000511,-0.001052,0.000114,  21.803
    28.0,0.000533,0.000526,-0.001004,0.000128,  21.808
    29.0,0.000544,0.000533,-0.001113,0.000128,  21.823
    30.0,0.000544,0.000547,-0.000962,0.000106,  21.824
    31.0,0.000548,0.000548,-0.000955,0.000155,  21.826
    32.0,0.000559,0.000565,-0.001085,0.000141,  21.832
    33.0,0.000578,0.000567,-0.001025,0.000155,  21.831
    34.0,0.000593,0.000586,-0.001743,0.000168,  21.838
    35.0,0.000601,0.000594,-0.001368,0.000168,  21.839
    36.0,0.000622,0.000600,-0.001258,0.000110,  21.838
    37.0,0.000627,0.000621,-0.001062,0.000146,  21.837
    38.0,0.000626,0.000631,-0.001066,0.000146,  21.834
    39.0,0.000627,0.000631,-0.001013,0.000146,  21.834
    40.0,0.000633,0.000627,-0.001694,0.000133,  21.832
    41.0,0.000627,0.000625,-0.001251,0.000110,  21.833
    42.0,0.000616,0.000629,-0.001149,0.000146,  21.831
    43.0,0.000630,0.000627,-0.001069,0.000133,  21.826
    44.0,0.000637,0.000625,-0.000984,0.000070,  21.823
    45.0,0.000618,0.000634,-0.001148,0.000106,  21.820
    46.0,0.000598,0.000641,-0.001485,0.000119,  21.813
    47.0,0.000580,0.000641,-0.001368,0.000084,  21.810
    48.0,0.000606,0.000614,-0.001234,0.000119,  21.803
    49.0,0.000614,0.000623,-0.001134,0.000097,  21.793
    50.0,0.000611,0.000618,-0.001169,0.000133,  21.786
    51.0,0.000625,0.000639,-0.001087,0.000155,  21.784
    52.0,0.000627,0.000641,-0.001100,0.000182,  21.778
    53.0,0.000629,0.000645,-0.001203,0.000182,  21.777
    54.0,0.000640,0.000651,-0.001872,0.000182,  21.791
    55.0,0.000651,0.000658,-0.001725,0.000236,  21.802
    56.0,0.000646,0.000674,-0.000233,0.000438,  21.760
    57.0,0.000650,0.000668,0.000677,0.000492,  21.754
    58.0,0.001048,0.000684,0.001157,0.000200,  21.750
    59.0,0.001134,0.001183,-0.000881,0.000092,  21.745
    60.0,0.000952,0.001277,-0.001391,0.000057,  21.738
    61.0,0.000590,0.000883,-0.001466,0.000160,  21.727
    62.0,0.000589,0.000663,-0.000921,0.000321,  21.730
    63.0,0.000676,0.000630,-0.000962,0.000232,  21.729
    64.0,0.000890,0.000679,-0.002124,0.000187,  21.718
    65.0,0.000882,0.000936,-0.001231,0.000146,  21.718
    66.0,0.000771,0.000954,-0.000934,0.000119,  21.724
    67.0,0.000738,0.000840,-0.000976,0.000106,  21.729
    68.0,0.000674,0.000809,-0.001414,0.000084,  21.735
