Run Name,Group 5 25%
Run Date,03:11:34 PM   02-08-11
Method Name,25%B-Isocrat
Export Format Version, 1.00
Method ID, 1180
Points/Second, 1.00
Number of Records,   4536
Offset from Run Start Time,00:00:00
Run End Time,01:15:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.002027,0.001157,0.018112,0.000000,  26.086
     1.0,0.002019,0.001153,0.000000,0.000000,  26.088
     2.0,0.001977,0.001146,0.000000,0.000000,  26.094
     3.0,0.000000,0.000000,0.000000,0.000000,  26.094
     4.0,0.000000,0.000000,0.000000,0.000000,  26.097
     5.0,0.000000,0.000000,-0.000163,-0.000031,  26.096
     6.0,0.000000,0.000000,-0.000376,-0.000089,  26.100
     7.0,-0.000019,0.000000,-0.000666,-0.000040,  26.103
     8.0,-0.000010,0.000001,-0.000675,-0.000062,  26.100
     9.0,-0.000017,0.000005,-0.000753,-0.000084,  26.103
    10.0,-0.000023,0.000003,-0.001000,-0.000084,  26.109
    11.0,-0.000034,0.000000,-0.001800,-0.000084,  26.112
    12.0,-0.000036,-0.000008,-0.001602,-0.000120,  26.122
    13.0,-0.000041,-0.000020,-0.001367,-0.000070,  26.123
    14.0,-0.000050,-0.000025,-0.001905,-0.000093,  26.124
    15.0,-0.000053,-0.000019,-0.001493,-0.000057,  26.129
    16.0,-0.000049,-0.000017,-0.002769,-0.000120,  26.128
    17.0,-0.000063,-0.000005,-0.002507,-0.000120,  26.128
    18.0,-0.000097,-0.000025,-0.002197,-0.000128,  26.131
    19.0,-0.000088,-0.000033,-0.002367,-0.000106,  26.133
    20.0,-0.000088,-0.000040,-0.002758,-0.000128,  26.126
    21.0,-0.000088,-0.000047,-0.002265,-0.000142,  26.129
    22.0,-0.000086,-0.000043,-0.002170,-0.000142,  26.127
    23.0,-0.000094,-0.000043,-0.002285,-0.000164,  26.121
    24.0,-0.000093,-0.000046,-0.002890,-0.000142,  26.121
    25.0,-0.000097,-0.000052,-0.002653,-0.000164,  26.119
    26.0,-0.000107,-0.000051,-0.002541,-0.000164,  26.113
    27.0,-0.000104,-0.000056,-0.002660,-0.000142,  26.108
    28.0,-0.000120,-0.000058,-0.002812,-0.000164,  26.103
    29.0,-0.000125,-0.000063,-0.003031,-0.000164,  26.094
    30.0,-0.000117,-0.000063,-0.002953,-0.000128,  26.093
    31.0,-0.000117,-0.000056,-0.003015,-0.000164,  26.094
    32.0,-0.000111,-0.000056,-0.003139,-0.000142,  26.080
    33.0,-0.000125,-0.000062,-0.003376,-0.000191,  26.073
    34.0,-0.000122,-0.000050,-0.005501,-0.000164,  26.071
    35.0,-0.000147,-0.000043,-0.004403,-0.000142,  26.067
    36.0,-0.000151,-0.000063,-0.004022,-0.000177,  26.060
    37.0,-0.000141,-0.000075,-0.003783,-0.000164,  26.056
    38.0,-0.000135,-0.000066,-0.003581,-0.000142,  26.050
    39.0,-0.000124,-0.000059,-0.003677,-0.000142,  26.051
    40.0,-0.000123,-0.000054,-0.003703,-0.000128,  26.044
    41.0,-0.000126,-0.000055,-0.003883,-0.000150,  26.036
    42.0,-0.000135,-0.000053,-0.004373,-0.000150,  26.033
    43.0,-0.000137,-0.000052,-0.004130,-0.000128,  26.030
    44.0,-0.000141,-0.000060,-0.004126,-0.000164,  26.028
    45.0,-0.000154,-0.000055,-0.004131,-0.000164,  26.027
    46.0,-0.000150,-0.000065,-0.004454,-0.000142,  26.024
    47.0,-0.000167,-0.000071,-0.004396,-0.000142,  26.027
    48.0,-0.000166,-0.000073,-0.004666,-0.000155,  26.031
    49.0,-0.000169,-0.000071,-0.004580,-0.000191,  26.024
    50.0,-0.000157,-0.000069,-0.004599,-0.000191,  26.020
    51.0,-0.000156,-0.000074,-0.004753,-0.000142,  26.023
    52.0,-0.000178,-0.000063,-0.005472,-0.000164,  26.034
    53.0,-0.000189,-0.000081,-0.004547,-0.000123,  26.052
    54.0,-0.000172,-0.000083,-0.003552,0.000115,  26.078
    55.0,-0.000033,-0.000073,-0.002655,0.000227,  26.071
    56.0,0.000204,0.000093,-0.002025,0.000330,  26.027
    57.0,0.000338,0.000414,-0.003895,-0.000115,  26.019
    58.0,0.000355,0.000520,-0.004447,-0.000245,  26.018
    59.0,-0.000216,0.000498,-0.004776,-0.000209,  26.019
    60.0,-0.000316,-0.000073,-0.005027,-0.000164,  26.019
    61.0,-0.000295,-0.000180,-0.004896,-0.000042,  26.016
    62.0,-0.000141,-0.000176,-0.005007,-0.000096,  26.017
    63.0,-0.000002,-0.000082,-0.005195,-0.000150,  26.023
    64.0,-0.000064,0.000111,-0.005161,-0.000177,  26.023
    65.0,-0.000146,0.000056,-0.005974,-0.000142,  26.026
    66.0,-0.000161,-0.000032,-0.005512,-0.000164,  26.031
    67.0,-0.000174,-0.000054,-0.005339,-0.000155,  26.035
    68.0,-0.000188,-0.000077,-0.005498,-0.000191,  26.039
    69.0,-0.000217,-0.000077,-0.005881,-0.000177,  26.035
    70.0,-0.000233,-0.000090,-0.006067,-0.000142,  26.033
    71.0,-0.000231,-0.000107,-0.005955,-0.000164,  26.027
    72.0,-0.000236,-0.000102,-0.006011,-0.000164,  26.021
    73.0,-0.000228,-0.000107,-0.006198,-0.000142,  26.017
    74.0,-0.000231,-0.000089,-0.006223,-0.000142,  26.012
    75.0,-0.000215,-0.000097,-0.006222,-0.000142,  26.004
    76.0,-0.000223,-0.000099,-0.006690,-0.000164,  25.995
    77.0,-0.000234,-0.000092,-0.007283,-0.000164,  25.991
    78.0,-0.000222,-0.000092,-0.008015,-0.000164,  25.990
    79.0,-0.000223,-0.000094,-0.007785,-0.000164,  25.986
    80.0,-0.000226,-0.000086,-0.006924,-0.000200,  25.984
    81.0,-0.000214,-0.000084,-0.006675,-0.000128,  25.987
    82.0,-0.000206,-0.000088,-0.007266,-0.000164,  25.992
    83.0,-0.000200,-0.000088,-0.006837,-0.000142,  25.983
    84.0,-0.000206,-0.000076,-0.006843,-0.000142,  25.982
    85.0,-0.000217,-0.000078,-0.006917,-0.000164,  25.989
    86.0,-0.000232,-0.000081,-0.007320,-0.000128,  25.988
    87.0,-0.000222,-0.000092,-0.007543,-0.000164,  25.995
    88.0,-0.000222,-0.000093,-0.007249,-0.000164,  25.992
    89.0,-0.000215,-0.000086,-0.006921,-0.000115,  25.989
    90.0,-0.000210,-0.000074,-0.006815,-0.000150,  25.997
    91.0,-0.000202,-0.000067,-0.006945,-0.000150,  25.997
