Run Name,Group 5 35%b
Run Date,05:32:46 PM   02-08-11
Method Name,35%B-Isocrat
Export Format Version, 1.00
Method ID, 1171
Points/Second, 1.00
Number of Records,   1784
Offset from Run Start Time,00:00:00
Run End Time,00:29:47
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.001044,0.000889,0.006978,0.000000,  34.485
     1.0,0.001047,0.000880,0.000000,0.000000,  34.459
     2.0,0.001052,0.000881,0.000000,0.000000,  34.457
     3.0,0.001054,0.000887,0.000000,0.000000,  34.451
     4.0,0.001054,0.000889,0.000000,0.000000,  34.450
     5.0,0.001090,0.000889,-0.000242,0.000005,  34.450
     6.0,0.000000,0.000000,-0.000433,-0.000040,  34.450
     7.0,0.000000,0.000000,-0.000598,-0.000017,  34.443
     8.0,0.000000,0.000000,-0.000551,-0.000013,  34.439
     9.0,0.000000,0.000000,-0.000695,0.000001,  34.435
    10.0,0.000134,0.000178,-0.000811,0.000001,  34.427
    11.0,0.000139,0.000168,-0.000893,-0.000057,  34.412
    12.0,0.000147,0.000163,-0.000961,-0.000021,  34.403
    13.0,0.000142,0.000177,-0.000917,-0.000021,  34.400
    14.0,0.000153,0.000185,-0.001019,-0.000057,  34.400
    15.0,0.000162,0.000194,-0.001070,-0.000021,  34.397
    16.0,0.000163,0.000203,-0.001070,-0.000044,  34.393
    17.0,0.000170,0.000214,-0.002539,-0.000044,  34.398
    18.0,0.000170,0.000216,-0.001573,-0.000039,  34.400
    19.0,0.000178,0.000213,-0.001451,-0.000017,  34.401
    20.0,0.000190,0.000223,-0.002461,-0.000003,  34.407
    21.0,0.000200,0.000235,-0.001866,-0.000003,  34.406
    22.0,0.000214,0.000250,-0.001381,-0.000039,  34.412
    23.0,0.000210,0.000255,-0.001170,-0.000074,  34.415
    24.0,0.000218,0.000259,-0.001118,-0.000039,  34.426
    25.0,0.000221,0.000260,-0.001028,-0.000074,  34.433
    26.0,0.000223,0.000265,-0.000963,-0.000097,  34.439
    27.0,0.000234,0.000273,-0.001261,-0.000039,  34.463
    28.0,0.000232,0.000278,-0.001276,-0.000061,  34.470
    29.0,0.000235,0.000292,-0.001165,-0.000025,  34.476
    30.0,0.000235,0.000271,-0.001082,-0.000061,  34.485
    31.0,0.000237,0.000274,-0.001427,-0.000110,  34.497
    32.0,0.000239,0.000273,-0.002004,-0.000074,  34.507
    33.0,0.000241,0.000273,-0.001828,-0.000074,  34.514
    34.0,0.000235,0.000269,-0.001355,-0.000074,  34.529
    35.0,0.000235,0.000265,-0.001342,-0.000039,  34.532
    36.0,0.000232,0.000268,-0.001202,-0.000074,  34.532
    37.0,0.000229,0.000265,-0.001304,-0.000088,  34.541
    38.0,0.000239,0.000273,-0.001255,-0.000039,  34.544
    39.0,0.000239,0.000272,-0.001362,-0.000061,  34.552
    40.0,0.000220,0.000262,-0.001244,-0.000061,  34.551
    41.0,0.000215,0.000253,-0.001284,-0.000074,  34.559
    42.0,0.000217,0.000251,-0.001378,-0.000088,  34.555
    43.0,0.000218,0.000255,-0.002439,-0.000025,  34.562
    44.0,0.000221,0.000262,-0.002690,-0.000048,  34.570
    45.0,0.000223,0.000262,-0.001663,-0.000048,  34.568
