Run Name,Run_1_50_Group6
Run Date,12:53:42 PM   03-01-11
Method Name,50%B-Isocrat
Export Format Version, 1.00
Method ID, 1228
Points/Second, 1.00
Number of Records,    903
Offset from Run Start Time,00:00:00
Run End Time,00:15:06
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity
     0.0,0.005898,0.000000,0.000000,0.000000,  33.341
     1.0,0.000000,0.000000,0.000000,0.000000,  33.334
     2.0,0.000000,0.000000,0.000000,0.000000,  33.337
     3.0,0.000000,0.000000,0.000000,0.000000,  33.333
     4.0,0.000000,0.000000,0.000000,0.000000,  33.340
     5.0,-0.000007,0.000006,-0.000067,0.000000,  33.347
     6.0,-0.000002,0.000008,-0.000072,-0.000045,  33.388
     7.0,-0.000027,0.000014,0.000041,-0.000013,  33.414
     8.0,0.000001,0.000012,0.000601,-0.000040,  33.372
     9.0,0.000125,0.000172,0.001312,0.000045,  33.351
    10.0,-0.000100,-0.000031,0.001225,-0.000103,  33.347
    11.0,-0.000073,-0.000054,0.000578,-0.000089,  33.349
    12.0,-0.000022,-0.000007,0.000438,-0.000036,  33.347
    13.0,0.000010,0.000020,0.000286,-0.000022,  33.352
    14.0,0.000029,0.000038,0.000322,-0.000045,  33.377
    15.0,0.000047,0.000053,0.000237,-0.000009,  33.407
    16.0,-0.000028,0.000029,0.000584,-0.000116,  33.431
    17.0,0.000087,0.000139,0.001376,-0.000058,  33.354
    18.0,0.000186,0.000123,0.001979,0.000058,  33.352
    19.0,-0.000056,-0.000055,0.001176,-0.000089,  33.348
    20.0,-0.000039,-0.000022,0.000856,-0.000062,  33.350
    21.0,0.000004,0.000004,0.000561,-0.000049,  33.348
    22.0,0.000028,0.000021,0.000854,-0.000058,  33.351
    23.0,0.000040,0.000032,0.000495,-0.000009,  33.398
    24.0,0.000041,0.000040,0.000601,-0.000062,  33.420
    25.0,0.000003,0.000057,0.001162,-0.000125,  33.382
    26.0,0.000166,0.000204,0.002021,-0.000009,  33.351
    27.0,0.000002,-0.000026,0.001807,-0.000116,  33.352
    28.0,-0.000039,-0.000034,0.001040,-0.000138,  33.355
    29.0,0.000010,-0.000003,0.000822,-0.000062,  33.355
    30.0,0.000039,0.000034,0.000737,-0.000071,  33.359
    31.0,0.000060,0.000046,0.000706,-0.000022,  33.380
    32.0,0.000057,0.000065,0.000623,0.000000,  33.420
    33.0,-0.000016,0.000012,0.000814,-0.000067,  33.447
    34.0,0.000101,0.000135,0.001508,-0.000013,  33.383
    35.0,0.000226,0.000251,0.002163,-0.000120,  33.386
    36.0,-0.000038,-0.000004,0.001497,-0.000094,  33.390
    37.0,-0.000010,-0.000004,0.001138,-0.000080,  33.391
    38.0,0.000025,0.000030,0.000958,-0.000027,  33.393
    39.0,0.000037,0.000053,0.000935,-0.000040,  33.397
    40.0,0.000053,0.000061,0.000800,-0.000027,  33.419
    41.0,0.000043,0.000061,0.000845,-0.000067,  33.438
    42.0,0.000013,0.000047,0.001407,-0.000067,  33.415
    43.0,0.000160,0.000203,0.002242,0.000036,  33.386
    44.0,0.000016,0.000023,0.001787,-0.000165,  33.387
    45.0,-0.000053,-0.000025,0.001278,-0.000098,  33.386
    46.0,0.000001,0.000001,0.000969,-0.000045,  33.390
    47.0,0.000036,0.000037,0.000878,-0.000005,  33.388
    48.0,0.000052,0.000049,0.000846,-0.000005,  33.406
    49.0,0.000076,0.000070,0.000820,0.000009,  33.426
    50.0,0.000028,0.000049,0.000931,-0.000071,  33.456
    51.0,0.000109,0.000148,0.001774,-0.000005,  33.392
    52.0,0.000104,0.000212,0.002554,-0.000031,  33.425
    53.0,-0.000064,0.000008,0.001627,-0.000112,  33.381
    54.0,0.000148,0.000082,0.001748,-0.000138,  33.383
    55.0,-0.000018,-0.000027,0.001377,-0.000125,  33.382
    56.0,0.000016,0.000007,0.001140,-0.000058,  33.390
    57.0,0.000055,0.000032,0.001036,-0.000031,  33.417
    58.0,0.000148,0.000135,0.001239,0.000022,  33.447
    59.0,0.000142,0.000141,0.001589,0.000018,  33.431
    60.0,0.000276,0.000308,0.002495,0.000116,  33.401
    61.0,0.000064,0.000172,0.002412,-0.000049,  33.409
    62.0,0.000038,0.000061,0.001597,-0.000009,  33.410
    63.0,0.000067,0.000080,0.001192,0.000009,  33.411
    64.0,0.000091,0.000095,0.001143,0.000031,  33.408
    65.0,0.000117,0.000106,0.001060,0.000009,  33.420
    66.0,0.000111,0.000108,0.001013,0.000009,  33.447
    67.0,0.000047,0.000079,0.001149,-0.000076,  33.461
    68.0,0.000139,0.000187,0.001827,-0.000005,  33.417
    69.0,0.000236,0.000227,0.002647,0.000076,  33.406
    70.0,-0.000033,-0.000016,0.001829,-0.000098,  33.411
    71.0,0.000011,0.000026,0.001275,-0.000058,  33.407
    72.0,0.000055,0.000057,0.001121,0.000004,  33.407
    73.0,0.000088,0.000074,0.001085,0.000009,  33.412
    74.0,0.000106,0.000094,0.001000,0.000018,  33.442
    75.0,0.000097,0.000101,0.001037,0.000053,  33.461
    76.0,0.000084,0.000100,0.001432,-0.000027,  33.444
    77.0,0.000241,0.000259,0.002263,0.000071,  33.407
    78.0,0.000032,0.000054,0.002395,0.000022,  33.409
    79.0,-0.000001,0.000010,0.001228,0.000036,  33.409
    80.0,0.000045,0.000044,0.001034,0.000049,  33.409
    81.0,0.000084,0.000077,0.000994,0.000040,  33.412
    82.0,0.000107,0.000095,0.001206,0.000004,  33.432
    83.0,0.000129,0.000120,0.000952,0.000089,  33.452
    84.0,0.000046,0.000074,0.000926,-0.000000,  33.470
    85.0,0.000188,0.000199,0.001807,0.000053,  33.420
    86.0,0.000355,0.000292,0.002529,0.000102,  33.418
    87.0,0.000024,0.000041,0.001826,-0.000027,  33.407
    88.0,0.000067,0.000069,0.001387,0.000022,  33.410
    89.0,0.000117,0.000117,0.001213,0.000027,  33.417
